Physical Time (s),ea_left Monitor (kg-m/s^3)
0.1475,-6.2379987877992777e-09
0.15,-5.6559641767745664e-09
0.1525,-5.2966208525545241e-09
0.155,-5.1676044545192707e-09
0.1575,-5.268829377797398e-09
0.16,-5.6020018414522349e-09
0.1625,-6.1794667290650887e-09
0.165,-7.0128663359637666e-09
0.1675,-8.0928980345808404e-09
0.17,-9.367615660964632e-09
0.1725,-1.0734969148121022e-08
0.175,-1.2056956537855369e-08
0.1775,-1.3191971713636575e-08
0.18,-1.4031966450025123e-08
0.1825,-1.4528879779742547e-08
0.185,-1.4700909812714631e-08
0.1875,-1.4619100895433279e-08
0.19,-1.4382771566545673e-08
0.1925,-1.4093731077132247e-08
0.195,-1.3837024241197548e-08
0.1975,-1.367179258164227e-08
0.2,-1.362955441067582e-08
0.2025,-1.3718663102826538e-08
0.205,-1.393014954964685e-08
0.2075,-1.4243515151816974e-08
0.21,-1.4631693275734835e-08
0.2125,-1.5065381059773694e-08
0.215,-1.5516335193432748e-08
0.2175,-1.5959168834848204e-08
0.22,-1.6371854884063103e-08
0.2225,-1.6735186854611077e-08
0.225,-1.7032269027229707e-08
0.2275,-1.7248638321229908e-08
0.23,-1.7373351763504364e-08
0.2325,-1.7400956733252657e-08
0.235,-1.7333817974751202e-08
0.2375,-1.7184117356572265e-08
0.24,-1.6974220854934733e-08
0.2425,-1.6738830445750444e-08
0.245,-1.6518117918314502e-08
0.2475,-1.6353018529875284e-08
0.25,-1.6277980816450534e-08
0.2525,-1.6317195868734586e-08
0.255,-1.6487908454675552e-08
0.2575,-1.6793451055622554e-08
0.26,-1.7226488449372354e-08
0.2625,-1.7764239082394931e-08
0.265,-1.8375486217946666e-08
0.2675,-1.901801111409404e-08
0.27,-1.9645025359140606e-08
0.2725,-2.0207598916729993e-08
0.275,-2.0668639481971791e-08
0.2775,-2.1006854171911955e-08
0.28,-2.1219898864007274e-08
0.2825,-2.1319814826410331e-08
0.285,-2.1331855981006043e-08
0.2875,-2.1290840916296304e-08
0.29,-2.1235607337661389e-08
0.2925,-2.1201957745153369e-08
0.295,-2.121823054354699e-08
0.2975,-2.1304501695008994e-08
0.3,-2.1473586549339527e-08
0.3025,-2.1726867217060968e-08
0.305,-2.2056045567289074e-08
0.3075,-2.2449278122207161e-08
0.31,-2.2889658308692633e-08
0.3125,-2.3355264336882236e-08
0.315,-2.3822794059565013e-08
0.3175,-2.4268199675405983e-08
0.32,-2.4670959056302998e-08
0.3225,-2.5020517549034886e-08
0.325,-2.5311096682758866e-08
0.3275,-2.5541276802715623e-08
0.33,-2.5713647589424001e-08
0.3325,-2.5835141907820218e-08
0.335,-2.5917692565588021e-08
0.3375,-2.5976464594676123e-08
0.34,-2.6028106820783202e-08
0.3425,-2.6090537807120053e-08
0.345,-2.6181473073635026e-08
0.3475,-2.6313361119994722e-08
0.35,-2.6498515766710215e-08
0.3525,-2.6746019863029902e-08
0.355,-2.7062103358664293e-08
0.3575,-2.7450471534585468e-08
0.36,-2.791195554360283e-08
0.3625,-2.8443143982218269e-08
0.365,-2.9034474545446244e-08
0.3675,-2.9669365167412839e-08
0.37,-3.0325413705714312e-08
0.3725,-3.0981183342602646e-08
0.375,-3.1602510013867396e-08
0.3775,-3.2164816913743295e-08
0.38,-3.2644910710398079e-08
0.3825,-3.3022125396593802e-08
0.385,-3.3278396628725911e-08
0.3875,-3.339940895115224e-08
0.39,-3.3376453660585083e-08
0.3925,-3.3207469763401581e-08
0.395,-3.2896696511468327e-08
0.3975,-3.2453841957939735e-08
0.4,-3.1893671049623953e-08
0.4025,-3.1235720933921381e-08
0.405,-3.0499814744180511e-08
0.4075,-2.971051360564582e-08
0.41,-2.8894777914757129e-08
0.4125,-2.8080279986332843e-08
0.415,-2.7298930406380103e-08
0.4175,-2.657812002295672e-08
0.42,-2.5944426318916349e-08
0.4225,-2.5419422236618389e-08
0.425,-2.501734065974681e-08
0.4275,-2.4746471117931309e-08
0.43,-2.4608182359400281e-08
0.4325,-2.4599760883118468e-08
0.435,-2.4721908139762311e-08
0.4375,-2.4970809647574004e-08
0.44,-2.5342478112461312e-08
0.4425,-2.5831051094615811e-08
0.445,-2.6427809483218624e-08
0.4475,-2.7119254938263019e-08
0.45,-2.7890918982318927e-08
0.4525,-2.8729456808886883e-08
0.455,-2.9623956325207908e-08
0.4575,-3.0566434141369888e-08
0.46,-3.1542854382790176e-08
0.4625,-3.2546754072513473e-08
0.465,-3.3583906650572504e-08
0.4675,-3.4657404004949081e-08
0.47,-3.5767586537044981e-08
0.4725,-3.6912594024957995e-08
0.475,-3.8089431770151472e-08
0.4775,-3.9297600838414219e-08
0.48,-4.0532478660084585e-08
0.4825,-4.1776424070997599e-08
0.485,-4.3008657141633277e-08
0.4875,-4.4207223872835339e-08
0.49,-4.5352491063359576e-08
0.4925,-4.6425028850195758e-08
0.495,-4.7405226771174747e-08
0.4975,-4.8274593992834191e-08
0.5,-4.9019415445269915e-08
0.5025,-4.9629777618309752e-08
0.505,-5.0100154626784643e-08
0.5075,-5.0426837298218949e-08
0.51,-5.0608255639189721e-08
0.5125,-5.0645850380876869e-08
0.515,-5.0543673224597401e-08
0.5175,-5.0309108615193729e-08
0.52,-4.99538185228455e-08
0.5225,-4.9490939362672383e-08
0.525,-4.8934634509275261e-08
0.5275,-4.8300264534327581e-08
0.53,-4.760419497620748e-08
0.5325,-4.6865107263390249e-08
0.535,-4.6101457799490471e-08
0.5375,-4.5335562955353998e-08
0.54,-4.4579226356835344e-08
0.5425,-4.3844490913531568e-08
0.545,-4.3141027324759454e-08
0.5475,-4.2473637679783275e-08
0.55,-4.1851085357413294e-08
0.5525,-4.1284361123324258e-08
0.555,-4.0784102221068892e-08
0.5575,-4.0359072449594746e-08
0.56,-4.0015688094484751e-08
0.5625,-3.9757898741352073e-08
0.565,-3.9588273994857297e-08
0.5675,-3.9509492194848532e-08
0.57,-3.952499825843018e-08
0.5725,-3.9638423791959044e-08
0.575,-3.9852404185466402e-08
0.5775,-4.016766097707426e-08
0.58,-4.0582766439382875e-08
0.5825,-4.1094379242091475e-08
0.585,-4.169754389837756e-08
0.5875,-4.2385818875088235e-08
0.59,-4.3151229185731664e-08
0.5925,-4.398420014709638e-08
0.595,-4.4873454584203249e-08
0.5975,-4.5805820198128407e-08
0.6,-4.6766018165096372e-08
0.6025,-4.7736646617517974e-08
