Physical Time (s),enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv7
0.04,2.5679456863472326e-08,1.0356392448650449e-07,6.6787962185826677e-08,-2.7847789093814671e-08,1.0608052449969178e-06,1.7015602535770474e-06,3.0688817335790475e-06
0.0425,1.0117917536749514e-08,2.1892861416016045e-07,5.0379418073509554e-07,3.2331031761845119e-07,5.6750564321566804e-07,1.6024193478534294e-06,2.8618921885642854e-06
0.045,9.8052714622368555e-09,2.8642255501918132e-07,8.4700868910898103e-07,9.5073666574945854e-07,7.7776824320717345e-07,1.9189136835129366e-06,2.9135664590294161e-06
0.0475,2.1195804995307041e-08,2.552523578058657e-07,8.5016252004580936e-07,1.2089596909029878e-06,1.1043243042686901e-06,2.0053807165113854e-06,2.8350042645050165e-06
0.05,6.2189951938908372e-08,1.8654440129004521e-07,5.8415994914201559e-07,9.7947240716004822e-07,1.0789217163354682e-06,1.6151824073207566e-06,2.4579053630332358e-06
0.0525,1.2159144024927687e-07,1.393874142754833e-07,2.6167702792180913e-07,5.0247921896609492e-07,6.8720349135248209e-07,9.4917431364864634e-07,1.8786075301511235e-06
0.055,1.6488072135856847e-07,1.1723460875596217e-07,3.4820513898122823e-08,6.6491810158036624e-08,1.8679804084793826e-07,3.1475607507011294e-07,1.3144385265853974e-06
0.0575,1.660561558437266e-07,9.2574324030084337e-08,-7.2006341449673641e-08,-1.7923648997927094e-07,-1.814382319564641e-07,-1.1980038976522101e-07,9.369544474324115e-07
0.06,1.357857507879724e-07,5.8778816276339954e-08,-1.0026493742395542e-07,-2.3610022661426218e-07,-3.2270567959586799e-07,-3.1877723502084959e-07,7.8179719216559606e-07
0.0625,1.0999933471718348e-07,3.9259085325627984e-08,-8.4603791486782176e-08,-1.7900485822692393e-07,-2.7521703552317937e-07,-3.1236698078339016e-07,7.5284489249575866e-07
0.065,1.0537218919957896e-07,4.8774207152306298e-08,-3.9979238741186301e-08,-8.4922060910088664e-08,-1.4162681192167275e-07,-1.7768163916948314e-07,7.0937027039742678e-07
0.0675,9.7889780124117929e-08,6.7768609211542959e-08,2.123829034896708e-08,4.219931071863144e-09,-1.1846905618734102e-08,-1.3660726968588982e-08,5.8348446315167318e-07
0.07,5.2685344507076296e-08,6.4205712198300935e-08,8.5371868882677777e-08,8.6861385678528944e-08,8.6470614983760923e-08,1.1479241834040886e-07,4.2684600362976285e-07
0.0725,-3.0074445785027027e-08,3.2002705581201451e-08,1.445812373119423e-07,1.783766800145675e-07,1.7678667403839822e-07,2.0308903689457243e-07,3.3895315869937633e-07
0.075,-1.0514281266139914e-07,-2.3865355686671505e-11,1.9674976698623144e-07,2.7844934679167105e-07,2.8075074359264287e-07,2.7790867971537836e-07,3.5765832014838057e-07
0.0775,-1.2017663426429413e-07,1.7245887789179176e-09,2.3483703734951412e-07,3.5590043138706185e-07,3.7594154740251309e-07,3.4634715809168898e-07,4.2314398952746391e-07
0.08,-6.1330526072495892e-08,4.0170923143861407e-08,2.3878593389026037e-07,3.6210424702722226e-07,4.0111822533438452e-07,3.7068469980865773e-07,4.3480392501854346e-07
0.0825,3.793627594702172e-08,8.2996752520254967e-08,1.8196572850672742e-07,2.5983954682197022e-07,2.9865904758392512e-07,2.8863389647557079e-07,3.2407765914660939e-07
0.085,1.2817200140461538e-07,9.0875294318118105e-08,4.937464196474168e-08,4.5240729177577722e-08,5.4157609851731603e-08,5.783183682587397e-08,7.7888139157565297e-08
0.0875,1.8044277563342294e-07,4.9726410218516061e-08,-1.4470382962991131e-07,-2.4558420971467127e-07,-2.9058933232564671e-07,-3.0737054950123324e-07,-2.7550989722985547e-07
0.09,1.9968218781240163e-07,-1.8812743437540684e-08,-3.5387835096471466e-07,-5.459063425622706e-07,-6.529159483570036e-07,-7.300170830037184e-07,-6.8121669460775009e-07
0.0925,2.0839351374804234e-07,-7.4509615326618555e-08,-5.1491035583543284e-07,-7.7664188777413011e-07,-9.3619226770569103e-07,-1.0934102760672824e-06,-1.057702953171296e-06
0.095,2.2124974089071251e-07,-8.7740993296433228e-08,-5.7778119526011998e-07,-8.756676081411184e-07,-1.0650976593387446e-06,-1.2891971246419079e-06,-1.3088693191567228e-06
0.0975,2.312331412289682e-07,-6.0088641492561806e-08,-5.3454089730516706e-07,-8.2896604491348076e-07,-1.0200498233806475e-06,-1.2719307174351943e-06,-1.3652325452425461e-06
0.1,2.1220838399028361e-07,-2.2822176770004824e-08,-4.2072080410876912e-07,-6.7323754943500649e-07,-8.3887691282287464e-07,-1.0709019289091086e-06,-1.2137521974937519e-06
0.1025,1.3571334279522125e-07,-1.9763545596975383e-08,-3.0042285977107837e-07,-4.8386726538996982e-07,-6.0505082614554341e-07,-7.7994714418552611e-07,-9.1755817231134814e-07
0.105,-1.0775978782446804e-08,-8.4135337847601039e-08,-2.3738808719029535e-07,-3.4374038553782415e-07,-4.147000168967751e-07,-5.1789338166176871e-07,-5.9695900036744341e-07
0.1075,-2.1398391463468607e-07,-2.2071707227296383e-07,-2.6485864742614717e-07,-3.0509712527683821e-07,-3.333138767663413e-07,-3.7355478208555466e-07,-3.7124745338303435e-07
0.11,-4.3637423088628501e-07,-4.014331380743225e-07,-3.7121100455534285e-07,-3.676084453758126e-07,-3.6855214678667598e-07,-3.6882780550760152e-07,-3.0028908847430952e-07
0.1125,-6.2808498274940913e-07,-5.7577340816907387e-07,-5.0751719620563273e-07,-4.8341184120497527e-07,-4.7317660228612404e-07,-4.5828348239522529e-07,-3.6224601873796434e-07
0.115,-7.4474870713654183e-07,-6.915414412260129e-07,-6.1196813013488093e-07,-5.8411893206583946e-07,-5.7379731552774411e-07,-5.6066094536774325e-07,-4.7551782473151709e-07
0.1175,-7.6161330172880198e-07,-7.1430752247224941e-07,-6.3689749878066106e-07,-6.1331000518650638e-07,-6.0756926665415583e-07,-6.0237457829083908e-07,-5.4890449661305254e-07
0.12,-6.8185040226591663e-07,-6.3965061804210072e-07,-5.6664352842688664e-07,-5.4834013550063206e-07,-5.4726273584586548e-07,-5.484213691673353e-07,-5.2630222904036396e-07
0.1225,-5.3327179323449631e-07,-4.9158861423765317e-07,-4.1851957378502426e-07,-4.0260342773758529e-07,-4.0445153508035305e-07,-4.0791034907847363e-07,-4.0379804861729899e-07
0.125,-3.5672082924412053e-07,-3.105942279547756e-07,-2.305888697556747e-07,-2.1249860121239855e-07,-2.153275752130659e-07,-2.1840915283823807e-07,-2.1708021343757972e-07
0.1275,-1.9226806545086379e-07,-1.384731361262196e-07,-4.5377850774097047e-08,-2.0115949771437381e-08,-2.1910702858756937e-08,-2.4159687981419862e-08,-1.5882848759879903e-08
0.13,-6.6909527042573252e-08,-4.5958177652268971e-09,1.0517962251719575e-07,1.4214811902708694e-07,1.4382314196085383e-07,1.4186128478627946e-07,1.5947889095292926e-07
0.1325,1.0449579384476167e-08,8.003382118031366e-08,2.0657106177657459e-07,2.5829264028795193e-07,2.6622036210299682e-07,2.6455932180609204e-07,2.8856978807981525e-07
0.135,4.5571135077380647e-08,1.1957183592794557e-07,2.5901297434648759e-07,3.2594334497891918e-07,3.4255446497573135e-07,3.4250831757849364e-07,3.6790514574811986e-07
0.1375,5.1699586898694334e-08,1.2623252872463785e-07,2.7115046975459084e-07,3.5053140938629782e-07,3.7695426853838877e-07,3.8076853249656074e-07,4.0310132817045167e-07
0.14,4.2537186570596087e-08,1.1341218274361262e-07,2.5419734843024832e-07,3.4037859684350831e-07,3.7583473626028531e-07,3.8573956887722653e-07,4.0245597591980772e-07
0.1425,2.7963482660808676e-08,9.1505221486620381e-08,2.1864553156689756e-07,3.0442681777740417e-07,3.463264541486437e-07,3.636821810175653e-07,3.7440638313401044e-07
0.145,1.29549853972177e-08,6.6625880621318617e-08,1.7305739940373381e-07,2.5161328513850769e-07,2.9632951152126517e-07,3.212719771499875e-07,3.2731482571831763e-07
0.1475,-8.5491153655329155e-10,4.1728044789513946e-08,1.2413828466607817e-07,1.9064919630819889e-07,2.3455294090148194e-07,2.6617090624616039e-07,2.6957708792566749e-07
0.15,-1.2675600703896279e-08,1.8761502856521691e-08,7.7532229706854943e-08,1.2992567124107904e-07,1.7020907445034557e-07,2.0697957759153098e-07,2.095236640090417e-07
0.1525,-2.0950129526257147e-08,1.0840048682668254e-10,3.8258153548979474e-08,7.6978668862898858e-08,1.1202865610027756e-07,1.5222513847124294e-07,1.5480514898344683e-07
0.155,-2.3269899023350462e-08,-1.1397606042845591e-08,1.0304980410942818e-08,3.7393466238221881e-08,6.6696643196857531e-08,1.0861259786415552e-07,1.1132088119700276e-07
0.1575,-1.740735219911559e-08,-1.3439774557953514e-08,-4.1669113188811867e-09,1.3836936157321364e-08,3.7600152607028717e-08,7.9590589957082372e-08,8.2365954717161544e-08
0.16,-2.6394188095695462e-09,-5.3953128009216051e-09,-5.4938690147224979e-09,5.6229165093245647e-09,2.4330442782512243e-08,6.4769095981060681e-08,6.8171019085015213e-08
0.1625,1.9547765084560317e-08,1.1053296679813441e-08,3.400651333636122e-09,9.0249551087476239e-09,2.3099681609436115e-08,6.0341782877763834e-08,6.5899487556723383e-08
0.165,4.5763896696669914e-08,3.2276715942689956e-08,1.7750077817747867e-08,1.8397530136666416e-08,2.8024452866661121e-08,6.0419688421430775e-08,7.0269347860505595e-08
0.1675,7.1782211172429489e-08,5.383485197817307e-08,3.2303740729787354e-08,2.7785377997470368e-08,3.2887537749238703e-08,5.8844437941579616e-08,7.4799973634062874e-08
0.17,9.3441876470200189e-08,7.1568181240819822e-08,4.2694165975464015e-08,3.2507018779529034e-08,3.2875834514447932e-08,5.1036902272439211e-08,7.3587275645607693e-08
0.1725,1.0770093573641012e-07,8.2611558623833754e-08,4.63288491160864e-08,2.9983932733049554e-08,2.539476414438441e-08,3.4755077205826171e-08,6.2472567726555504e-08
0.175,1.1298690598180205e-07,8.577805162416348e-08,4.281538383698575e-08,2.0219098070028385e-08,1.0607961361240112e-08,1.0664621017983738e-08,4.0317990131189013e-08
0.1775,1.0939786119129896e-07,8.1605805694889528e-08,3.3769207945323616e-08,5.5153872954005576e-09,-8.84924283244162e-09,-1.7977850799471533e-08,9.3070966084257804e-09
0.18,9.8427775207676918e-08,7.1932641852750652e-08,2.210958865991814e-08,-1.0356973482796828e-08,-2.8722242257487827e-08,-4.6180568497338667e-08,-2.5588919617327739e-08
0.1825,8.2385964595177053e-08,5.9184611641738963e-08,1.1050598888688408e-08,-2.3374953564942234e-08,-4.4441830186554289e-08,-6.8571407770752263e-08,-5.8004500958324912e-08
0.185,6.388068195109061e-08,4.5758755353867725e-08,3.182795121261826e-09,-3.0458283842768978e-08,-5.249763327984656e-08,-8.0929828121274864e-08,-8.2059763882135497e-08
0.1875,4.5337818736313413e-08,3.3565497074952873e-08,-7.2945755037892371e-11,-3.019306862812867e-08,-5.1326436704728473e-08,-8.126845067984413e-08,-9.3904683934609941e-08
0.19,2.8699519293056093e-08,2.3840013858928778e-08,1.4619210150214094e-09,-2.2920605347547915e-08,-4.1480117369492692e-08,-7.0154389492383365e-08,-9.2464679211236731e-08
0.1925,1.529660276244612e-08,1.7167969155031916e-08,7.0111220576165359e-09,-1.0300871143792124e-08,-2.5142622590182343e-08,-5.0258671939297544e-08,-7.9268695648188269e-08
0.195,5.9186344631470896e-09,1.3669837041360707e-08,1.5287752872817809e-08,5.3555553645049709e-09,-5.3158411328604513e-09,-2.5432499902228105e-08,-5.7628419845901089e-08
0.1975,8.2202768322690799e-10,1.3119826116204806e-08,2.4893797524876138e-08,2.1752218888708919e-08,1.5054530395497402e-08,4.1327357594882669e-10,-3.1419276067039713e-08
0.2,-2.5806475971315232e-10,1.5015843285948999e-08,3.4570849341744794e-08,3.7038686216052844e-08,3.3676024229626487e-08,2.4153104346091248e-08,-4.0824349031725464e-09
0.2025,1.9198876913617841e-09,1.8606280888692649e-08,4.3280716448225355e-08,4.9944883907050692e-08,4.910814965807197e-08,4.3795424320083301e-08,2.1822315943573461e-08
0.205,6.160294105894435e-09,2.2899183555041468e-08,5.0148669834081488e-08,5.9657565337567115e-08,6.0597354096632202e-08,5.8336777111824443e-08,4.4466010409059195e-08
0.2075,1.0977458495023022e-08,2.6745746240125124e-08,5.4421767903499324e-08,6.5652845587114977e-08,6.7810891156815206e-08,6.7435795562833495e-08,6.2357968350430419e-08
0.21,1.4887051756942089e-08,2.9054244398532573e-08,5.5547627190218803e-08,6.7655644201874354e-08,7.0699338289586217e-08,7.1218127009938536e-08,7.418133606923578e-08
0.2125,1.6549352539364337e-08,2.8922898171558147e-08,5.3293124583741437e-08,6.5727870443373596e-08,6.9534827760627263e-08,7.0286765238530388e-08,7.9050573388302426e-08
0.215,1.4962629355092064e-08,2.5810977119588871e-08,4.7879271195998334e-08,6.0388468548814353e-08,6.5003333869547857e-08,6.5779657651373006e-08,7.6963698595267984e-08
0.2175,9.7178928248600136e-09,1.9749704980444494e-08,4.010877852415582e-08,5.2718578928523017e-08,5.8294685856739186e-08,5.9401876669344988e-08,6.9274722582809186e-08
0.22,9.7008547045755308e-10,1.1316672772410581e-08,3.1342908522206627e-08,4.4369866697677742e-08,5.1125486011737182e-08,5.3349961215921379e-08,5.8866886332154577e-08
0.2225,-1.0487789097833202e-08,1.6326585773244656e-09,2.3359513610614454e-08,3.7378714657461787e-08,4.5544700536486117e-08,4.9983788330805744e-08,4.9766335441680719e-08
0.225,-2.3561737540137626e-08,-7.9811476078733213e-09,1.8005441560203954e-08,3.3839867967854281e-08,4.3629967147295628e-08,5.14092786862048e-08,4.6253186306721573e-08
0.2275,-3.706270283484187e-08,-1.627872620430006e-08,1.6804023860017956e-08,3.5468014489660477e-08,4.7055850332670535e-08,5.9005453045163287e-08,5.1715669311093974e-08
0.23,-4.9836133668390598e-08,-2.2314000744523667e-08,2.0558740470798288e-08,4.3106977676766083e-08,5.6589331499889015e-08,7.2963720146276906e-08,6.7542841451431044e-08
0.2325,-6.0938173873343278e-08,-2.5642557298588459e-08,2.9093997238426154e-08,5.6422487539900839e-08,7.1783100846230311e-08,9.2115021927280026e-08,9.2542962047147738e-08
0.235,-6.9707184860362979e-08,-2.6368475180805175e-08,4.1227961302823518e-08,7.386374152954502e-08,9.094696214160605e-08,1.1408710158822427e-07,1.23094172575684e-07
0.2375,-7.5712868232391465e-08,-2.5011731869006752e-08,5.5004699082709785e-08,9.2920092928192286e-08,1.1141619626162156e-07,1.3574873107872765e-07,1.5397465979104813e-07
0.24,-7.834769150017838e-08,-2.1944811172223422e-08,6.8488615321514627e-08,1.1090998162014794e-07,1.3023215093977118e-07,1.5375896492125656e-07,1.7941306929612804e-07
0.2425,-7.8050355174397908e-08,-1.8466538678242992e-08,7.8975886160405305e-08,1.2471400254004483e-07,1.4439758583368752e-07,1.6569237904282709e-07,1.9527850530246436e-07
0.245,-7.4484374643821101e-08,-1.475333679431156e-08,8.5220734979412425e-08,1.3257313140350252e-07,1.5209226036490873e-07,1.7019304124249673e-07,1.9936610992782677e-07
0.2475,-6.735304417861194e-08,-1.0735580638858523e-08,8.6484553460507901e-08,1.3329710013300781e-07,1.5208684397153818e-07,1.667182680117724e-07,1.9154423443678605e-07
