Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.1125,7.7366868774605595e-06,6.9035062270046937e-08,1.9535142707988745e-09,3.9677021031860466e-10,7.9637833424651334e-10,1.1684079704242561e-09,3.3767728080604819e-11
0.115,7.806228584843302e-06,7.0735756854099022e-08,2.2565663265103998e-09,2.8539737221609956e-10,7.8541032304951585e-10,1.2984817195344179e-09,6.4027900405502354e-11
0.1175,7.8639244701147664e-06,7.3840025237580039e-08,2.9169030768259324e-09,1.4256840171856405e-10,6.8409200064134361e-10,1.3532032650322112e-09,1.548569909388462e-10
0.12,7.9131094435696789e-06,7.8489164810045793e-08,4.080503708129728e-09,8.0077161197709032e-11,4.8168771713423338e-10,1.3494778965424633e-09,3.3188695285865884e-10
0.1225,7.9565509647446154e-06,8.4651267928427173e-08,5.824770097530872e-09,2.6793885499537888e-10,2.2700210313545659e-10,1.286422658863762e-09,5.8815133654493364e-10
0.125,7.9963990301390865e-06,9.2131342347146014e-08,8.1025448179112366e-09,8.7295268486655492e-10,4.219110260426225e-11,1.1475668639818598e-09,8.7599514133056234e-10
0.1275,8.034132020544995e-06,1.0058458665527025e-07,1.0728473454772493e-08,1.977948170435514e-09,9.5201819457034648e-11,9.1852777040887158e-10,1.1316174089685526e-09
0.13,8.0706492559079938e-06,1.0956508096808973e-07,1.342062872853589e-08,3.5275144872483071e-09,5.3316449662160385e-10,6.1198883023484819e-10,1.3094116695042981e-09
0.1325,8.1064329457047928e-06,1.1858466464635325e-07,1.5874078481795449e-08,5.3314333822056864e-09,1.4126732239130496e-09,2.8676232277124256e-10,1.3984275104603839e-09
0.135,8.1415847084719347e-06,1.2714438979414585e-07,1.7827719097944794e-08,7.1170736614505434e-09,2.6619461014520476e-09,4.8572412229144504e-11,1.414605180747314e-09
0.1375,8.1758313299982243e-06,1.3477651126312924e-07,1.9104299806717193e-08,8.6051293959520079e-09,4.0907967410738946e-09,2.4361023345430413e-11,1.3812858015847811e-09
0.14,8.2085813238840362e-06,1.4110233671100085e-07,1.9624913895776968e-08,9.5789378988873967e-09,5.4432294392294093e-09,3.1530520820910882e-10,1.312566514406488e-09
0.1425,8.2390586738641294e-06,1.459000486612873e-07,1.9411783068387987e-08,9.9293304846278743e-09,6.4727438638152874e-09,9.4711848727538434e-10,1.2066826510869288e-09
0.145,8.2665512402133421e-06,1.49159892629806e-07,1.8578868786375245e-08,9.6666389962067008e-09,7.0122710002931972e-09,1.8435701294236187e-09,1.0503013489842179e-09
0.1475,8.2906440573220588e-06,1.5109089185080626e-07,1.7303850106242935e-08,8.8997152439143508e-09,7.0095577974737053e-09,2.8408217469195288e-09,8.3162989202692387e-10
0.15,8.3112961152296746e-06,1.5207389070718607e-07,1.5787717241551944e-08,7.7961729664274898e-09,6.521525542438061e-09,3.7363174000197032e-09,5.5848738190739258e-10
0.1525,8.3287802858706492e-06,1.5259314926049162e-07,1.4215856176950824e-08,6.5388925227496063e-09,5.6815782258626394e-09,4.3496189134045166e-09,2.7372019844686627e-10
0.155,8.3435517542451433e-06,1.531681201478254e-07,1.2732358850077496e-08,5.289008417402366e-09,4.6566301608215833e-09,4.5714107632006754e-09,5.7541314452017161e-11
0.1575,8.3560912742903085e-06,1.5429412457414081e-07,1.1431013412911145e-08,4.1625283741565012e-09,3.6066469010016483e-09,4.3860790862564147e-09,9.2686810430817944e-12
0.16,8.3667429348702831e-06,1.5639610351690916e-07,1.0358685140726569e-08,3.2228766203980407e-09,2.6544615746229467e-09,3.8644340584222315e-09,2.1060704901265326e-10
0.1625,8.3755571941285036e-06,1.5979296084794784e-07,9.5254371933859098e-09,2.4872474926204278e-09,1.8709691840187828e-09,3.1333996918216486e-09,6.8510866075897001e-10
0.165,8.382167423986547e-06,1.6468136702535805e-07,8.9174542205848153e-09,1.9409879389716804e-09,1.2769367129604455e-09,2.3350480296779048e-09,1.374673767284566e-09
0.1675,8.3856907510288178e-06,1.7114340139221287e-07,8.5092281698670033e-09,1.553478469211802e-09,8.5706389814758882e-10,1.5905210447264042e-09,2.146984048306471e-09
0.17,8.3847124184322793e-06,1.7917289167075918e-07,8.2721648962138694e-09,1.2904338133380848e-09,5.7770547728434712e-10,9.7893186368736444e-10,2.8324419011465157e-09
0.1725,8.3773517471957265e-06,1.8871100979697963e-07,8.1795401694633738e-09,1.1209788738917672e-09,4.0125658061582897e-10,5.3261724452538072e-10,3.276029480551124e-09
0.175,8.361430288462252e-06,1.996845065921865e-07,8.2091097890514965e-09,1.0206036597332073e-09,2.9479712419549444e-10,2.453360135760616e-10,3.3837871627567694e-09
0.1775,8.3347134962622438e-06,2.1203819367305423e-07,8.3445801181881695e-09,9.7169795357330985e-10,2.3347928376973218e-10,8.7105006074291362e-11,3.1466636927664998e-09
0.18,8.2951767411197078e-06,2.257584706912713e-07,8.576232707378671e-09,9.6308393294971188e-10,2.0055681173100639e-10,1.9300677058194108e-11,2.6355347023602169e-09
0.1825,8.2412480350999624e-06,2.4088409444727453e-07,8.9004276426868814e-09,9.8931047105401731e-10,1.8597612762549801e-10,5.6906792304780421e-12,1.9730670860903e-09
0.185,8.1719218056425446e-06,2.5750072073977951e-07,9.317561353709792e-09,1.0498288717851612e-09,1.8480525946375875e-10,1.8038412937655864e-11,1.2946024697277555e-09
