Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.06,5.2993394858333138e-06,-8.167022475193384e-08,4.1545530583664532e-08,-5.197690743817278e-08,5.0595982154609733e-07,1.2493396353829397e-06,4.9431912644357452e-08
0.0625,7.1369881193084125e-06,2.6242145878999627e-07,-1.0374786818616431e-09,4.7024182668658605e-08,5.5884491827160847e-08,1.8215953603804484e-06,1.6437620335729615e-06
0.065,8.130223679680877e-06,6.1139649554947692e-07,-4.1833596834467266e-08,1.028617229020078e-07,-1.9309009153185906e-08,1.5645532685402352e-06,4.275498977774172e-06
0.0675,8.2554404017442913e-06,8.0445352338475556e-07,1.9959099749747602e-08,5.4845856195404288e-08,5.986129679161993e-08,9.2544273438477072e-07,5.8219305805936241e-06
0.07,7.8536944747206175e-06,7.6661230872965172e-07,1.5197585703648504e-07,-1.5559604719043347e-09,9.8020744961352338e-08,3.5695754640163198e-07,5.1128026373073321e-06
0.0725,7.3413693159682513e-06,5.5399453609101357e-07,2.5092439778350218e-07,1.7318338935391856e-08,5.5375450815886814e-08,5.7982941318099857e-08,2.9155772223920884e-06
0.075,7.0107242303670292e-06,2.9221071167068713e-07,2.5340460984100432e-07,9.4542895075721005e-08,5.5762953298947834e-09,-5.069293325923635e-09,8.9270023337165523e-07
0.0775,6.9907458824289392e-06,8.7928766354766771e-08,1.7538982910743358e-07,1.5643861341776132e-07,1.2086535731202497e-08,2.8910826394935455e-08,2.6967203040390056e-08
0.08,7.2911488600021127e-06,-1.4631451256280355e-08,7.4854708932387548e-08,1.5540130384022314e-07,6.3809127161340265e-08,4.7729399271971647e-08,1.4621099485381179e-07
0.0825,7.845211237214793e-06,-2.4356031320669554e-08,-1.3111024763807875e-09,1.0155155167293423e-07,1.0619715064334131e-07,2.7044483313100341e-08,5.4783979353600531e-07
0.085,8.5330369461428846e-06,2.3995607324853304e-08,-3.9876030591494352e-08,3.6847340102122105e-08,1.0299413428416212e-07,2.6344495773103043e-09,7.3013337752640266e-07
0.0875,9.206687678314654e-06,8.9367755644729512e-08,-5.1284431961541855e-08,-4.7524341293713228e-09,6.2321637859553418e-08,5.8713288146683283e-09,6.1620246736554964e-07
0.09,9.7275525590045352e-06,1.3422389747518056e-07,-5.0933928103691565e-08,-1.5308201575000023e-08,1.7918364090444476e-08,2.9685566871444664e-08,3.6978080658107517e-07
0.0925,1.0003792225712021e-05,1.3206951644795066e-07,-4.9159558915407653e-08,-5.5535302923354996e-09,-2.8941111648602244e-09,4.5073026536048888e-08,1.5702883791594722e-07
0.095,1.0009912626154158e-05,7.3828267507374992e-08,-5.02817379331587e-08,1.069649554235811e-08,5.1598595054728596e-09,3.5853133536199771e-08,4.1527716053006364e-08
0.0975,9.7764275242402774e-06,-3.1723377655137769e-08,-5.4148648351732341e-08,2.5706183526608289e-08,3.1185102610673092e-08,1.2732257882842983e-08,3.8306338744882068e-09
0.1,9.3708028824028279e-06,-1.636457315865816e-07,-5.7712413404095805e-08,3.8311992784804577e-08,6.1603143350660776e-08,-1.484298728744688e-10,6.6676699918398471e-10
0.1025,8.8842227127527995e-06,-2.9693382711094338e-07,-5.7719533774385013e-08,5.0646629747356738e-08,8.8522567583857371e-08,1.3526001546142547e-08,3.3317829186153319e-09
0.105,8.4284031921058954e-06,-4.0805121313778183e-07,-5.4247284719699219e-08,6.4592691437539824e-08,1.1038539996913157e-07,5.2404194363618492e-08,3.5643287114129917e-09
0.1075,8.1289822631567131e-06,-4.7527965201985018e-07,-5.2174310347909321e-08,7.8898033534889828e-08,1.2846919308986154e-07,1.024177010508641e-07,2.7448906167244796e-09
0.11,8.1038578415963284e-06,-4.7761219295581121e-07,-5.7868869445337658e-08,8.7938171030713985e-08,1.430785500844222e-07,1.4785773762588082e-07,2.6567287619935607e-09
0.1125,8.4278268129745507e-06,-3.9613055529025902e-07,-7.2136371779724957e-08,8.3854082165283998e-08,1.5158309487044508e-07,1.7964118036191153e-07,4.4106486803685584e-09
0.115,9.1188292940678969e-06,-2.1609882333877898e-07,-8.4564843121005647e-08,6.1818162985358864e-08,1.4871856348310469e-07,1.9628760524773571e-07,1.0929745293944192e-08
0.1175,1.0128486645160205e-05,6.6548056017164844e-08,-7.4319802204292055e-08,2.5862242986342287e-08,1.2934827101751358e-07,2.0023777392276497e-07,2.6631432884261237e-08
0.12,1.1347558453430912e-05,4.3950088105307879e-07,-1.8029311716080719e-08,-8.7127191651046528e-09,9.2901252755976965e-08,1.94101135924346e-07,5.35741286243157e-08
0.1225,1.2627600114293504e-05,8.721215917331202e-07,9.9077508823029407e-08,-1.9117266850272822e-08,4.7096790393031216e-08,1.7876274546267338e-07,8.8239312675611366e-08
0.125,1.3807434179609956e-05,1.3174853719980139e-06,2.741262468349709e-07,1.5747643497468252e-08,8.2162011420385398e-09,1.5369799376426515e-07,1.2246767070433005e-07
0.1275,1.4735374460109186e-05,1.7182821031822151e-06,4.8347445926999948e-07,1.0436211329320882e-07,-3.7887038256516292e-09,1.190489283253515e-07,1.4789271533964019e-07
0.13,1.531191126849199e-05,2.022926552480074e-06,6.9103721934590459e-07,2.3719819276119123e-07,2.5897226224294585e-08,7.7824567003274273e-08,1.6037401362766936e-07
0.1325,1.5505087766671306e-05,2.1950440358935566e-06,8.6117496899646157e-07,3.9049167074291075e-07,1.0035602233383051e-07,3.7055637480546988e-08,1.6093906014929987e-07
0.135,1.5334976620614565e-05,2.2148081725587766e-06,9.6692933121741451e-07,5.3399299651361526e-07,2.0911449989941035e-07,7.497823587408351e-09,1.5357701243306938e-07
0.1375,1.4857907046564196e-05,2.081667393515321e-06,9.9462098318006794e-07,6.3995335624120111e-07,3.3107333751799601e-07,1.0312808018016228e-09,1.423731648423639e-07
0.14,1.4154247422535558e-05,1.8157165381670289e-06,9.4465344458972449e-07,6.9004837678882431e-07,4.4073075323157323e-07,2.6411520483490097e-08,1.2962975587877968e-07
0.1425,1.3323635923922559e-05,1.4573784081667817e-06,8.3054737177971175e-07,6.7904266843039604e-07,5.1552881636589886e-07,8.4761048484495238e-08,1.1542978769275862e-07
0.145,1.2474931009252284e-05,1.0591337606940245e-06,6.7531038964949566e-07,6.1479114770987448e-07,5.4252070053929615e-07,1.6736414116180243e-07,9.8316584120794355e-08
0.1475,1.1710864592355295e-05,6.7153553096650501e-07,5.0464508051970538e-07,5.139345619586095e-07,5.2085573514029704e-07,2.577706003472677e-07,7.6722052268609838e-08
0.15,1.1117057682369876e-05,3.3436196339537318e-07,3.4083216639881163e-07,3.9617238019040002e-07,4.5963457360854263e-07,3.3682043007099411e-07,5.0852090359730307e-08
0.1525,1.0755636188843113e-05,7.3211138306983127e-08,1.9916062615413595e-07,2.7947945072130671e-07,3.7368381111377733e-07,3.882133242612654e-07,2.4334878410616817e-08
0.155,1.0658715699025125e-05,-1.0056200757839224e-07,8.7096009508178139e-08,1.7696275110493774e-07,2.7914151890040656e-07,4.0270069612501313e-07,4.6078983360179275e-09
0.1575,1.0825025245215165e-05,-1.8818007140449016e-07,5.629480149380433e-09,9.5683785319875546e-08,1.8992731754630588e-07,3.7982743035313262e-07,1.2252978495621249e-09
0.16,1.1220741086403401e-05,-2.0102448100432949e-07,-4.8645895132008821e-08,3.7057117737805322e-08,1.1541850761338944e-07,3.2707757299745083e-07,2.2134438712221998e-08
0.1625,1.1784984222733232e-05,-1.5735274004283869e-07,-8.1425542721216894e-08,-1.5898042542888268e-09,5.9640403876426198e-08,2.5693128483129953e-07,6.9465527512415321e-08
0.165,1.2444427224544507e-05,-7.8322876168070083e-08,-9.8964109885904067e-08,-2.5007143872700563e-08,2.1995080300272364e-08,1.8284771744382777e-07,1.3719713467856113e-07
0.1675,1.3126920226873222e-05,1.5774247758468349e-08,-1.068583952371211e-07,-3.8198475307874597e-08,-9.0163465869449888e-10,1.1586118826021566e-07,2.1209064354294446e-07
0.17,1.3771893147849266e-05,1.0776706089915407e-07,-1.0951741365847214e-07,-4.5328932982067562e-08,-1.3310177951870627e-08,6.2866265475311781e-08,2.773962133773697e-07
0.1725,1.4337922795706521e-05,1.8527390903803084e-07,-1.1015927313880216e-07,-4.9434274302885501e-08,-1.9157950210453349e-08,2.6352883315312121e-08,3.1799974596750156e-07
0.175,1.4807589627159246e-05,2.418200803197948e-07,-1.109093102459157e-07,-5.2508365533292483e-08,-2.1477728771064304e-08,5.29623192863572e-09,3.249977511674689e-07
0.1775,1.5187957260187195e-05,2.7712338659514481e-07,-1.1286821969782182e-07,-5.5723893505138374e-08,-2.233725724436339e-08,-3.4285465032449177e-09,2.9803393825094899e-07
0.18,1.5504558065352911e-05,2.9627664399938379e-07,-1.1615271625258048e-07,-5.9631426102676311e-08,-2.3014831056502895e-08,-3.6643074204558615e-09,2.4468510232325299e-07
0.1825,1.5793370301441226e-05,3.0798068954943946e-07,-1.1999216752229021e-07,-6.4301157423515813e-08,-2.423929258200096e-08,9.9366724507542685e-10,1.7760831886367241e-07
0.185,1.6090562466295779e-05,3.222174873878138e-07,-1.229175821177698e-07,-6.9402204432474853e-08,-2.6376820663461751e-08,7.6615999781794512e-09,1.1055758333155978e-07
0.1875,1.6424877310905513e-05,3.4797887749991114e-07,-1.2304116248177088e-07,-7.4249097764102744e-08,-2.952888593239735e-08,1.4231197976445017e-08,5.4904379902110535e-08
0.19,1.6811612568024851e-05,3.9148214649624215e-07,-1.1839593159443865e-07,-7.783657092559242e-08,-3.3533991261548178e-08,1.9241892557508328e-08,1.748931424253097e-08
0.1925,1.7251988125335889e-05,4.5509473644637949e-07,-1.0730667399747635e-07,-7.8904437494447357e-08,-3.7903766961841492e-08,2.1735558069467311e-08,8.6712471053013943e-11
0.195,1.7735296660032239e-05,5.3725659003977762e-07,-8.8764490548771541e-08,-7.6081876360940002e-08,-4.1754801561282649e-08,2.1190247487588576e-08,2.046972097360339e-10
0.1975,1.8243357596972871e-05,6.3320273396411841e-07,-6.2748590716559112e-08,-6.8147740400938697e-08,-4.3828215940137697e-08,1.7557025445653515e-08,1.2616935477035371e-08
0.2,1.8757401929812925e-05,7.3647498960015574e-07,-3.0361675300087947e-08,-5.4362100797431716e-08,-4.2666573138662907e-08,1.1352037310180438e-08,3.105803515874486e-08
0.2025,1.9262914824987478e-05,8.4067941547660059e-07,6.3056360463529774e-09,-3.4756628099194823e-08,-3.6938523125720985e-08,3.7096549904317478e-09,4.9660287163227767e-08
0.205,1.9752347055530642e-05,9.4089331839313422e-07,4.444147486955012e-08,-1.0338615802309274e-08,-2.5856727214656996e-08,-3.6840248730029682e-09,6.3872733281173702e-08
0.2075,2.0225521205459001e-05,1.0345920689446817e-06,8.0855082153529908e-08,1.6852476404480471e-08,-9.5957189885121985e-09,-8.8408249460057558e-09,7.0894812265838108e-08
0.21,2.0689789118588292e-05,1.1220814992379171e-06,1.125306064565755e-07,4.4012709285272334e-08,1.050028330770357e-08,-9.92524345234559e-09,6.9795193532443199e-08
0.2125,2.1157289238628519e-05,1.2061328949344568e-06,1.3720732090692904e-07,6.8118424142626959e-08,3.2056989212933568e-08,-5.8053696207924785e-09,6.1368390578962037e-08
0.215,2.1641468552805386e-05,1.2907256041096701e-06,1.5375969906764727e-07,8.656925191261803e-08,5.2150682277719312e-08,3.5029549373818343e-09,4.7763337292146362e-08
0.2175,2.2152526264395462e-05,1.3796718462181252e-06,1.6223666977804994e-07,9.7697384008089953e-08,6.7956446427741322e-08,1.6673070388508909e-08,3.1952885731705429e-08
0.22,2.2694213109784665e-05,1.4752233759651983e-06,1.6364479859084944e-07,1.0105000354048413e-07,7.7413944449309225e-08,3.1299730175337655e-08,1.7109823089503562e-08
0.2225,2.3261480344855959e-05,1.5774187528156292e-06,1.5956037236632921e-07,9.733373073141646e-08,7.9666040641439012e-08,4.4476337662277511e-08,5.9793566478859196e-09
0.225,2.3840448007511167e-05,1.6837663714687311e-06,1.5172724104293885e-07,8.809033415566889e-08,7.5154055307116174e-08,5.3548034533647507e-08,3.4804128591134149e-10
0.2275,2.4410646726830318e-05,1.7897799705684893e-06,1.4174924059271856e-07,7.5244080980511702e-08,6.5366433535451243e-08,5.6808883136888798e-08,7.1058476674597672e-10
0.23,2.4949561206282049e-05,1.8898623841292333e-06,1.3090561628684705e-07,6.065855039469628e-08,5.233258798310525e-08,5.3913755972121099e-08,6.2232179340952265e-09
0.2325,2.5435730757923546e-05,1.9778857320867172e-06,1.2010048592826612e-07,4.5850164213076964e-08,3.8064306095508617e-08,4.586094324601456e-08,1.4965924193767229e-08
0.235,2.5852077108271952e-05,2.048258936274991e-06,1.0990830686323582e-07,3.1924419532341678e-08,2.4160131071329106e-08,3.4603776054749448e-08,2.4429655274063542e-08
0.2375,2.6189002138428079e-05,2.096698547350125e-06,1.0063098087144148e-07,1.9649987363081546e-08,1.1645805854361709e-08,2.2441647386430512e-08,3.211679301614319e-08
0.24,2.6461137536406217e-05,2.1183260715826222e-06,9.1832965300015647e-08,9.0017241325767944e-09,5.1604127209780994e-10,1.1010602756260976e-08,3.6176262371242011e-08
0.2425,2.663130740638347e-05,2.1133734521630757e-06,8.4048429661384826e-08,1.2040225876325201e-09,-8.3083626809199365e-09,2.1075596967355698e-09,3.5490376921911695e-08
0.245,2.6756194659254332e-05,2.0865510937757695e-06,7.6331263784045392e-08,-3.6446749514527412e-09,-1.4867446653234453e-08,-4.0982987190955048e-09,3.0344221189230262e-08
0.2475,2.6830840661577174e-05,2.046201894209281e-06,6.8275336358348653e-08,-5.4589962624199654e-09,-1.8788119867417517e-08,-7.9553888457333972e-09,2.2223702598524563e-08
0.25,2.6899187770745598e-05,2.0032716343268482e-06,5.9494795132787994e-08,-4.8051717804537544e-09,-1.991276582355849e-08,-1.0292195580489139e-08,1.3349324527166982e-08
0.2525,2.6992980770127362e-05,1.965122320476648e-06,4.9729848214954007e-08,-2.7084944346508347e-09,-1.8431304286476534e-08,-1.1882082315388324e-08,5.7718113220841505e-09
0.255,2.7135653109862379e-05,1.9321082246118651e-06,3.8516785556418948e-08,-2.1462237388899176e-10,-1.4688552729533019e-08,-1.3059885004528366e-08,7.5012446270382544e-10
0.2575,2.7314820010262552e-05,1.907941113290237e-06,2.6280884946168553e-08,1.4931541332245878e-09,-9.6457175129455587e-09,-1.3579747662418882e-08,-1.0430422272646559e-09
0.26,2.7564937705313726e-05,1.8961476454659582e-06,1.2971048905315233e-08,1.514225241598609e-09,-4.3614775340476996e-09,-1.2974276547648862e-08,-4.8067564760996358e-11
0.2625,2.7852101771972269e-05,1.8989124181646281e-06,-4.7639319267969398e-10,-7.0859330889709526e-10,-1.8427447491584989e-10,-1.0968613943908469e-08,2.5851073480953769e-09
0.265,2.8184546598487663e-05,1.9163730730130613e-06,-1.3362807044320802e-08,-5.2312880020357509e-09,2.0399976102030003e-09,-7.6234862242668729e-09,5.365997464844584e-09
0.2675,2.8531555737879786e-05,1.9457679193344927e-06,-2.4319051257760673e-08,-1.1477677374786832e-08,1.8363130844936652e-09,-3.5884193155231039e-09,6.9950854584892759e-09
0.27,2.8890511037458844e-05,1.9832756441243096e-06,-3.2474035263657995e-08,-1.8580025818484499e-08,-6.5018413787896618e-10,2.5807933284276966e-10,6.7823157598518225e-09
0.2725,2.922011362216379e-05,2.0222840743411469e-06,-3.69868594871472e-08,-2.5193674499932427e-08,-4.6505038766922875e-09,2.9114070767793878e-09,4.8114932013770085e-09
0.275,2.9529317856295935e-05,2.0604900485714028e-06,-3.7998878880081396e-08,-3.0614919574545145e-08,-9.2816126946128496e-09,3.9279721992924131e-09,1.7977753282590175e-09
0.2775,2.9798453935547837e-05,2.0936030342172525e-06,-3.5735237330718265e-08,-3.4350638272185466e-08,-1.3691911207450359e-08,3.3131963688917247e-09,-1.3099899295597143e-09
0.28,3.0057116555263044e-05,2.1218226114781456e-06,-3.0250159619719689e-08,-3.6382541517604369e-08,-1.7536653378031683e-08,1.4045141314344587e-09,-3.7026381751124976e-09
0.2825,3.027385818904948e-05,2.1402353915922374e-06,-2.2048196339446673e-08,-3.6425871929342666e-08,-2.0286492281540145e-08,-1.1945577371782089e-09,-4.9287137865174213e-09
0.285,3.0484979755812113e-05,2.1501544215696804e-06,-1.1329210750427921e-08,-3.4398497251316182e-08,-2.185417638081315e-08,-3.9879938297864053e-09,-4.9710929248454898e-09
0.2875,3.0649704005645336e-05,2.1505685933073485e-06,3.6105062542347419e-10,-3.0502427429366366e-08,-2.2007523144439153e-08,-6.3678820359297066e-09,-4.3615549918530982e-09
0.29,3.0794350288868831e-05,2.1449559531742639e-06,1.1981175934812807e-08,-2.5170149778528269e-08,-2.0813693333394565e-08,-8.1099731052689412e-09,-3.7932676847351442e-09
0.2925,3.0902657336580997e-05,2.1349143976445075e-06,2.223505699014082e-08,-1.9297528939271245e-08,-1.8552868201691053e-08,-9.1391028191599312e-09,-3.8897540758733532e-09
0.295,3.100124435961577e-05,2.1216223054875658e-06,3.1107862971596619e-08,-1.3365313215578271e-08,-1.5515935828668076e-08,-9.6266399673712008e-09,-4.9204751804345825e-09
0.2975,3.1096099294201498e-05,2.1045747871326367e-06,3.8787618825465867e-08,-7.7341386820409555e-09,-1.2011592071931635e-08,-9.7311401464011129e-09,-6.8999046221240348e-09
0.3,3.1206737312168926e-05,2.0826837016059259e-06,4.5420600876191803e-08,-2.595733353208373e-09,-8.3374619042751048e-09,-9.587960415238156e-09,-9.6885768111352927e-09
0.3025,3.1324801146840017e-05,2.0568490778875749e-06,5.0189268032529837e-08,1.4352520332142437e-09,-5.1195818312332112e-09,-9.3300195003998006e-09,-1.2896905138580836e-08
0.305,3.1456348366458102e-05,2.0311398058159598e-06,5.2476999325851494e-08,3.8492564344297677e-09,-2.8917926999711165e-09,-9.1405569182005824e-09,-1.6080356731771447e-08
0.3075,3.1608487468959681e-05,2.0115722740144025e-06,5.2555904619197714e-08,4.295592833383524e-09,-1.994644490520438e-09,-9.2525471922415932e-09,-1.8962332547046837e-08
0.31,3.1771335388811089e-05,2.0020208830127818e-06,5.1148508976615276e-08,2.5900591232368068e-09,-2.733449973618277e-09,-9.9264905809935401e-09,-2.1290526765903367e-08
