Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.065,9.8911941912988786e-08,4.0623232888939082e-08,-5.0063759300551606e-08,-9.6367522496537192e-08,-1.527780917424449e-07,-1.8985804062386112e-07,6.9928132272131052e-07
0.0675,9.4178852524110694e-08,6.3630456602193846e-08,1.6941196246577289e-08,-5.6372992993297105e-10,-1.649447787750577e-08,-1.9099751978364303e-08,5.7893385141077123e-07
0.07,5.2149425583765875e-08,6.4077179475125436e-08,8.6013853396616826e-08,8.7681846791787885e-08,8.733891101995388e-08,1.1521663613790539e-07,4.2887266406787379e-07
0.0725,-2.875447899219756e-08,3.3982384048193253e-08,1.471666337346812e-07,1.8102036750206356e-07,1.7921705672808554e-07,2.0527705045474424e-07,3.4289964558134207e-07
0.075,-1.0370823499125099e-07,2.0544775117865807e-09,1.9881215121753411e-07,2.7992515537124612e-07,2.8154599438041409e-07,2.7835145316166484e-07,3.5870424302129355e-07
0.0775,-1.1946242758819519e-07,3.1022192837957128e-09,2.3582935858707122e-07,3.5579534032073382e-07,3.7478210207504773e-07,3.4454407103659615e-07,4.2050079136027265e-07
0.08,-6.1239829649804819e-08,4.0927370513175624e-08,2.3918397103722054e-07,3.6140924627535286e-07,3.9938011494547539e-07,3.6815665066523681e-07,4.3082835995658308e-07
0.0825,3.7410107897979769e-08,8.2785092349865397e-08,1.8137219903521473e-07,2.5848979463483428e-07,2.9663396959576833e-07,2.8601969518955361e-07,3.2038516761749884e-07
0.085,1.2632445953317805e-07,8.8387703524648123e-08,4.5897346928057646e-08,4.1183823343727055e-08,4.9841438312717804e-08,5.3369235739849383e-08,7.3127577050392894e-08
0.0875,1.7636761707400939e-07,4.357994560881529e-08,-1.5310119906649026e-07,-2.5485308529702693e-07,-2.9994684104061535e-07,-3.1648999938872395e-07,-2.8435299738818307e-07
