Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.1225,3.3147516860691002e-11,3.300754073463127e-11,3.2612899496796324e-11,3.2592157846423831e-11,3.2592413309195225e-11,3.2594586297560536e-11,3.2589453382814284e-11
0.125,3.0621343432460713e-11,3.0391722382419714e-11,2.9849371284917545e-11,2.9821552177240072e-11,2.9822270342122314e-11,2.9829003526830655e-11,2.9835101950786276e-11
0.1275,2.5942198714923045e-11,2.5463663713985983e-11,2.452349356468735e-11,2.4465096048008106e-11,2.4465544380657955e-11,2.447444435615126e-11,2.4490963699571893e-11
0.13,2.0205124657460796e-11,1.9160210840508379e-11,1.7385197172420099e-11,1.7241551594159976e-11,1.7241128394503274e-11,1.7248042961937025e-11,1.7274828150770718e-11
0.1325,1.4547936699222712e-11,1.2405481819389926e-11,9.1119926459058338e-12,8.7705908486602802e-12,8.7657894901332637e-12,8.7692066927368147e-12,8.7991627475779144e-12
0.135,9.7390336672723079e-12,5.7871624165648487e-12,8.5726784993311592e-14,-6.3734528069268889e-13,-6.6080053261090585e-13,-6.5979252810772625e-13,-6.355644036781853e-13
0.1375,6.0497076956182995e-12,-4.407410333578856e-13,-9.463008616099609e-12,-1.080184192187056e-11,-1.0874619950407464e-11,-1.0875922326878627e-11,-1.0861404608766756e-11
0.14,3.406963837255865e-12,-6.1043648669179014e-12,-1.9089998008042546e-11,-2.12674977349108e-11,-2.1433273523759991e-11,-2.1440876689787991e-11,-2.1434410138709028e-11
0.1425,1.6427802267245713e-12,-1.0872583825467838e-11,-2.7903098190381919e-11,-3.1050009474074778e-11,-3.1352794004413988e-11,-3.1374919960592457e-11,-3.137278581531385e-11
0.145,6.4887907105657862e-13,-1.4262459062357114e-11,-3.4722027896372091e-11,-3.881378691470071e-11,-3.9281918942716788e-11,-3.9328597630114188e-11,-3.9328052789919035e-11
0.1475,3.8627376615870414e-13,-1.586002771811408e-11,-3.8540689888884125e-11,-4.3383919480954968e-11,-4.4018318050741177e-11,-4.4098173653995604e-11,-4.4098055182524863e-11
0.15,8.3150380407115358e-13,-1.5536933757148428e-11,-3.8947996612410241e-11,-4.4225137463179108e-11,-4.4996871870853322e-11,-4.5114665849362771e-11,-4.5114710208134143e-11
0.1525,1.9431808947879389e-12,-1.3500658227316422e-11,-3.6244078797644911e-11,-4.1597072205525017e-11,-4.245488182947757e-11,-4.2610517947884814e-11,-4.2610766942431285e-11
0.155,3.6609319160558254e-12,-1.0185574500501314e-11,-3.1250545004037333e-11,-3.6369287016647703e-11,-3.725357223659274e-11,-3.7442535297376786e-11,-3.7443155269599624e-11
0.1575,5.9040206989510394e-12,-6.095526033890358e-12,-2.4981619562823225e-11,-2.9663601018496116e-11,-3.0521423689019888e-11,-3.073626887116322e-11,-3.0737609680023945e-11
0.16,8.5531291991943575e-12,-1.6948114572108999e-12,-1.8373034656559997e-11,-2.2540573539504213e-11,-2.3336242495670568e-11,-2.3568611283876077e-11,-2.3571393176790997e-11
0.1625,1.1430951827168367e-11,2.6287854766179127e-12,-1.2146479127959255e-11,-1.5827091339128638e-11,-1.6545998604943284e-11,-1.67886710200104e-11,-1.6794197755302211e-11
0.165,1.4310758334303943e-11,6.5645595182183264e-12,-6.7904535276839701e-12,-1.0079855429550402e-11,-1.0725771685281859e-11,-1.0974168411247552e-11,-1.0984421003634578e-11
0.1675,1.6958958617088044e-11,9.8792059219993494e-12,-2.5933014096966759e-12,-5.6190434024330445e-12,-6.2081529400373257e-12,-6.4610284100088679e-12,-6.4786277164825989e-12
0.17,1.9190088900390452e-11,1.2429799004401011e-11,3.2385357633763195e-13,-2.5712688329464789e-12,-3.1259105672751399e-12,-3.3851967187049563e-12,-3.4134077158900349e-12
0.1725,2.0905385133950459e-11,1.4176958308492245e-11,1.9872024282287388e-12,-8.9939611779852618e-13,-1.4431251923581385e-12,-1.7130953205003529e-12,-1.7559909757085325e-12
0.175,2.2100835370714388e-11,1.5183617165039948e-11,2.5540906905466719e-12,-4.2403056402663137e-13,-9.7792842356741199e-13,-1.2638219507802495e-12,-1.3264293598278642e-12
0.1775,2.2850229135477787e-11,1.5596545698293691e-11,2.2901549706465904e-12,-8.4747107470527373e-13,-1.4268603707281562e-12,-1.7329506024688003e-12,-1.8209481722907658e-12
0.18,2.32755876762648e-11,1.5615245228779716e-11,1.5320224851374429e-12,-1.7916908593886515e-12,-2.4027565305334669e-12,-2.7298670570130496e-12,-2.8484271889520839e-12
0.1825,2.3519386275880574e-11,1.545777743625397e-11,6.3756054552579973e-13,-2.8520995629048678e-12,-3.4890662635468448e-12,-3.8319487444166409e-12,-3.9836596554981126e-12
0.185,2.3722021789039192e-11,1.5328169159369305e-11,-7.035950931153846e-14,-3.6625037032667328e-12,-4.307026212216716e-12,-4.6527002120625255e-12,-4.8350506098599691e-12
0.1875,2.4008304622622912e-11,1.5392985629342361e-11,-3.5019040899566911e-13,-3.9521933034595789e-12,-4.5765229052003048e-12,-4.9050961786574562e-12,-5.108559275966627e-12
0.19,2.4480483204405344e-11,1.5769178036110755e-11,-6.634230865217957e-14,-3.5783180516873052e-12,-4.1521206512606082e-12,-4.4410053075701744e-12,-4.649048528507799e-12
0.1925,2.5214464024802262e-11,1.652196255154398e-11,8.1208036316516642e-13,-2.5253616505939199e-12,-3.0239523483421039e-12,-3.254577973620323e-12,-3.4465703470251315e-12
0.195,2.6256723559421877e-11,1.7668859842403559e-11,2.2312683712041089e-12,-8.7865979896786247e-13,-1.2892025420695816e-12,-1.4533232894477373e-12,-1.6101086799698549e-12
0.1975,2.7619718480583557e-11,1.9184155256397242e-11,4.0781621518551279e-12,1.2112335696978405e-12,8.8799310060746188e-13,7.8581180444705595e-13,6.7562066377705002e-13
0.2,2.9275320112930059e-11,2.1000529033672423e-11,6.1997472220829764e-12,3.5570029201385202e-12,3.3094688337363235e-12,3.2547267661123587e-12,3.1908514185024627e-12
0.2025,3.1148082592223509e-11,2.3006889157222892e-11,8.4112717460766425e-12,5.947787875194072e-12,5.7585926324575089e-12,5.7333796461305963e-12,5.7048965893254278e-12
