Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
0.03,7.5182827134013902e-06,7.5964228663949778e-06,9.0002595695253927e-06,9.2746563495543384e-06,8.7802636438534178e-06,1.0937378602457765e-05,1.1044815312253504e-05
0.0325,3.8379444959286948e-06,3.8853975004030097e-06,5.0105491389315159e-06,7.0546275621341734e-06,6.5984355615703267e-06,7.9901129796553432e-06,8.2793952092646569e-06
0.035,9.1049585796090235e-07,9.3269886359724133e-07,1.4113251072518515e-06,3.5170142035289741e-06,4.4790029058369317e-06,4.8548778024752927e-06,5.4230836797576138e-06
0.0375,3.4501554898773641e-08,3.4406011403720563e-08,1.0133278203621288e-07,1.2070039797885603e-06,3.1200310912763509e-06,3.1697715856406439e-06,3.981616885220084e-06
0.04,3.1460587018816232e-08,5.001692701800042e-08,4.1584372387032008e-08,2.9149033675409488e-07,1.8846332514594914e-06,2.4864638503082855e-06,3.3165739508940317e-06
0.0425,1.9419540720496765e-07,2.6614330145396269e-07,3.9150323564807916e-07,3.596321883188449e-07,1.0605436426311596e-06,2.4599258732637467e-06,3.0627629623947765e-06
0.045,3.3915540313648853e-07,4.3969733270171392e-07,7.1115692203706307e-07,7.6704359496518216e-07,8.6432994497518768e-07,2.6118319966587085e-06,2.9902303206751556e-06
0.0475,3.9711469801388947e-07,4.7573129549318194e-07,7.7296538903732606e-07,9.7894175236268628e-07,9.475704304669405e-07,2.4065511333713626e-06,2.8254441456126687e-06
0.05,3.3451111616726849e-07,3.6763897529102884e-07,5.7205642550819478e-07,8.3081549944226423e-07,8.9967354236404406e-07,1.7375049861222544e-06,2.4268102937432275e-06
0.0525,1.8998532051858746e-07,1.8790576739491489e-07,2.654309340539539e-07,4.6827286332222119e-07,6.3219220681489986e-07,9.447656455285973e-07,1.8679088350922541e-06
