Physical Time (s),phi_alt_flux_left Monitor (kg-m/s^3)
1.0425,-4.5447829161273114e-08
1.045,-4.6154300699891447e-08
1.0475,-4.6850417993455129e-08
1.05,-4.7534701936950824e-08
1.0525,-4.819954162475352e-08
1.055,-4.8843903537656509e-08
1.0575,-4.947601994301413e-08
1.06,-5.0087567347355899e-08
1.0625,-5.0678276170422838e-08
1.065,-5.1250934946056292e-08
1.0675,-5.1809375914406657e-08
1.07,-5.2345564833620238e-08
1.0725,-5.2863258976591783e-08
1.075,-5.3361100967874839e-08
1.0775,-5.3833120633342842e-08
1.08,-5.429116491849656e-08
1.0825,-5.4729175343691883e-08
1.085,-5.5153679647217953e-08
1.0875,-5.5559459255737841e-08
1.09,-5.5947116734282858e-08
1.0925,-5.6317415702340818e-08
1.095,-5.6677465487141371e-08
1.0975,-5.7018105523039866e-08
1.1,-5.7342853416798194e-08
1.1025,-5.7651844745122736e-08
1.105,-5.7951259142683058e-08
1.1075,-5.823283911068312e-08
1.11,-5.8505805070478622e-08
1.1125,-5.8763835116871343e-08
1.115,-5.9012705055954072e-08
1.1175,-5.9250106249428246e-08
1.12,-5.947017840932658e-08
1.1225,-5.9683249733717617e-08
1.125,-5.9877759320422612e-08
1.1275,-6.0061400777798823e-08
1.13,-6.0231140509119698e-08
1.1325,-6.0389565892274827e-08
1.135,-6.0535823923909486e-08
1.1375,-6.0663740249796451e-08
1.14,-6.077508241225159e-08
1.1425,-6.0869729815857011e-08
1.145,-6.0950198981357924e-08
1.1475,-6.1004020355804317e-08
1.15,-6.1042439737091329e-08
1.1525,-6.1062870512614361e-08
1.155,-6.1058389461285274e-08
1.1575,-6.1040996089237749e-08
1.16,-6.100190631820252e-08
1.1625,-6.0940975653070269e-08
1.165,-6.0864440299201673e-08
1.1675,-6.0763310667141161e-08
1.17,-6.0646263115614611e-08
1.1725,-6.05056403074851e-08
1.175,-6.0344453484218669e-08
1.1775,-6.0168577808009254e-08
1.18,-5.9973010679409693e-08
1.1825,-5.9758018363787982e-08
1.185,-5.9523874362133455e-08
1.1875,-5.927449033083382e-08
1.19,-5.9003929752073524e-08
1.1925,-5.8718933255682857e-08
1.195,-5.8417108246635779e-08
1.1975,-5.8104829311307139e-08
1.2,-5.7776692636974232e-08
1.2025,-5.7433879776369814e-08
1.205,-5.7079324097812501e-08
1.2075,-5.6710964933196076e-08
1.21,-5.6335272596074325e-08
1.2125,-5.5946683054821322e-08
1.215,-5.5549331193285361e-08
1.2175,-5.5143404715437759e-08
1.22,-5.4726586457373861e-08
1.2225,-5.4308685691385345e-08
1.225,-5.3875077907362087e-08
1.2275,-5.3434846928959501e-08
1.23,-5.2988218816850974e-08
1.2325,-5.2535953622881298e-08
1.235,-5.2080791293585879e-08
1.2375,-5.1617547785957005e-08
1.24,-5.1152582217866007e-08
1.2425,-5.0676877558212396e-08
1.245,-5.0196915929472777e-08
1.2475,-4.9713059434420652e-08
1.25,-4.9228234423176692e-08
1.2525,-4.8736917721713865e-08
1.255,-4.8239239112045842e-08
1.2575,-4.7738009033611558e-08
1.26,-4.7230771026187179e-08
1.2625,-4.6723427814693959e-08
1.265,-4.6213188688849596e-08
1.2675,-4.5693783359320871e-08
1.27,-4.5177684256985271e-08
1.2725,-4.4656096777065211e-08
1.275,-4.4129283744949852e-08
1.2775,-4.3603408347392175e-08
1.28,-4.3075985177396724e-08
1.2825,-4.2543567420727728e-08
1.285,-4.2012932911738229e-08
1.2875,-4.1474881486876442e-08
1.29,-4.093859044544467e-08
1.2925,-4.0398205903477057e-08
1.295,-3.9854230462476357e-08
1.2975,-3.9307287512968729e-08
1.3,-3.8760697240368765e-08
1.3025,-3.8211156030736093e-08
1.305,-3.7662078151783793e-08
1.3075,-3.711375323537396e-08
1.31,-3.6566780211193883e-08
1.3125,-3.6020916997818128e-08
1.315,-3.5474323311173194e-08
1.3175,-3.492697962441663e-08
1.32,-3.4381852821942126e-08
1.3225,-3.3839992221911298e-08
1.325,-3.3307429967670029e-08
1.3275,-3.2775801947590344e-08
1.33,-3.2248427404459436e-08
1.3325,-3.172247920235518e-08
1.335,-3.1204239985732104e-08
1.3375,-3.068872194113198e-08
1.34,-3.0178924148485641e-08
1.3425,-2.9674769662933514e-08
1.345,-2.917988101245718e-08
1.3475,-2.8688383496905124e-08
1.35,-2.8203181995817563e-08
1.3525,-2.7722457867462305e-08
1.355,-2.7254319538245974e-08
1.3575,-2.6797028669644023e-08
1.36,-2.6347185807427732e-08
1.3625,-2.5902315526827415e-08
1.365,-2.5467741103744053e-08
1.3675,-2.5040457424008389e-08
1.37,-2.4624795891754071e-08
1.3725,-2.4217967037812125e-08
1.375,-2.3822334982538642e-08
1.3775,-2.343481968680385e-08
1.38,-2.3055723842021238e-08
1.3825,-2.2688496675184127e-08
1.385,-2.2332735164871724e-08
1.3875,-2.1987970420604449e-08
1.39,-2.1648646826627146e-08
1.3925,-2.1320960743093041e-08
1.395,-2.1004777493589988e-08
1.3975,-2.0697281755754116e-08
1.4,-2.0397858674550063e-08
1.4025,-2.0107005554540878e-08
1.405,-1.982798667295151e-08
1.4075,-1.9553478581181383e-08
1.41,-1.928747156844398e-08
1.4125,-1.9034758146295567e-08
1.415,-1.8783886358618836e-08
1.4175,-1.8543265599593621e-08
1.42,-1.8309768196236456e-08
1.4225,-1.8086135125976518e-08
1.425,-1.7872332521778664e-08
1.4275,-1.7662868917652845e-08
1.43,-1.7454020527636174e-08
1.4325,-1.7257437065113968e-08
1.435,-1.7066921114166017e-08
1.4375,-1.6876244935300977e-08
1.44,-1.6694523819083856e-08
1.4425,-1.6518290193551074e-08
1.445,-1.6347336587827838e-08
1.4475,-1.6178471601557868e-08
1.45,-1.6018271584619072e-08
1.4525,-1.5866438721603612e-08
1.455,-1.5712502156490564e-08
1.4575,-1.5563660659011079e-08
1.46,-1.542197978807782e-08
1.4625,-1.5285894620791219e-08
1.465,-1.514859260642959e-08
1.4675,-1.5015733729258976e-08
1.47,-1.4887953290247083e-08
1.4725,-1.4767797790843448e-08
1.475,-1.4649171202467084e-08
1.4775,-1.4532652857555634e-08
1.48,-1.4421189905339601e-08
1.4825,-1.4320915775216262e-08
1.485,-1.4220036870016467e-08
1.4875,-1.4121777396091334e-08
1.49,-1.4029550613200265e-08
1.4925,-1.3945837861579867e-08
1.495,-1.3865044019896678e-08
1.4975,-1.3790613482776177e-08
1.5,-1.3722910910840096e-08
1.5025,-1.365864945214326e-08
1.505,-1.3603552650196842e-08
1.5075,-1.3554971100489764e-08
1.51,-1.3515942476747381e-08
1.5125,-1.3481293605790606e-08
1.515,-1.3452614028342995e-08
1.5175,-1.3431478531181748e-08
1.52,-1.3419795198499959e-08
1.5225,-1.3415547035613947e-08
1.525,-1.342181292060915e-08
1.5275,-1.3435355045959675e-08
1.53,-1.3455738137184411e-08
1.5325,-1.3480052489356504e-08
1.535,-1.350886883675223e-08
1.5375,-1.3542045347739625e-08
1.54,-1.3582565159582045e-08
1.5425,-1.3635536196886902e-08
1.545,-1.3692439762501526e-08
1.5475,-1.3761288247248812e-08
1.55,-1.3834141592667526e-08
1.5525,-1.3910663162632236e-08
1.555,-1.3993407154568035e-08
1.5575,-1.4081811778537746e-08
1.56,-1.4172497298420387e-08
1.5625,-1.4268162798992044e-08
1.565,-1.437130922081501e-08
1.5675,-1.4478380307992589e-08
1.57,-1.4592187982990748e-08
1.5725,-1.4706000951098908e-08
1.575,-1.4819744950591664e-08
1.5775,-1.4933630918551785e-08
1.58,-1.5046940267605845e-08
1.5825,-1.5165276588268467e-08
1.585,-1.5285879192172161e-08
1.5875,-1.5405053861784441e-08
1.59,-1.5522709426533495e-08
1.5925,-1.5644270366209465e-08
1.595,-1.5760809809577928e-08
1.5975,-1.5878065721510145e-08
1.6,-1.5993219056180694e-08
1.6025,-1.6109091155602733e-08
1.605,-1.6225726663158421e-08
1.6075,-1.6342931930833851e-08
1.61,-1.6457973440307723e-08
1.6125,-1.6576934833710001e-08
1.615,-1.6688027914217737e-08
1.6175,-1.6803459456478733e-08
1.62,-1.6920487166702888e-08
1.6225,-1.7038862160649725e-08
1.625,-1.7159185651920186e-08
1.6275,-1.727833070008002e-08
1.63,-1.7402750091362476e-08
1.6325,-1.7532451109335333e-08
1.635,-1.7661816629673133e-08
1.6375,-1.7793585676624818e-08
1.64,-1.7928226442929217e-08
1.6425,-1.8065597744779644e-08
1.645,-1.8208562252494269e-08
1.6475,-1.8351643702442607e-08
1.65,-1.8494536550781995e-08
1.6525,-1.8643581230502686e-08
1.655,-1.8798488175437068e-08
1.6575,-1.8950204722315412e-08
1.66,-1.9107511342120341e-08
1.6625,-1.9269745853910247e-08
1.665,-1.943473894046679e-08
1.6675,-1.9604731731308142e-08
1.67,-1.977365905565151e-08
1.6725,-1.9949782329125967e-08
1.675,-2.0129610349065828e-08
1.6775,-2.030737933479591e-08
1.68,-2.048562556497565e-08
1.6825,-2.0667117818788359e-08
1.685,-2.0845683091961681e-08
1.6875,-2.1026757867345144e-08
1.69,-2.120156747143784e-08
1.6925,-2.1381422812348229e-08
1.695,-2.1559761993151778e-08
1.6975,-2.1739531107945122e-08
1.7,-2.1920300670714013e-08
1.7025,-2.2095947046054069e-08
1.705,-2.2269408116021018e-08
1.7075,-2.2443395588444603e-08
1.71,-2.2614687754658155e-08
1.7125,-2.2780110847331842e-08
1.715,-2.2945265018995901e-08
1.7175,-2.3104483010140571e-08
1.72,-2.3258156116165552e-08
1.7225,-2.3414545133029782e-08
1.725,-2.3567698456654857e-08
1.7275,-2.3717389701034128e-08
1.73,-2.386353093482965e-08
1.7325,-2.4006158039545759e-08
1.735,-2.4145149951655082e-08
1.7375,-2.4284025443348088e-08
1.74,-2.442286575767872e-08
1.7425,-2.4555352170181125e-08
1.745,-2.4684445810324264e-08
1.7475,-2.4812979876367381e-08
1.75,-2.4938807310100605e-08
1.7525,-2.5061300186647563e-08
1.755,-2.5178039617895247e-08
1.7575,-2.5297064236615297e-08
1.76,-2.5409760477013172e-08
1.7625,-2.5521267056263965e-08
1.765,-2.5626539770994105e-08
1.7675,-2.5730955641132747e-08
1.77,-2.5828593455508222e-08
1.7725,-2.5925347913761584e-08
1.775,-2.6020783081836418e-08
1.7775,-2.6108926942767783e-08
1.78,-2.6192542381098577e-08
1.7825,-2.6271770960317762e-08
1.785,-2.634912953623597e-08
1.7875,-2.642114663578687e-08
1.79,-2.6485178868695334e-08
1.7925,-2.6543583502488564e-08
1.795,-2.659900104219248e-08
1.7975,-2.6650740140363419e-08
1.8,-2.6690391833977213e-08
1.8025,-2.6724572204356021e-08
1.805,-2.6754434734389601e-08
1.8075,-2.6777775487474136e-08
1.81,-2.6793848761552913e-08
1.8125,-2.6803041020373937e-08
1.815,-2.6802402042118448e-08
1.8175,-2.6795265126701105e-08
1.82,-2.678075088949988e-08
