Physical Time (s),drag Monitor (N)
0.5775,0.00031379434042099478
0.58,0.0003135637106550926
0.5825,0.00031328313527428654
0.585,0.00031296088491478721
0.5875,0.00031260946746050828
0.59,0.00031224311759807914
0.5925,0.00031187597322505602
0.595,0.0003115221151377355
0.5975,0.00031119535695737566
0.6,0.0003109080819703792
0.6025,0.00031066892269726869
0.605,0.00031048160302775554
0.6075,0.00031034634122767342
0.61,0.00031025960996357418
0.6125,0.00031021673605253244
0.615,0.00031021258178778746
0.6175,0.00031024075390392896
0.62,0.00031029339255221307
0.6225,0.00031036183892036481
0.625,0.00031043671462470786
0.6275,0.00031050855696281954
0.63,0.00031056845547845476
0.6325,0.00031060870152832402
0.635,0.00031062359938229293
0.6375,0.00031060901862820097
0.64,0.00031056352862473028
0.6425,0.0003104874154199135
0.645,0.00031038252573292209
0.6475,0.00031025189988058692
0.65,0.00031009949445867408
0.6525,0.00030992966640010076
0.655,0.00030974687826117186
0.6575,0.00030955669086201755
0.66,0.00030936520808808553
0.6625,0.00030917865783319592
0.665,0.00030900464614653324
0.6675,0.00030884932223816436
0.67,0.00030871684311427068
0.6725,0.00030860757403913136
0.675,0.0003085186295738087
0.6775,0.00030844507079394316
0.68,0.00030838138383641224
0.6825,0.00030832203803699508
0.685,0.00030826230470401632
0.6875,0.00030819792412982482
0.69,0.0003081254982857483
0.6925,0.00030804230717656653
0.695,0.0003079457874994752
0.6975,0.00030783373781263383
0.7,0.00030770539056670904
0.7025,0.00030756123851915265
0.705,0.00030740280178455647
0.7075,0.00030723294992931094
0.71,0.00030705565322948725
0.7125,0.00030687538440320162
0.715,0.00030669758056953833
0.7175,0.00030652822876376003
0.72,0.00030637310305976952
0.7225,0.00030623766977535378
0.725,0.00030612648296371681
0.7275,0.00030604275786788474
0.73,0.00030598717541377283
0.7325,0.0003059570653983356
0.735,0.00030594549399431265
0.7375,0.0003059481122425216
0.74,0.0003059684448093217
0.7425,0.00030600811133456996
0.745,0.00030606454156811613
0.7475,0.00030612964395852402
0.75,0.00030619060715760194
0.7525,0.0003062343770411758
0.755,0.00030625237512972711
0.7575,0.00030624147722163662
0.76,0.00030620204268710796
0.7625,0.00030613562537323488
0.765,0.00030604410596536338
0.7675,0.00030592987631708772
0.77,0.00030579607476671457
