Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.0725,4.3045832102037309e-09,3.0255582279655065e-09,9.2942884543460285e-10,2.3622310547382241e-10,2.9815025206209605e-10,-2.4094700932008711e-10,6.8052146820036309e-10
0.075,4.7131436783007406e-09,3.2892461218299279e-09,8.4672525714221176e-10,-1.6486021749127363e-10,-1.865707425117117e-10,-9.9409574237461939e-11,-1.456399916791879e-10
0.0775,4.7250817009891721e-09,3.1815379914481493e-09,4.7259870341318461e-10,-8.5547098557769993e-10,-1.082626234073218e-09,-6.2257947703145671e-10,-1.1258041682462391e-09
0.08,4.3874931396309187e-09,2.7479599476948351e-09,-1.3756838113451129e-10,-1.7273305385344957e-09,-2.2189882277111736e-09,-1.6768745628131129e-09,-2.1800590881730086e-09
0.0825,3.826672390156338e-09,2.1045432906862181e-09,-8.917197755877133e-10,-2.6703364532897467e-09,-3.4316739218103688e-09,-3.078728934791082e-09,-3.2745627180250215e-09
0.085,3.1976733958432607e-09,1.3943215410237107e-09,-1.6878156242532746e-09,-3.5949904522228373e-09,-4.5961414144387212e-09,-4.6437120684217111e-09,-4.4252158623992538e-09
0.0875,2.6457268701486382e-09,7.5558910526505836e-10,-2.4246724371596067e-09,-4.4293959245882886e-09,-5.6265844363146711e-09,-6.2046512679885889e-09,-5.666013310967865e-09
0.09,2.2820145292079781e-09,3.018395564287428e-10,-3.006417037513278e-09,-5.1061816109855933e-09,-6.457834003585918e-09,-7.6106857426896352e-09,-7.0018604767391011e-09
0.0925,2.1723446103065416e-09,1.1055104149682331e-10,-3.3472503025517419e-09,-5.5531529983511918e-09,-7.0265717189332458e-09,-8.7216292334158894e-09,-8.3719806977928531e-09
0.095,2.3370882141367587e-09,2.1952993274622254e-10,-3.3796142512357725e-09,-5.6956473840379746e-09,-7.2639451945604616e-09,-9.4086737200747903e-09,-9.6414492825744918e-09
0.0975,2.7601043714971504e-09,6.3069941497022469e-10,-3.0613768186807904e-09,-5.467227990849279e-09,-7.1006825877983381e-09,-9.5622350350829056e-09,-1.0619120641450055e-08
