Physical Time (s),enthalpy_storage_vol Monitor (N): cv1,enthalpy_storage_vol Monitor (N): cv2,enthalpy_storage_vol Monitor (N): cv3,enthalpy_storage_vol Monitor (N): cv4,enthalpy_storage_vol Monitor (N): cv5,enthalpy_storage_vol Monitor (N): cv6,enthalpy_storage_vol Monitor (N): cv7
0.04,8.9688836095794066e-05,9.7144228157140469e-05,9.7917899701566345e-05,9.818416491620307e-05,9.8333715193857582e-05,9.8497583842423642e-05,9.8543917097724593e-05
0.0425,8.9489154557547258e-05,9.7466147566729146e-05,9.825723728965924e-05,9.8525944014622653e-05,9.8661600161507727e-05,9.8837950946330811e-05,9.8891639244837144e-05
0.045,8.9225998160681429e-05,9.775999531555469e-05,9.8566233354333975e-05,9.8838294981516906e-05,9.8970389966681e-05,9.9138486260310987e-05,9.9206502043002641e-05
0.0475,8.8892683074665694e-05,9.8018553485967788e-05,9.8838029401170603e-05,9.9112012202089581e-05,9.9244459331482464e-05,9.9393476621303069e-05,9.9478350507196264e-05
0.05,8.8511300599617972e-05,9.8263781027924387e-05,9.9096691881117111e-05,9.937150595080936e-05,9.9504981512425441e-05,9.9638093626372006e-05,9.9735533209409019e-05
0.0525,8.8108647592225386e-05,9.8520554705199768e-05,9.936680150966964e-05,9.9640742879544543e-05,9.9773257204621853e-05,9.9896148159700132e-05,9.9992122796629257e-05
0.055,8.7711343330507946e-05,9.8814143067093159e-05,9.9674999446009821e-05,9.9948243745705002e-05,0.00010007895036858504,0.00010019706326569001,0.00010028480859900609
0.0575,8.7333747809340234e-05,9.9156103477009958e-05,0.00010003349942359464,0.00010030719487538747,0.00010043660703800607,0.00010055247684862063,0.00010063342825178271
0.06,8.697986505108424e-05,9.954615394481268e-05,0.00010044251057463635,0.00010071798228697111,0.00010084755954112291,0.00010096239105315505,0.00010104203301501543
0.0625,8.6646346840050587e-05,9.9975107417041222e-05,0.00010089281790033419,0.00010117082750275364,0.00010130184005654499,0.00010141647330565684,0.00010149811354607206
0.065,8.6323566066821503e-05,0.00010042585560521163,0.00010136565763515485,0.00010164514048779495,0.00010177678929459939,0.0001018893720041921,0.0001019673419353524
0.0675,8.6007352000419161e-05,0.00010088821114619185,0.00010185151996085845,0.00010213237319875496,0.00010226436798639493,0.00010237525042442785,0.00010244692038447722
0.07,8.5695075703797694e-05,0.00010135394779878357,0.00010234252628090368,0.00010262542257723536,0.00010275808572409518,0.00010286895030586969,0.0001029361074235914
0.0725,8.5385412801205419e-05,0.00010181674596362728,0.00010283184094553108,0.0001031171804833168,0.00010325070987021296,0.00010336240145474268,0.00010342713747032029
0.075,8.5081235030468294e-05,0.00010227641767648416,0.00010331946604903365,0.00010360779399096751,0.00010374274617834575,0.00010385630694744639,0.00010392194576179676
0.0775,8.4785657343714233e-05,0.00010273458338768757,0.00010380699246841634,0.00010409860629859129,0.0001042353945492731,0.00010435137788947946,0.00010441991135844106
0.08,8.4499025000396791e-05,0.00010319150708953313,0.00010429407599014004,0.00010458840531010501,0.00010472655474276466,0.00010484380972073585,0.00010491304929633427
0.0825,8.4220792925778724e-05,0.00010364847431344274,0.00010478195316775555,0.00010507814197977722,0.00010521682195014875,0.00010533364203333882,0.00010539985046585215
0.085,8.3949581662386244e-05,0.00010410781065059343,0.00010527375884026444,0.00010557154582271188,0.00010571048197176514,0.00010582632433297663,0.00010588824041174683
0.0875,8.3678096554102801e-05,0.00010456607713408609,0.00010576540029186523,0.00010606368840426579,0.00010620178366444049,0.00010631437653785203,0.00010636766996593847
0.09,8.3401753181105602e-05,0.00010502437092635533,0.00010625915491524343,0.00010655790054762248,0.00010669513641750108,0.00010680432880451189,0.00010684920475318424
0.0925,8.3112940079756268e-05,0.0001054804508996036,0.00010675284228541039,0.00010705203045628757,0.00010718842277810945,0.0001072941754414302,0.00010733099347710699
0.095,8.2797127863032933e-05,0.00010592374257042294,0.0001072332858129437,0.00010753031347736174,0.00010766326731728692,0.00010776038892584106,0.00010777899324744314
0.0975,8.2456522686241983e-05,0.00010636464650095799,0.00010771535172964051,0.00010801207522072317,0.00010814342204501922,0.00010823575514494965,0.00010824366495622141
0.1,8.2083371240743733e-05,0.00010680051984448646,0.00010819631876966422,0.0001084944722046194,0.0001086259074252719,0.0001087170197360629,0.00010872116540080623
0.1025,8.1670077787469062e-05,0.00010722789783410519,0.0001086720828155412,0.00010897263681765346,0.00010910510044066138,0.00010919696003754408,0.00010920121237368739
0.105,8.121267916385346e-05,0.00010764652478169052,0.00010914256830612977,0.00010944644064869101,0.00010958083752114549,0.00010967525635057499,0.00010968328878803271
0.1075,8.0707674043751192e-05,0.0001080548268564368,0.00010960558594757092,0.00010991278305925721,0.0001100491176763676,0.00011014604413198058,0.00011015787211438326
0.11,8.0157093389609344e-05,0.00010845536511602374,0.00011006377234108331,0.00011037417486948919,0.00011051232358943779,0.00011061143632789705,0.00011062654485798326
0.1125,7.956391374750344e-05,0.00010885028718078133,0.00011051956935733411,0.00011083311892052398,0.00011097300847962723,0.00011107409560262135,0.00011109218169203754
