Physical Time (s),ea_top Monitor (kg-m/s^3): top_cv1,ea_top Monitor (kg-m/s^3): top_cv2,ea_top Monitor (kg-m/s^3): top_cv3,ea_top Monitor (kg-m/s^3): top_cv4,ea_top Monitor (kg-m/s^3): top_cv5,ea_top Monitor (kg-m/s^3): top_cv6,ea_top Monitor (kg-m/s^3): top_cv7
0.2075,2.2950145876692599e-11,8.4243961855653039e-12,5.7589128876161569e-12,5.4969709787453582e-12,5.3753423625489694e-12,5.3569561046789201e-12,5.3391487281348643e-12
0.21,2.4194068688506486e-11,9.0723820666316368e-12,6.2508770569148858e-12,5.9686159449356341e-12,5.8319186454179155e-12,5.8145913812174091e-12,5.8137105021028476e-12
0.2125,2.5092440572422478e-11,9.2535407531624736e-12,6.2263949176040357e-12,5.9331946168282681e-12,5.781417329046006e-12,5.7659388926612041e-12,5.7751869605058218e-12
0.215,2.5531477155346523e-11,8.8640640918990318e-12,5.588040118583937e-12,5.2928619807004397e-12,5.1256148816189882e-12,5.1085773704046338e-12,5.1238145827261125e-12
0.2175,2.5446601613082523e-11,7.8520226301473489e-12,4.2926477224252143e-12,4.0032961453220282e-12,3.8210761004596187e-12,3.7948698315050839e-12,3.815627935787852e-12
0.22,2.4840070480743904e-11,6.2360578936064286e-12,2.3705372607416436e-12,2.0928954384191401e-12,1.898150298709018e-12,1.8534744234342258e-12,1.8810339414993286e-12
0.2225,2.3785655088614846e-11,4.1115000343439889e-12,-6.8222003249980338e-14,-3.309408445581041e-13,-5.3368217633372236e-13,-6.0384763352978372e-13,-5.6984967869268062e-13
0.225,2.2418992212032403e-11,1.6412199218193671e-12,-2.8436346027621607e-12,-3.0914470729531913e-12,-3.2965912363378029e-12,-3.3935752125218244e-12,-3.35768323967781e-12
0.2275,2.091637578919746e-11,-9.6680029748503697e-13,-5.7299896712266643e-12,-5.9663643493884854e-12,-6.1689929367213343e-12,-6.2874046846086531e-12,-6.2582713793390956e-12
0.23,1.9468334691318969e-11,-3.4890276303032189e-12,-8.4881626875060544e-12,-8.7199306412639617e-12,-8.9174819124763139e-12,-9.0470880778030684e-12,-9.034628319390312e-12
0.2325,1.8255666090389718e-11,-5.7143633879758415e-12,-1.0896662322079019e-11,-1.1133795052578126e-11,-1.1327068883523828e-11,-1.1456549509522053e-11,-1.1467802457502229e-11
0.235,1.7432056818484698e-11,-7.4653137834257114e-12,-1.2775310310864139e-11,-1.3030677900654472e-11,-1.3223966109137157e-11,-1.3344671721860947e-11,-1.3380568553665229e-11
0.2375,1.7112845022224473e-11,-8.6120533951446043e-12,-1.4000370850906825e-11,-1.4289304634632656e-11,-1.448986594871998e-11,-1.4598006799450719e-11,-1.4652701119745865e-11
0.24,1.7381100807554367e-11,-9.0707074328835009e-12,-1.4500998130014086e-11,-1.4840674435120385e-11,-1.5058126487395737e-11,-1.5154930144167348e-11,-1.521776054970494e-11
0.2425,1.8265520706233492e-11,-8.813221765977879e-12,-1.4269707501195336e-11,-1.4676504911600016e-11,-1.492142784273992e-11,-1.5011898858961033e-11,-1.5071360585630687e-11
0.245,1.9736497145334272e-11,-7.8858544877357478e-12,-1.3375362275236285e-11,-1.3861316475558123e-11,-1.4143796306240426e-11,-1.4234945768722749e-11,-1.4282484870697921e-11
0.2475,2.1697203579720619e-11,-6.4048611016579705e-12,-1.1954104072293258e-11,-1.2522978885217823e-11,-1.2850486218536446e-11,-1.2949736469179326e-11,-1.2981956078274153e-11
0.25,2.398658864279218e-11,-4.5541310292796668e-12,-1.0203749529553235e-11,-1.0848767893520242e-11,-1.1224098628432372e-11,-1.1338002411858849e-11,-1.1356510085083257e-11
0.2525,2.6413013595396734e-11,-2.5522887308295965e-12,-8.3511379318552907e-12,-9.0556225095354897e-12,-9.4758422414570982e-12,-9.609133651527601e-12,-9.6185683539192275e-12
0.255,2.8802926488083681e-11,-6.0307736009969835e-13,-6.6068745802346573e-12,-7.34662232597212e-12,-7.8032434351122512e-12,-7.9582592573373449e-12,-7.9638833060062086e-12
0.2575,3.0982466058248147e-11,1.0967435992824552e-12,-5.1702769029421602e-12,-5.9182883222313114e-12,-6.3989629179111471e-12,-6.5751979455892865e-12,-6.581150714437873e-12
0.26,3.282966293581433e-11,2.4026392686450286e-12,-4.1844763166213101e-12,-4.9152822320402114e-12,-5.4059270828721657e-12,-5.6002971956183289e-12,-5.6089700960740576e-12
0.2625,3.4282132160206932e-11,3.2431444768688207e-12,-3.7132087787404665e-12,-4.4068192946760604e-12,-4.8939662522393151e-12,-5.1016154239857958e-12,-5.1139297027752661e-12
0.265,3.5352946589291935e-11,3.6282252907188246e-12,-3.7345372309792112e-12,-4.378208939040766e-12,-4.8504139289842168e-12,-5.0656468240713477e-12,-5.0817579900409785e-12
0.2675,3.6110017753873342e-11,3.63164995343971e-12,-4.15959421204585e-12,-4.7483342648258928e-12,-5.1971701622741981e-12,-5.4141368122383795e-12,-5.4340760075454752e-12
0.27,3.6658384849345651e-11,3.3682631243643588e-12,-4.8578754449467178e-12,-5.3936472834643532e-12,-5.8141392255167993e-12,-6.0271586760881565e-12,-6.0510886791911936e-12
0.2725,3.7110083109891155e-11,2.9668189866743751e-12,-5.6868553431494558e-12,-6.1768720820322434e-12,-6.5677397364254066e-12,-6.7717455950502724e-12,-6.7998270772777659e-12
0.275,3.7577472302662868e-11,2.555055754807851e-12,-6.5087503297686061e-12,-6.9633568294001114e-12,-7.3266585074055773e-12,-7.5175987971338405e-12,-7.5496481566674857e-12
0.2775,3.8154853096236043e-11,2.2436513352699615e-12,-7.2077079086946426e-12,-7.6385034637236301e-12,-7.9788535176228229e-12,-8.1542157639680444e-12,-8.1894690058428356e-12
0.28,3.8928928249773903e-11,2.123005938429824e-12,-7.6935461750363611e-12,-8.1124679014033713e-12,-8.4362834123534404e-12,-8.5953527295779209e-12,-8.6324732975847261e-12
0.2825,3.9943391256355763e-11,2.2456133733262878e-12,-7.9189883788380391e-12,-8.3373306969063501e-12,-8.6519178938977506e-12,-8.795848271057846e-12,-8.8332172514149549e-12
0.285,4.1229910832835189e-11,2.6391078997345611e-12,-7.8656101162373261e-12,-8.293716485498861e-12,-8.6068304478506995e-12,-8.7383484235821213e-12,-8.774409782768715e-12
0.2875,4.2764867796076096e-11,3.2858293047755354e-12,-7.5616800211020606e-12,-8.0080055615212549e-12,-8.3270183885455548e-12,-8.4499117961247539e-12,-8.4835010823773122e-12
0.29,4.4499910481462241e-11,4.1397281523303466e-12,-7.0625036377919535e-12,-7.5329193397377701e-12,-7.8642764996442922e-12,-7.9828289480634709e-12,-8.0133203461411078e-12
0.2925,4.6349380039160835e-11,5.1231071710233086e-12,-6.4511108212967561e-12,-6.9485024526127315e-12,-7.2971281390948642e-12,-7.4155468290147058e-12,-7.4428676509612404e-12
0.295,4.823231973196557e-11,6.1550206025105538e-12,-5.8113298095152548e-12,-6.3358696874073323e-12,-6.7050405543373726e-12,-6.8272040511645828e-12,-6.8517585038739556e-12
0.2975,5.0073885941884683e-11,7.1563890828412924e-12,-5.2250093327678704e-12,-5.7748545583259856e-12,-6.1663456486988023e-12,-6.2957546866456848e-12,-6.3183594478934459e-12
0.3,5.1806890466172893e-11,8.0528478727282817e-12,-4.7698875946680065e-12,-5.3420031217431773e-12,-5.7564659386659964e-12,-5.8963587673582933e-12,-5.9182111374550486e-12
0.3025,5.3348001067598878e-11,8.7640938993927124e-12,-4.5245661489139783e-12,-5.1156793132502907e-12,-5.5530956179877053e-12,-5.7064537852694315e-12,-5.7291124552274832e-12
0.305,5.463055724851976e-11,9.2258010453584128e-12,-4.5441302300506486e-12,-5.151688923848691e-12,-5.6118579760631964e-12,-5.7813927138324044e-12,-5.8067805562801571e-12
0.3075,5.5627042647329547e-11,9.4109575324636691e-12,-4.8425504761247904e-12,-5.4654325308639285e-12,-5.9483658769664132e-12,-6.1365772440157184e-12,-6.1670311874688302e-12
0.31,5.6339673326761049e-11,9.3272042332819642e-12,-5.3990816243350479e-12,-6.0382497608795224e-12,-6.5444969646957009e-12,-6.7536541829355423e-12,-6.791944187411166e-12
0.3125,5.6794540282313036e-11,9.0023007945894162e-12,-6.1750692635773428e-12,-6.8341607401351515e-12,-7.36517285823077e-12,-7.5972826488054333e-12,-7.6465022059736555e-12
0.315,5.703495009756796e-11,8.4736784317594007e-12,-7.1250157883220166e-12,-7.8108172084484125e-12,-8.3694290333080713e-12,-8.6262415885952799e-12,-8.6895093752019159e-12
0.3175,5.7111122012703179e-11,7.7876599905508698e-12,-8.1979095711300039e-12,-8.9204068386803134e-12,-9.511222833342755e-12,-9.7943137535485853e-12,-9.8742494466303775e-12
0.32,5.7077602554071472e-11,6.9982602010996322e-12,-9.3382007001613733e-12,-1.0110130602613211e-11,-1.073963762281312e-11,-1.1050555785528339e-11,-1.1148670435140279e-11
