Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.0575,3.9822738416492179e-10,3.8788674068217316e-10,2.6170624654624959e-10,6.964003313024113e-11,-2.8683395008623694e-11,-4.7668695614835366e-11,5.6560717761842524e-12
0.06,2.7739095113849733e-10,2.6874871891954807e-10,1.7978687741409373e-10,4.5900789776368375e-11,-3.8110823536926685e-11,-8.9275636716908146e-11,-3.8185544260855774e-11
0.0625,2.1106297800898204e-10,2.0233251410768147e-10,1.3485773390334662e-10,5.2055898687229184e-11,-9.7645569060460998e-12,-7.4284961771820867e-11,-3.0579775840200531e-11
0.065,2.0783227482506908e-10,1.9880120020399463e-10,1.3851981240729686e-10,9.0793894943395601e-11,5.4760777026967099e-11,-5.4351644910477148e-12,2.1675972098181141e-11
0.0675,2.5687778736553912e-10,2.4696537642367461e-10,1.8137517247557964e-10,1.4721494133187353e-10,1.3279559556703285e-10,8.705001680764582e-11,9.7945577949404802e-11
0.07,3.3288361388286587e-10,3.2113986714815823e-10,2.4178269027038689e-10,2.0133812722678933e-10,2.0013306010029257e-10,1.7232682050686357e-10,1.7309363482245871e-10
0.0725,4.0658911189802527e-10,3.9239151805684027e-10,2.9605528983713875e-10,2.3549532587551197e-10,2.3805755567063918e-10,2.2792579065889782e-10,2.2291151607743921e-10
0.075,4.5713906792331073e-10,4.3966614679159688e-10,3.2660079372948198e-10,2.3923893572619401e-10,2.3718454568382952e-10,2.4109735699701798e-10,2.3295583736494163e-10
0.0775,4.7346961378744521e-10,4.5216129025227833e-10,3.2517173231014668e-10,2.1078951812412631e-10,1.981277857978643e-10,2.1039651359959597e-10,2.0167004242988731e-10
0.08,4.5325804647472414e-10,4.2888310821436477e-10,2.9348605743849835e-10,1.5709831041639052e-10,1.3097208733157174e-10,1.4432829700733776e-10,1.3890918543816861e-10
0.0825,4.0596615915142405e-10,3.7990793648578609e-10,2.4171529065084403e-10,9.0499155498321733e-11,5.1186055885715968e-11,5.8502638312743085e-11,5.9096589935273211e-11
0.085,3.4874930575171839e-10,3.2152227445095064e-10,1.8290124129474606e-10,2.2282678817259044e-11,-2.8316895307416837e-11,-3.1866561311298283e-11,-2.5979976256370966e-11
0.0875,2.951066040267669e-10,2.6871908093050913e-10,1.3276512763357212e-10,-3.2722624500938647e-11,-9.122119855504918e-11,-1.0734745025571307e-10,-9.9788314120883148e-11
0.09,2.5885114055606586e-10,2.3373225643437522e-10,1.0000376138642198e-10,-6.9694060207971932e-11,-1.3373666521781395e-10,-1.6129844453227142e-10,-1.5609320769165521e-10
0.0925,2.4565781985594496e-10,2.2236902852396051e-10,9.0764036045752169e-11,-8.3465368659855053e-11,-1.5127454990800877e-10,-1.8746649442690497e-10,-1.8711245981820453e-10
0.095,2.5245789175844317e-10,2.3687745516521252e-10,1.1677863900919479e-10,-5.6416514492317798e-11,-1.2301986257784464e-10,-1.5945089039242091e-10,-1.6354624688412769e-10
