Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.05,2.2303207815668927e-11,2.2643891950446091e-11,2.2644247745030528e-11,2.2645749084665625e-11,2.2641455771764299e-11,2.2639316791259818e-11,2.2636382599663474e-11
0.0525,2.2154712444863109e-11,2.255816081900975e-11,2.2557945081316543e-11,2.2558228398939395e-11,2.2559575922876599e-11,2.2558980750905203e-11,2.2552314825667147e-11
0.055,2.2000475394951389e-11,2.2477386387042558e-11,2.2477544947542116e-11,2.2476406982579363e-11,2.247499763056646e-11,2.2469819250006076e-11,2.2459895768241845e-11
0.0575,2.1860162676865396e-11,2.2418153266709285e-11,2.2419202209744049e-11,2.2417052311445617e-11,2.2420465662073968e-11,2.2416648229924101e-11,2.2415545531391468e-11
0.06,2.171339210064604e-11,2.2359327324184212e-11,2.2360959923927316e-11,2.2360272914052616e-11,2.2357573051044911e-11,2.2357997250751393e-11,2.2364276828808366e-11
0.0625,2.1559784577356363e-11,2.2303943900594803e-11,2.2306242646370815e-11,2.2306898247774881e-11,2.2305308399112937e-11,2.2300157302469658e-11,2.2303124427610879e-11
0.065,2.1406466155122998e-11,2.2252546324969442e-11,2.2251491534069187e-11,2.224850650535408e-11,2.2247387066338655e-11,2.2244252744468585e-11,2.2247540022683321e-11
0.0675,2.124617392660489e-11,2.2202964639223978e-11,2.2206451138988273e-11,2.2206739322802492e-11,2.2204713580824605e-11,2.2203750399814881e-11,2.2203734935136273e-11
0.07,2.1096212655633617e-11,2.2166313461900023e-11,2.2166157885547479e-11,2.2166511754884709e-11,2.2164940909246926e-11,2.2162778833827108e-11,2.2158474111693421e-11
0.0725,2.0944721003099865e-11,2.213133602247116e-11,2.2131880731543533e-11,2.2131941195137184e-11,2.2132872981227985e-11,2.2124693301606154e-11,2.213320628921597e-11
0.075,2.0788938643222395e-11,2.2093949843217383e-11,2.209322207432665e-11,2.2090442368475806e-11,2.2091786229601151e-11,2.2093961074149004e-11,2.2089919719009141e-11
0.0775,2.0637654652994288e-11,2.2059952485995206e-11,2.2060395831803157e-11,2.205733252142983e-11,2.205751272334457e-11,2.2058046218162155e-11,2.2062401858075801e-11
0.08,2.0487404543748719e-11,2.2027011978675033e-11,2.2026181394942165e-11,2.2028273542249538e-11,2.2028008009160422e-11,2.2029563593388369e-11,2.2015779978070265e-11
0.0825,2.0353327980599133e-11,2.2010050811318125e-11,2.2010203859451469e-11,2.2011983607217508e-11,2.2010957712302354e-11,2.200525597779237e-11,2.2006929923269937e-11
