Physical Time (s),enth_flux_viscous_top Monitor (kg-m/s^3): top_cv1,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv2,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv3,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv4,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv5,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv6,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv7
2.02,2.2025110500803868e-08,2.739740713704792e-08,3.2095495787873128e-08,3.5798756338986341e-08,3.7517622657444141e-08,1.896390793394676e-08,-9.1468927135585884e-09
2.0225,2.1897654800382513e-08,2.7265833653177285e-08,3.1964206235474657e-08,3.5677228813094755e-08,3.7439380362409456e-08,1.8990202601408254e-08,-9.2383095509489168e-09
2.025,2.1771697643920969e-08,2.7136107552355191e-08,3.1835063893789494e-08,3.5557959836410648e-08,3.7363016716776896e-08,1.9019713928088937e-08,-9.3261301832367469e-09
2.0275,2.1647181741664977e-08,2.7008157800429002e-08,3.1707983773017071e-08,3.5440820862831582e-08,3.7288388371719622e-08,1.905232000203773e-08,-9.4104685408527514e-09
2.03,2.1524072042740612e-08,2.6881952103404766e-08,3.1582941561878627e-08,3.5325773335637088e-08,3.7215491989930754e-08,1.9088069596935542e-08,-9.4912720513085934e-09
2.0325,2.1402369303895004e-08,2.6757510081104414e-08,3.1459980306305218e-08,3.5212892767733767e-08,3.7144434587172164e-08,1.9127070138124073e-08,-9.56842085713517e-09
2.035,2.1282096621218545e-08,2.6634869342362923e-08,3.1339157565907768e-08,3.5102286714695111e-08,3.7075370687886003e-08,1.9169442405150698e-08,-9.6417829609567391e-09
2.0375,2.1163281396750109e-08,2.6514053910610005e-08,3.1220500363100537e-08,3.499401282540629e-08,3.7008377178332689e-08,1.9215261445017794e-08,-9.711275877010871e-09
2.04,2.1045943379168737e-08,2.6395072764699173e-08,3.11040069370335e-08,3.4888065686010103e-08,3.69434604586034e-08,1.9264530715529894e-08,-9.7768873182497692e-09
2.0425,2.0930084486461057e-08,2.6277919052960076e-08,3.098964566696859e-08,3.4784388771108997e-08,3.6880550599230567e-08,1.9317159705667643e-08,-9.8386913208199396e-09
2.045,2.0815669649867907e-08,2.6162546355853329e-08,3.087734649567929e-08,3.4682873175373072e-08,3.6819495737046231e-08,1.9372975754440837e-08,-9.8968677173900745e-09
2.0475,2.0702624184325347e-08,2.6048864284869019e-08,3.0766993035827404e-08,3.4583362841462603e-08,3.6760112292337694e-08,1.9431732266591499e-08,-9.9516921489094342e-09
2.05,2.0590852299626763e-08,2.5936755512539756e-08,3.065842879780093e-08,3.4485669757816442e-08,3.6702178487431784e-08,1.9493115197606899e-08,-1.0003519483474704e-08
2.0525,2.0480259559667466e-08,2.5826104016191249e-08,3.0551510503891712e-08,3.4389625560972261e-08,3.6645502353749714e-08,1.9556820013338853e-08,-1.0052707877155159e-08
2.055,2.0370757496104613e-08,2.5716796091255021e-08,3.0446095326817956e-08,3.4295064496327893e-08,3.6589880852349859e-08,1.9622593287308708e-08,-1.00995676794019e-08
2.0575,2.0262261890746094e-08,2.5608721932961808e-08,3.0342038686078807e-08,3.4201809976539381e-08,3.6535120758957066e-08,1.9690197377761706e-08,-1.0144387964139238e-08
2.06,2.0154692193922686e-08,2.5501774990491906e-08,3.0239195392191028e-08,3.4109673881246736e-08,3.6481016123523085e-08,1.9759358085409972e-08,-1.0187483986275988e-08
2.0625,2.0047964993890977e-08,2.5395849105403095e-08,3.0137405645779137e-08,3.4018440106636785e-08,3.642731514519769e-08,1.9829771372394633e-08,-1.0229201196653905e-08
2.065,1.9942014087630825e-08,2.5290855710785727e-08,3.0036530685131508e-08,3.3927918825548292e-08,3.6373790019929571e-08,1.9901119127346688e-08,-1.0269907690820212e-08
2.0675,1.9836769043402719e-08,2.5186701162012835e-08,2.9936437264616456e-08,3.3837949882537791e-08,3.6320239455509011e-08,1.997313511396464e-08,-1.0309921062571226e-08
2.07,1.9732144744393456e-08,2.5083270261322152e-08,2.9836975579167823e-08,3.3748367837924941e-08,3.6266485887201454e-08,2.0045555340283787e-08,-1.0349561610753595e-08
2.0725,1.9628038388967999e-08,2.4980430470550831e-08,2.9737982001288475e-08,3.365897618750768e-08,3.6212298078693685e-08,2.0118102680315914e-08,-1.038916719187409e-08
2.075,1.9524342900540336e-08,2.4878051549661748e-08,2.9639297059085515e-08,3.35695659055839e-08,3.6157421520343718e-08,2.0190463134869558e-08,-1.0429105288148291e-08
2.0775,1.9420946005926106e-08,2.4775993375024652e-08,2.9540742565788932e-08,3.347991854812214e-08,3.6101587167217881e-08,2.026230144871262e-08,-1.0469754744942847e-08
2.08,1.931762556814879e-08,2.467400088263753e-08,2.9442032307503046e-08,3.3389717259606899e-08,3.6044448641946662e-08,2.0333171775921506e-08,-1.0511609969086768e-08
2.0825,1.9214296950843225e-08,2.4571959204721411e-08,2.9343015238905426e-08,3.3298771360439825e-08,3.5985778321974386e-08,2.0402766117813894e-08,-1.0555026865895093e-08
2.085,1.9110939477641901e-08,2.4469820651557379e-08,2.9243606648048219e-08,3.3206961739775221e-08,3.5925423647004394e-08,2.0470861818377754e-08,-1.0600277658035963e-08
2.0875,1.9007392382348725e-08,2.4367396053290455e-08,2.9143574647975224e-08,3.3114041041190403e-08,3.5863134863853835e-08,2.0537162334443408e-08,-1.064769950861844e-08
2.09,1.8903516255336493e-08,2.4264517498347127e-08,2.9042722576273143e-08,3.3019802560630697e-08,3.5798707237323204e-08,2.0601426599573288e-08,-1.0697575337750068e-08
2.0925,1.8799359125219869e-08,2.4161206300103429e-08,2.8941059206612379e-08,3.2924241051820323e-08,3.5732123961676436e-08,2.0663604969198575e-08,-1.0749991494674938e-08
2.095,1.8694791934232556e-08,2.405730088740411e-08,2.8838393046801677e-08,3.2827159610015984e-08,3.5663184794835739e-08,2.072345423791822e-08,-1.0805211126835204e-08
2.0975,1.8589606910846027e-08,2.3952565960904708e-08,2.8734463434649017e-08,3.2728295478100407e-08,3.5591627685353041e-08,2.0780695471496904e-08,-1.0863528096918462e-08
2.1,1.8483896528651184e-08,2.3847077793610298e-08,2.8629343889364707e-08,3.2627716139560399e-08,3.5517514784552645e-08,2.0835391828832403e-08,-1.0924888925300027e-08
2.1025,1.8377579721292378e-08,2.3740749628807048e-08,2.8522954996135778e-08,3.2525347064715392e-08,3.5440778691450764e-08,2.0887465492394552e-08,-1.098936222392207e-08
2.105,1.8270435954287853e-08,2.363335356269929e-08,2.8415080159592329e-08,3.2420982003240216e-08,3.5361217754766126e-08,2.0936719779591381e-08,-1.1057141773876187e-08
2.1075,1.8162605023674182e-08,2.3525009431643139e-08,2.8305840952607336e-08,3.2314755741567353e-08,3.5278974312355608e-08,2.0983265338863549e-08,-1.1128107142805113e-08
2.11,1.8054017292745138e-08,2.341563230359979e-08,2.8195154825827535e-08,3.2206597738508915e-08,3.5193990236579956e-08,2.102703771111028e-08,-1.1202290514178939e-08
2.1125,1.7944448171053469e-08,2.3304995781570463e-08,2.8082813802449326e-08,3.2096326103506675e-08,3.510611167665124e-08,2.1067934821927333e-08,-1.1279754797027854e-08
2.115,1.7834100853596749e-08,2.3193306414494057e-08,2.7969053521321367e-08,3.1984229645173595e-08,3.5015681758450515e-08,2.1106346947447897e-08,-1.1360061047263022e-08
2.1175,1.7722954167279734e-08,2.3080551459882516e-08,2.7853901930519033e-08,3.187040339939181e-08,3.4922873662136193e-08,2.1142482163382246e-08,-1.1442941164598178e-08
2.12,1.7610800924527535e-08,2.2966528119544832e-08,2.7737184817322527e-08,3.1754729035268306e-08,3.4827642607946672e-08,2.1176371659862118e-08,-1.1528289172503585e-08
2.1225,1.7497849391312344e-08,2.2851440847937021e-08,2.7619127528495217e-08,3.1637472523835554e-08,3.4730308815441338e-08,2.1208401156565261e-08,-1.1615652569112607e-08
2.125,1.7384075441119882e-08,2.2735268077644748e-08,2.7499745362771257e-08,3.1518694529258903e-08,3.4630967171577972e-08,2.1238761119373381e-08,-1.1704773141563215e-08
2.1275,1.7269316723989823e-08,2.2617869806158961e-08,2.7378966486754242e-08,3.1398360292618923e-08,3.4529604856833812e-08,2.1267488833479197e-08,-1.1795474348409949e-08
2.13,1.7153827292807716e-08,2.2499533361581623e-08,2.7257148006355673e-08,3.1276893334948014e-08,3.442669465828617e-08,2.129511553857594e-08,-1.1887140733187309e-08
2.1325,1.7037608552330281e-08,2.2380284481346537e-08,2.7134372139900755e-08,3.1154445422115126e-08,3.4322453391291995e-08,2.1321883664771623e-08,-1.1979450034089333e-08
2.135,1.6920555013100678e-08,2.2260026473736505e-08,2.701058601813388e-08,3.1031034422984986e-08,3.4216976461952692e-08,2.1347953648489971e-08,-1.2072150698290102e-08
2.1375,1.6802888169414794e-08,2.2138992535818022e-08,2.6886074543237358e-08,3.0907018263284097e-08,3.4110703703279817e-08,2.1373856510750465e-08,-1.2164605786056488e-08
2.14,1.6684570097038671e-08,2.2017169584666201e-08,2.676089252210684e-08,3.0782520703422095e-08,3.4003819525404991e-08,2.1399870457957122e-08,-1.2256445201681225e-08
2.1425,1.6565571072162998e-08,2.1894564546020293e-08,2.6635124874593847e-08,3.0657695281532623e-08,3.3896524887934748e-08,2.1426265231623275e-08,-1.2347305800189149e-08
2.145,1.6446108377238301e-08,2.1771422770249158e-08,2.6509082378415254e-08,3.0532906116768735e-08,3.3789235118504387e-08,2.1453515603928217e-08,-1.2436618596947639e-08
2.1475,1.6326113556311711e-08,2.1647687989612619e-08,2.6382744172939521e-08,3.040820154287868e-08,3.3682059989135892e-08,2.1481794548252224e-08,-1.2524112920869719e-08
2.15,1.6205630974926896e-08,2.1523410845939274e-08,2.6256182357245561e-08,3.0283723672352144e-08,3.3575226117358692e-08,2.1511395643448721e-08,-1.2609387198693156e-08
2.1525,1.6084826208238797e-08,2.1398768835843434e-08,2.612960513614788e-08,3.0159723308085578e-08,3.3469058096792909e-08,2.1542710870062221e-08,-1.2691959097433104e-08
2.155,1.5963581805297455e-08,2.12736599315021e-08,2.6002939825929305e-08,3.0036169918065298e-08,3.3363570595725123e-08,2.1575819773116633e-08,-1.2771668843824476e-08
2.1575,1.5842051587216142e-08,2.1148256312784956e-08,2.5876416937791535e-08,2.9913319149465274e-08,3.3259048435047486e-08,2.1611047653875576e-08,-1.2848122719047939e-08
2.16,1.5720362447441913e-08,2.1022696998914125e-08,2.5750210792895776e-08,2.9791308347669594e-08,3.315561173856308e-08,2.1648531544022845e-08,-1.2921129151983511e-08
2.1625,1.5598320809659267e-08,2.0896804687818879e-08,2.5624189716191645e-08,2.9670117324755626e-08,3.305331396633703e-08,2.1688404188740055e-08,-1.2990449223110781e-08
2.165,1.5476185028627949e-08,2.0770852025529047e-08,2.5498666212999701e-08,2.9550210929176843e-08,3.2952710170463472e-08,2.1731227606956557e-08,-1.3055437043845334e-08
2.1675,1.5353947048284252e-08,2.0644819752202344e-08,2.5373616849799968e-08,2.9431554954573344e-08,3.2853758403504493e-08,2.177683213498504e-08,-1.3116227785783306e-08
2.17,1.5231065894968242e-08,2.0518116930659841e-08,2.5248368254892047e-08,2.9313355619960606e-08,3.2755592872826551e-08,2.1824249893011623e-08,-1.3173813069626174e-08
2.1725,1.5107977524095973e-08,2.0391165984455894e-08,2.5123269661775436e-08,2.9195833329556117e-08,3.2658374628682505e-08,2.1873663449417166e-08,-1.322804670719544e-08
2.175,1.4984734747793008e-08,2.026405491750988e-08,2.4998402533128402e-08,2.9078999149090069e-08,3.2562071563228149e-08,2.1925064040526629e-08,-1.3278928570040004e-08
2.1775,1.486147603926191e-08,2.0136960261515961e-08,2.4873962183116171e-08,2.8963045900287084e-08,3.2466854264170977e-08,2.1978543562222107e-08,-1.3326310338718089e-08
2.18,1.4738367304625715e-08,2.001004839082177e-08,2.4750116142376071e-08,2.8848171506896044e-08,3.2372921667322301e-08,2.2034178826994845e-08,-1.3370084842432606e-08
2.1825,1.4615187935124005e-08,1.9883067243330171e-08,2.462659071061686e-08,2.8734132369534042e-08,3.2280036728871209e-08,2.2091617562494279e-08,-1.3410617046398732e-08
2.185,1.4492165308544812e-08,1.9756210959500357e-08,2.4503543380633719e-08,2.8621065348769564e-08,3.2188323870995401e-08,2.2150899909206256e-08,-1.3447904251252887e-08
2.1875,1.4369247159294697e-08,1.962941094472021e-08,2.4380857564618834e-08,2.85087894451413e-08,3.2097550032376236e-08,2.2211713742544417e-08,-1.3482319613251884e-08
2.19,1.4246423757685763e-08,1.9502654206402416e-08,2.4258463009808426e-08,2.8397145620030201e-08,3.2007482173589422e-08,2.2273719368018515e-08,-1.3514275500958644e-08
2.1925,1.4123905284034083e-08,1.9376142376426127e-08,2.4136498809331221e-08,2.8286183759775879e-08,3.1918083289714899e-08,2.233673590026763e-08,-1.3543984490993696e-08
2.195,1.400150810646137e-08,1.9249669557575178e-08,2.40146890482408e-08,2.817555145084885e-08,3.1828927580303079e-08,2.2400174436714204e-08,-1.3572083146021202e-08
2.1975,1.3879375622392372e-08,1.912333901639518e-08,2.3893034516003702e-08,2.8065192934623382e-08,3.1739902234022498e-08,2.2463814375481442e-08,-1.359885523015276e-08
2.2,1.3757442063086586e-08,1.8997033471673799e-08,2.3771323019782397e-08,2.7954786482072277e-08,3.1650629944100925e-08,2.252704321590234e-08,-1.3625024199238884e-08
2.2025,1.3635639657590605e-08,1.8870680994239618e-08,2.3649433792733336e-08,2.7844044838607727e-08,3.1560719995518862e-08,2.2589311820300628e-08,-1.3651214527430227e-08
2.205,1.3514157604932238e-08,1.8744489979546811e-08,2.3527552193854124e-08,2.773305018904169e-08,3.1470145465045394e-08,2.2650577338238764e-08,-1.3677506996096485e-08
2.2075,1.3392784728031303e-08,1.8618245147754108e-08,2.3405451867945696e-08,2.7621603656334798e-08,3.1378676720298894e-08,2.2710593642557506e-08,-1.370414964566655e-08
2.21,1.3271717549018122e-08,1.8492106663940335e-08,2.3283261510728407e-08,2.7509897999430357e-08,3.1286529574820963e-08,2.2769392926145966e-08,-1.3731128940805589e-08
2.2125,1.3150876272291833e-08,1.8365957169503078e-08,2.3160809528105012e-08,2.7397746676564489e-08,3.1193509279934192e-08,2.2826571804563101e-08,-1.3758914812664321e-08
2.215,1.3030278753387796e-08,1.8239805506784826e-08,2.3038043722062859e-08,2.7284991050203672e-08,3.1099383337634346e-08,2.2881745780903888e-08,-1.3787994450230221e-08
2.2175,1.2910062127447884e-08,1.8113791522887622e-08,2.2915044797298496e-08,2.7171578858423209e-08,3.1003985682248236e-08,2.2934666857991779e-08,-1.3818704311827038e-08
2.22,1.2790089124838842e-08,1.7987767716367313e-08,2.2791602982064973e-08,2.7057196891884032e-08,3.0906920039034297e-08,2.2984858993856134e-08,-1.385156412549888e-08
2.2225,1.2670607594425175e-08,1.786196118361276e-08,2.2667879053121823e-08,2.6941944910801498e-08,3.0808243451705977e-08,2.3032260644479425e-08,-1.3886641454328361e-08
2.225,1.2551440137100128e-08,1.7736182187709475e-08,2.2543638225633924e-08,2.682555674584414e-08,3.0707683848748408e-08,2.307651072919748e-08,-1.3924302914294067e-08
2.2275,1.2432764251385085e-08,1.7610614631899861e-08,2.241906045929896e-08,2.6708197787802848e-08,3.0605412669322511e-08,2.3117778897087847e-08,-1.3964400528930982e-08
2.23,1.2314510203538603e-08,1.7485209139905472e-08,2.2294115695616115e-08,2.6589831687721585e-08,3.0501384216666673e-08,2.3156007080699841e-08,-1.4007010974311358e-08
2.2325,1.2196750168745338e-08,1.7360056762301342e-08,2.2168913116909102e-08,2.647056824190195e-08,3.0395699403669211e-08,2.3191246346907563e-08,-1.4052102295711254e-08
2.235,1.2079549398132866e-08,1.7235238641711434e-08,2.2043547448991731e-08,2.6350513258789658e-08,3.0288474501469808e-08,2.3223580776226792e-08,-1.4099621682105166e-08
2.2375,1.1962921496340643e-08,1.7110787507847069e-08,2.1918059856731951e-08,2.6229720846274523e-08,3.0179779195807464e-08,2.3253086161944511e-08,-1.4149509753534727e-08
2.24,1.1847038065763793e-08,1.6986900630306703e-08,2.1792665545009517e-08,2.6108423014585584e-08,3.0069861505876395e-08,2.3280044071368486e-08,-1.4201476716275196e-08
2.2425,1.1731856086606233e-08,1.6863571108427321e-08,2.1667402559858299e-08,2.5986676908516907e-08,2.9958791480490232e-08,2.330453390472897e-08,-1.4255424849240402e-08
2.245,1.1617602227522015e-08,1.6741067035139217e-08,2.1542589642423789e-08,2.5864830184799e-08,2.9846953397278084e-08,2.3326953256581271e-08,-1.4310925517248674e-08
2.2475,1.1504199192564271e-08,1.6619365974890147e-08,2.1418290823730929e-08,2.5743034032278323e-08,2.9734573227311152e-08,2.3347527413278952e-08,-1.4367684036379137e-08
2.25,1.1391883945731752e-08,1.6498738901661864e-08,2.1294803753599893e-08,2.5621564851130187e-08,2.9621895943609869e-08,2.3366547726152721e-08,-1.442533406259675e-08
2.2525,1.1280500339673733e-08,1.6379015568787596e-08,2.1171929898624122e-08,2.5500246263359172e-08,2.9508762282956432e-08,2.3383944691865814e-08,-1.4483912703727517e-08
2.255,1.1170231964186873e-08,1.626038714595806e-08,2.1049877591085803e-08,2.5379381301674405e-08,2.9395590709958925e-08,2.3400169265998781e-08,-1.4542980539254645e-08
2.2575,1.1060995002249864e-08,1.6142840017775228e-08,2.0928721351739711e-08,2.5259075909095854e-08,2.9282565556010626e-08,2.3415396210081729e-08,-1.4602407728756901e-08
2.26,1.0953017257006055e-08,1.6026699243493235e-08,2.080890957766023e-08,2.5139793818888063e-08,2.917015980940509e-08,2.3430180696136344e-08,-1.4661666224485269e-08
2.2625,1.0846287470693971e-08,1.591202928294135e-08,2.0690626438701703e-08,2.5021797157757463e-08,2.9058671417619291e-08,2.3444976807897135e-08,-1.4720263541919652e-08
2.265,1.0740937614327197e-08,1.5798997574188399e-08,2.0574118818716742e-08,2.4905436069513771e-08,2.8948537730526098e-08,2.3460404063045413e-08,-1.4777501931988292e-08
2.2675,1.0636968832479579e-08,1.5687617692483648e-08,2.0459428566298295e-08,2.4790820213865634e-08,2.8839965043630569e-08,2.3476783030029719e-08,-1.4832990665185258e-08
2.27,1.053440126689251e-08,1.5577923979989814e-08,2.0346597517556319e-08,2.467801953088958e-08,2.8733073163645134e-08,2.3494289506154293e-08,-1.4886518542417087e-08
2.2725,1.0433336356492572e-08,1.5470043230222032e-08,2.0235776209035034e-08,2.4567207096281425e-08,2.8628044982251432e-08,2.3513134387365551e-08,-1.4937863906611545e-08
2.275,1.0333669524385977e-08,1.5363902024928398e-08,2.0126939417871412e-08,2.4458395266540245e-08,2.8524906345701322e-08,2.353333648027384e-08,-1.4987000868348234e-08
2.2775,1.0235564355750491e-08,1.5259692485674948e-08,2.0020333444195003e-08,2.4351879027222467e-08,2.8423988046631754e-08,2.3555212927482379e-08,-1.5033585380424643e-08
2.28,1.0138945020410526e-08,1.5157366627364798e-08,1.9915959542709992e-08,2.4247705986102147e-08,2.8325384621600952e-08,2.3578888487884538e-08,-1.5077464039695513e-08
2.2825,1.0043857936164928e-08,1.5056998663030733e-08,1.9813938352298176e-08,2.4146026071452832e-08,2.822928971040155e-08,2.3604621897685184e-08,-1.5118348249795415e-08
2.285,9.9503651539381816e-09,1.49586725675226e-08,1.9714391087396928e-08,2.4046984342599527e-08,2.8135883802147868e-08,2.3632665079382528e-08,-1.5155954872261399e-08
2.2875,9.8583510498611725e-09,1.4862273342603945e-08,1.961721011518281e-08,2.3950455753951675e-08,2.8045035802785807e-08,2.3662995874109126e-08,-1.5190319733080051e-08
2.29,9.7678872962149628e-09,1.4767894676330185e-08,1.9522526776400435e-08,2.3856640007313909e-08,2.7957005877475538e-08,2.3695893107458022e-08,-1.5221189458840261e-08
2.2925,9.6789776296439823e-09,1.4675554901761078e-08,1.9430395446414179e-08,2.3765648981771424e-08,2.7871926217520532e-08,2.3731447857587794e-08,-1.5248483326494306e-08
2.295,9.5915259219169843e-09,1.4585140705958585e-08,1.9340688205497526e-08,2.3677333257390361e-08,2.7789609643788223e-08,2.3769436642013098e-08,-1.5272394971190768e-08
2.2975,9.5055373831573593e-09,1.4496627585922229e-08,1.925332792482289e-08,2.3591567629478773e-08,2.7709899837493555e-08,2.3809711569254815e-08,-1.5293020141077556e-08
2.3,9.4209840141360223e-09,1.4409962521092971e-08,1.916821046337534e-08,2.3508201080038207e-08,2.7632645293155925e-08,2.3852101984914664e-08,-1.531051473028868e-08
2.3025,9.337809362114957e-09,1.4325065278318442e-08,1.9085206252770088e-08,2.3427034469521972e-08,2.7557621159732549e-08,2.3896288953322754e-08,-1.5325250149603078e-08
2.305,9.2559081085731753e-09,1.4241812298162963e-08,1.9004159622550029e-08,2.3347869743641352e-08,2.7484565546524317e-08,2.3941868361940243e-08,-1.5337713765858408e-08
2.3075,9.1752942157354656e-09,1.4160208989751817e-08,1.8925074489214509e-08,2.3270711383744443e-08,2.7413437838776549e-08,2.3988703864197109e-08,-1.5348085126288771e-08
2.31,9.0959263733283326e-09,1.4080194934556504e-08,1.8847888354732152e-08,2.3195509912323548e-08,2.7344179167737919e-08,2.4036716278074231e-08,-1.5356447689474908e-08
2.3125,9.017740141483872e-09,1.4001669599339949e-08,1.8772472246764119e-08,2.3122129471321625e-08,2.7276654001251818e-08,2.408575915443882e-08,-1.5362932134457287e-08
2.315,8.9406640623876948e-09,1.3924513230162543e-08,1.8698649501474162e-08,2.3050353345255299e-08,2.7210637439259029e-08,2.4135580835240843e-08,-1.536779131638846e-08
2.3175,8.8646300269093018e-09,1.3848610028078717e-08,1.862623465500626e-08,2.2979932149204903e-08,2.7145844616819067e-08,2.4185835885610503e-08,-1.5371397137635922e-08
2.32,8.7895586844094896e-09,1.3773831723530548e-08,1.8555026459818233e-08,2.2910603765646675e-08,2.7081972862337392e-08,2.4236133496761218e-08,-1.5374175080735622e-08
2.3225,8.7153866323355255e-09,1.3700066400713174e-08,1.8484841203541933e-08,2.2842126714128439e-08,2.7018727910642409e-08,2.4286085099918657e-08,-1.5376550850254553e-08
2.325,8.6420332499293294e-09,1.3627167734675946e-08,1.841543618804549e-08,2.2774206342870886e-08,2.6955734270326017e-08,2.433515996646993e-08,-1.5379059966749233e-08
2.3275,8.5693977073924816e-09,1.3554949224174481e-08,1.8346531711620362e-08,2.2706496216069321e-08,2.6892602453877764e-08,2.4382822265328204e-08,-1.5382230571984642e-08
2.33,8.4974021860757667e-09,1.3483316755285638e-08,1.827802899065045e-08,2.2638805591171871e-08,2.6829120016302201e-08,2.442883618589311e-08,-1.5386334183946909e-08
2.3325,8.426000153938516e-09,1.3412244280636319e-08,1.8209912759972767e-08,2.2571068585463098e-08,2.6765172622287393e-08,2.4473147767933365e-08,-1.5391495798975988e-08
2.335,8.35512528884915e-09,1.3341622893739939e-08,1.8142032764763623e-08,2.2503161306984362e-08,2.6700608133048272e-08,2.4515590352935489e-08,-1.5397948827635304e-08
2.3375,8.2846997887316375e-09,1.3271287479460484e-08,1.8074184605117263e-08,2.2434955802788708e-08,2.6635313470790716e-08,2.4555951211693653e-08,-1.5405910795291553e-08
2.34,8.2146486978121172e-09,1.3201085330366852e-08,1.8006177870969261e-08,2.2366299895977607e-08,2.6569159213114005e-08,2.4594031317694015e-08,-1.5415527702145647e-08
2.3425,8.1449005409270347e-09,1.3130885423561547e-08,1.7937820505175175e-08,2.2296941779066476e-08,2.6501891890486541e-08,2.4629522697463425e-08,-1.5427052778475973e-08
2.345,8.0753927015793515e-09,1.306058246975706e-08,1.7868942697268166e-08,2.2226614502127633e-08,2.6433213031482396e-08,2.4662075981326772e-08,-1.5440816776478306e-08
2.3475,8.0060624194781867e-09,1.2990081923539791e-08,1.7799407207632521e-08,2.2155144745107509e-08,2.63629164363632e-08,2.4691446533974664e-08,-1.5457073224345826e-08
2.35,7.9368555053629863e-09,1.2919301810636568e-08,1.7729106198920056e-08,2.20824161147178e-08,2.6290865728010713e-08,2.4717476825227548e-08,-1.5475982129239036e-08
2.3525,7.8677578275533865e-09,1.2848202224683298e-08,1.765799210947596e-08,2.2008383925112236e-08,2.6217028123322059e-08,2.4740147873120079e-08,-1.549754065507667e-08
2.355,7.7987127015129633e-09,1.2776722703295913e-08,1.758610361248098e-08,2.1933184480011243e-08,2.6141625926494309e-08,2.4759777080148643e-08,-1.5521410889743692e-08
2.3575,7.7296926207643195e-09,1.2704844074335195e-08,1.7513467199814946e-08,2.1856869034612595e-08,2.6064695363117652e-08,2.4776471574357488e-08,-1.5547452020573145e-08
2.36,7.6606515953349326e-09,1.2632453890350949e-08,1.7439870798987509e-08,2.1779222388447603e-08,2.5985992345262636e-08,2.4789970030062813e-08,-1.5575846009630385e-08
2.3625,7.5915240423761384e-09,1.2559398693059086e-08,1.7365081080006113e-08,2.1700039425806105e-08,2.5905368824347192e-08,2.480004483559898e-08,-1.5606690254628026e-08
2.365,7.5223080854492115e-09,1.2485681361377688e-08,1.7289164147473442e-08,2.1619404925654568e-08,2.5822966229717209e-08,2.4806805561003625e-08,-1.5639744618442754e-08
2.3675,7.4530450517461081e-09,1.2411408661744777e-08,1.7212343656313933e-08,2.1537553598214277e-08,2.5739028943516186e-08,2.4810536709257977e-08,-1.5674670348659537e-08
2.37,7.3837502742622868e-09,1.2336631093622776e-08,1.7134745436417784e-08,2.145466657585644e-08,2.5653770172827308e-08,2.481158128304036e-08,-1.5711143753647773e-08
2.3725,7.3144555943973566e-09,1.226136703541586e-08,1.7056420508434497e-08,2.1370912381076902e-08,2.5567455744759475e-08,2.4810341264543942e-08,-1.5748756279905465e-08
2.375,7.2451528194806936e-09,1.2185583855360995e-08,1.6977367693993845e-08,2.1286402857207995e-08,2.5480303136545524e-08,2.4807188114623071e-08,-1.5787054354677046e-08
2.3775,7.1758204978766761e-09,1.2109248537397498e-08,1.6897596825312177e-08,2.1201211665218745e-08,2.5392433254841458e-08,2.4802352173831664e-08,-1.5825675801882926e-08
2.38,7.1064549401492239e-09,1.2032359340149129e-08,1.6817153813677127e-08,2.1115416493154369e-08,2.5303937165306059e-08,2.4795978619455386e-08,-1.586434563225433e-08
2.3825,7.0370569464374807e-09,1.1954928519096841e-08,1.6736111337040118e-08,2.1029134713144983e-08,2.5214974105319067e-08,2.4788296256098554e-08,-1.5902719576799758e-08
2.385,6.9676356710114004e-09,1.1876970951348262e-08,1.6654521808152473e-08,2.0942477840910163e-08,2.5125726905553664e-08,2.4779562139864456e-08,-1.5940444871455625e-08
2.3875,6.8982070124165639e-09,1.1798502530788444e-08,1.6572423174750441e-08,2.0855541469898986e-08,2.5036369653787888e-08,2.4770041772651794e-08,-1.5977198736416008e-08
2.39,6.8288236921550732e-09,1.1719580957124607e-08,1.648990965598706e-08,2.0768468613946177e-08,2.4947112233622395e-08,2.4760048668230572e-08,-1.6012613661973667e-08
2.3925,6.7595203157290734e-09,1.1640256222034695e-08,1.6407096852091865e-08,2.0681435305476243e-08,2.4858183856472215e-08,2.4749956179766205e-08,-1.6046242879938488e-08
2.395,6.6903359024543659e-09,1.1560587198748238e-08,1.6324119876401164e-08,2.0594650265348477e-08,2.4769839201442551e-08,2.4740123517619235e-08,-1.6077649106137891e-08
2.3975,6.6212845379509091e-09,1.1480598600033782e-08,1.6241054364716198e-08,2.0508249483933425e-08,2.4682265047984407e-08,2.4730813727838826e-08,-1.610650178231023e-08
2.4,6.5523660272145984e-09,1.1400297887080399e-08,1.6157950608104695e-08,2.0422332609221965e-08,2.4595606099108848e-08,2.4722245234741321e-08,-1.6132521586875161e-08
2.4025,6.483536531673844e-09,1.1319650658881414e-08,1.6074808169406426e-08,2.0336952451989006e-08,2.4509953694177561e-08,2.471458504534706e-08,-1.6155483513303071e-08
2.405,6.414756800304362e-09,1.1238625425270796e-08,1.5991620872551313e-08,2.0252156481014405e-08,2.4425400480060205e-08,2.4708022342846669e-08,-1.6175134383042801e-08
