Physical Time (s),enth_flux_viscous_top Monitor (kg-m/s^3): top_cv1,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv2,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv3,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv4,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv5,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv6,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv7
0.055,5.4302828109122945e-09,4.1199311056805406e-09,1.025802702630347e-09,-1.9621048875690425e-09,-4.1995729740966339e-09,-2.4222242676174991e-09,4.6239630352420262e-10
0.0575,3.9307964841287138e-09,2.8741883239279448e-09,5.6238335323103128e-10,-1.8046109082769093e-09,-4.0661327848020774e-09,-4.4915115235138253e-09,3.5995077627920258e-10
0.06,2.6743829765562896e-09,1.7637083630424808e-09,6.4267914154463571e-11,-1.5760035300178091e-09,-3.4944738448805877e-09,-5.392023819243977e-09,5.4315132499756865e-10
0.0625,2.0233819115568798e-09,1.1592964500577157e-09,-1.8942876682665717e-10,-1.1887760018497796e-09,-2.5669021693715994e-09,-5.1396966253892196e-09,8.9998053627453357e-10
0.065,2.0790556709365165e-09,1.1777057524624494e-09,-9.6214105905612645e-11,-6.6524998271840663e-10,-1.4689622043488892e-09,-4.0236661610536596e-09,1.230486944097203e-09
0.0675,2.6876129500750696e-09,1.6844466578925005e-09,2.523613087127684e-10,-1.4434678409026474e-10,-4.7123638934642254e-10,-2.5227531236282868e-09,1.3474968837602803e-09
0.07,3.5358394824176275e-09,2.3914932572464055e-09,6.4922102752852019e-10,1.883005004375251e-10,1.6007565292179829e-10,-1.1437802892097491e-09,1.1513558693388553e-09
0.0725,4.291218436588864e-09,2.9940765189985418e-09,8.8452996406731808e-10,1.9129276097432768e-10,2.601507407057272e-10,-2.7206452798523567e-10,6.3535320594236995e-10
0.075,4.7214504388157102e-09,3.2823790855202779e-09,8.3100476213367996e-10,-1.754263678264283e-10,-1.8658071219774413e-10,-9.318844632750523e-11,-1.4312706057361939e-10
0.0775,4.7421318023654051e-09,3.1831142437302467e-09,4.6539211203791937e-10,-8.5568855429468899e-10,-1.0702699142476542e-09,-6.0262281547301265e-10,-1.099836016442574e-09
0.08,4.4002011665851476e-09,2.742165739344635e-09,-1.5610915857900852e-10,-1.7404169263020591e-09,-2.2196274046984178e-09,-1.6680154544595954e-09,-2.1585909426437819e-09
0.0825,3.825347291938183e-09,2.0800530541957039e-09,-9.3576460674553992e-10,-2.7132026852753097e-09,-3.4642014048080784e-09,-3.1005266500202672e-09,-3.2808658326944473e-09
0.085,3.1780765077968307e-09,1.3465740556252528e-09,-1.7629726824718677e-09,-3.6748312764334827e-09,-4.6690869723322486e-09,-4.7059488893242734e-09,-4.472489765443161e-09
0.0875,2.6093701542522321e-09,6.8690522191247452e-10,-2.5279246084973356e-09,-4.5433160199259401e-09,-5.737499096152011e-09,-6.3061125386579251e-09,-5.7558737754475157e-09
0.09,2.2346741161697375e-09,2.1949321142970483e-10,-3.1283961247835811e-09,-5.2435560466924939e-09,-6.595603607008833e-09,-7.7410399875080929e-09,-7.1257151003022334e-09
0.0925,2.1214071806873903e-09,2.3606885857427882e-11,-3.4761734893057689e-09,-5.6999671610846438e-09,-7.1759627272124692e-09,-8.865764779130325e-09,-8.5149157973903015e-09
0.095,2.2890208529626887e-09,1.3591464566649758e-10,-3.5049133545497803e-09,-5.8387909266420463e-09,-7.4102250913037779e-09,-9.5512673238783565e-09,-9.7866544260643445e-09
0.0975,2.7189638773817639e-09,5.5549199131183616e-10,-3.1759124011040024e-09,-5.5973351825182555e-09,-7.2327680925302595e-09,-9.6909854195018409e-09,-1.0751581781893442e-08
0.1,3.3698683829017065e-09,1.25444981365822e-09,-2.4796728789550608e-09,-4.9346577380403747e-09,-6.5914480255329676e-09,-9.2103156066905238e-09,-1.1200800899990213e-08
0.1025,4.191337148384513e-09,2.1886811787605234e-09,-1.435227630681114e-09,-3.8416237324602933e-09,-5.4621448349434726e-09,-8.0781861348248425e-09,-1.0947235183124931e-08
0.105,5.131892577420865e-09,3.3040905368192377e-09,-9.0250662618088488e-11,-2.3498981661422143e-09,-3.8643246345725546e-09,-6.3200698997839855e-09,-9.8688428820876091e-09
0.1075,6.1395788832347129e-09,4.5365582354890652e-09,1.4762769871588979e-09,-5.4022584943211975e-10,-1.8754498426094917e-09,-4.0313251702752714e-09,-7.9481098717470222e-09
0.11,7.1576860309003942e-09,5.8078465914675341e-09,3.1511048324310319e-09,1.4531710726606065e-09,3.6075948236632185e-10,-1.3853890643155434e-09,-5.299781446158111e-09
0.1125,8.1216262590468237e-09,7.0252515174494288e-09,4.7924366394245705e-09,3.4521011779963167e-09,2.6441828913893136e-09,1.3776892140759424e-09,-2.1670605896121302e-09
0.115,8.9583641388039906e-09,8.0849494926236381e-09,6.2415620382241004e-09,5.2529294632668295e-09,4.740396795919368e-09,3.9768333366101284e-09,1.1086633030039556e-09
0.1175,9.5900052039178138e-09,8.8793538526339903e-09,7.3386119833024287e-09,6.6502015349087016e-09,6.4095385435152764e-09,6.1236619976143496e-09,4.1351655604582357e-09
0.12,9.9439914787329236e-09,9.3113956428951499e-09,7.9445302584012824e-09,7.4661999196034324e-09,7.4419415813844725e-09,7.5640291054133562e-09,6.5315942235202155e-09
0.1225,9.9669037333794524e-09,9.3120526558320124e-09,7.9642080906405221e-09,7.5798266536634845e-09,7.6923600931422088e-09,8.1181177759892131e-09,7.9918474146830042e-09
0.125,9.638273811394841e-09,8.856891024180388e-09,7.366040356098543e-09,6.9492416670273797e-09,7.1061929772572427e-09,7.7111749495421347e-09,8.3363903848177696e-09
0.1275,8.9806043564270063e-09,7.9777105541300829e-09,6.1943375132616234e-09,5.6248203219093126e-09,5.733945648795531e-09,6.3904160530274173e-09,7.5448401916490751e-09
0.13,8.0587288318145848e-09,6.7601449119280558e-09,4.5634836698841443e-09,3.74031765852284e-09,3.7206695818598208e-09,4.3133066250875166e-09,5.7509234285961252e-09
0.1325,6.9684388773663111e-09,5.3275768035917726e-09,2.635659785563998e-09,1.4855022024414113e-09,1.2747403584952911e-09,1.7116796140579859e-09,3.2040321462569412e-09
0.135,5.8223377868682639e-09,3.8228794009267502e-09,5.9713169885533352e-10,-9.2212967727125505e-10,-1.3643519435832793e-09,-1.1460892588849305e-09,2.2149975107349301e-10
0.1375,4.7354334513806719e-09,2.3908794668322033e-09,-1.3637062844489405e-09,-3.2628439669999487e-09,-3.9548230480563244e-09,-3.9895729354707752e-09,-2.8598271110580506e-09
0.14,3.8119653841095546e-09,1.1628892093936645e-09,-3.0751464607122211e-09,-5.3359795227053649e-09,-6.2761259847284045e-09,-6.5739766839255835e-09,-5.7262403071182771e-09
0.1425,3.1341132739441989e-09,2.432127678125686e-10,-4.3987939852461625e-09,-6.978444133388979e-09,-8.1486796815560391e-09,-8.701946660479812e-09,-8.1217579092563202e-09
0.145,2.7527679841305263e-09,-3.0266063714179715e-10,-5.2446462262228783e-09,-8.081335390184171e-09,-9.4509950746596129e-09,-1.024084552550071e-08,-9.8741515391251863e-09
0.1475,2.6830195397854315e-09,-4.54139574212805e-10,-5.5795392140847291e-09,-8.5994441971491592e-09,-1.012917517693245e-08,-1.1130976016112047e-08,-1.0906750331119016e-08
0.15,2.9056039413759986e-09,-2.3392987560297351e-10,-5.4264149120613463e-09,-8.5512144596504545e-09,-1.0196750212579649e-08,-1.1383573378304254e-08,-1.1234916637745179e-08
0.1525,3.3727473825754639e-09,2.9889651419763952e-10,-4.8568838042426973e-09,-8.0115161292744749e-09,-9.7274205913152092e-09,-1.1071922952026842e-08,-1.0951960483770141e-08
0.155,4.0171191619230083e-09,1.0600591112877628e-09,-3.9776096858139317e-09,-7.0976457277379588e-09,-8.8410530451818507e-09,-1.0316306295319924e-08,-1.0206962819243334e-08
0.1575,4.7619413113645428e-09,1.9521944834684371e-09,-2.9151466097924804e-09,-5.9527676857900388e-09,-7.6871167504779247e-09,-9.2671293362626247e-09,-9.1805645695952592e-09
0.16,5.5316509386032816e-09,2.8784089556082166e-09,-1.7981559621013131e-09,-4.7259745724053067e-09,-6.4241903832811641e-09,-8.084733381354757e-09,-8.0585874273913866e-09
0.1625,6.2611041820383875e-09,3.7543293262230184e-09,-7.4078603577624666e-10,-3.5527008545060625e-09,-5.1995127908463503e-09,-6.9196769551725652e-09,-7.0082611784823103e-09
0.165,6.9024597499903192e-09,4.5174783558946622e-09,1.7066651803752103e-10,-2.5383233420883241e-09,-4.1308377044526134e-09,-5.8949510033640982e-09,-6.1589458034412054e-09
0.1675,7.4280289310404965e-09,5.1314948521081636e-09,8.8466987494208698e-10,-1.7486306757422943e-09,-3.295053453233559e-09,-5.0943289070776814e-09,-5.5913274204039554e-09
0.17,7.8291231483214344e-09,5.5851566705114508e-09,1.3845093458525673e-09,-1.2080540583163806e-09,-2.7246318792448648e-09,-4.5576099147578583e-09,-5.3350785834973387e-09
0.1725,8.1125892129794194e-09,5.8881102699610667e-09,1.6834434787379643e-09,-9.0394416833477391e-10,-2.4106264043660951e-09,-4.2817568511524298e-09,-5.3727605266872827e-09
0.175,8.2959581453313986e-09,6.0646813074058475e-09,1.8165493760819098e-09,-7.9532361510558627e-10,-2.3109237038238083e-09,-4.2272222961428354e-09,-5.6483617800857904e-09
0.1775,8.4029770813794648e-09,6.1475690559286051e-09,1.8316684177041256e-09,-8.2362757679763814e-10,-2.3613726441236611e-09,-4.3277010236011939e-09,-6.0782438084556196e-09
0.18,8.4595447500363188e-09,6.1720367303443754e-09,1.7803942780671224e-09,-9.2399105773744668e-10,-2.4882590028984727e-09,-4.502241139074569e-09,-6.5637201041917338e-09
0.1825,8.4908142700585865e-09,6.1715308170189308e-09,1.710845353882856e-09,-1.0350427907023913e-09,-2.6198411195477658e-09,-4.6675916459700792e-09,-7.0033989327976216e-09
0.185,8.5191239857203197e-09,6.1746556941297591e-09,1.6624976245909324e-09,-1.1063897554865524e-09,-2.6957945614398707e-09,-4.7495301859137423e-09,-7.3044573017588372e-09
0.1875,8.5628226719740753e-09,6.2035693014097909e-09,1.6634652648066686e-09,-1.1030021774993476e-09,-2.6734353531399577e-09,-4.6916997010437127e-09,-7.3918069658648897e-09
0.19,8.6355663348380956e-09,6.273316801747095e-09,1.7297088417732953e-09,-1.0068042167490301e-09,-2.5306414335649365e-09,-4.4613670428220796e-09,-7.2148954465167203e-09
0.1925,8.7459400487471929e-09,6.3918265703551914e-09,1.8657743052664067e-09,-8.1584907326106436e-10,-2.2657329898931552e-09,-4.0517656905428162e-09,-6.75192131846996e-09
0.195,8.897266573606249e-09,6.5602762220362057e-09,2.0663946435755175e-09,-5.4188605450362058e-10,-1.8949601031687274e-09,-3.4812042480793785e-09,-6.0114293643645228e-09
0.1975,9.0874844712381967e-09,6.7735534262073912e-09,2.3183985336291396e-09,-2.0714665911734247e-10,-1.4485466796468266e-09,-2.7895546716017745e-09,-5.031398406499494e-09
0.2,9.3092656953774313e-09,7.020894877302796e-09,2.6026558644484561e-09,1.5905995733938808e-10,-9.6609749677063295e-10,-2.032818333505571e-09,-3.875838772515729e-09
0.2025,9.5504583011900879e-09,7.286700875997763e-09,2.8958651561912971e-09,5.2344944528170731e-10,-4.9209705087539167e-10,-1.2768096605289274e-09,-2.6293587978584134e-09
0.205,9.7948904539763085e-09,7.5514820262003361e-09,3.1720430935467743e-09,8.5123605255623173e-10,-7.2152135116778363e-11,-5.9093408809688485e-10,-1.3904645699023779e-09
0.2075,1.0023651964063938e-08,7.7932364364000233e-09,3.4041168327485886e-09,1.1083796770748694e-09,2.5035290079330443e-10,-4.2179754681519538e-11,-2.636465463275697e-10
0.21,1.0216988216523524e-08,7.9893880000073032e-09,3.5658981983228385e-09,1.2639426099739793e-09,4.3746692926523709e-10,3.107167418056479e-10,6.4965738012694443e-10
0.2125,1.0356788753374284e-08,8.1194261355384948e-09,3.6347016869591883e-09,1.2928630594409454e-09,4.5999087603545833e-10,4.2282371869240242e-10,1.260776453167576e-09
0.215,1.0429236088571735e-08,8.167758831250728e-09,3.5941919104491545e-09,1.178787229248333e-09,3.0053889423996496e-10,2.6766535329566534e-10,1.5030363679675314e-09
0.2175,1.0427117346105893e-08,8.1262924207687665e-09,3.4370201439286931e-09,9.1658704294491651e-10,-4.3974514420523333e-11,-1.595109813787182e-10,1.339409732678597e-09
