Physical Time (s),enth_flux_viscous_left Monitor (kg-m/s^3)
0.6525,3.2767918975432177e-08
0.655,3.2708268214124142e-08
0.6575,3.2665037411270928e-08
0.66,3.2638884749191862e-08
0.6625,3.2629456365941653e-08
0.665,3.2635584191038926e-08
0.6675,3.265548817598202e-08
0.67,3.2686972925109451e-08
0.6725,3.2727631744184253e-08
0.675,3.2775037221636543e-08
0.6775,3.2826908902027134e-08
0.68,3.2881268341558156e-08
0.6825,3.2936570402937207e-08
0.685,3.2991822876182175e-08
0.6875,3.3046674870195626e-08
0.69,3.3101439228225872e-08
0.6925,3.3157055326450705e-08
0.695,3.3214987550158708e-08
0.6975,3.3277066118244954e-08
0.7,3.3345297433400988e-08
0.7025,3.342166066748698e-08
0.705,3.3507911405578572e-08
0.7075,3.360540613458245e-08
0.71,3.3714954651988457e-08
0.7125,3.3836685872504005e-08
0.715,3.3969977303819589e-08
0.7175,3.4113412183690213e-08
0.72,3.4264798296735101e-08
0.7225,3.4421238956414061e-08
0.725,3.4579257681418168e-08
0.7275,3.4734956421920861e-08
0.73,3.4884228236255796e-08
0.7325,3.5023053733086411e-08
0.735,3.5147899461306255e-08
0.7375,3.5255908790033432e-08
0.74,3.534474697886294e-08
0.7425,3.5412634071607156e-08
0.745,3.5458571682414469e-08
0.7475,3.5482518778330025e-08
0.75,3.5485436687945267e-08
0.7525,3.5469202727234096e-08
0.755,3.5436429309458552e-08
0.7575,3.5390280630797557e-08
0.76,3.5334345750221963e-08
0.7625,3.5272571819946157e-08
0.765,3.5209158231609736e-08
0.7675,3.5148385882580576e-08
0.77,3.5094372668689534e-08
0.7725,3.5050814335383074e-08
0.775,3.5020802652763072e-08
0.7775,3.5006694191437512e-08
0.78,3.5010066830140008e-08
0.7825,3.5031727912621681e-08
0.785,3.5071761660858048e-08
0.7875,3.5129607249164656e-08
0.79,3.5204154283857322e-08
0.7925,3.5293844751263751e-08
0.795,3.539677829252227e-08
0.7975,3.5510819526464009e-08
0.8,3.5633703409172892e-08
0.8025,3.5763161316190758e-08
0.805,3.5897044594237593e-08
0.8075,3.6033443713541172e-08
0.81,3.6170783871622599e-08
0.8125,3.6307895292741283e-08
0.815,3.6444053820355802e-08
0.8175,3.657899782042509e-08
0.82,3.6712899433168748e-08
0.8225,3.6846303654652765e-08
0.825,3.6980043777420988e-08
0.8275,3.7115146497380339e-08
0.83,3.7252733865703102e-08
0.8325,3.7393919690565495e-08
0.835,3.7539725891752937e-08
0.8375,3.7691008439610952e-08
0.84,3.7848373501449327e-08
0.8425,3.8012129644288757e-08
0.845,3.8182240684441705e-08
0.8475,3.8358281993867523e-08
0.85,3.8539452444058727e-08
0.8525,3.8724560343905954e-08
0.855,3.8912059377202909e-08
0.8575,3.9100102802336043e-08
0.86,3.928659027982703e-08
0.8625,3.9469240845031069e-08
0.865,3.9645664060489728e-08
0.8675,3.98134581127338e-08
0.87,3.997022840578092e-08
0.8725,4.0113682675177078e-08
0.875,4.0241662376082538e-08
0.8775,4.0352184942192058e-08
0.88,4.044349902727962e-08
0.8825,4.0514125395024679e-08
0.885,4.056289855926174e-08
0.8875,4.0589000179601081e-08
0.89,4.059198666113712e-08
0.8925,4.0571805006322752e-08
0.895,4.0528797338933878e-08
0.8975,4.0463692193173373e-08
0.9,4.0377577954927905e-08
0.9025,4.0271874924056635e-08
0.905,4.0148285420283704e-08
0.9075,4.0008746903980113e-08
0.91,3.9855394084170969e-08
0.9125,3.9690507568138316e-08
0.915,3.951648312510224e-08
0.9175,3.9335842050400781e-08
0.92,3.9151182511819158e-08
0.9225,3.8965134641971646e-08
0.925,3.8780277892793531e-08
0.9275,3.859906482424806e-08
0.93,3.8423784700060751e-08
0.9325,3.8256542133500951e-08
0.935,3.8099266180707016e-08
0.9375,3.7953721579954629e-08
0.94,3.7821536355814047e-08
0.9425,3.7704226104909905e-08
0.945,3.7603183376956791e-08
0.9475,3.7519654934192012e-08
0.95,3.7454718427536846e-08
0.9525,3.7409276953232988e-08
0.955,3.7384057928345239e-08
0.9575,3.7379619291153039e-08
0.96,3.7396377728973433e-08
0.9625,3.7434597807423031e-08
0.965,3.7494420238634003e-08
0.9675,3.7575848660497793e-08
0.97,3.7678703310841005e-08
0.9725,3.7802594988901729e-08
0.975,3.7946910459732797e-08
0.9775,3.8110801910647063e-08
0.98,3.8293183064739244e-08
0.9825,3.84927192594709e-08
0.985,3.8707832598890203e-08
0.9875,3.8936710949591399e-08
0.99,3.9177314600447106e-08
0.9925,3.9427391950420494e-08
0.995,3.9684491163764113e-08
0.9975,3.9945973154262501e-08
1.0,4.0209042394884417e-08
1.0025,4.0470782179027549e-08
1.005,4.0728187353086507e-08
