Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.095,-2.0108023760321259e-06,-1.4578798826441112e-07,-5.4851221396627995e-08,9.1027966786772875e-09,4.2285604623704983e-09,3.7957952713463368e-08,4.4059743521808089e-08
0.0975,-2.4829874616410069e-06,-2.5949463867557759e-07,-5.9454862763227204e-08,2.3391596296542151e-08,2.8844375901342877e-08,1.4065013117414314e-08,4.4306485837123172e-09
0.1,-3.0697587858962876e-06,-3.9587167113308321e-07,-6.3563947691732109e-08,3.5485733686149106e-08,5.8193910748204454e-08,-9.5252395974806891e-11,-1.402392742766838e-10
0.1025,-3.6775383515213058e-06,-5.2920210468365422e-07,-6.3782038725978241e-08,4.7466093571891019e-08,8.4416006623125321e-08,1.198470527982368e-08,1.8939785551116404e-09
0.105,-4.1988485649117487e-06,-6.3616223238680813e-07,-6.0090754920411001e-08,6.1191786831766913e-08,1.0587421271694196e-07,4.9230768584049405e-08,2.1106128553858181e-09
0.1075,-4.5181554674612134e-06,-6.9614708758002235e-07,-5.7351346005516044e-08,7.5422182683167962e-08,1.2373514900742483e-07,9.7842146006909523e-08,1.5406609733806935e-09
0.11,-4.531937359722743e-06,-6.8992465470276314e-07,-6.1995150423269254e-08,8.4578427256653781e-08,1.3822427242001088e-07,1.4226524633114417e-07,1.6490325035193859e-09
0.1125,-4.1814994461896359e-06,-6.0057454106440785e-07,-7.4956839991605999e-08,8.0874860102682836e-08,1.4670181164562827e-07,1.7342538734121937e-07,3.3547296386316837e-09
0.115,-3.4644743752460355e-06,-4.1516493935567325e-07,-8.6000622232484083e-08,5.9560277620555856e-08,1.4397298459062777e-07,1.8975251413899266e-07,9.5034241601743955e-09
0.1175,-2.4427229590420369e-06,-1.3100559726070819e-07,-7.44960350173002e-08,2.4697438238951985e-08,1.2502427212128776e-07,1.9358162652195151e-07,2.451336407208831e-08
0.12,-1.2359513528046055e-06,2.3871202984253097e-07,-1.7279490212545616e-08,-8.4768784590480842e-09,8.9401754371977381e-08,1.8746526231588444e-07,5.0509942090666825e-08
0.1225,2.6306445734247728e-10,6.6291045649673915e-07,1.0023711840070469e-07,-1.7347933564463718e-08,4.4861531417024933e-08,1.7230592057555906e-07,8.4104147845847128e-08
0.125,1.1010060904843868e-06,1.0946184736286768e-06,2.7505536135651287e-07,1.8935870337722171e-08,7.5901079333530077e-09,1.4765609550081266e-07,1.1730305228207068e-07
0.1275,1.9143500090133396e-06,1.4769140949244326e-06,4.8349634534142171e-07,1.0861463735377393e-07,-2.6823665482676843e-09,1.137484326867147e-07,1.4189130160695582e-07
0.13,2.3436601554828771e-06,1.7590367384747045e-06,6.8954078962355068e-07,2.4201528849502882e-07,2.8586163770058283e-08,7.3640726015432586e-08,1.5381401609029801e-07
0.1325,2.3620580450212791e-06,1.9058305580578531e-06,8.5770599242541e-07,3.9536708054195155e-07,1.0425458854854184e-07,3.43316830460606e-08,1.5410269258887558e-07
0.135,1.9960626774006608e-06,1.8990565348725412e-06,9.6125525143743894e-07,5.3853756320364684e-07,2.1374641734704691e-07,6.4538359939822082e-09,1.4669201268205358e-07
0.1375,1.309185591427581e-06,1.7399946217819437e-06,9.8676485680353104e-07,6.43964742785242e-07,3.3599539674881161e-07,1.6986333101405918e-09,1.3559756139282573e-07
0.14,3.8891583146124293e-07,1.4505839559844097e-06,9.348935728265101e-07,6.9351605365798547e-07,4.4563410859171919e-07,2.8620549244129342e-08,1.2307720970134127e-07
0.1425,-6.5883782466036439e-07,1.072778457118404e-06,8.1937261488715173e-07,6.8210020976382214e-07,5.2027559452270467e-07,8.8189121285690514e-08,1.092173249929339e-07
0.145,-1.7207500424955017e-06,6.5992809090130993e-07,6.6333287762503896e-07,6.1764036408644248e-07,5.4711515378274213e-07,1.7162725363992338e-07,9.2609779058506735e-08
