Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.0625,3.8837854324240627e-18,1.4923325403204546e-17,3.1237668997799913e-17,2.0508602182142129e-17,5.434924154495585e-18,5.9771625514096552e-18,2.3949374232745008e-16
0.065,-4.0709183686052213e-18,-1.923027210649666e-17,-6.5201668426481018e-17,-7.871384904613816e-17,-4.919837307579832e-17,-8.7368496510200878e-17,-2.675655932170066e-16
0.0675,-6.5579841618080861e-17,-6.8404569946078599e-17,-8.6006738704371644e-17,-8.8392266905006202e-17,-9.4298996669187183e-17,-9.8942848973000961e-17,-1.6337060924448934e-17
0.07,4.4714059096925819e-18,-7.3639818979342392e-18,-2.4177181584261725e-17,-2.027980569135433e-17,-1.9610728502738579e-17,-2.4685064974113466e-17,1.5139143550108528e-16
0.0725,-1.5570516488277272e-17,-5.3504831161907064e-18,-4.3558612781869717e-17,-6.6637461664036183e-17,-7.2356446962366091e-17,-7.3082853871747554e-17,-4.9844372074930438e-18
0.075,2.4841424715669661e-16,2.1859395433920247e-16,2.778032115185364e-16,2.8679736053805316e-16,2.8649004431075279e-16,2.8219730231163276e-16,2.6378057985689818e-16
0.0775,1.2764531456468111e-16,1.572109578864452e-16,1.4380049061538307e-16,1.261991479687495e-16,1.2011694728176129e-16,1.2529369634133309e-16,1.380217653714198e-16
0.08,2.2896252770753325e-16,2.0785555652736088e-16,1.9503977356307956e-16,2.0454845435298706e-16,2.1895037015192159e-16,2.220262951144422e-16,2.2206682681266308e-16
0.0825,-8.9639466124854426e-17,-9.5169994431033655e-17,-7.3616820503807774e-17,-1.1885249613301646e-16,-1.2641112519987594e-16,-1.3586480329207475e-16,-1.2511029995006394e-16
0.085,-9.0131925237262584e-17,-9.0727629069457401e-17,-3.8400123354916477e-17,-1.1385514254065516e-16,-1.1141657663348757e-16,-1.1687869642308242e-16,-9.6981732410489145e-17
