Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.0575,4.0781664643540723e-10,3.9906464412937186e-10,2.6976219551514685e-10,1.1333749267163656e-10,1.1777340300053589e-11,-5.0568589652302992e-12,5.0663179672914856e-11
0.06,2.8784399862986914e-10,2.809304816677737e-10,1.8990490400550703e-10,8.2211848350829167e-11,-4.8215025892583334e-12,-4.9875924760449974e-11,1.7323575385978604e-12
0.0625,2.2232795105390721e-10,2.1560323649702317e-10,1.4622858876923251e-10,8.0743722375534997e-11,1.6676307052195389e-11,-3.9988452043265753e-11,3.8314674329948793e-12
0.065,2.194238075305559e-10,2.1276322025185687e-10,1.4973146812947755e-10,1.1304808717632385e-10,7.5746135961024583e-11,2.2677996417809082e-11,5.0429879785009977e-11
0.0675,2.6826143780494262e-10,2.6121802005571586e-10,1.9122862055177726e-10,1.6545849764917623e-10,1.5055469588139081e-10,1.0984425949082885e-10,1.2189251765759016e-10
0.07,3.4372907366943126e-10,3.3547862099046701e-10,2.496524999540639e-10,2.184118009586222e-10,2.1713193268857679e-10,1.920538456254929e-10,1.9402634099563613e-10
0.0725,4.1680654346791106e-10,4.0676241672302435e-10,3.0190905961418419e-10,2.538029616148149e-10,2.5638734245798598e-10,2.4714250360874996e-10,2.4295578924751061e-10
0.075,4.6688350753815154e-10,4.54162071339373e-10,3.3096479884895067e-10,2.6041039254284235e-10,2.5835254359035045e-10,2.6194777335422783e-10,2.5411158969827539e-10
0.0775,4.8306046855123587e-10,4.6696304336892663e-10,3.2888649506220537e-10,2.3562432694438651e-10,2.2299120741617346e-10,2.3428790074682082e-10,2.2545622491288783e-10
0.08,4.6314206698936856e-10,4.4427302303464243e-10,2.9747267417555408e-10,1.8579594171810736e-10,1.5988143117589424e-10,1.7205214596483593e-10,1.6633151521339979e-10
0.0825,4.1657490096391212e-10,3.9617478674945174e-10,2.4667967056091272e-10,1.2284185043715609e-10,8.4063345574309668e-11,9.0410146878105129e-11,9.0678631594262768e-11
0.085,3.6032392807596713e-10,3.3881423646254361e-10,1.8910431233811334e-10,5.7767532062491164e-11,8.1021078382847994e-12,4.2419152615154029e-12,9.858057199386266e-12
0.0875,3.0759444900129764e-10,2.8689222504703609e-10,1.3991655192676514e-10,5.1531157732298748e-12,-5.198000331997434e-11,-6.7375079851313284e-11,-5.9983020279513578e-11
0.09,2.7199856112966013e-10,2.5246818450085692e-10,1.075457149759374e-10,-3.0172390630521686e-11,-9.2409834495881221e-11,-1.180193558206801e-10,-1.1284525720398943e-10
0.0925,2.5914953106283879e-10,2.4127384285106909e-10,9.8098020864581607e-11,-4.2972010346905918e-11,-1.0854620505855726e-10,-1.4164020193062368e-10,-1.411453716697403e-10
0.095,2.6593879035734657e-10,2.5542273168594024e-10,1.2322369662903723e-10,-1.5886193991151232e-11,-7.9842275691854647e-11,-1.1231992104921893e-10,-1.1609029471768075e-10
