Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.0425,2.4605785199577227e-06,1.1576002362600928e-07,1.851135597767414e-09,3.3411551649209351e-09,1.5059153544539163e-08,1.5284435071200916e-09,5.6220826577958616e-11
0.045,2.6231400703633558e-06,1.2771150505244953e-07,5.7454055157460287e-09,3.5683996711386644e-10,7.1489916742959405e-09,1.3164703646802074e-09,1.6768948308886115e-10
0.0475,2.7185335670261354e-06,1.2251217160034799e-07,8.4395944917856825e-09,1.1949187581021111e-09,1.7587448104260057e-09,3.7213994163523245e-09,3.7876100463350333e-10
0.05,2.7689784485126161e-06,1.0643171625718373e-07,8.4562738151483465e-09,2.6627334333710564e-09,2.9194451921696018e-10,5.264076223976694e-09,6.3491022467455148e-10
0.0525,2.8026384411978975e-06,8.7485096834766517e-08,6.4412954982645439e-09,3.3062114700971003e-09,7.4485994723098791e-10,4.2992604361730694e-09,7.6171804882783744e-10
0.055,2.8477028978537407e-06,7.1994492302041587e-08,3.9208204428148311e-09,2.9010774250390438e-09,1.3885191101104607e-09,2.199565160413798e-09,6.0985443095957873e-10
0.0575,2.9271024755248535e-06,6.3226188010714709e-08,2.0572048737716448e-09,1.8965334050540393e-09,1.5612064984446113e-09,7.0636880600742251e-10,3.0492656210442428e-10
0.06,3.0527385849656576e-06,6.1876047377949995e-08,1.1257528739462131e-09,9.0039540849928296e-10,1.262783765325693e-09,2.3448406278870289e-10,2.2704263796115426e-10
0.0625,3.2217346221903914e-06,6.7188582406130063e-08,7.8377670030994203e-10,2.8081622031354734e-10,7.5437534440372177e-10,3.0347630441762044e-10,5.7864144220987317e-10
0.065,3.4178015167671854e-06,7.7510195586179374e-08,6.6594047983308431e-10,4.6500536641242974e-11,3.0959599588856237e-10,4.1751048092690779e-10,1.0649244388743871e-09
0.0675,3.6181505507835045e-06,9.0353379552363777e-08,7.0782602863063467e-10,5.2168108990191076e-12,6.6952286248442611e-11,3.8946631750563546e-10,1.2042042821317822e-09
0.07,3.802653272760245e-06,1.0276436195612456e-07,1.0136999793881809e-09,1.4577471115935044e-12,1.9497023444491954e-12,2.5291337918333479e-10,8.9271572689713075e-10
0.0725,3.960421180883189e-06,1.1225903357928336e-07,1.5821666370453717e-09,1.590959493608786e-11,1.0123522932289755e-11,1.0720267045878662e-10,4.6009749173045251e-10
0.075,4.0909875076040751e-06,1.177543110554445e-07,2.2322114704012937e-09,9.4957839076589274e-11,1.4709753987793706e-11,2.3783229552621994e-11,2.2295380735773279e-10
0.0775,4.2010583265412703e-06,1.1980708683794902e-07,2.7455808323207331e-09,2.4856637881599704e-10,8.7629372438244067e-12,1.3666425601226522e-11,1.8897508689232064e-10
0.08,4.2998310821720898e-06,1.200693195495634e-07,3.0234459716243986e-09,4.2990552445529902e-10,2.33250175987426e-11,3.9708176553603684e-11,1.9384391816490812e-10
0.0825,4.3951383907712398e-06,1.2042502230955086e-07,3.1167233417626867e-09,5.8302888461126554e-10,7.9603769152293334e-11,5.5184028147091023e-11,1.4232352863578487e-10
0.085,4.4909468995950682e-06,1.2230298366727106e-07,3.152325821631019e-09,6.8666616774281474e-10,1.7184903735047341e-10,4.01788710079409e-11,6.0637155642234636e-11
0.0875,4.5863402128814362e-06,1.2635246681267858e-07,3.2507704906182958e-09,7.577137275224997e-10,2.7999813600183652e-10,1.1611679488979201e-11,8.5397005388831501e-12
0.09,4.6757340831611176e-06,1.324027587888481e-07,3.4856581037515535e-09,8.2854764215070375e-10,3.8720396961688108e-10,4.9149135464592899e-12,6.4324252791496396e-12
