Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
0.135,7.6243073037961254e-08,1.3794292563988696e-07,2.5808258678264849e-07,3.1596684322937337e-07,3.2987933392579907e-07,3.3092077916122872e-07,3.6414271798250897e-07
0.1375,5.8462805530894039e-08,1.292131977405643e-07,2.6819052150965867e-07,3.4463094179141323e-07,3.6995926422887666e-07,3.7367528538935917e-07,3.9774420554769952e-07
0.14,3.5980269736389743e-08,1.1336623748393736e-07,2.6402909013205826e-07,3.5549958993553674e-07,3.9314908123213917e-07,4.0380298155969429e-07,4.1875849700467835e-07
0.1425,1.5271010642689096e-08,9.5895540673901623e-08,2.4912345594515317e-07,3.493247260086904e-07,3.9776443761798866e-07,4.1831999147563353e-07,4.2618028230748115e-07
0.145,-2.32319019558738e-09,7.7301257215180241e-08,2.2357398328950525e-07,3.2480207935917137e-07,3.8046488591252807e-07,4.118633688631194e-07,4.154334466082125e-07
0.1475,-1.8022217980492174e-08,5.5847135856526384e-08,1.8663747456047824e-07,2.8135682896271854e-07,3.3954947935250934e-07,3.8069303064327264e-07,3.8247004641147009e-07
0.15,-3.2096446605459999e-08,3.1349738361789115e-08,1.4007453204600737e-07,2.2218440582953268e-07,2.7811556384083378e-07,3.2634770732427312e-07,3.2789089236008785e-07
0.1525,-4.2015719271997655e-08,7.1855335932458776e-09,8.9711963572639669e-08,1.55260710052353e-07,2.0489852704861537e-07,2.5668399072948088e-07,2.5856495233933513e-07
0.155,-4.3158498246960015e-08,-1.0542610340662502e-08,4.4207008795748718e-08,9.1522723531527898e-08,1.3211679791648401e-07,1.8370100735207394e-07,1.8591724046256237e-07
0.1575,-3.1284834130813166e-08,-1.5823108078672265e-08,1.1878892613347951e-08,4.1269126626558977e-08,7.1513496143426593e-08,1.1945715092436512e-07,1.220275095691554e-07
0.16,-5.189510000448512e-09,-5.8023981568101639e-09,-2.6540742869488215e-09,1.052005305634143e-08,3.0392810671639223e-08,7.1946958738079426e-08,7.5364272378588039e-08
0.1625,3.2040248372381585e-08,1.7609068118162722e-08,-2.5814044723335448e-10,-8.6815246695077836e-10,9.5211879407938281e-09,4.2823195685812923e-08,4.8139346905337755e-08
0.165,7.3840509975894252e-08,4.8400837542582031e-08,1.33739340261426e-08,1.5081460159494017e-09,3.7416560031801927e-09,2.780510688896265e-08,3.6315397058377969e-08
0.1675,1.1243642485973321e-07,7.8859988296547428e-08,3.0356423621736421e-08,9.452426699782107e-09,4.894919470054511e-09,1.9439590076241478e-08,3.2117318751014528e-08
0.17,1.4122374369723799e-07,1.0223756418551618e-07,4.3632959513402446e-08,1.5478220587754831e-08,5.3024377659454116e-09,1.0533885546493256e-08,2.7465180296211405e-08
0.1725,1.5643340902622299e-07,1.1459589124046387e-07,4.9038040159993378e-08,1.5069146384055724e-08,1.8763430759504896e-10,-3.4146201046433163e-09,1.6622487460606797e-08
