Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
0.2825,-2.8711527453540492e-07
0.285,-2.845069328640205e-07
0.2875,-2.819139030879598e-07
0.29,-2.7934412770445242e-07
0.2925,-2.7681777230796766e-07
0.295,-2.7433788946238425e-07
0.2975,-2.7187781620311341e-07
0.3,-2.6943952531542489e-07
0.3025,-2.6700469846912659e-07
0.305,-2.6458425953860538e-07
0.3075,-2.6219186062337476e-07
0.31,-2.5981421896846322e-07
0.3125,-2.574600860120191e-07
0.315,-2.5513159043351732e-07
0.3175,-2.528474868310987e-07
0.32,-2.5062411420053854e-07
0.3225,-2.4846535489820944e-07
0.325,-2.4637074797745073e-07
0.3275,-2.443397754237356e-07
0.33,-2.4235386845994445e-07
0.3325,-2.4041827084097582e-07
0.335,-2.3850366937121938e-07
0.3375,-2.3659806811935872e-07
0.34,-2.3470253653440314e-07
0.3425,-2.3281168159921714e-07
0.345,-2.309327950070598e-07
0.3475,-2.290848730513306e-07
0.35,-2.2724989954804432e-07
0.3525,-2.2543659474405065e-07
0.355,-2.2364359428507786e-07
0.3575,-2.2187817583957151e-07
0.36,-2.2014421498390172e-07
0.3625,-2.1844656868401282e-07
0.365,-2.1678158793577749e-07
0.3675,-2.1514957985385302e-07
0.37,-2.1355892656850743e-07
0.3725,-2.1199719689702355e-07
0.375,-2.1047075613286852e-07
0.3775,-2.0898416124728633e-07
0.38,-2.0752617854229438e-07
0.3825,-2.0608550801910697e-07
0.385,-2.0465951193584502e-07
0.3875,-2.0325642678322594e-07
0.39,-2.0186265311895903e-07
0.3925,-2.0048269311089989e-07
0.395,-1.9911825078172385e-07
0.3975,-1.9775981127963583e-07
0.4,-1.9641459613131323e-07
0.4025,-1.9508003118059301e-07
0.405,-1.9371420968322342e-07
0.4075,-1.9241478437759384e-07
0.41,-1.9115602516638785e-07
0.4125,-1.8992202486602798e-07
0.415,-1.8869962832054756e-07
0.4175,-1.8739815994129632e-07
0.42,-1.8604230112882733e-07
0.4225,-1.847111723036623e-07
0.425,-1.8339514310615715e-07
0.4275,-1.8208207037550478e-07
0.43,-1.807665823447267e-07
0.4325,-1.7945513019411442e-07
0.435,-1.7815566143537267e-07
0.4375,-1.7687414646376711e-07
0.44,-1.7560612534672234e-07
0.4425,-1.7435953557731793e-07
0.445,-1.7304957415712283e-07
0.4475,-1.7172743739156987e-07
0.45,-1.7042386161349396e-07
0.4525,-1.6915165204372401e-07
0.455,-1.6790438061223766e-07
0.4575,-1.6668207300419568e-07
0.46,-1.6551957832995024e-07
0.4625,-1.6438961712453247e-07
0.465,-1.6326384441920713e-07
0.4675,-1.6215172625352471e-07
0.47,-1.6104342058865326e-07
0.4725,-1.5994272217697529e-07
0.475,-1.5884199332918238e-07
0.4775,-1.5775734908940117e-07
0.48,-1.5668525690826327e-07
0.4825,-1.5563135423620608e-07
0.485,-1.5463341579598439e-07
0.4875,-1.5351707635194211e-07
0.49,-1.5261240396259182e-07
0.4925,-1.5168857810594755e-07
0.495,-1.5075770012027961e-07
0.4975,-1.4981420227808471e-07
0.5,-1.4887517131020829e-07
0.5025,-1.4794675254702555e-07
0.505,-1.4701298630084598e-07
0.5075,-1.4610203473216068e-07
0.51,-1.4518618030989336e-07
0.5125,-1.4426719882475236e-07
0.515,-1.43354984889442e-07
0.5175,-1.4247078218269644e-07
0.52,-1.4158553690192126e-07
0.5225,-1.4070052318904703e-07
0.525,-1.399068231986873e-07
0.5275,-1.3902981199180348e-07
0.53,-1.3811975885565269e-07
0.5325,-1.3718603450549676e-07
0.535,-1.3624772573358143e-07
0.5375,-1.3531029073916132e-07
0.54,-1.3438734723246876e-07
0.5425,-1.3347069122873845e-07
0.545,-1.3255341415072494e-07
0.5475,-1.3163220427191033e-07
0.55,-1.3070844939795767e-07
0.5525,-1.2974051509845144e-07
0.555,-1.2874558282580773e-07
0.5575,-1.2772262799260422e-07
0.56,-1.2668475636257305e-07
0.5625,-1.2562790033646473e-07
0.565,-1.2456463878779457e-07
0.5675,-1.2350396258163001e-07
0.57,-1.224471385763896e-07
0.5725,-1.2140615070832861e-07
0.575,-1.2037436612094034e-07
0.5775,-1.1935392046266925e-07
0.58,-1.1834426282836694e-07
0.5825,-1.1735157095034644e-07
0.585,-1.1637628556469537e-07
0.5875,-1.1542464267927566e-07
0.59,-1.1449361825469432e-07
0.5925,-1.1358110954584513e-07
0.595,-1.1268771309287659e-07
0.5975,-1.118211596019485e-07
0.6,-1.109603349491613e-07
0.6025,-1.1010748075048974e-07
0.605,-1.092685443497861e-07
0.6075,-1.0843706199835003e-07
0.61,-1.0761132715843618e-07
0.6125,-1.0678871423087073e-07
0.615,-1.0597366670375746e-07
0.6175,-1.0516635202881859e-07
0.62,-1.0436210909522369e-07
0.6225,-1.0356699917715047e-07
0.625,-1.0278094774911012e-07
0.6275,-1.0199938858303828e-07
0.63,-1.0121614897718401e-07
0.6325,-1.0043138425082595e-07
0.635,-9.9650824556407096e-08
0.6375,-9.8860039443666841e-08
0.64,-9.8067381202073017e-08
0.6425,-9.7262728580319459e-08
0.645,-9.6450904998499687e-08
0.6475,-9.5629492555895269e-08
0.65,-9.4794704298655884e-08
0.6525,-9.3950933180760392e-08
0.655,-9.3100960018646009e-08
0.6575,-9.2248045308381334e-08
0.66,-9.1389165617718009e-08
0.6625,-9.0524933798591365e-08
0.665,-8.966395725877127e-08
0.6675,-8.8808608087379567e-08
0.67,-8.7958904691286931e-08
0.6725,-8.7116547788405982e-08
0.675,-8.6278287105894983e-08
0.6775,-8.5443782760481345e-08
0.68,-8.461233547051427e-08
0.6825,-8.3783911650645764e-08
0.685,-8.2957606496863671e-08
0.6875,-8.2133683804680136e-08
0.69,-8.1309211775984037e-08
0.6925,-8.0483581675246629e-08
0.695,-7.9653501456093066e-08
0.6975,-7.8819043457852314e-08
0.7,-7.7982720949093066e-08
0.7025,-7.7138729557855909e-08
0.705,-7.6289267711901882e-08
0.7075,-7.5428525867971288e-08
0.71,-7.4562672234554294e-08
0.7125,-7.3696659425150581e-08
0.715,-7.2820180674488727e-08
0.7175,-7.1943905946134345e-08
0.72,-7.1062884554071126e-08
0.7225,-7.0179942307933599e-08
0.725,-6.9297321204745163e-08
0.7275,-6.8415226683178864e-08
0.73,-6.7536107077106118e-08
0.7325,-6.6657657309469854e-08
0.735,-6.5779812146143521e-08
0.7375,-6.4905266994502783e-08
0.74,-6.403311816376533e-08
0.7425,-6.3157555862790582e-08
0.745,-6.2284396271158987e-08
0.7475,-6.1406930514914372e-08
0.75,-6.0533649895624979e-08
0.7525,-5.9655366942209518e-08
0.755,-5.8773934039282403e-08
0.7575,-5.7891834943010389e-08
0.76,-5.7003479767783329e-08
0.7625,-5.6108569279264249e-08
0.765,-5.5203391272708634e-08
0.7675,-5.4291169408401181e-08
0.77,-5.3330434385222234e-08
0.7725,-5.2392467246256476e-08
0.775,-5.1457701930005923e-08
0.7775,-5.0520225751492475e-08
0.78,-4.9578262042705753e-08
0.7825,-4.8623207944780458e-08
0.785,-4.7667692636371891e-08
0.7875,-4.6707330148051382e-08
0.79,-4.5745849529475213e-08
0.7925,-4.4788162885979717e-08
0.795,-4.3826349419200087e-08
0.7975,-4.287157207211224e-08
0.8,-4.1916158836246605e-08
0.8025,-4.097079838650542e-08
0.805,-4.0036012040178934e-08
0.8075,-3.910785715130167e-08
0.81,-3.8196809896920054e-08
0.8125,-3.7301475667176552e-08
0.815,-3.6416931630558817e-08
0.8175,-3.5547433093144821e-08
0.82,-3.4696631746096836e-08
0.8225,-3.3859672918620679e-08
0.825,-3.3045474230110233e-08
0.8275,-3.225238772014827e-08
0.83,-3.1472036705244923e-08
0.8325,-3.0724807727922976e-08
0.835,-2.9998946371311814e-08
0.8375,-2.9298537193933915e-08
0.84,-2.8616078907422414e-08
0.8425,-2.795352552816006e-08
0.845,-2.7316057911895944e-08
0.8475,-2.669824324172076e-08
0.85,-2.6102200461002243e-08
0.8525,-2.5525296436639777e-08
0.855,-2.4965053901507892e-08
