Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
0.045,8.5247411271032467e-05,9.3639977387843839e-05,9.4426544099907131e-05,9.4688997088634259e-05,9.4817979026584409e-05,9.4919211378110291e-05,9.4954361390173564e-05
0.0475,8.4866023689891151e-05,9.3847446637572749e-05,9.4651046157376111e-05,9.491545100300703e-05,9.504235507850359e-05,9.5149605508772632e-05,9.5190817417075015e-05
0.05,8.4472855673972853e-05,9.4079437982707453e-05,9.4900977255772036e-05,9.5168379928783307e-05,9.5294476201652139e-05,9.5407770785794243e-05,9.545213338599136e-05
0.0525,8.4067077367774235e-05,9.433128377613802e-05,9.5169773433979293e-05,9.543928297112298e-05,9.5564846802244802e-05,9.5678733755060131e-05,9.5721075966093754e-05
0.055,8.3654173275018231e-05,9.4605394481532123e-05,9.5460683417944331e-05,9.5731948269846471e-05,9.5857704853776759e-05,9.5968553080313183e-05,9.600911168273776e-05
0.0575,8.3238883019731247e-05,9.4902602905428836e-05,9.5775433447998235e-05,9.6048484879711888e-05,9.6175253305635846e-05,9.6282815178722197e-05,9.6323701987782688e-05
0.06,8.2824623057740619e-05,9.5221764340204981e-05,9.6113709845394358e-05,9.638898236132236e-05,9.6517575693539387e-05,9.6624351643480219e-05,9.6668357502096344e-05
0.0625,8.2412732116744097e-05,9.5558834962083668e-05,9.6471583018355549e-05,9.6749472603239046e-05,9.6880251350105708e-05,9.6988853447025846e-05,9.7037942950908992e-05
0.065,8.2001139291853879e-05,9.5905201844734609e-05,9.6838885797025854e-05,9.7118265644137032e-05,9.7249829393498057e-05,9.7358926977774717e-05,9.7408941426627789e-05
0.0675,8.1594209327590301e-05,9.6260336426166415e-05,9.7216041293154564e-05,9.7496732864851599e-05,9.7628628214888754e-05,9.7737972369237798e-05,9.7788629537322425e-05
0.07,8.1196662838004495e-05,9.6624324109102568e-05,9.7603905539678094e-05,9.7886416915513713e-05,9.8019008235796185e-05,9.8129351676153688e-05,9.8183011791866845e-05
0.0725,8.0811323490380515e-05,9.6995496995703329e-05,9.8000654629054208e-05,9.8285269128825533e-05,9.841874545219603e-05,9.853025866357364e-05,9.8587216110526118e-05
0.075,8.0441243701315283e-05,9.7373802221737069e-05,9.8406543365050673e-05,9.8693856227479622e-05,9.8828668998216087e-05,9.8942108085337476e-05,9.9002962270148179e-05
0.0775,8.0086604396287947e-05,9.7757477238565296e-05,9.8819644908202121e-05,9.9110139698385216e-05,9.9246616028913459e-05,9.9362477375824676e-05,9.9427258977891278e-05
0.08,7.9743444042526312e-05,9.8141885752228231e-05,9.9234453750301674e-05,9.9527754677532622e-05,9.9665445269095821e-05,9.9782564163304087e-05,9.98484493800508e-05
0.0825,7.9407231036055664e-05,9.8523817276701723e-05,9.9647465181468462e-05,9.9942817212017606e-05,0.00010008100522108419,0.00010019763848745761,0.00010026107824878529
0.085,7.9073925360428644e-05,9.8902640349952096e-05,0.00010005870433838161,0.0001003558380288753,0.00010049435928877774,0.00010060993807869494,0.00010066994475599367
0.0875,7.87352323300439e-05,9.9273873810291847e-05,0.0001004629864237328,0.00010076073434403646,0.00010089853146318941,0.00010101080708881402,0.00010106303534118921
0.09,7.8387096170849177e-05,9.9639344551238912e-05,0.00010086335374264989,0.00010116159310996746,0.00010129861645784361,0.00010140749606812057,0.00010145188774419307
0.0925,7.8023570873406186e-05,9.9998877398113257e-05,0.00010125979241557908,0.00010155844942644577,0.00010169465510770829,0.00010180014284358172,0.00010183675212148737
0.095,7.7632283342069891e-05,0.000100344568421781,0.00010164193926659756,0.00010193838042468333,0.00010207112547259544,0.00010216802363969128,0.00010218649379143012
0.0975,7.7217422061086983e-05,0.00010068931699998361,0.0001020273119324064,0.00010232339215581362,0.0001024544878287084,0.0001025465900424203,0.00010255436173980176
0.1,7.6772539941840766e-05,0.00010103219346954752,0.0001024150251469416,0.0001027125041919255,0.00010284365027171881,0.00010293446858030639,0.00010293845715900324
0.1025,7.6290416979445401e-05,0.00010137032139875632,0.00010280162090406137,0.00010310151426953192,0.00010323366981046765,0.00010332514311524371,0.00010332920891106622
0.105,7.5766574544041133e-05,0.00010170290846386301,0.00010318646142234971,0.00010348973637773213,0.00010362383026001889,0.00010371777797517156,0.0001037255674301434
0.1075,7.5196429746923949e-05,0.0001020270609511236,0.00010356593294936569,0.0001038726336485149,0.00010400869146446512,0.00010410509357982165,0.00010411658775027201
0.11,7.4580897981065965e-05,0.00010234383472019335,0.00010394100879389184,0.00010425103048286088,0.00010438894199333754,0.00010448751171764691,0.00010450216763433119
0.1125,7.3922084498142032e-05,0.00010265405592785779,0.00010431263787137849,0.00010462591027510445,0.00010476560824134392,0.00010486615672061409,0.00010488365363462745
0.115,7.322107421482879e-05,0.00010295636998677712,0.00010467962149821542,0.00010499597424943523,0.00010513728700311656,0.00010523943434439877,0.00010525907900147439
0.1175,7.2480093307721423e-05,0.00010324927696457598,0.00010504075367612246,0.00010535999431369856,0.00010550271410701829,0.00010560602161727888,0.00010562700172737619
0.12,7.1702861090889685e-05,0.0001035315557148992,0.00010539528078147965,0.0001057173365897197,0.00010586136053484493,0.00010596559996305423,0.0001059875019864114
