Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.035,-3.7347519371014061e-11,-3.6375343177547922e-11,-3.1311342953721823e-11,1.1750733546174893e-10,2.1762970199710001e-10,1.3391175430132944e-10,8.708683359931852e-11
0.0375,-1.9326191568443063e-12,-1.6562127140096145e-12,6.708591303316994e-14,4.8818160122169817e-11,2.3545575327298444e-10,2.2057353307350912e-10,1.5299382479489055e-10
0.04,2.3863203226769577e-13,-6.4245093998546548e-13,-1.9686221878941922e-13,5.4197249730461165e-12,1.3349184094522717e-10,2.1572015632398922e-10,1.5230960782187267e-10
0.0425,3.1128375353127483e-12,2.3607372471761265e-12,-1.2803629803681414e-12,-3.6460638547154708e-13,3.7995750562745059e-11,1.8556533762887492e-10,1.3683933576186703e-10
0.045,4.77958799562151e-12,4.5980488763532153e-12,-1.1965737826144065e-12,-3.3234988047269125e-12,7.061279789587422e-13,1.5727178361942217e-10,1.1577602856803861e-10
0.0475,4.7413546520797967e-12,4.1659269117187893e-12,-3.3716845687899531e-13,-7.5633978261461801e-12,-7.2269921541395391e-12,1.1583481177900982e-10,9.4469924957436555e-11
0.05,4.2378241097577777e-12,2.5949658129450815e-12,5.0736932147415769e-13,-8.034000303176431e-12,-1.0716626264611918e-11,5.5666460073386196e-11,7.7663363296373168e-11
0.0525,3.9410683013938358e-12,1.7261033093545528e-12,9.5003098565325941e-13,-4.8153593386439417e-12,-1.1122929018048201e-11,8.8652202404621449e-12,6.7471803912016063e-11
0.055,3.6146811218703964e-12,1.6592639735054779e-12,1.0634929160083842e-12,-1.2723591042642953e-12,-7.6116397968573082e-12,-7.2934788054073054e-12,6.1692862073892891e-11
0.0575,2.9263012650393626e-12,1.5752662632648927e-12,9.5486188247893443e-13,4.5922373209265195e-13,-3.2698384488936217e-12,-7.5359943235929894e-12,5.5950098613420363e-11
0.06,2.0722809469899967e-12,1.2220930957227335e-12,7.5074956130823505e-13,7.0189503442594706e-13,-5.9580958936048695e-13,-6.0888060702390965e-12,4.8901730683499512e-11
0.0625,1.4784901455773845e-12,9.0863215296235538e-13,6.325825021954833e-13,5.9252340426846646e-13,3.7396734148344015e-13,-4.8482538491048265e-12,4.2678160133124637e-11
0.065,1.2875387636825792e-12,8.1538421472763709e-13,6.6573292323391073e-13,6.3438743644043477e-13,6.1831892108806025e-13,-2.8521010200194079e-12,3.6962616201124616e-11
0.0675,1.4053000154863612e-12,8.8011665796653192e-13,7.8603899848936391e-13,7.7741995855706318e-13,7.6274354360551589e-13,-7.9763622929634557e-13,2.7936320238681464e-11
0.07,1.8024887505126036e-12,1.0570724265797625e-12,9.6023663069980173e-13,9.5884891596592542e-13,9.5667048231988752e-13,5.1331852720221918e-13,1.5579442536262167e-11
0.0725,2.5356773477408603e-12,1.361268768553063e-12,1.2024548061426581e-12,1.1862069719015932e-12,1.1899580415173434e-12,1.1316709156318852e-12,5.4290182138930513e-12
0.075,3.6004008651887413e-12,1.7762108557117086e-12,1.4875941792198689e-12,1.4320209180171767e-12,1.4316521646606385e-12,1.4433932830459568e-12,1.0690277108662709e-12
0.0775,4.8413173101652168e-12,2.2014535868165862e-12,1.6949791650047239e-12,1.6044042316673754e-12,1.5918916931539341e-12,1.6121192511499e-12,5.7136616249576961e-13
0.08,5.9004250874903054e-12,2.3747637048692423e-12,1.5446001960026879e-12,1.4607808393434256e-12,1.4208419106497758e-12,1.4420040570304312e-12,6.6739228296960626e-13
