Physical Time (s),FreestreamTemperature Monitor (K)
0.6625,300.00000000037659
0.665,300.0000000003804
0.6675,300.00000000038409
0.67,300.00000000038767
0.6725,300.00000000039108
0.675,300.00000000039438
0.6775,300.00000000039756
0.68,300.00000000040063
0.6825,300.00000000040359
0.685,300.00000000040643
0.6875,300.00000000040916
0.69,300.00000000041183
0.6925,300.00000000041445
0.695,300.00000000041706
0.6975,300.00000000041967
0.7,300.00000000042223
0.7025,300.00000000042485
0.705,300.00000000042746
0.7075,300.00000000043019
0.71,300.00000000043292
0.7125,300.00000000043553
0.715,300.00000000043826
0.7175,300.00000000044088
0.72,300.00000000044349
0.7225,300.00000000044605
0.725,300.00000000044849
0.7275,300.00000000045083
0.73,300.00000000045299
0.7325,300.00000000045503
0.735,300.00000000045696
0.7375,300.00000000045873
0.74,300.00000000046032
0.7425,300.00000000046185
0.745,300.00000000046322
0.7475,300.00000000046452
0.75,300.0000000004656
0.7525,300.00000000046663
0.755,300.00000000046754
0.7575,300.00000000046828
0.76,300.00000000046896
0.7625,300.00000000046958
0.765,300.00000000047021
0.7675,300.00000000047078
0.77,300.00000000047208
0.7725,300.00000000047271
0.775,300.00000000047305
0.7775,300.00000000047322
0.78,300.00000000047328
0.7825,300.00000000047339
0.785,300.00000000047334
0.7875,300.00000000047322
0.79,300.00000000047299
0.7925,300.0000000004726
0.795,300.0000000004722
0.7975,300.00000000047163
0.8,300.00000000047106
0.8025,300.00000000047032
0.805,300.00000000046941
0.8075,300.00000000046845
0.81,300.00000000046725
0.8125,300.00000000046589
0.815,300.00000000046447
0.8175,300.00000000046293
0.82,300.00000000046123
0.8225,300.00000000045947
0.825,300.00000000045748
0.8275,300.00000000045532
0.83,300.00000000045316
0.8325,300.0000000004506
0.835,300.00000000044787
0.8375,300.00000000044491
0.84,300.00000000044184
0.8425,300.00000000043866
0.845,300.00000000043525
0.8475,300.00000000043173
0.85,300.00000000042809
0.8525,300.00000000042434
0.855,300.00000000042053
0.8575,300.00000000041655
0.86,300.00000000041251
0.8625,300.00000000040848
0.865,300.00000000040438
0.8675,300.00000000040012
0.87,300.00000000039586
0.8725,300.00000000039148
0.875,300.00000000038699
0.8775,300.00000000038256
0.88,300.00000000037801
0.8825,300.00000000037357
0.885,300.00000000036886
0.8875,300.00000000036397
0.89,300.00000000035908
0.8925,300.00000000035402
0.895,300.00000000034896
0.8975,300.00000000034379
0.9,300.00000000033862
0.9025,300.00000000033333
0.905,300.0000000003281
0.9075,300.00000000032298
0.91,300.00000000031787
