Physical Time (s),ep_left Monitor (kg-m/s^3)
0.46,1.545174785151712e-07
0.4625,1.4757735936765698e-07
0.465,1.3526350788570633e-07
0.4675,1.183038025948308e-07
0.47,9.7501804206917257e-08
0.4725,7.3825496094715251e-08
0.475,4.8498246441322093e-08
0.4775,2.2522229637636713e-08
0.48,-2.6218520175035547e-09
0.4825,-2.4319831281538483e-08
0.485,-4.0910605952945892e-08
0.4875,-5.1282707601182792e-08
0.49,-5.4881826379366177e-08
0.4925,-5.1372635284703886e-08
0.495,-4.0803448084448174e-08
0.4975,-2.404245896521576e-08
0.5,-1.7871056145374407e-09
0.5025,2.4209740617563602e-08
0.505,5.2839241890523313e-08
0.5075,8.2308905150267707e-08
0.51,1.1068694429456655e-07
0.5125,1.3612289013503667e-07
0.515,1.5742953690663544e-07
0.5175,1.7325827163725368e-07
0.52,1.8259934667509338e-07
0.5225,1.8534484888017745e-07
0.525,1.8189390295452986e-07
0.5275,1.731325375802184e-07
0.53,1.6035707334216088e-07
0.5325,1.4535112943685844e-07
0.535,1.2994780740249259e-07
0.5375,1.1627183279509409e-07
0.54,1.0514809535776481e-07
0.5425,9.7927390872513325e-08
0.545,9.5623285637914141e-08
0.5475,9.9021815620348391e-08
0.55,1.0871684922943818e-07
0.5525,1.2447703957831933e-07
0.555,1.4556875469627869e-07
0.5575,1.711841031705749e-07
0.56,2.0024625176540689e-07
0.5625,2.3142077909945727e-07
0.565,2.6325155769059868e-07
0.5675,2.9433471259597435e-07
0.57,3.2339983436523206e-07
0.5725,3.493344856760606e-07
0.575,3.7117587333727203e-07
0.5775,3.88119625911696e-07
0.58,3.9956826568545546e-07
0.5825,4.0518988799726213e-07
0.585,4.0495713686531169e-07
0.5875,3.9914939967054772e-07
0.59,3.8831752031889263e-07
0.5925,3.7320956318195035e-07
0.595,3.5469706317807746e-07
0.5975,3.337314206615461e-07
0.6,3.1133216262613896e-07
0.6025,2.8856379754128692e-07
0.605,2.6645693317238683e-07
0.6075,2.4596300492951448e-07
0.61,2.2786609207340536e-07
0.6125,2.1273535632644001e-07
0.615,2.0090154032698352e-07
0.6175,1.9245546424831007e-07
0.62,1.8727058047949375e-07
0.6225,1.8503891675250985e-07
0.625,1.8531668891959193e-07
0.6275,1.875716741235538e-07
0.63,1.9123082475579408e-07
0.6325,1.9572860365166483e-07
0.635,2.0054333026781253e-07
0.6375,2.0523423262087122e-07
0.64,2.0945680726058144e-07
0.6425,2.1297571096217214e-07
0.645,2.1566313115539914e-07
0.6475,2.1749043360214059e-07
0.65,2.1851755243953798e-07
0.6525,2.1888233125966742e-07
0.655,2.187836010811624e-07
0.6575,2.1845832167821304e-07
0.66,2.1815662844550639e-07
