Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.045,3.0078539120837637e-08,3.0240227217982004e-08,3.0240244134409501e-08,3.0240244298593007e-08,3.0240244355226272e-08,3.0240244421921103e-08,3.0240244445090399e-08
0.0475,3.0639651396869035e-08,3.0834811895853564e-08,3.0834830791362259e-08,3.0834830950532469e-08,3.0834830992747737e-08,3.0834831042918683e-08,3.0834831076616784e-08
0.05,3.1159648101746884e-08,3.1391933709787096e-08,3.1391954861532695e-08,3.1391955019356473e-08,3.1391955051545789e-08,3.1391955092362183e-08,3.1391955127647544e-08
0.0525,3.1632661124368191e-08,3.1905150112618571e-08,3.1905173822290194e-08,3.1905173980596582e-08,3.1905174008315729e-08,3.1905174043557256e-08,3.1905174074059256e-08
0.055,3.2055947486589841e-08,3.2371090344457345e-08,3.2371116951578442e-08,3.2371117111115701e-08,3.2371117137351779e-08,3.2371117165835254e-08,3.2371117192827798e-08
0.0575,3.242910613828018e-08,3.2788801270086106e-08,3.2788831164535732e-08,3.2788831325211271e-08,3.2788831351240779e-08,3.2788831371556408e-08,3.2788831397930287e-08
0.06,3.2752398751147086e-08,3.3158168006713754e-08,3.315820164373958e-08,3.3158201805133079e-08,3.3158201831377316e-08,3.315820184510007e-08,3.3158201870745574e-08
0.0625,3.3025640930030118e-08,3.3478848429412097e-08,3.3478886338837354e-08,3.3478886500790126e-08,3.3478886527141123e-08,3.3478886537308033e-08,3.3478886560004135e-08
0.065,3.3247193319732291e-08,3.3749255682188886e-08,3.3749298479015716e-08,3.3749298641875826e-08,3.3749298668000215e-08,3.3749298676930754e-08,3.3749298694905839e-08
0.0675,3.3413464658609553e-08,3.3966010746877533e-08,3.3966059141407449e-08,3.3966059305787441e-08,3.3966059331497657e-08,3.3966059340213407e-08,3.3966059353574889e-08
0.07,3.3520014520781647e-08,3.4124962073053704e-08,3.4125016879802721e-08,3.4125017046200047e-08,3.4125017071617766e-08,3.4125017080222853e-08,3.4125017090330358e-08
0.0725,3.3562420500636052e-08,3.4221961415914377e-08,3.4222023561220007e-08,3.4222023729894615e-08,3.4222023755312412e-08,3.4222023763591941e-08,3.4222023771875672e-08
0.075,3.3537002694929916e-08,3.4253510898195358e-08,3.4253581432744903e-08,3.4253581603862565e-08,3.4253581629502319e-08,3.4253581637324853e-08,3.4253581644368276e-08
0.0775,3.3441470957895907e-08,3.4217373684555019e-08,3.4217453803476147e-08,3.4217453977272267e-08,3.4217454003184633e-08,3.4217454010616142e-08,3.4217454016327692e-08
0.08,3.3274913151351778e-08,3.4112560393388274e-08,3.4112651466533287e-08,3.4112651643307733e-08,3.4112651669461768e-08,3.411265167667377e-08,3.4112651680935822e-08
0.0825,3.303851190223805e-08,3.394006506637365e-08,3.3940168673064714e-08,3.3940168853090661e-08,3.394016887948618e-08,3.3940168886621552e-08,3.3940168889628301e-08
0.085,3.2735105603786921e-08,3.3702464880032221e-08,3.3702582847714431e-08,3.3702583031188842e-08,3.3702583057884104e-08,3.3702583065004932e-08,3.3702583067173071e-08
0.0875,3.2369249413547611e-08,3.3404008544413323e-08,3.3404142986551838e-08,3.340414317362418e-08,3.3404143200692951e-08,3.3404143207806499e-08,3.3404143209539151e-08
0.09,3.1946982528731104e-08,3.3050396323190743e-08,3.3050549676717506e-08,3.3050549867551077e-08,3.3050549895036648e-08,3.3050549902151864e-08,3.3050549903691525e-08
0.0925,3.1476084230648074e-08,3.2649032554061437e-08,3.264920761048559e-08,3.264920780529391e-08,3.2649207833202997e-08,3.2649207840357163e-08,3.2649207841778875e-08
0.095,3.0963903184772003e-08,3.2206840808576593e-08,3.2207040760016496e-08,3.2207040959067651e-08,3.2207040987397495e-08,3.2207040994640143e-08,3.220704099593656e-08
0.0975,3.0416640012754442e-08,3.1729523705542973e-08,3.1729752208835372e-08,3.1729752412433743e-08,3.1729752441197897e-08,3.1729752448562219e-08,3.1729752449729411e-08
0.1,2.9839767013758558e-08,3.1221923754074739e-08,3.1222185006029435e-08,3.1222185214491555e-08,3.1222185243723152e-08,3.1222185251214516e-08,3.1222185252283366e-08
0.1025,2.9238172830348554e-08,3.068817128103435e-08,3.0688470108379607e-08,3.0688470322011222e-08,3.0688470351750278e-08,3.0688470359355946e-08,3.0688470360376415e-08
0.105,2.8616293312187552e-08,3.0131826698393877e-08,3.0132168666583207e-08,3.0132168885661616e-08,3.0132168915942183e-08,3.0132168923646682e-08,3.0132168924660984e-08
0.1075,2.7979790905710042e-08,2.9557590897399274e-08,2.9557982415922423e-08,2.9557982640694699e-08,2.955798267153984e-08,2.9557982679333506e-08,2.9557982680362274e-08
0.11,2.7338896644420056e-08,2.8974705100080802e-08,2.8975153461240551e-08,2.8975153691940333e-08,2.8975153723366887e-08,2.8975153731248353e-08,2.8975153732294479e-08
0.1125,2.6701456658092807e-08,2.8390084531638018e-08,2.8390598069617876e-08,2.8390598306470321e-08,2.8390598338489374e-08,2.8390598346461887e-08,2.8390598347518878e-08
0.115,2.6070783798572809e-08,2.7806245093090747e-08,2.7806833517813325e-08,2.7806833761044828e-08,2.7806833793661582e-08,2.7806833801726467e-08,2.7806833802786056e-08
0.1175,2.5450140919646161e-08,2.722585400723678e-08,2.7226528777037296e-08,2.7226529026898664e-08,2.7226529060118496e-08,2.7226529068273064e-08,2.7226529069327269e-08
0.12,2.4842548570069222e-08,2.6651585888750808e-08,2.6652360676937004e-08,2.6652360933710323e-08,2.6652360967544505e-08,2.6652360975784812e-08,2.6652360976825958e-08
0.1225,2.4250434839562886e-08,2.6085825810717346e-08,2.608671710219165e-08,2.6086717366193184e-08,2.6086717400660603e-08,2.6086717408985961e-08,2.608671741000818e-08
0.125,2.3676670036568561e-08,2.5531737450739344e-08,2.55327652216508e-08,2.5532765493223767e-08,2.5532765528349591e-08,2.5532765536766822e-08,2.5532765537768025e-08
0.1275,2.3127714525017936e-08,2.4996399385221266e-08,2.499758769496052e-08,2.4997587974438909e-08,2.4997588010245371e-08,2.4997588018766889e-08,2.4997588019748898e-08
0.13,2.2607577341526484e-08,2.4484707808408523e-08,2.4486085693114192e-08,2.4486085980816989e-08,2.4486086017314306e-08,2.4486086025953311e-08,2.4486086026921731e-08
0.1325,2.211432950116864e-08,2.3995802090577397e-08,2.3997404928317322e-08,2.3997405224584281e-08,2.3997405261770119e-08,2.3997405270539802e-08,2.3997405271502418e-08
0.135,2.1644599561424777e-08,2.352746718162946e-08,2.3529338124543374e-08,2.3529338429757952e-08,2.3529338467621662e-08,2.352933847653266e-08,2.3529338477497788e-08
0.1375,2.1194650961586533e-08,2.3077133313875051e-08,2.3079324731801611e-08,2.3079325046389148e-08,2.3079325084917682e-08,2.3079325093975085e-08,2.3079325094951552e-08
0.14,2.0761609896166723e-08,2.2643021058280469e-08,2.2645595868068812e-08,2.2645596192486275e-08,2.2645596231668904e-08,2.264559624086973e-08,2.2645596241867383e-08
