Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
0.16,-3.2528123758028515e-05
0.1625,-4.0646031011729368e-05
0.165,-4.9367647501608988e-05
0.1675,-5.803288214696049e-05
0.17,-6.5822343796482488e-05
0.1725,-7.1922345746131195e-05
0.175,-7.552549878252809e-05
0.1775,-7.609586850787587e-05
0.18,-7.3525332623798498e-05
0.1825,-6.8160209304604706e-05
0.185,-6.0800031189991495e-05
0.1875,-5.2534872587164649e-05
0.19,-4.4533126911982417e-05
0.1925,-3.7810210589535616e-05
0.195,-3.3083837760315962e-05
0.1975,-3.0616626468237793e-05
0.2,-3.0161198366264222e-05
0.2025,-3.1017262226468653e-05
0.205,-3.2178888098165079e-05
0.2075,-3.2558982056341469e-05
0.21,-3.1268493973905596e-05
0.2125,-2.7744372733830184e-05
0.215,-2.1838074989082682e-05
0.2175,-1.3877894046710037e-05
0.22,-4.5434250322656318e-06
0.2225,5.1920369146147311e-06
0.225,1.4313640385563178e-05
0.2275,2.1921733997759263e-05
0.23,2.7311610713174374e-05
0.2325,3.0063756637933209e-05
0.235,3.0078327812528261e-05
0.2375,2.7550023428577762e-05
0.24,2.2584150175455756e-05
0.2425,1.630365628078528e-05
0.245,9.2933487491707645e-06
0.2475,2.1711194223308983e-06
0.25,-4.7584066938051375e-06
0.2525,-1.1350007963217669e-05
0.255,-1.7395020829731296e-05
0.2575,-2.3023724293356993e-05
0.26,-2.831549832341981e-05
0.2625,-3.3477894411650779e-05
0.265,-3.8604800668176919e-05
0.2675,-4.3731125319663492e-05
0.27,-4.8745066536157275e-05
0.2725,-5.3158374079257196e-05
0.275,-5.6687578740911295e-05
0.2775,-5.9048696067844634e-05
0.28,-6.0289036604233789e-05
0.2825,-6.01212513674964e-05
0.285,-5.8515221373434671e-05
0.2875,-5.5277404096772306e-05
0.29,-5.0495749030517458e-05
0.2925,-4.4497964854998264e-05
0.295,-3.7633242098581271e-05
0.2975,-3.0199709952285613e-05
0.3,-2.2340366473678216e-05
0.3025,-1.4585322021509407e-05
0.305,-7.4498709479771764e-06
0.3075,-1.1593599673762021e-06
0.31,3.9268193167669795e-06
0.3125,7.6180800897392082e-06
0.315,1.0031873548407556e-05
0.3175,1.1219839054994799e-05
0.32,1.1336951412549378e-05
0.3225,1.0555346340200095e-05
0.325,8.9218063796058516e-06
0.3275,6.469549964607155e-06
0.33,3.2281427186836494e-06
0.3325,-7.7560109775915232e-07
0.335,-5.7078963797189502e-06
0.3375,-1.1424641835463058e-05
0.34,-1.7565229074899476e-05
0.3425,-2.3967348457975564e-05
0.345,-3.038688452330766e-05
0.3475,-3.6477327529234938e-05
0.35,-4.2262596683987311e-05
0.3525,-4.7514127166519671e-05
0.355,-5.2018645221404702e-05
0.3575,-5.5598908046886346e-05
0.36,-5.8130413607785602e-05
0.3625,-5.9544613910293279e-05
0.365,-5.9813567096626973e-05
0.3675,-5.8937567446206656e-05
0.37,-5.6944669422320069e-05
0.3725,-5.3875790679751946e-05
0.375,-4.9867801655883293e-05
0.3775,-4.4976305126902732e-05
0.38,-3.9302550630459723e-05
0.3825,-3.2940216456599389e-05
0.385,-2.5958555385573974e-05
0.3875,-1.8413929316057967e-05
0.39,-1.0373199515842877e-05
0.3925,-1.9306284743370085e-06
0.395,6.7874697879686156e-06
0.3975,1.5619961019577547e-05
0.4,2.4369346268498483e-05
0.4025,3.2797668559950813e-05
0.405,4.0774555956172117e-05
0.4075,4.7957864015478401e-05
0.41,5.3973017947862827e-05
0.4125,5.8525326576750668e-05
0.415,6.1139826713409791e-05
0.4175,6.1600635298267491e-05
0.42,5.9704085744815534e-05
0.4225,5.535615346003996e-05
0.425,4.8706739889004432e-05
0.4275,3.9948851423260127e-05
0.43,2.964547046605452e-05
0.4325,1.7974885140072899e-05
0.435,4.9666578938975482e-06
0.4375,-8.6152308636068957e-06
0.44,-2.2529763042212179e-05
0.4425,-3.6326366072578328e-05
0.445,-4.9541014946765612e-05
0.4475,-6.1626996985950972e-05
0.45,-7.2349280162886795e-05
0.4525,-8.159869125064219e-05
0.455,-8.9311545733757757e-05
0.4575,-9.542738777764465e-05
0.46,-9.9754894824124934e-05
0.4625,-0.00010254863282287594
0.465,-0.00010399424051342951
0.4675,-0.00010414901700932152
0.47,-0.0001030447716138979
0.4725,-0.00010071078774638817
0.475,-9.721191166938098e-05
0.4775,-9.253854597042527e-05
0.48,-8.6760588668247627e-05
0.4825,-8.0337750037244891e-05
0.485,-7.358762324534662e-05
0.4875,-6.6763198724909993e-05
0.49,-5.9958022642922338e-05
0.4925,-5.3246583595854054e-05
0.495,-4.667887062247549e-05
0.4975,-4.0269728069488193e-05
0.5,-3.4048356210605788e-05
0.5025,-2.7989970892609123e-05
0.505,-2.2114753026113279e-05
0.5075,-1.6408040436979987e-05
0.51,-1.0841929459098059e-05
0.5125,-5.3853667285505008e-06
0.515,-2.0454998998583949e-08
0.5175,5.2925382389692782e-06
0.52,1.056121638436903e-05
0.5225,1.5772068242058581e-05
0.525,2.0885983465029155e-05
0.5275,2.5833490862111857e-05
0.53,3.048681766080838e-05
0.5325,3.4569644669571809e-05
0.535,3.7874523468180109e-05
0.5375,4.0041441256230561e-05
0.54,4.1218956482032755e-05
0.5425,4.1254626756242509e-05
0.545,4.0030969001490289e-05
0.5475,3.745534781976763e-05
0.55,3.3424168063005058e-05
0.5525,2.7991708024440729e-05
0.555,2.1307340150267685e-05
0.5575,1.3547929557164397e-05
0.56,4.9541849512740745e-06
0.5625,-4.1667540159938104e-06
0.565,-1.3473476499216469e-05
0.5675,-2.2627228329682922e-05
0.57,-3.1314213027120797e-05
0.5725,-3.9260456449892992e-05
0.575,-4.6238607397152269e-05
0.5775,-5.2073868915197404e-05
0.58,-5.6647092561713179e-05
0.5825,-5.9908095786466056e-05
0.585,-6.1877571165488174e-05
0.5875,-6.263730394600487e-05
0.59,-6.2318362348961744e-05
0.5925,-6.1080686086220583e-05
0.595,-5.9094790700433819e-05
0.5975,-5.6527303120859538e-05
0.6,-5.3535504033723546e-05
0.6025,-5.0263773453581011e-05
0.605,-4.6839677953906816e-05
0.6075,-4.3372314936353523e-05
0.61,-3.9947706194867018e-05
0.6125,-3.662826989710338e-05
0.615,-3.3454658881904022e-05
0.6175,-3.0448786537186368e-05
0.62,-2.7618262585540872e-05
0.6225,-2.4961379526285782e-05
0.625,-2.2474341491553163e-05
0.6275,-2.0147258324051713e-05
0.63,-1.7971590462693362e-05
0.6325,-1.5940870380909537e-05
0.635,-1.4053577261093272e-05
0.6375,-1.2312588323001993e-05
0.64,-1.0726325264708573e-05
0.6425,-9.3092667782776408e-06
0.645,-8.0819999345234874e-06
0.6475,-7.0715026303451316e-06
0.65,-6.3049522282737887e-06
0.6525,-5.8081672699650436e-06
0.655,-5.5995572358701346e-06
0.6575,-5.6869700917607541e-06
0.66,-6.0677799762012753e-06
0.6625,-6.731559122417305e-06
0.665,-7.6622309586944357e-06
0.6675,-8.8386542695309471e-06
0.67,-1.0233980541519394e-05
0.6725,-1.1815606274472852e-05
0.675,-1.3546578231172677e-05
0.6775,-1.5385777728884165e-05
0.68,-1.7288175766486009e-05
0.6825,-1.9206764335066033e-05
0.685,-2.1096873618902245e-05
0.6875,-2.2909283563847669e-05
0.69,-2.4606090740142482e-05
0.6925,-2.6155928281425383e-05
0.695,-2.7535338827146549e-05
0.6975,-2.8729441331535423e-05
0.7,-2.9731451104385055e-05
0.7025,-3.0541755209405555e-05
0.705,-3.1167039252143109e-05
0.7075,-3.161925356499998e-05
0.71,-3.1914548877572644e-05
0.7125,-3.2071869459568306e-05
0.715,-3.2111456809720304e-05
0.7175,-3.2052762489022365e-05
0.72,-3.1911427569711109e-05
0.7225,-3.1699639770046608e-05
0.725,-3.1424229243296251e-05
0.7275,-3.1085382092563431e-05
0.73,-3.067694500848389e-05
0.7325,-3.0189488911918277e-05
0.735,-2.9609156329871825e-05
0.7375,-2.8912335490924379e-05
0.74,-2.8074023472720223e-05
0.7425,-2.7074076369919617e-05
0.745,-2.5898870393430925e-05
0.7475,-2.4543247332508121e-05
0.75,-2.3012908822885874e-05
0.7525,-2.1324698090902953e-05
0.755,-1.9505350752888194e-05
0.7575,-1.759037668076507e-05
0.76,-1.5624248815440926e-05
0.7625,-1.3661658485518252e-05
0.765,-1.176826187574831e-05
0.7675,-1.0017277295287807e-05
0.77,-8.485944444778498e-06
0.7725,-7.2452307801688594e-06
0.775,-6.3610140131684525e-06
0.7775,-5.8904146964159316e-06
0.78,-5.8768799804884977e-06
0.7825,-6.3497475797925597e-06
0.785,-7.3240418972003296e-06
0.7875,-8.7989344219182726e-06
0.79,-1.0758785727807034e-05
0.7925,-1.3174582872587198e-05
0.795,-1.5999995421926846e-05
0.7975,-1.9172216931123928e-05
0.8,-2.2610689293658015e-05
0.8025,-2.621954686373592e-05
0.805,-2.9892188230955204e-05
0.8075,-3.3516686770510153e-05
0.81,-3.6981276164852343e-05
0.8125,-4.0180515802419248e-05
0.815,-4.3019219871759582e-05
0.8175,-4.5418583648051002e-05
0.82,-4.7317686488442251e-05
0.8225,-4.8675970568550019e-05
0.825,-4.9474071158890379e-05
0.8275,-4.9713494588286874e-05
0.83,-4.9415093844885964e-05
0.8325,-4.8617217485381564e-05
0.835,-4.737343864317742e-05
0.8375,-4.57492880652613e-05
0.84,-4.3819785937200488e-05
0.8425,-4.1667565699141826e-05
0.845,-3.9379583959481726e-05
0.8475,-3.7041962523100516e-05
0.85,-3.4741425947713243e-05
0.8525,-3.2556334547668219e-05
