Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.0375,0.00018703181720538587,7.6206635740123209e-06,1.5964417671971633e-06,7.4619627943424425e-07,3.3101444922500677e-07,3.5749399342493176e-08,-3.7380029266380209e-09
0.04,0.00020269190032829934,7.9016222583538369e-06,1.6039409008678712e-06,7.768103341513628e-07,3.4375016259435036e-07,8.1431735197191337e-08,-3.9426355940969238e-09
0.0425,0.00021870265343260244,8.2117331248931971e-06,1.6209649935848917e-06,7.730427121677051e-07,3.8967868930505853e-07,1.2363582467630674e-07,-3.0879335953618767e-09
0.045,0.00023459509115978476,8.549664291903634e-06,1.6429855953521882e-06,7.6465683995403871e-07,4.1163753930313278e-07,1.2969442462256789e-07,-1.4469456260428362e-09
0.0475,0.00024989121796913566,8.909840052484213e-06,1.6665021465002318e-06,7.6194209665650632e-07,4.0234035556071168e-07,1.113868085434657e-07,-7.9306616696248488e-11
0.05,0.0002641303360809716,9.2885220032307847e-06,1.6920652672778365e-06,7.6675368120491698e-07,3.8747910894581353e-07,1.1355351508966016e-07,2.9206713301680222e-09
0.0525,0.00027695696101895357,9.674031082606528e-06,1.710629141185976e-06,7.6989789892575749e-07,3.7484970683864488e-07,1.3288444532393535e-07,3.7715571821506402e-09
0.055,0.00028819581303687869,1.0068906787533474e-05,1.7241558578971532e-06,7.7342148332466877e-07,3.693708741517112e-07,1.4750563968731232e-07,3.3024820813783829e-09
0.0575,0.0002977915667678501,1.0478017073060451e-05,1.7349371118259763e-06,7.7852331825046481e-07,3.7114471420946736e-07,1.4764341058536144e-07,5.9663326660121814e-09
0.06,0.00030570775064944143,1.0907907912241008e-05,1.7459806720640709e-06,7.8597995019253639e-07,3.789634319446166e-07,1.4123439226678637e-07,1.1726156004095525e-08
0.0625,0.00031185252666944351,1.1363565904016389e-05,1.7581856759138056e-06,7.947558939343489e-07,3.8969846030509785e-07,1.3743022308512405e-07,1.6273066343975925e-08
0.065,0.00031607931695381371,1.1843403847537183e-05,1.7654446142126215e-06,7.9786997537527218e-07,3.9434682860957712e-07,1.3269509645981296e-07,9.613211141635611e-09
0.0675,0.00031828267486935216,1.2356268066832639e-05,1.7723325812433139e-06,7.9988977569989509e-07,3.9621435063344202e-07,1.3060256718639284e-07,5.0071848370416747e-11
0.07,0.00031848766203998696,1.2908574078309994e-05,1.7824911074883424e-06,8.0415461920416849e-07,3.986775520383044e-07,1.3255574865873646e-07,-2.8807884335972949e-09
0.0725,0.00031692165123863849,1.3500730406098616e-05,1.7954333807478388e-06,8.0961278885342514e-07,4.0142131672491463e-07,1.3593474725230993e-07,4.2649787085913314e-09
0.075,0.00031403905455357651,1.4133868273472964e-05,1.8126363620452864e-06,8.1754769324563501e-07,4.0579309638479753e-07,1.4098171181537024e-07,1.76844381844737e-08
0.0775,0.00031047817089309096,1.4806718086440323e-05,1.8332721648221049e-06,8.2757559472639926e-07,4.111750022617051e-07,1.4678512179626543e-07,2.9522940822637257e-08
0.08,0.00030697775548671529,1.5515560558189225e-05,1.8530290759666103e-06,8.3620590967865305e-07,4.1415192962695028e-07,1.4965657029091678e-07,3.4072015763618668e-08
0.0825,0.00030428747994952184,1.6260432478601424e-05,1.8698100620480905e-06,8.4196667572616502e-07,4.1381830076707665e-07,1.4865395374635696e-07,3.1144298756009695e-08
0.085,0.00030308194119857347,1.7046742756632836e-05,1.8855766156864816e-06,8.4704934114940438e-07,4.1293072319471176e-07,1.463292548340121e-07,2.6672645322395929e-08
0.0875,0.00030389141548532299,1.7874839412734382e-05,1.8964158803236157e-06,8.4739915202582373e-07,4.0772616281789942e-07,1.3879660555309122e-07,1.6036070775652258e-08
0.09,0.00030708198933663953,1.8753904355838827e-05,1.9070427191279199e-06,8.4742076949416822e-07,4.0265634309397106e-07,1.3074235740207473e-07,5.1210897132428866e-09
0.0925,0.00031283081974296844,1.9688139787642235e-05,1.9178015639843598e-06,8.4718921989002503e-07,3.9769007796860703e-07,1.2243960824052807e-07,-5.3335450925731826e-09
0.095,0.00032112308571210954,2.0670251440506328e-05,1.9175371155570575e-06,8.3531754814794277e-07,3.8124993234538321e-07,1.0267139679491288e-07,-2.6753333026837688e-08
0.0975,0.0003318126275091311,2.1724133412692773e-05,1.9260902573531765e-06,8.3151817274056965e-07,3.7281052290716869e-07,9.1191062089795312e-08,-3.9670546967217611e-08
0.1,0.00034459404629998022,2.2853592079913885e-05,1.9430447596048486e-06,8.3535176023548332e-07,3.7176095341105408e-07,8.7507252958313136e-08,-4.470328206364602e-08
0.1025,0.00035905012984902143,2.4059639638721978e-05,1.9650425701855242e-06,8.4355994094264286e-07,3.7477589502215659e-07,8.8243043200090704e-08,-4.5289913361545226e-08
0.105,0.0003746891737357113,2.5346587609374747e-05,1.9917499758249343e-06,8.5597714600508139e-07,3.8171785847478268e-07,9.3047098184051535e-08,-4.1567981192474158e-08
0.1075,0.00039096590176510959,2.6714378398978006e-05,2.0189908031980268e-06,8.6857120769523309e-07,3.8865029175225496e-07,9.7833378862599211e-08,-3.7599325341180609e-08
0.11,0.00040731355955703848,2.8163210972990669e-05,2.0459935403810889e-06,8.8070037891255009e-07,3.9502316439302179e-07,1.0199636313752904e-07,-3.4191637964627576e-08
0.1125,0.00042317146557529275,2.969493127389112e-05,2.072794677347139e-06,8.9251617308477745e-07,4.0106579892752208e-07,1.0572900203051266e-07,-3.1177787960457552e-08
0.115,0.00043800331508238072,3.1315144814390603e-05,2.0989540990507722e-06,9.0353988621603349e-07,4.0633988718254215e-07,1.0859289831646366e-07,-2.9007833765825735e-08
0.1175,0.00045130589485172309,3.3032341110723575e-05,2.1244126414098148e-06,9.1361840338600644e-07,4.106805503326399e-07,1.1045555691276964e-07,-2.7831074578999545e-08
0.12,0.00046262500255757658,3.4857842893344025e-05,2.1497582254425376e-06,9.2322542665102001e-07,4.1452577406508799e-07,1.1177911284404943e-07,-2.7191065861113394e-08
0.1225,0.00047157583628428207,3.6805195091486583e-05,2.1753994677472836e-06,9.32662836714846e-07,4.1816322295451446e-07,1.1283379530657313e-07,-2.6793165700191524e-08
0.125,0.00047786041591792937,3.8889337365026743e-05,2.2018802107091644e-06,9.424129730615935e-07,4.2209918951279181e-07,1.1408978868460555e-07,-2.6167945543130488e-08
0.1275,0.00048128170683341966,4.1120127461550862e-05,2.2274771991556256e-06,9.5074925823634117e-07,4.2462254965731269e-07,1.1389429919438183e-07,-2.6936216829444659e-08
0.13,0.00048176692447305947,4.3513143039430671e-05,2.2550160929119825e-06,9.6046099253933098e-07,4.2847898987825587e-07,1.151066511548148e-07,-2.6255827815310056e-08
0.1325,0.00047935270589315795,4.6087079326155685e-05,2.2840185881436353e-06,9.7103873567159369e-07,4.3313606864462972e-07,1.1717665022483165e-07,-2.47058953306053e-08
0.135,0.00047417776920348048,4.8864193295206716e-05,2.3143115252753943e-06,9.8228594006311849e-07,4.3843923525269939e-07,1.1984167722156361e-07,-2.257975492343677e-08
0.1375,0.00046646793246574294,5.1867511879490234e-05,2.3456940525616695e-06,9.940043267504254e-07,4.4426425943170281e-07,1.2287931589246181e-07,-2.0110235479221911e-08
0.14,0.00045651859298563412,5.5117820847730087e-05,2.378011791988479e-06,1.0060414456197046e-06,4.5051519725874075e-07,1.2614079785399595e-07,-1.7451646343242151e-08
0.1425,0.00044467902637537038,5.8628969867870621e-05,2.4110123864349206e-06,1.0181590778094301e-06,4.5696532847250827e-07,1.2939367083123599e-07,-1.4832226193847379e-08
0.145,0.000431331018894114,6.2408471419822412e-05,2.4443731399919517e-06,1.0300628171787926e-06,4.6332199123077414e-07,1.3231548504967095e-07,-1.2519879506244759e-08
0.1475,0.00041686171966502617,6.6461589097832933e-05,2.4779266441082145e-06,1.0416092716677398e-06,4.6946757548390555e-07,1.3477094844180342e-07,-1.0603528395096006e-08
0.15,0.00040164105742787154,7.0792285827749851e-05,2.5116133212231048e-06,1.0527519399202966e-06,4.7538356949015726e-07,1.3678130805044967e-07,-9.0457065946440481e-09
0.1525,0.00038600504117657883,7.5402874439020929e-05,2.5454648260842515e-06,1.0635029457280477e-06,4.8110244691645092e-07,1.384663403080102e-07,-7.7423370827113088e-09
0.155,0.00037024420914263375,8.029311444385283e-05,2.5796259253495999e-06,1.0739671710033509e-06,4.8671867534006871e-07,1.4001461414960661e-07,-6.5121935908753172e-09
0.1575,0.00035460087121375733,8.5458472015836364e-05,2.6143692691208019e-06,1.0843692633347675e-06,4.9243787504767853e-07,1.4169723076593183e-07,-5.0895083906202351e-09
0.16,0.00033926589571340048,9.0888177079410151e-05,2.6494724462908347e-06,1.0944560262508469e-06,4.9798459691288273e-07,1.4328265904592386e-07,-3.7546449830705499e-09
0.1625,0.00032438260973658773,9.6566125763400477e-05,2.6850669884900488e-06,1.1043400481475264e-06,5.0346733788178377e-07,1.4490914759855739e-07,-2.4280861970207184e-09
0.165,0.0003100488253079575,0.00010247124039820829,2.7212163840171283e-06,1.114059059934511e-06,5.0891291316404874e-07,1.4662108624909587e-07,-1.1069740208823973e-09
0.1675,0.00029632357414556678,0.00010857846833874824,2.7579804273358493e-06,1.1236234802241304e-06,5.1430443160080701e-07,1.4840581177039046e-07,1.8403839501213495e-10
0.17,0.00028323646560220785,0.00011485664369090293,2.795430886407433e-06,1.1330507713667562e-06,5.1963706129039449e-07,1.5022835425170738e-07,1.4375375934060553e-09
0.1725,0.00027079726818871416,0.00012126743179124892,2.8336107223586062e-06,1.1423323866073741e-06,5.2488993440271288e-07,1.520365314970768e-07,2.6421706580857223e-09
0.175,0.00025900415070879767,0.00012776498326548912,2.8725580109744417e-06,1.1514707100824639e-06,5.3005934231360073e-07,1.5380191851627114e-07,3.7494621140210715e-09
0.1775,0.00024784891181155514,0.00013429671594734205,2.9122939131881911e-06,1.1604561083823769e-06,5.3513575915672966e-07,1.55499557670984e-07,4.8353695627504749e-09
0.18,0.00023732022446988543,0.00014080481621432929,2.9528569077932089e-06,1.1693061947875888e-06,5.4013580823509823e-07,1.57139477832942e-07,5.7406481034492987e-09
0.1825,0.00022740685021443272,0.00014722863910353421,2.9943408564687254e-06,1.1780912244081739e-06,5.4512598275507915e-07,1.5878345450366467e-07,6.6140544900700174e-09
0.185,0.00021809711997906268,0.00015350667450178432,3.0369041972652547e-06,1.1869407472924723e-06,5.5023029453225616e-07,1.6055360035643824e-07,7.6118372920727146e-09
0.1875,0.00020937946729869438,0.00015957831347593714,3.0806138783578819e-06,1.1958869103449078e-06,5.5546968416970724e-07,1.6247315768852361e-07,8.790949186439945e-09
0.19,0.00020123959605997899,0.00016538573182334605,3.1254713314547337e-06,1.2048956791410536e-06,5.6080033600134895e-07,1.6450023626442927e-07,1.0096226158073624e-08
0.1925,0.000193662935672115,0.00017087592217243861,3.1713858181108476e-06,1.2138220790444655e-06,5.6606407843138085e-07,1.6647841129995244e-07,1.1368178886912463e-08
0.195,0.00018663836332480062,0.00017600365972271503,3.2185969161699866e-06,1.222842260095426e-06,5.7141970124542414e-07,1.6857100037588131e-07,1.2767328985322123e-08
0.1975,0.0001801481902365848,0.00018074271458558337,3.2670184724360338e-06,1.2318052288442802e-06,5.7669752117126713e-07,1.7061438673290915e-07,1.4126471313019773e-08
0.2,0.00017416931636777655,0.00018510432831709482,3.3166486616577714e-06,1.2406274362523502e-06,5.8179378169435852e-07,1.7250580974279796e-07,1.5337736751461178e-08
0.2025,0.00016867535301269803,0.00018911639032629559,3.3675656640512435e-06,1.2492730294421897e-06,5.8665258811870912e-07,1.7418191970876224e-07,1.6328038129405592e-08
0.205,0.00016363810282937367,0.00019282637653096597,3.4200525937023398e-06,1.2578788533336523e-06,5.9140491310791453e-07,1.7575424620246424e-07,1.7197319377623994e-08
0.2075,0.00015902854909065919,0.00019629562619326754,3.4738255873029416e-06,1.2660311292917647e-06,5.9562790693455461e-07,1.7678137558401938e-07,1.7492572054896502e-08
