Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.0775,8.6982892511185466e-18,1.0239526478682065e-17,-1.2677085979690182e-17,1.2572173313812326e-17,1.8481339334107133e-17,3.194953670036323e-18,2.6166121852902302e-17
0.08,5.9679514806654313e-17,9.7749802947810251e-17,1.1626659244723478e-16,1.1489417178957321e-16,1.1722404305888431e-16,1.267462703620712e-16,1.2185214584209021e-16
0.0825,1.0447192217441235e-16,9.5204927027541527e-17,8.704699059062608e-17,4.0037761555543457e-17,5.3995661774493864e-17,4.1329639331574768e-17,6.4533704472404486e-17
0.085,1.7650685505584554e-16,1.7047484140610372e-16,6.5206081292745803e-17,1.1882238966087061e-16,1.0210462883090542e-16,9.6652769415605577e-17,7.5303329433521575e-17
0.0875,1.4408787839626092e-16,1.4642844268142852e-16,2.1443118922706758e-16,1.2847345336981476e-16,1.29257194365575e-16,1.5230745379748045e-16,1.4598945640606872e-16
0.09,3.1199499683706859e-17,2.0929400948970295e-17,-4.096755493510008e-17,3.5988890052996825e-17,7.2757092652826052e-17,9.2511522253614551e-17,8.6300498040935187e-17
0.0925,-9.1383087061621161e-17,-7.6304537680058067e-17,-2.4574003406162887e-17,4.5485819305653963e-17,8.2280247193466458e-17,1.0678665261323245e-16,1.092229474038473e-16
0.095,-4.7477075097748993e-17,-4.2518267763601128e-17,-1.5949543838353539e-16,-1.5587331810630284e-16,-1.6427316361226861e-16,-1.7033277463255726e-16,-1.7513467737469979e-16
0.0975,4.2517851897793018e-17,-9.3764687791309249e-18,-1.7640873498442098e-18,4.0915842676298743e-19,-2.6957672096269664e-17,-3.7751709793147146e-17,-8.9010374526600969e-17
0.1,-1.0045221026927612e-16,-1.4055007322469607e-16,-2.2070201639892476e-16,-2.224211868118406e-16,-2.023423675358854e-16,-1.7474960224443086e-16,-1.554455940224607e-16
0.1025,7.918316082798992e-17,5.3092495077015428e-17,7.0360272291872632e-17,6.032417782948039e-17,7.1116252885370404e-17,4.8099577938534985e-17,8.611567115003351e-18
0.105,7.7645451107454876e-17,9.6874433896508615e-17,1.2981927275846775e-16,1.6762219366391252e-16,1.6915064313423222e-16,2.1501555753051132e-16,2.2795320685651729e-16
0.1075,-1.2147293734908568e-16,-1.4364169048592303e-16,-1.384209431697093e-16,-1.2583472894572177e-16,-1.2106523659465768e-16,-5.3324740387126642e-17,2.6431618680322576e-17
0.11,6.6494166184815177e-17,8.6072348767374693e-17,2.8476872198376801e-17,1.8490244543964834e-17,1.9092551330593878e-17,1.6721377651577659e-17,-9.7667233822100911e-17
0.1125,1.123130154716265e-16,1.053456063563484e-16,1.0757696089234541e-16,1.063414180739587e-16,1.069708968343465e-16,9.8639225659723022e-17,1.0470969376978855e-16
