Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
0.03,8.7255328803713129e-05,9.2897920195409605e-05,9.3603155622307336e-05,9.3834569715881076e-05,9.3927672871125013e-05,9.394041332154207e-05,9.393691059085351e-05
0.0325,8.6946809402555685e-05,9.2960464222933576e-05,9.3679179670314741e-05,9.391865446765633e-05,9.4026750148037543e-05,9.4061129918493911e-05,9.4058418478522776e-05
0.035,8.6629777218993957e-05,9.3047563561366687e-05,9.3777060500430397e-05,9.4030305512625566e-05,9.4138017538066308e-05,9.4199254770397416e-05,9.4198292572977328e-05
0.0375,8.6302878175247786e-05,9.3158729846176962e-05,9.3900210577172973e-05,9.4160757220409957e-05,9.4273383273894552e-05,9.4354000847634556e-05,9.4356943792387032e-05
0.04,8.5965042226229208e-05,9.3294786427325447e-05,9.4049930969527116e-05,9.4311476475549715e-05,9.4434348465094952e-05,9.4524438486529358e-05,9.4535452828616498e-05
0.0425,8.5613838148845272e-05,9.3455544558674323e-05,9.422581042590454e-05,9.4487255118131839e-05,9.4616152843857515e-05,9.4711827722376746e-05,9.4735206330924616e-05
0.045,8.524745646032473e-05,9.3640023052759142e-05,9.4426589765263258e-05,9.4689042754014712e-05,9.481802469197031e-05,9.4919257043497995e-05,9.4954407055561444e-05
0.0475,8.4866068584651884e-05,9.3847492102733249e-05,9.4651091623006327e-05,9.491549646866202e-05,9.5042400544163893e-05,9.514965097443494e-05,9.5190862882737554e-05
0.05,8.4472900274970173e-05,9.4079483264971665e-05,9.490102253853761e-05,9.5168425211574197e-05,9.5294521484448315e-05,9.5407816068592574e-05,9.5452178668789894e-05
0.0525,8.4067121674913993e-05,9.433132889232802e-05,9.516981855070459e-05,9.5439328087874121e-05,9.5564891919001284e-05,9.5678778871818767e-05,9.5721121082852594e-05
0.055,8.3654217287572493e-05,9.4605439448159454e-05,9.5460728385143769e-05,9.5731993237072242e-05,9.5857749821007964e-05,9.5968598047546476e-05,9.6009156649971283e-05
0.0575,8.3238926736243211e-05,9.4902647738070626e-05,9.5775478281252531e-05,9.6048529712992978e-05,9.6175298138922479e-05,9.6282860012010863e-05,9.6323746821071638e-05
0.06,8.2824666475684759e-05,9.5221809052647077e-05,9.6113754558493656e-05,9.6389027074448899e-05,9.6517620406671631e-05,9.6624396356614496e-05,9.6668402215230946e-05
0.0625,8.2412775232851366e-05,9.5558879566138072e-05,9.6471627623116786e-05,9.6749517208027984e-05,9.68802959549005e-05,9.698889805182274e-05,9.7037987555706264e-05
0.065,8.2001182102810577e-05,9.5905246350445778e-05,9.6838930303498689e-05,9.7118310150637948e-05,9.7249873900004922e-05,9.7358971484283723e-05,9.7408985933137174e-05
0.0675,8.1594251830621804e-05,9.6260380841977776e-05,9.7216085709788603e-05,9.7496777281514099e-05,9.7628672631557245e-05,9.773801678590847e-05,9.7788673953993477e-05
0.07,8.1196705031841962e-05,9.6624368442489871e-05,9.7603949873956299e-05,9.7886461249820799e-05,9.8019052570109329e-05,9.8129396010469041e-05,9.8183056126182591e-05
0.0725,8.0811365375936235e-05,9.6995541253661345e-05,9.8000698887979414e-05,9.8285313387780067e-05,9.8418789711156703e-05,9.8530302922536563e-05,9.8587260369489434e-05
0.075,8.0441285281641163e-05,9.7373846410748772e-05,9.8406587555114879e-05,9.8693900417573684e-05,9.882871318831637e-05,9.8942152275440062e-05,9.9003006460251185e-05
0.0775,8.008664567605462e-05,9.7757521364290803e-05,9.8819689035075419e-05,9.9110183825288966e-05,9.9246660155823539e-05,9.9362521502737114e-05,9.9427303104804163e-05
0.08,7.974348502701913e-05,9.8141929818894712e-05,9.9234497818222211e-05,9.9527798745484207e-05,9.9665489337053844e-05,9.9782608231264482e-05,9.9848493448011656e-05
0.0825,7.940727173070427e-05,9.8523861287142618e-05,9.9647509193282011e-05,9.9942861223862692e-05,0.00010008104923293578,0.00010019768249931157,0.0001002611222606397
0.085,7.9073965770338789e-05,9.8902684305721649e-05,0.00010005874829565661,0.00010035588198618235,0.00010049440324609138,0.00010060998203601093,0.0001006699887133101
0.0875,7.8735272459791623e-05,9.9273917712044049e-05,0.00010046303032713927,0.00010076077824747538,0.00010089857536663493,0.00010101085099226187,0.00010106307924463744
0.09,7.8387136024488053e-05,9.9639388399339369e-05,0.00010086339759257204,0.00010116163695992251,0.00010129866030780528,0.00010140753991808452,0.00010145193159415737
0.0925,7.8023610454688747e-05,9.9998921193432963e-05,0.00010125983621290902,0.000101558493223809,0.00010169469890507819,0.00010180018664095384,0.0001018367959188598
0.095,7.7632322653689172e-05,0.00010034461216549649,0.00010164198301253458,0.00010193842417065383,0.00010207116921857251,0.00010216806738567044,0.0001021865375374095
0.0975,7.7217461103841825e-05,0.00010068936069332483,0.00010202735562820802,0.0001023234358516491,0.00010245453152455043,0.00010254663373826436,0.00010255440543564597
0.1,7.6772578713833476e-05,0.00010103223711341222,0.00010241506879353696,0.00010271254783855527,0.00010284369391835521,0.00010293451222694481,0.00010293850080564177
0.1025,7.6290455475626944e-05,0.00010137036499355033,0.00010280166450189171,0.00010310155786739727,0.00010323371340833975,0.00010332518671311786,0.00010332925250894049
0.105,7.5766612756012454e-05,0.0001017029520094363,0.00010318650497130549,0.00010348977992672368,0.00010362387380901731,0.0001037178215241721,0.0001037256109791441
0.1075,7.5196467663500512e-05,0.00010202710444723177,0.00010356597644924838,0.00010387267714843411,0.00010400873496439137,0.00010410513707975008,0.00010411663125020061
