Physical Time (s),FreestreamAbsolutePressure Monitor (Pa)
0.3375,101325.00058817465
0.34,101325.00058035625
0.3425,101325.00057066001
0.345,101325.00056040495
0.3475,101325.00054971284
0.35,101325.00054453476
0.3525,101325.0005478799
0.355,101325.00056226668
0.3575,101325.00058948179
0.36,101325.00063036417
0.3625,101325.00068467946
0.365,101325.00075120185
0.3675,101325.00082791873
0.37,101325.00091229456
0.3725,101325.00100351252
0.375,101325.00109486969
0.3775,101325.00118567563
0.38,101325.00127350094
0.3825,101325.00135611354
0.385,101325.00143141774
0.3875,101325.00149736703
0.39,101325.00155186327
0.3925,101325.00159283276
0.395,101325.00161827385
0.3975,101325.00162635151
0.4,101325.00161552509
0.4025,101325.0015846654
0.405,101325.00153187483
0.4075,101325.00145671346
0.41,101325.00135998485
0.4125,101325.00124249184
0.415,101325.00110876844
0.4175,101325.00095982922
0.42,101325.00079710617
0.4225,101325.00062717259
0.425,101325.00045307314
0.4275,101325.0002766184
0.43,101325.00010632312
0.4325,101324.99993998639
0.435,101324.99977368477
0.4375,101324.99961437644
0.44,101324.99945960047
0.4425,101324.99930942834
0.445,101324.99916374848
0.4475,101324.99902481642
0.45,101324.99889107006
0.4525,101324.99876025468
0.455,101324.99863044446
0.4575,101324.99850107932
0.46,101324.9983789399
0.4625,101324.99826330254
0.465,101324.99815313848
0.4675,101324.99805251164
0.47,101324.99796622232
0.4725,101324.99789944891
0.475,101324.99785708124
0.4775,101324.99784431195
0.48,101324.99786609942
0.4825,101324.99792228003
0.485,101324.9980116841
0.4875,101324.99813141054
0.49,101324.99828024437
0.4925,101324.99845645929
0.495,101324.9986574941
0.4975,101324.99887851923
0.5,101324.99911559785
0.5025,101324.99936209009
0.505,101324.99961330972
0.5075,101324.99986302396
0.51,101325.00010493978
0.5125,101325.00033310171
0.515,101325.00054365634
0.5175,101325.00073249698
0.52,101325.00089574829
0.5225,101325.00103223305
0.525,101325.00114206485
0.5275,101325.00122653198
0.53,101325.00128725338
0.5325,101325.00132431863
0.535,101325.00134031616
0.5375,101325.00133562023
0.54,101325.00131835368
0.5425,101325.00129093179
0.545,101325.00125530534
0.5475,101325.00121324227
0.55,101325.00116540329
0.5525,101325.00111288051
0.555,101325.00105681768
0.5575,101325.0009980584
0.56,101325.00093724631
0.5625,101325.00087496683
0.565,101325.0008116681
0.5675,101325.0007477021
0.57,101325.00068337361
0.5725,101325.00061893922
0.575,101325.0005545935
0.5775,101325.00049045107
0.58,101325.0004266828
0.5825,101325.0003634257
0.585,101325.00030085586
0.5875,101325.00023935093
0.59,101325.00017950323
0.5925,101325.00012213254
0.595,101325.00006825446
0.5975,101325.00001911761
0.6,101324.99997619945
0.6025,101324.99994113525
0.605,101324.99991547229
0.6075,101324.99990053161
0.61,101324.99989722336
0.6125,101324.99990595691
0.615,101324.99992660285
0.6175,101324.99995850249
0.62,101325.00000052038
0.6225,101325.00005111221
0.625,101325.00010835391
0.6275,101325.00017021508
0.63,101325.00023455074
0.6325,101325.00029924184
0.635,101325.00036223934
0.6375,101325.00042169653
0.64,101325.00047599035
0.6425,101325.00052375907
0.645,101325.0005639061
