Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.065,2.1942380752260564e-10,2.127632202439466e-10,1.4973146812280828e-10,1.1304808717053294e-10,7.5746135955871106e-11,2.2677996413099193e-11,5.0429879780185317e-11
0.0675,2.6826143779530669e-10,2.6121802004612511e-10,1.9122862054355124e-10,1.6545849764157366e-10,1.5055469587403938e-10,1.0984425948381658e-10,1.2189251765054504e-10
0.07,3.4372907365699145e-10,3.3547862097808267e-10,2.4965249994335047e-10,2.1841180094866923e-10,2.1713193267864282e-10,1.9205384561576244e-10,1.9402634098592581e-10
0.0725,4.1680654345261421e-10,4.0676241670779767e-10,3.0190905960099991e-10,2.5380296160279799e-10,2.5638734244592946e-10,2.4714250359675838e-10,2.4295578923556757e-10
0.075,4.6688350752073887e-10,4.541620713220508e-10,3.3096479883402704e-10,2.6041039252962343e-10,2.5835254357718147e-10,2.6194777334101372e-10,2.541115896851197e-10
0.0775,4.8306046853291217e-10,4.6696304335071935e-10,3.2888649504668125e-10,2.3562432693110954e-10,2.2299120740313568e-10,2.3428790073367733e-10,2.2545622489979591e-10
0.08,4.6314206697149872e-10,4.4427302301691471e-10,2.9747267416067398e-10,1.8579594170591609e-10,1.5988143116417377e-10,1.7205214595301281e-10,1.6633151520160094e-10
0.0825,4.1657490094757251e-10,3.9617478673327679e-10,2.4667967054763404e-10,1.2284185042686225e-10,8.4063345564708737e-11,9.0410146868463512e-11,9.0678631584608588e-11
0.085,3.6032392806161523e-10,3.3881423644837861e-10,1.8910431232684448e-10,5.7767532054394203e-11,8.1021078310702335e-12,4.2419152543578608e-12,9.8580571921888124e-12
0.0875,3.0759444898890435e-10,2.8689222503484319e-10,1.3991655191741749e-10,5.1531157671449274e-12,-5.1980003325043768e-11,-6.7375079856220171e-11,-5.9983020284464512e-11
0.09,2.7199856111864043e-10,2.5246818449004852e-10,1.0754571496793898e-10,-3.0172390635178093e-11,-9.2409834499427293e-11,-1.1801935582397161e-10,-1.1284525720730824e-10
0.0925,2.5914953105236886e-10,2.4127384284081691e-10,9.8098020857113678e-11,-4.2972010350944317e-11,-1.0854620506141956e-10,-1.4164020193316333e-10,-1.4114537167227923e-10
0.095,2.6593879034676492e-10,2.5542273167554635e-10,1.2322369662125426e-10,-1.588619399554687e-11,-7.9842275695096057e-11,-1.1231992105214224e-10,-1.1609029472058147e-10
0.0975,2.95363755093315e-10,2.8931891580403415e-10,1.6496459699839729e-10,2.6040250130709552e-11,-3.7065719795548733e-11,-6.8179590233032495e-11,-7.207300705556759e-11
0.1,3.4409377119593948e-10,3.3953746929172551e-10,2.2069534300805703e-10,8.1724624156113109e-11,1.8875766729947123e-11,-1.1996363652194753e-11,-1.3921098086089381e-11
0.1025,4.0799730378844197e-10,4.0342289817395535e-10,2.9061777910727795e-10,1.5430561176110324e-10,9.2586910083644168e-11,6.1659487681955192e-11,6.1673361819260591e-11
0.105,4.8470252562250332e-10,4.7891729491092824e-10,3.7307716024903966e-10,2.432585247287563e-10,1.8415258677003284e-10,1.530356420986136e-10,1.5265998350070826e-10
0.1075,5.6797757186951066e-10,5.6160081151416517e-10,4.6619208886426502e-10,3.4874580494447425e-10,2.9532335921977403e-10,2.6614178082881258e-10,2.6479075253911273e-10
0.11,6.5248783725053662e-10,6.4630014247971856e-10,5.6400448413979145e-10,4.6398602206411245e-10,4.1925078457550731e-10,3.9426598945373297e-10,3.9221448010802372e-10
0.1125,7.3300072099939388e-10,7.2749895505235362e-10,6.5917683622636232e-10,5.7944649880530865e-10,5.4553841449050206e-10,5.2646156940242645e-10,5.2419672232333215e-10
0.115,8.0300469794792182e-10,7.9843855758032267e-10,7.4324258579296785e-10,6.8402130995392121e-10,6.6188032809511205e-10,6.4979453540722838e-10,6.4822218692880608e-10
0.1175,8.5623263138786688e-10,8.5247532615115024e-10,8.0781859389930246e-10,7.6642105016924338e-10,7.5544045716628944e-10,7.5049018624158472e-10,7.5031707421566822e-10
