Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.085,3.4874930576528813e-10,3.2152227446421273e-10,1.8290124130549067e-10,2.2282678823325202e-11,-2.8316895302288085e-11,-3.1866561306224577e-11,-2.5979976251255138e-11
0.0875,2.9510660403839246e-10,2.6871908094181235e-10,1.3276512764240657e-10,-3.2722624496924779e-11,-9.122119855212109e-11,-1.0734745025296249e-10,-9.9788314118087071e-11
0.09,2.5885114056632848e-10,2.3373225644430449e-10,1.0000376139392169e-10,-6.9694060205415169e-11,-1.3373666521645352e-10,-1.6129844453119875e-10,-1.5609320769055508e-10
0.0925,2.4565781986566159e-10,2.2236902853333934e-10,9.0764036052736004e-11,-8.3465368657943477e-11,-1.5127454990737546e-10,-1.8746649442664289e-10,-1.8711245981794472e-10
0.095,2.5245789176827427e-10,2.3687745517474464e-10,1.1677863901650616e-10,-5.6416514490044246e-11,-1.2301986257684215e-10,-1.5945089039179196e-10,-1.635462468835245e-10
0.0975,2.8190683122486889e-10,2.71152645011189e-10,1.5921298561849592e-10,-1.4246815279465244e-11,-8.0389530860866541e-11,-1.1589251888653994e-10,-1.2026841184741498e-10
0.1,3.305540376372135e-10,3.2163416001979203e-10,2.1514524819024063e-10,4.2014125049133936e-11,-2.4195558193607192e-11,-5.9494672520390931e-11,-6.1995470892235629e-11
0.1025,3.9418114544654555e-10,3.8559347255301775e-10,2.8464376738285638e-10,1.1566288304592013e-10,5.0395433305692165e-11,1.530642170726966e-11,1.4746103843094463e-11
0.105,4.7031810097732289e-10,4.6088269390164996e-10,3.6596574032206088e-10,2.0621145718972472e-10,1.4357711353402097e-10,1.0877550531150076e-10,1.0791696485680669e-10
0.1075,5.5272645624869835e-10,5.4311184780044069e-10,4.5735775349191423e-10,3.1385117355071496e-10,2.5717159800455576e-10,2.2493191004876235e-10,2.2323786196688671e-10
0.11,6.3615916912410551e-10,6.2716974312081803e-10,5.530604307168097e-10,4.316575807868564e-10,3.8418641852255913e-10,3.5688068703084872e-10,3.5463718803551023e-10
0.1125,7.1553217675900617e-10,7.0765173297102843e-10,6.4600969021539244e-10,5.4986307801534615e-10,5.1394084599373542e-10,4.9335251946775933e-10,4.9102881802793558e-10
0.115,7.8447775448211751e-10,7.7791567859639943e-10,7.2801831159442346e-10,6.5706070826862905e-10,6.3373241345799094e-10,6.2096339541363799e-10,6.1943046092689846e-10
0.1175,8.3684159428173927e-10,8.3137936297156345e-10,7.9090774806727928e-10,7.4161253845016559e-10,7.3025233583908188e-10,7.2539428604787072e-10,7.2532382693248883e-10
0.12,8.6774231571055261e-10,8.6268603795500747e-10,8.2800270614243247e-10,7.9383700727605251e-10,7.9215970683721117e-10,7.9427136153394642e-10,7.9570762053391322e-10
0.1225,8.7333075002907525e-10,8.6765832395713635e-10,8.3451474453985099e-10,8.0700588949279082e-10,8.1146236015355075e-10,8.1885264223708938e-10,8.2148954013414206e-10
0.125,8.5227168277084974e-10,8.4470621759643171e-10,8.0875471114314801e-10,7.7866890318138412e-10,7.849904095291427e-10,7.9555453894962927e-10,7.9897960223972049e-10
0.1275,8.0258885732563337e-10,7.9211169293060366e-10,7.5008960579599429e-10,7.0882794152204732e-10,7.1257141170280612e-10,7.2385013173014885e-10,7.2734650412247482e-10
0.13,7.3316950078543478e-10,7.1833143609146515e-10,6.669124394775783e-10,6.070357068240564e-10,6.0425535678914651e-10,6.1429399854235896e-10,6.1772337657465457e-10
0.1325,6.4935778564051374e-10,6.2890079676188984e-10,5.6578545816697253e-10,4.8179122972656754e-10,4.6925689835997189e-10,4.7634976051827837e-10,4.7970651629846922e-10
0.135,5.5908719500245869e-10,5.3208043014940861e-10,4.5605845422310754e-10,3.4463403021659434e-10,3.2003248379518919e-10,3.2283693241187934e-10,3.2605668231262019e-10
0.1375,4.7144338187045434e-10,4.3745140192450746e-10,3.4850276532289228e-10,2.0861563559641562e-10,1.7063252793913734e-10,1.6821891401276189e-10,1.711365208689887e-10
0.14,3.9543112336141083e-10,3.5457576974852107e-10,2.5381344946089966e-10,8.6618582066365931e-11,3.4926006133484821e-11,2.6772413181898663e-11,2.9200498071605862e-11
0.1425,3.3858608366673726e-10,2.9159268639130837e-10,1.8116801806075209e-10,-1.0204070270650961e-11,-7.5004564928309553e-11,-8.9051076432038275e-11,-8.7253779419573277e-11
