Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.0775,5.9214262746907274e-12,4.0645391306271488e-12,7.484757135613212e-13,2.9046887567128547e-13,2.8297316221544266e-13,2.8818809375016673e-13,2.9589251471391221e-13
0.08,5.1169289084836801e-12,2.892945996253215e-12,-1.0645183891787351e-12,-1.7784973143951916e-12,-1.8104977211629702e-12,-1.8015023619419117e-12,-1.812437818809132e-12
0.0825,3.6955872790658048e-12,1.123690199282316e-12,-3.2812374853252683e-12,-4.2252019524958629e-12,-4.310914916671838e-12,-4.3034677586926932e-12,-4.3044469999701308e-12
0.085,2.2945479942405541e-12,-6.5584635438017922e-13,-5.4473756958863873e-12,-6.5743692658395603e-12,-6.7428184328157647e-12,-6.7476570822190951e-12,-6.7398190958125037e-12
0.0875,1.2602621609743752e-12,-2.1443157431914342e-12,-7.4213242287078126e-12,-8.7099568142053802e-12,-8.9787313079584989e-12,-9.0143246892599534e-12,-9.0047507407466088e-12
0.09,6.5326739578660128e-13,-3.285720398460596e-12,-9.245981466025053e-12,-1.0717599723041187e-11,-1.1092098261306767e-11,-1.1194525840385199e-11,-1.1188190655909832e-11
0.0925,4.3389205949062753e-13,-4.0576284919308817e-12,-1.0882088987949922e-11,-1.2584437430559601e-11,-1.3062640904465125e-11,-1.328461535855133e-11,-1.3283021676729561e-11
0.095,5.9701338472891106e-13,-4.3329543843241686e-12,-1.2041463626688753e-11,-1.4008156282398012e-11,-1.4581187860057452e-11,-1.4966439324615551e-11,-1.4982918914299896e-11
0.0975,1.2078648495038956e-12,-3.8795087201719717e-12,-1.220517137561933e-11,-1.4403694740332327e-11,-1.5048957910197384e-11,-1.5596360089408067e-11,-1.5671987512243239e-11
0.1,2.3850524884682662e-12,-2.451020883202898e-12,-1.081650276999028e-11,-1.3110577744057544e-11,-1.3782679441482195e-11,-1.4429636475636e-11,-1.4624568424492732e-11
0.1025,4.2685641275232596e-12,1.0356036088189641e-13,-7.5539269753490849e-12,-9.7171216770427305e-12,-1.0347813996751427e-11,-1.0988807904126026e-11,-1.1347332359228684e-11
0.105,6.9860514182183098e-12,3.7786186389370695e-12,-2.5156871681757605e-12,-4.3099830459441015e-12,-4.8261312699849426e-12,-5.3566386147341996e-12,-5.869377311372692e-12
0.1075,1.0612773519222909e-11,8.4233219769239018e-12,3.8122027651525766e-12,2.5318996399609794e-12,2.1773381338299125e-12,1.8174752320963075e-12,1.2256174917279422e-12
0.11,1.5111531783914722e-11,1.3786450430603235e-11,1.0769191850417897e-11,9.9972936063175687e-12,9.8026278174632264e-12,9.6108718884797123e-12,9.0529813020285643e-12
0.1125,2.0241007851413436e-11,1.9517322061720776e-11,1.7721872965561065e-11,1.7333000238413864e-11,1.725383738895573e-11,1.7180480617325888e-11,1.6754053074658282e-11
0.115,2.5458370018694157e-11,2.5082248273778634e-11,2.4064413002799693e-11,2.3899032453728308e-11,2.3878453568448028e-11,2.3862329513579869e-11,2.3604784326734339e-11
0.1175,2.9909082226246392e-11,2.9699987781840527e-11,2.9096576066011717e-11,2.9032339992053013e-11,2.902996399092233e-11,2.9029106782769337e-11,2.8912234662178922e-11
0.12,3.2605835117002084e-11,3.2456298991112429e-11,3.2025229147096194e-11,3.1996521625939028e-11,3.199647138081059e-11,3.1996539778210032e-11,3.1960307678398022e-11
0.1225,3.2780573391017126e-11,3.2618942553782462e-11,3.2195682850099601e-11,3.2174892110485827e-11,3.2175287206947017e-11,3.2178082421685138e-11,3.2173182949929451e-11
0.125,3.0259901307298517e-11,2.9998198466982857e-11,2.94162480415023e-11,2.9388022979775942e-11,2.9388996452591643e-11,2.9397048595536655e-11,2.9403645085687976e-11
0.1275,2.5614029332233486e-11,2.5080382207612698e-11,2.4077244956119789e-11,2.4017616773354191e-11,2.4018238556907553e-11,2.4028703518659852e-11,2.4046178575805889e-11
0.13,1.9925985980227103e-11,1.8784728100586659e-11,1.6905638508104876e-11,1.6758678990353532e-11,1.6758322728909704e-11,1.6766496120258562e-11,1.6794680772456093e-11
0.1325,1.431657033059723e-11,1.2014663870055487e-11,8.5542543825083684e-12,8.205080683756372e-12,8.2004054659629359e-12,8.2045213598063011e-12,8.2361958795082273e-12
0.135,9.541829370780166e-12,5.3467033729751513e-12,-6.0580663531787482e-13,-1.3443524587755892e-12,-1.3675295395292401e-12,-1.3662285445223869e-12,-1.3402435666411264e-12
0.1375,5.8696801205968644e-12,-9.6133000118523219e-13,-1.0333469508711353e-11,-1.1698502892093258e-11,-1.1771023617284099e-11,-1.1772070234795538e-11,-1.1756104269909968e-11
0.14,3.2302108320916741e-12,-6.7205470328459369e-12,-2.0157572966110865e-11,-2.237333973981497e-11,-2.2539186434388162e-11,-2.2546239896452881e-11,-2.2538829707367229e-11
0.1425,1.4609976648327879e-12,-1.1580297486494437e-11,-2.9152618118674753e-11,-3.2348585621455328e-11,-3.2651842655833265e-11,-3.2672929985224629e-11,-3.26703093433019e-11
0.145,4.5951219640731911e-13,-1.5039640408715892e-11,-3.6108633833711499e-11,-4.0256521843269088e-11,-4.072509038195872e-11,-4.0770119449102749e-11,-4.0769364333762013e-11
0.1475,1.9123561108921579e-13,-1.6672919084494484e-11,-4.0001156796564693e-11,-4.4902665273775265e-11,-4.553659397420384e-11,-4.5614042933196415e-11,-4.561382741124314e-11
0.15,6.3491882890337041e-13,-1.634872633986728e-11,-4.0415189722863052e-11,-4.5748238363728571e-11,-4.6517674312591818e-11,-4.6632102503643614e-11,-4.6632075849156023e-11
0.1525,1.7495649706192205e-12,-1.4278975969805494e-11,-3.7659367862782517e-11,-4.3062949096659034e-11,-4.3916074303511382e-11,-4.4067169119684411e-11,-4.4067340292210197e-11
0.155,3.4744169301283791e-12,-1.0907329396064505e-11,-3.2572292218101254e-11,-3.7735201404645581e-11,-3.8612446412057217e-11,-3.8795532595664705e-11,-3.8796055076045843e-11
0.1575,5.7281487493130791e-12,-6.7487686732677402e-12,-2.6188342977793356e-11,-3.0908358764124177e-11,-3.175732697390548e-11,-3.1964918353561926e-11,-3.1966131310733082e-11
0.16,8.3900361974125301e-12,-2.2784392913278285e-12,-1.946250406548979e-11,-2.3662950189275858e-11,-2.4448745838272752e-11,-2.4672571699328344e-11,-2.4675175467523993e-11
