Physical Time (s),xth_left Monitor (kg-m/s^3)
0.1825,7.7087983933680287e-14
0.185,6.2312711975833952e-14
0.1875,-8.4257299754401996e-14
0.19,-7.7598761108271962e-14
0.1925,2.7367167724335895e-14
0.195,-5.5306279197442432e-14
0.1975,1.0275885621354375e-13
0.2,-4.9143242045415242e-14
0.2025,-7.0785655502366012e-14
0.205,-5.2826078983609976e-15
0.2075,4.6666656521165363e-14
0.21,2.5672663718993836e-14
0.2125,1.8178323402221297e-14
0.215,-7.5381877630768358e-14
0.2175,8.2869422015284194e-14
0.22,-2.8644184906922733e-14
0.2225,-4.363610436842295e-14
0.225,-3.4271211350811858e-15
0.2275,3.5579730939581783e-14
0.23,-1.6863713467706048e-14
0.2325,-4.1163444839077036e-14
0.235,-1.0203068305192614e-15
0.2375,-6.0556879519393426e-14
0.24,-7.8518543685332914e-15
0.2425,6.5508067172646227e-14
0.245,4.1877311834823563e-14
0.2475,1.7571746309284728e-14
0.25,2.8634542550929869e-14
0.2525,-2.4241112544706796e-14
0.255,-6.564780813895966e-14
0.2575,-1.2128899410412497e-14
0.26,3.2446903736862551e-14
0.2625,1.8398204095334689e-13
0.265,-3.2573199231790361e-14
0.2675,-5.7282305714021953e-14
0.27,-7.5393854893956181e-14
0.2725,7.0051785215964648e-14
0.275,4.2206287004384549e-14
0.2775,1.7118391489706942e-13
0.28,7.9254272423963604e-14
0.2825,-4.0031788841327654e-14
0.285,-1.2827597077319111e-13
0.2875,4.2780620164212464e-14
0.29,1.114872558912577e-13
0.2925,1.9306851851749617e-14
0.295,9.114110362443527e-14
0.2975,1.0380573730344797e-14
0.3,-9.8628072247143633e-14
0.3025,-2.7863807180545037e-14
0.305,7.2300082368467036e-14
0.3075,4.3864453563183945e-14
0.31,-5.3165335933035702e-14
0.3125,1.045278058641305e-13
0.315,8.6477984199283289e-14
0.3175,-5.9199960494438449e-14
0.32,-1.2086716492019397e-14
0.3225,-5.2487131166445418e-15
0.325,1.4839057616301154e-13
0.3275,-3.4603707473488768e-14
0.33,-9.737773192995453e-15
0.3325,-1.4362994041290758e-14
0.335,-9.9582759654441284e-15
0.3375,-6.5426060211173162e-14
0.34,-1.4536790155769127e-13
0.3425,-4.3111764398398401e-14
0.345,1.5347418068528862e-13
0.3475,-2.0070121831486847e-14
0.35,7.9686850186833108e-14
0.3525,2.1520782313839788e-13
0.355,4.2072961056087147e-14
0.3575,-7.2341381758259686e-14
0.36,-3.2009800216428911e-14
0.3625,5.5736238218377266e-14
0.365,-1.5654228062119371e-13
0.3675,7.8683614063273882e-14
0.37,1.2248443168491576e-13
0.3725,1.8172788022696707e-13
0.375,3.3583716699285643e-14
0.3775,6.1607985678073941e-14
0.38,-6.9421102072061547e-15
0.3825,5.0043416172194058e-15
0.385,-4.8324731718305321e-14
0.3875,-2.2589983573019431e-14
0.39,9.1537576914984064e-14
0.3925,2.1393036696200439e-14
0.395,-4.541734121285836e-16
0.3975,-6.4247461606540856e-15
0.4,3.1035922474339331e-14
0.4025,-2.4577177391252673e-14
0.405,1.6575230175175905e-14
0.4075,1.254789125255584e-14
0.41,-2.676600817155576e-14
0.4125,-1.4293474063032777e-14
0.415,-5.1083697743645574e-15
0.4175,-4.1680379005412678e-14
0.42,5.2166895940188993e-14
0.4225,-5.7399112697683096e-14
0.425,8.890379736133521e-14
0.4275,1.1855233186974795e-13
0.43,-4.0103903575264608e-14
0.4325,2.7171158020817284e-14
0.435,-1.3668848857880672e-13
0.4375,8.8957379444699022e-14
0.44,2.1562147676378551e-14
0.4425,6.2142007627805472e-14
0.445,-5.1625817307841273e-14
0.4475,-1.7799598240097881e-13
0.45,5.1060283680414498e-14
0.4525,-8.4301274680054231e-14
0.455,9.0719421194711761e-14
0.4575,-5.0093525569207213e-14
0.46,4.5781379967146278e-14
0.4625,1.4736093798935137e-13
0.465,9.2277962738414699e-15
0.4675,2.174601280643294e-14
0.47,1.4264633401799029e-13
0.4725,1.6762237829700309e-13
0.475,1.1498676465131646e-13
0.4775,-2.2973192427856065e-13
0.48,4.9521541050792299e-15
0.4825,5.6445652908388922e-15
0.485,-7.3386329905078079e-14
0.4875,9.9970490510908065e-15
0.49,-3.7486962231035161e-14
0.4925,-7.5533690421178352e-15
0.495,2.0332881972916018e-14
0.4975,-2.4295141952605008e-14
0.5,8.0215744646455729e-14
0.5025,2.686994131899592e-14
0.505,5.0074340473064962e-14
0.5075,-6.2560555409034952e-14
0.51,-4.118925999956831e-14
0.5125,-6.4418244258706851e-14
0.515,9.3217932449898405e-14
0.5175,5.0830460084541974e-15
0.52,-1.2128737774739844e-13
0.5225,1.2424556664306444e-14
0.525,-4.4274988958426426e-14
0.5275,-6.1413929987568978e-14
0.53,-1.8318544295517222e-13
0.5325,4.2018910539496206e-14
0.535,-1.0562282797375612e-13
0.5375,4.8146548522678472e-14
0.54,-7.4868915618534565e-16
0.5425,-9.8618648883903944e-14
0.545,-9.2793732547144696e-14
0.5475,-3.1435720814146914e-15
0.55,3.1647308547498165e-14
0.5525,-3.0831072964512974e-14
0.555,6.6851364699732366e-16
0.5575,2.5098367441900213e-14
0.56,1.4068460995032744e-14
0.5625,1.1375430325418139e-13
0.565,8.8030972209642051e-14
0.5675,8.7059844037905448e-15
0.57,2.3962189360135971e-14
0.5725,8.4424502665790468e-14
0.575,-1.0305731791239411e-13
0.5775,-2.7028817573963618e-14
0.58,-6.2760055528793027e-14
0.5825,4.6168867410729344e-14
0.585,3.0247701161013996e-14
0.5875,-9.141018797302982e-14
0.59,6.4843473014848562e-14
0.5925,-1.7616620106727776e-14
0.595,8.0852987900692834e-14
0.5975,2.2238374412063751e-14
0.6,-8.7182745716443277e-14
0.6025,-6.3135726928976267e-14
0.605,8.3242487865455659e-14
0.6075,4.0517630275492541e-16
0.61,1.1568567641094825e-13
0.6125,-6.7080996331437928e-14
0.615,6.2183767989642569e-14
0.6175,-1.4366339880090841e-13
0.62,-8.23417289608269e-16
0.6225,-2.8745993508762057e-14
0.625,3.2222565525101039e-14
0.6275,-7.4613806174724543e-14
0.63,-4.9231321761854313e-14
0.6325,2.6933826927728218e-14
0.635,9.955203445127408e-14
0.6375,1.0719573910032448e-13
0.64,-3.4711923783288372e-14
0.6425,-5.7556377602822259e-14
0.645,1.1628999657539709e-13
0.6475,3.8375844093735835e-14
0.65,-4.907647301744751e-15
0.6525,2.8640930458528697e-14
0.655,-1.5460943834174059e-14
0.6575,-1.7698036562111232e-13
0.66,-1.2029982334151646e-13
0.6625,7.0317192011956365e-14
0.665,3.3044668435839361e-14
0.6675,2.4426462919229203e-14
0.67,-6.668222000678003e-14
0.6725,-5.898422028564665e-15
0.675,1.3092338332722962e-13
0.6775,-1.5215319019661186e-13
0.68,-3.0570847205975149e-14
0.6825,-7.1424660187758078e-14
0.685,-4.1779929273368589e-14
0.6875,-8.2800684637284136e-14
0.69,-3.8983641064563313e-14
0.6925,-1.0538888163891752e-13
0.695,8.8981350447593146e-15
0.6975,5.0028528225987403e-14
0.7,-1.6454066961440954e-14
0.7025,-5.1350055002514787e-14
0.705,1.8081358931639915e-13
0.7075,7.0094525283738734e-14
0.71,9.9296284968532045e-14
0.7125,-4.3247506359545206e-14
0.715,1.109405957077189e-13
0.7175,-4.7105978512062342e-14
0.72,3.0494405256965363e-14
0.7225,-4.1690305054911919e-15
0.725,1.618906256480623e-14
0.7275,-2.6871719024749283e-15
0.73,-2.3394363996895781e-14
0.7325,-6.1155254284790472e-14
0.735,-2.8859603593652073e-14
0.7375,-4.2941307006835747e-14
0.74,-4.5530356127221689e-14
0.7425,-1.0150345332273096e-13
0.745,-9.4669592991066415e-15
0.7475,5.9819718668665316e-14
0.75,-1.157828229299917e-13
0.7525,-5.9288413074433539e-15
0.755,-1.6612486269635297e-13
0.7575,-5.8680481312699633e-14
0.76,-1.5300810569715514e-14
0.7625,-4.7988638933238788e-14
0.765,1.2118130666443749e-14
0.7675,4.7236018368808111e-14
0.77,-3.317773611041158e-14
0.7725,-4.2816181648175641e-14
0.775,5.541477692479669e-14
0.7775,8.1610259600479838e-14
0.78,1.1054544596009827e-13
0.7825,-9.2512472773431011e-14
0.785,-8.8288636947672024e-14
0.7875,2.2167172326090927e-14
0.79,-1.7143968447238779e-14
0.7925,-1.2998577544556119e-14
0.795,-2.2144874578981912e-15
0.7975,-1.4243902315235444e-13
0.8,4.0242810313315659e-14
0.8025,-2.2231668148403825e-13
0.805,4.8678512397101842e-14
0.8075,-1.0045461671650642e-13
0.81,-5.9747243316730539e-14
0.8125,1.2006903409833309e-13
0.815,8.62705006366114e-14
0.8175,-7.7482198771094404e-14
0.82,3.4703074717312472e-14
0.8225,6.8819441018877236e-14
0.825,4.3356420305828573e-14
0.8275,1.5764436900451071e-13
0.83,-5.6562121363460027e-15
0.8325,-1.3417142714705488e-13
0.835,-8.5237300058301104e-14
0.8375,-1.2885479716377881e-14
0.84,-7.5688605920370249e-14
0.8425,-5.7084427534742466e-14
0.845,1.6328811386517305e-14
0.8475,3.6826147789707756e-14
0.85,-4.1157590760467444e-14
0.8525,8.8488212829153513e-14
0.855,-7.865913460314363e-14
0.8575,-1.2157411587029241e-14
0.86,-2.8261800758230126e-14
0.8625,1.064890855369703e-14
0.865,-1.4596921966967652e-13
0.8675,6.1783215963157209e-15
0.87,-6.095338926238691e-14
0.8725,-3.8464383599991443e-14
0.875,1.1570573963653777e-14
0.8775,2.1634523943877821e-15
0.88,-3.0730636480533968e-14
0.8825,-9.5607604312111389e-14
0.885,-1.0678521643211797e-13
0.8875,-3.9098980586604908e-14
0.89,1.2689115272998088e-13
0.8925,-6.1565061408296717e-14
0.895,-2.3127385835504492e-14
0.8975,1.2244304198201051e-13
0.9,-1.8815244852259776e-14
0.9025,-5.3186753543783244e-14
0.905,3.1895279974462205e-15
0.9075,1.0119402391087486e-13
0.91,2.2998103035239575e-14
0.9125,3.0749962727973051e-14
0.915,-7.5114108786730754e-14
0.9175,-5.0566478767235296e-15
0.92,-1.0382453615958204e-14
0.9225,-2.2453754224804849e-14
0.925,-5.7219179492863918e-15
0.9275,-4.5362526336222478e-14
0.93,-6.3528128110581832e-14
0.9325,1.3157836760025966e-13
0.935,-1.0937233961411128e-13
0.9375,-9.5004851221320181e-15
0.94,1.1077113978366813e-14
0.9425,4.6136940073304365e-14
0.945,-9.9023917630265064e-14
0.9475,-6.4193567860169738e-14
0.95,1.9444844341710114e-14
0.9525,9.737942405181063e-14
0.955,-1.1167117813007836e-13
0.9575,5.4478150459230946e-15
0.96,-3.9198180527479196e-14
0.9625,-3.4831508063982635e-14
0.965,1.5262944480560339e-13
0.9675,1.6492083809060509e-13
0.97,6.5902707980698448e-14
0.9725,6.1642751049162462e-14
0.975,2.0988636588012239e-14
0.9775,1.4338293853233482e-14
0.98,-4.5313340790402317e-14
0.9825,-2.5656356512116636e-14
0.985,3.1495897386677406e-14
0.9875,1.1703165486747444e-14
0.99,-1.5660975646344045e-14
0.9925,-3.3316845668278458e-14
0.995,3.0243609105885353e-14
0.9975,-9.5544307334875926e-14
1.0,8.3954167654022538e-14
1.0025,-1.3051214511144734e-14
1.005,-4.8270687167570958e-14
1.0075,-4.0523065717958735e-14
1.01,1.4044673977195526e-14
1.0125,-4.8922061000198638e-14
1.015,-3.181721388923493e-14
1.0175,1.3227807945899135e-13
1.02,1.1308279952538592e-14
1.0225,-8.0895656285691544e-14
1.025,7.770317341332409e-14
1.0275,5.6190326474966174e-15
1.03,-1.6420514960434479e-14
1.0325,1.3140079965750947e-13
1.035,6.8423080364195403e-15
1.0375,1.2050044935773828e-13
1.04,-1.2437559158836019e-14
1.0425,1.4100611153169916e-13
1.045,-5.8379924379526182e-14
1.0475,3.1735876974663564e-14
1.05,-9.9885086015727052e-14
1.0525,1.8891619130864957e-14
1.055,-2.8293422852769343e-14
1.0575,3.5612415955868502e-15
1.06,-1.1689366425303668e-13
1.0625,-9.6666671790669018e-14
1.065,-8.0546689115258489e-14
1.0675,-3.4689566313072127e-14
1.07,2.1204257198991568e-14
1.0725,-7.7389575876080137e-14
1.075,-1.0843572793826004e-13
1.0775,6.7098055279581786e-14
1.08,-4.1471707735860762e-14
1.0825,1.3683036265380502e-14
1.085,4.0984455821027799e-14
1.0875,6.9198696640892314e-14
1.09,1.3584732797277579e-13
1.0925,9.8750356455716458e-14
1.095,4.8331262454601816e-15
1.0975,3.4578854185122418e-14
1.1,-4.3262158561581811e-14
1.1025,8.3278633157857289e-14
1.105,-5.7242541459185451e-14
1.1075,-8.2613202993236589e-15
1.11,-7.8052144115408443e-14
1.1125,9.5900895118482677e-15
1.115,-6.8420060842912356e-14
1.1175,2.9746452019265139e-14
1.12,1.0221384239854451e-13
1.1225,-5.5139391768489962e-14
1.125,5.0024298534096604e-14
1.1275,-4.1935675945825013e-15
1.13,-5.7099788700941087e-14
1.1325,-8.5026495203023715e-15
1.135,-1.5681993118512445e-14
1.1375,1.8670246785605286e-14
1.14,-4.8713524714898554e-15
1.1425,-1.0387264894504339e-13
1.145,3.6200495485262944e-15
1.1475,-8.0327705029923577e-14
1.15,5.7534042077694122e-15
1.1525,-4.2528351989440084e-14
1.155,1.2558460041859556e-13
1.1575,-7.7841097495955031e-14
1.16,3.938571264227248e-14
1.1625,-4.0932939928254378e-14
1.165,-8.622448669416315e-14
1.1675,4.7294962871319333e-14
1.17,-1.2269644321219736e-13
1.1725,-8.9729551891100508e-14
1.175,8.5104931243833801e-14
1.1775,4.3566992284587456e-14
1.18,3.1110501990329579e-14
1.1825,-3.9143773307106119e-14
1.185,-4.8785641601286602e-14
1.1875,-1.2454645906654936e-13
1.19,-1.0256911982117688e-13
1.1925,-1.8762697348708934e-14
1.195,5.1759845058060864e-14
1.1975,9.185782229211845e-14
1.2,-1.4322182423502837e-14
1.2025,-2.839247171710215e-14
1.205,6.072137814943643e-14
1.2075,4.5162048529346156e-14
1.21,-1.2048709782321499e-13
1.2125,5.4118758174763863e-14
1.215,-9.0402454389911364e-14
1.2175,3.2531800495179841e-14
1.22,7.5095590206472113e-14
1.2225,8.1665188273894781e-14
1.225,-5.4944368437071401e-14
1.2275,5.3593355648768458e-14
1.23,6.8478545874855446e-14
1.2325,-1.7571915717485745e-13
1.235,7.5395237039018946e-14
1.2375,1.0110278659798892e-13
1.24,1.5593797939041764e-13
1.2425,2.1175314709012463e-14
1.245,4.7087112776954704e-14
1.2475,-2.8690313321769001e-14
1.25,-1.2682174283483255e-13
1.2525,1.5871845041714594e-14
1.255,2.9691529235386786e-14
1.2575,-5.6562533001788454e-14
1.26,-2.3394281046187069e-14
1.2625,4.7767031672722833e-14
1.265,1.0617415973208817e-13
1.2675,-3.4635793893132973e-14
1.27,-4.7265530626380506e-14
1.2725,8.226168315239879e-14
1.275,5.0023490497913435e-14
1.2775,-1.0266811404256941e-13
1.28,6.3146648086550788e-15
1.2825,7.9457148005965119e-14
1.285,-4.9862468551086136e-14
1.2875,6.4093421680576775e-14
1.29,-6.353742133500699e-14
1.2925,-1.676166258626301e-13
1.295,-1.2644745107358492e-14
1.2975,5.9484823615176162e-14
1.3,2.3826042122280613e-14
1.3025,-1.5188029271110482e-14
1.305,-1.1275969173491486e-13
1.3075,-1.1877639305400836e-13
1.31,-4.7397029472929771e-14
1.3125,-3.1593813695517944e-14
1.315,1.5772866989576169e-13
