Physical Time (s),enth_flux_pressure_right Monitor (kg-m/s^3): right_cv1,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv2,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv3,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv4,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv5,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv6,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv7
3.89,0.00014458912994371267,4.1165230158475987e-05,3.3461070674925097e-05,3.2363280356921525e-05,2.9753456351180939e-05,2.258587963231994e-05,1.2124018483600283e-05
3.8925,0.00014461637655261388,4.1166920441031809e-05,3.3334687281525422e-05,3.2262174686206808e-05,2.9567331008350771e-05,2.2508000296604154e-05,1.2181007929651958e-05
3.895,0.00014455842960261488,4.1302847098131751e-05,3.3321218168435996e-05,3.2244609811653395e-05,2.9450101350614527e-05,2.2456891612432631e-05,1.2272495122249117e-05
3.8975,0.00014441362024707413,4.1570041316184642e-05,3.3419052447898692e-05,3.2326860450881412e-05,2.9399127769983718e-05,2.2436951742211951e-05,1.2398046776137087e-05
3.9,0.0001441904960102818,4.1969202188971462e-05,3.3635201033577418e-05,3.2496753272984545e-05,2.9401585590461245e-05,2.2451728889028387e-05,1.2560997128856087e-05
3.9025,0.00014389731244467282,4.2500410657942828e-05,3.3966084582570609e-05,3.27562022817767e-05,2.9470119705521754e-05,2.2503232794098673e-05,1.2764374174319263e-05
3.905,0.00014354027740855188,4.3162863460494841e-05,3.4420766456402854e-05,3.3106739011958058e-05,2.9609660111006154e-05,2.2594176837415717e-05,1.3009788986913772e-05
3.9075,0.00014312283671758706,4.3957647007757219e-05,3.4996645948486657e-05,3.354080490951501e-05,2.9811383291652123e-05,2.2726507753840498e-05,1.3293751430777576e-05
3.91,0.00014265065677388574,4.4883514111541049e-05,3.5700952156216292e-05,3.406432137495168e-05,3.0078365680627098e-05,2.2896038721372916e-05,1.3619882683800505e-05
3.9125,0.00014213495035704475,4.5942316227103038e-05,3.6532929492260024e-05,3.4669625292944101e-05,3.0421964473266828e-05,2.3111813675228401e-05,1.3993703909646647e-05
3.915,0.00014158309649269036,4.7133742635584664e-05,3.7490219904518608e-05,3.5351233675297185e-05,3.0830249100697576e-05,2.3366481668093594e-05,1.441218793304815e-05
3.9175,0.00014100041950155791,4.8456439725757337e-05,3.8574523653849165e-05,3.6100955334132172e-05,3.1300778169425661e-05,2.3665674030980923e-05,1.4872286358712859e-05
3.92,0.00014039638513413602,4.9910919391992071e-05,3.9769773185474946e-05,3.6913580536213167e-05,3.1827186587895984e-05,2.4006464585515211e-05,1.5370001340572859e-05
3.9225,0.00013977951352581809,5.1494840010335587e-05,4.1070759233068713e-05,3.7778805007646517e-05,3.2409298376657245e-05,2.438378891015949e-05,1.5909004554306666e-05
3.925,0.00013915891651544805,5.3196984787179562e-05,4.2461894361107606e-05,3.8687054968428352e-05,3.3037722815968526e-05,2.4804323167201466e-05,1.6491965961713675e-05
3.9275,0.00013854689962126352,5.5008474326192255e-05,4.391434219356925e-05,3.9631069366455668e-05,3.3709417797777527e-05,2.5259379330349348e-05,1.7110856636717803e-05
3.93,0.00013795029177474658,5.6917543671857409e-05,4.5407974023597564e-05,4.0600653064435223e-05,3.4415477259225848e-05,2.5748744848243622e-05,1.7767574642189547e-05
3.9325,0.00013737485723537435,5.8907530995857822e-05,4.6920449587525206e-05,4.1584615932099601e-05,3.5147743842361134e-05,2.6277231953125468e-05,1.8458797317788905e-05
3.935,0.0001368305344593234,6.0955360925718018e-05,4.8428914979597437e-05,4.2571302185341701e-05,3.590116098336174e-05,2.6834673415176433e-05,1.918164991291269e-05
3.9375,0.00013632718284811317,6.3028693931291573e-05,4.990576840837302e-05,4.3548491446214897e-05,3.6670433086983329e-05,2.7423831229917388e-05,1.9932859921091845e-05
