Physical Time (s),lift Monitor (N)
0.375,2.6065130049932076e-06
0.3775,2.6651988898526395e-06
0.38,2.7221311210945605e-06
0.3825,2.7739135024147225e-06
0.385,2.817707193960988e-06
0.3875,2.8542905191735227e-06
0.39,2.8852474854082285e-06
0.3925,2.9109118593415468e-06
0.395,2.9304045599341893e-06
0.3975,2.9431013982405265e-06
0.4,2.9488741394985892e-06
0.4025,2.9478911892331105e-06
0.405,2.9400739865448754e-06
0.4075,2.9195304736034581e-06
0.41,2.8894317529818914e-06
0.4125,2.8531385752636463e-06
0.415,2.8141538680200036e-06
0.4175,2.7784242104705504e-06
0.42,2.7406581825076811e-06
0.4225,2.6963580687332477e-06
0.425,2.6538866296743981e-06
0.4275,2.601669546715013e-06
0.43,2.5444426604733537e-06
0.4325,2.482568758983723e-06
0.435,2.4030579581817988e-06
0.4375,2.3104450494648286e-06
0.44,2.2101187855098521e-06
0.4425,2.0983809538569152e-06
0.445,1.989430259810537e-06
0.4475,1.8797331014864177e-06
0.45,1.7699627360093213e-06
0.4525,1.657000253819246e-06
0.455,1.5403611209914102e-06
0.4575,1.4196368502317768e-06
0.46,1.301295662332984e-06
0.4625,1.1784881953396425e-06
0.465,1.0453832559573979e-06
0.4675,9.0627533432779286e-07
0.47,7.6177210318903528e-07
0.4725,6.1089367726028304e-07
0.475,4.5525501540672668e-07
0.4775,2.9514640333066305e-07
0.48,1.3469230965892526e-07
0.4825,-1.9235228608483541e-08
0.485,-1.6687595283613974e-07
0.4875,-3.1565085048247718e-07
0.49,-4.6574192865671025e-07
0.4925,-6.1577545007761912e-07
0.495,-7.6658981295455858e-07
0.4975,-9.1970296756204186e-07
0.5,-1.0778826313306053e-06
0.5025,-1.2314787363513752e-06
0.505,-1.3909918258042677e-06
0.5075,-1.5456093987451913e-06
0.51,-1.6941408494029766e-06
0.5125,-1.8369104099313817e-06
0.515,-1.9790215243238251e-06
0.5175,-2.1095645159461606e-06
0.52,-2.2354848895402598e-06
0.5225,-2.3630873658983167e-06
0.525,-2.4922097531587786e-06
0.5275,-2.6197144460063618e-06
0.53,-2.7423488979957332e-06
0.5325,-2.8578427957663818e-06
0.535,-2.9670884523593012e-06
0.5375,-3.071715534396253e-06
0.54,-3.1928893845499484e-06
0.5425,-3.296782735090434e-06
0.545,-3.3784126445922313e-06
0.5475,-3.4497010471550734e-06
0.55,-3.5003459037292729e-06
0.5525,-3.5381356944264643e-06
0.555,-3.5827193830859875e-06
0.5575,-3.6347413269633207e-06
0.56,-3.683095781336224e-06
0.5625,-3.7213659695268441e-06
0.565,-3.7485215777456533e-06
0.5675,-3.7661023068702445e-06
0.57,-3.7746664087200828e-06
0.5725,-3.7743867790220011e-06
0.575,-3.7656961068960451e-06
0.5775,-3.7490436058445834e-06
0.58,-3.7246811772762529e-06
0.5825,-3.692625774011679e-06
0.585,-3.6526588954881005e-06
0.5875,-3.6045137763509638e-06
0.59,-3.5479827372107385e-06
0.5925,-3.4829249342681492e-06
0.595,-3.4088656940481936e-06
0.5975,-3.3251731394907612e-06
0.6,-3.2315657147639607e-06
0.6025,-3.1283317346346118e-06
0.605,-3.0162216016901641e-06
0.6075,-2.8959626238340542e-06
0.61,-2.7684696908310141e-06
0.6125,-2.6346267221178018e-06
0.615,-2.4949642463530517e-06
0.6175,-2.3495502986172857e-06
0.62,-2.1984192592155979e-06
0.6225,-2.041788835622027e-06
0.625,-1.8795109688275141e-06
0.6275,-1.7114542492716515e-06
0.63,-1.5376637930045375e-06
0.6325,-1.3581016491433998e-06
0.635,-1.1731305033076359e-06
0.6375,-9.8340153161184358e-07
0.64,-7.8967587931792418e-07
0.6425,-5.9256457205899274e-07
0.645,-3.9262102880200923e-07
0.6475,-1.904620043975936e-07
0.65,1.3442099503631693e-08
0.6525,2.1883980630235339e-07
0.655,4.2559207130150237e-07
0.6575,6.3384477038018964e-07
0.66,8.4404721169983295e-07
0.6625,1.0560309751349351e-06
0.665,1.2687907235973545e-06
0.6675,1.4814321183608498e-06
0.67,1.692963685844022e-06
0.6725,1.9027339489381257e-06
0.675,2.1102396009646746e-06
0.6775,2.3149553173886936e-06
0.68,2.516503022593193e-06
0.6825,2.7145630053087619e-06
0.685,2.9087648002988207e-06
0.6875,3.0985645181814756e-06
0.69,3.2835802165198508e-06
0.6925,3.4635491393065184e-06
0.695,3.6379084174552369e-06
0.6975,3.8059390670178231e-06
0.7,3.9671662332325365e-06
0.7025,4.121097750252575e-06
0.705,4.2671902361452519e-06
0.7075,4.4048540914938545e-06
0.71,4.5336625593845256e-06
0.7125,4.6534548067865219e-06
0.715,4.7643364948931436e-06
0.7175,4.8662428668676814e-06
0.72,4.9589471026759281e-06
0.7225,5.0423849820030198e-06
0.725,5.1164572978586996e-06
0.7275,5.1808461543305385e-06
0.73,5.235977116561166e-06
0.7325,5.2831868866054589e-06
0.735,5.3255641078683331e-06
0.7375,5.3624074232280137e-06
0.74,5.3849587441004365e-06
0.7425,5.3874595123135625e-06
0.745,5.3715686348123409e-06
0.7475,5.3421169693851206e-06
0.75,5.3023805404593438e-06
0.7525,5.2530614519466158e-06
0.755,5.1936514268013589e-06
0.7575,5.1237484871149068e-06
0.76,5.0432085209627841e-06
0.7625,4.9519009960452898e-06
0.765,4.8494343192342683e-06
0.7675,4.7355603532893529e-06
0.77,4.6102782712449816e-06
0.7725,4.4737996334174806e-06
0.775,4.3264724559800905e-06
0.7775,4.168516966629386e-06
0.78,4.0001169284316468e-06
0.7825,3.8213553645093411e-06
0.785,3.6323840043790199e-06
0.7875,3.4334238106094735e-06
0.79,3.224701789657103e-06
0.7925,3.0064896936249376e-06
0.795,2.7793159895725351e-06
0.7975,2.5437889436445268e-06
0.8,2.3006353725433056e-06
0.8025,2.0505505384280407e-06
0.805,1.7941243777511803e-06
0.8075,1.5316583967222895e-06
0.81,1.2635709955824645e-06
0.8125,9.9031503191074175e-07
0.815,7.1235522501912415e-07
0.8175,4.3023493215231125e-07
0.82,1.4456603793648725e-07
0.8225,-1.4425547769134681e-07
0.825,-4.3559273730080165e-07
0.8275,-7.2883437756565855e-07
0.83,-1.023316627693165e-06
0.8325,-1.3184169088579142e-06
0.835,-1.6134850629363586e-06
0.8375,-1.9077534152622349e-06
0.84,-2.2006243478633723e-06
0.8425,-2.4912143051975472e-06
0.845,-2.7790977638645693e-06
0.8475,-3.0637603401910948e-06
0.85,-3.3448048253831792e-06
0.8525,-3.6216773338808933e-06
0.855,-3.8938927607872139e-06
0.8575,-4.1611242543236783e-06
0.86,-4.4227144871421336e-06
0.8625,-4.6780058224016555e-06
0.865,-4.9262180598896064e-06
0.8675,-5.1663180880519633e-06
0.87,-5.3972520859100307e-06
0.8725,-5.6179724540330915e-06
0.875,-5.8277466906491812e-06
0.8775,-6.0260715910248314e-06
0.88,-6.2125451196593238e-06
0.8825,-6.3867401545388679e-06
0.885,-6.5484402679357142e-06
0.8875,-6.6975451884797585e-06
0.89,-6.8338160705739747e-06
0.8925,-6.9568263161995713e-06
0.895,-7.0662330109197544e-06
0.8975,-7.1615973453820612e-06
0.9,-7.2421795773353833e-06
0.9025,-7.3074176369641121e-06
0.905,-7.3568873447275383e-06
0.9075,-7.3898252915536566e-06
0.91,-7.4053592855762194e-06
0.9125,-7.4030489733272264e-06
0.915,-7.3828990500570924e-06
0.9175,-7.3456920831212367e-06
0.92,-7.2931160567102671e-06
0.9225,-7.2273186420272777e-06
0.925,-7.1494430897068266e-06
0.9275,-7.0587372994879517e-06
0.93,-6.953210795734464e-06
0.9325,-6.8308358776841751e-06
0.935,-6.6898776469929417e-06
0.9375,-6.5297261262349852e-06
0.94,-6.3509082032183395e-06
0.9425,-6.1545354785786102e-06
0.945,-5.9416783066360447e-06
0.9475,-5.7131647002489286e-06
0.95,-5.4700308108146025e-06
0.9525,-5.2127958896996586e-06
0.955,-4.9413761206962319e-06
0.9575,-4.6563079203395092e-06
0.96,-4.3578182409862421e-06
0.9625,-4.0461508386397929e-06
0.965,-3.7219272044579635e-06
0.9675,-3.3855710233081839e-06
0.97,-3.038137379519002e-06
0.9725,-2.6802676730436573e-06
0.975,-2.3128382496849213e-06
0.9775,-1.9361171482649662e-06
0.98,-1.550600419948351e-06
0.9825,-1.1571704138694832e-06
0.985,-7.5654017209133441e-07
0.9875,-3.4956452617531874e-07
0.99,6.2791235298703127e-08
0.9925,4.7988115406505434e-07
0.995,9.0093182198591442e-07
0.9975,1.3250701789304092e-06
1.0,1.7509767955657393e-06
1.0025,2.1777410865889739e-06
1.005,2.6046607422761144e-06
1.0075,3.030925380110754e-06
1.01,3.455875959744021e-06
1.0125,3.8786063002329476e-06
1.015,4.2982110755105553e-06
1.0175,4.7134014204596993e-06
1.02,5.1229447625891005e-06
1.0225,5.5258564843041501e-06
1.025,5.9214079171522622e-06
1.0275,6.3084958833625761e-06
1.03,6.6859890979315784e-06
1.0325,7.0528395345978148e-06
1.035,7.4078813726587405e-06
1.0375,7.7500828724390208e-06
1.04,8.0788377463514898e-06
1.0425,8.3931788043394164e-06
1.045,8.6922376436125512e-06
1.0475,8.9749199027216956e-06
1.05,9.2405058259245671e-06
