Physical Time (s),ev_left Monitor (kg-m/s^3)
0.4525,-2.621997254342221e-08
0.455,-2.6531158147111113e-08
0.4575,-2.6849206268261506e-08
0.46,-2.7168042064329375e-08
0.4625,-2.7483826229293077e-08
0.465,-2.7794518316088678e-08
0.4675,-2.8098211315257691e-08
0.47,-2.8392347308400251e-08
0.4725,-2.8673579815268719e-08
0.475,-2.8938538323941362e-08
0.4775,-2.9183700923401006e-08
0.48,-2.940586507670761e-08
0.4825,-2.9605110228652479e-08
0.485,-2.9783305883257956e-08
0.4875,-2.9943312586333616e-08
0.49,-3.0088288252889002e-08
0.4925,-3.0221027276575192e-08
0.495,-3.0343751076660598e-08
0.4975,-3.0458354516081724e-08
0.5,-3.0566382030516016e-08
0.5025,-3.0669388400671406e-08
0.505,-3.0769111028788123e-08
0.5075,-3.086700940602439e-08
0.51,-3.0963764816573063e-08
0.5125,-3.1059223684224793e-08
0.515,-3.115282262431477e-08
0.5175,-3.1243504896983849e-08
0.52,-3.1330247038764661e-08
0.5225,-3.1412412765228096e-08
0.525,-3.148983063025719e-08
0.5275,-3.1562764461804798e-08
0.53,-3.1631896791535615e-08
0.5325,-3.1699056704996324e-08
0.535,-3.1766715427084674e-08
0.5375,-3.1838145168730161e-08
0.54,-3.1912621131567898e-08
0.5425,-3.1988910131599698e-08
0.545,-3.206716779160625e-08
0.5475,-3.2149675534659186e-08
0.55,-3.2241280598382535e-08
0.5525,-3.2346933952948826e-08
0.555,-3.2469862426894819e-08
0.5575,-3.261110335819004e-08
0.56,-3.2769918005982913e-08
0.5625,-3.2944374787141862e-08
0.565,-3.3132068069042599e-08
0.5675,-3.3330910690086517e-08
0.57,-3.3539571732351171e-08
0.5725,-3.375731857232222e-08
0.575,-3.398340589383404e-08
0.5775,-3.4216422920006506e-08
0.58,-3.445400471639495e-08
0.5825,-3.4693015490084191e-08
0.585,-3.4930029779092364e-08
0.5875,-3.5161833318217749e-08
0.59,-3.5385752307308745e-08
0.5925,-3.5599768137916015e-08
0.595,-3.58024795325928e-08
0.5975,-3.5992989779456569e-08
0.6,-3.6170805596579275e-08
0.6025,-3.6335771203712435e-08
0.605,-3.6487977581200933e-08
0.6075,-3.6627726847064646e-08
0.61,-3.6755505404658125e-08
0.6125,-3.6871971268992883e-08
0.615,-3.6977956544409285e-08
0.6175,-3.7074503368833062e-08
0.62,-3.7162922541991827e-08
0.6225,-3.7244844874349399e-08
0.625,-3.7322229049896314e-08
0.6275,-3.7397309673482907e-08
0.63,-3.747248728918072e-08
0.6325,-3.7550187903879319e-08
0.635,-3.7632716527566165e-08
0.6375,-3.772213536649923e-08
0.64,-3.7820174058349122e-08
0.6425,-3.7928171651612241e-08
0.645,-3.804703328552988e-08
0.6475,-3.8177168771435904e-08
0.65,-3.8318424311949399e-08
0.6525,-3.8470026560545032e-08
0.655,-3.8630570037694394e-08
0.6575,-3.8798067217116255e-08
0.66,-3.8970067847233167e-08
0.6625,-3.9143824557034065e-08
0.665,-3.9316469714388541e-08
0.6675,-3.9485185897430966e-08
0.67,-3.9647360873902864e-08
