Physical Time (s),FreestreamDensity Monitor (kg/m^3)
0.835,1.18415
0.8375,1.18415
0.84,1.18415
0.8425,1.18415
0.845,1.18415
0.8475,1.18415
0.85,1.18415
0.8525,1.18415
0.855,1.18415
0.8575,1.18415
0.86,1.18415
0.8625,1.18415
0.865,1.18415
0.8675,1.18415
0.87,1.18415
0.8725,1.18415
0.875,1.18415
0.8775,1.18415
0.88,1.18415
0.8825,1.18415
0.885,1.18415
0.8875,1.18415
0.89,1.18415
0.8925,1.18415
0.895,1.18415
0.8975,1.18415
0.9,1.18415
0.9025,1.18415
0.905,1.18415
0.9075,1.18415
0.91,1.18415
0.9125,1.18415
0.915,1.18415
0.9175,1.18415
0.92,1.18415
0.9225,1.18415
0.925,1.18415
0.9275,1.18415
0.93,1.18415
0.9325,1.18415
0.935,1.18415
0.9375,1.18415
0.94,1.18415
0.9425,1.18415
0.945,1.18415
0.9475,1.18415
0.95,1.18415
0.9525,1.18415
0.955,1.18415
0.9575,1.18415
0.96,1.18415
0.9625,1.18415
0.965,1.18415
0.9675,1.18415
0.97,1.18415
0.9725,1.18415
0.975,1.18415
0.9775,1.18415
0.98,1.18415
0.9825,1.18415
0.985,1.18415
0.9875,1.18415
0.99,1.18415
0.9925,1.18415
0.995,1.18415
0.9975,1.18415
1.0,1.18415
1.0025,1.18415
1.005,1.18415
1.0075,1.18415
1.01,1.18415
1.0125,1.18415
1.015,1.18415
1.0175,1.18415
1.02,1.18415
1.0225,1.18415
1.025,1.18415
1.0275,1.18415
1.03,1.18415
1.0325,1.18415
1.035,1.18415
1.0375,1.18415
1.04,1.18415
1.0425,1.18415
1.045,1.18415
1.0475,1.18415
1.05,1.18415
1.0525,1.18415
1.055,1.18415
1.0575,1.18415
1.06,1.18415
1.0625,1.18415
1.065,1.18415
1.0675,1.18415
1.07,1.18415
1.0725,1.18415
1.075,1.18415
1.0775,1.18415
1.08,1.18415
1.0825,1.18415
1.085,1.18415
1.0875,1.18415
1.09,1.18415
1.0925,1.18415
1.095,1.18415
1.0975,1.18415
1.1,1.18415
1.1025,1.18415
1.105,1.18415
1.1075,1.18415
1.11,1.18415
1.1125,1.18415
1.115,1.18415
1.1175,1.18415
1.12,1.18415
1.1225,1.18415
1.125,1.18415
1.1275,1.18415
1.13,1.18415
1.1325,1.18415
1.135,1.18415
1.1375,1.18415
1.14,1.18415
1.1425,1.18415
1.145,1.18415
1.1475,1.18415
1.15,1.18415
1.1525,1.18415
1.155,1.18415
1.1575,1.18415
1.16,1.18415
1.1625,1.18415
1.165,1.18415
1.1675,1.18415
1.17,1.18415
1.1725,1.18415
1.175,1.18415
1.1775,1.18415
1.18,1.18415
1.1825,1.18415
1.185,1.18415
1.1875,1.18415
1.19,1.18415
1.1925,1.18415
1.195,1.18415
1.1975,1.18415
1.2,1.18415
1.2025,1.18415
1.205,1.18415
1.2075,1.18415
1.21,1.18415
1.2125,1.18415
1.215,1.18415
1.2175,1.18415
1.22,1.18415
1.2225,1.18415
1.225,1.18415
1.2275,1.18415
1.23,1.18415
1.2325,1.18415
1.235,1.18415
1.2375,1.18415
1.24,1.18415
1.2425,1.18415
1.245,1.18415
1.2475,1.18415
1.25,1.18415
1.2525,1.18415
1.255,1.18415
1.2575,1.18415
1.26,1.18415
1.2625,1.18415
1.265,1.18415
1.2675,1.18415
1.27,1.18415
1.2725,1.18415
1.275,1.18415
1.2775,1.18415
1.28,1.18415
1.2825,1.18415
1.285,1.18415
1.2875,1.18415
1.29,1.18415
1.2925,1.18415
1.295,1.18415
1.2975,1.18415
1.3,1.18415
1.3025,1.18415
1.305,1.18415
1.3075,1.18415
1.31,1.18415
1.3125,1.18415
1.315,1.18415
1.3175,1.18415
1.32,1.18415
1.3225,1.18415
1.325,1.18415
1.3275,1.18415
1.33,1.18415
1.3325,1.18415
1.335,1.18415
1.3375,1.18415
1.34,1.18415
1.3425,1.18415
1.345,1.18415
1.3475,1.18415
1.35,1.18415
1.3525,1.18415
1.355,1.18415
1.3575,1.18415
1.36,1.18415
1.3625,1.18415
1.365,1.18415
1.3675,1.18415
1.37,1.18415
1.3725,1.18415
1.375,1.18415
1.3775,1.18415
1.38,1.18415
1.3825,1.18415
1.385,1.18415
1.3875,1.18415
1.39,1.18415
1.3925,1.18415
1.395,1.18415
1.3975,1.18415
1.4,1.18415
1.4025,1.18415
1.405,1.18415
1.4075,1.18415
1.41,1.18415
1.4125,1.18415
1.415,1.18415
1.4175,1.18415
1.42,1.18415
1.4225,1.18415
1.425,1.18415
1.4275,1.18415
1.43,1.18415
1.4325,1.18415
1.435,1.18415
1.4375,1.18415
1.44,1.18415
1.4425,1.18415
1.445,1.18415
1.4475,1.18415
1.45,1.18415
1.4525,1.18415
1.455,1.18415
1.4575,1.18415
1.46,1.18415
1.4625,1.18415
1.465,1.18415
1.4675,1.18415
1.47,1.18415
1.4725,1.18415
1.475,1.18415
1.4775,1.18415
1.48,1.18415
1.4825,1.18415
1.485,1.18415
1.4875,1.18415
1.49,1.18415
1.4925,1.18415
1.495,1.18415
1.4975,1.18415
1.5,1.18415
1.5025,1.18415
1.505,1.18415
1.5075,1.18415
1.51,1.18415
1.5125,1.18415
1.515,1.18415
1.5175,1.18415
1.52,1.18415
1.5225,1.18415
1.525,1.18415
1.5275,1.18415
1.53,1.18415
1.5325,1.18415
1.535,1.18415
1.5375,1.18415
1.54,1.18415
1.5425,1.18415
1.545,1.18415
1.5475,1.18415
1.55,1.18415
1.5525,1.18415
1.555,1.18415
1.5575,1.18415
1.56,1.18415
1.5625,1.18415
1.565,1.18415
1.5675,1.18415
1.57,1.18415
1.5725,1.18415
1.575,1.18415
1.5775,1.18415
1.58,1.18415
1.5825,1.18415
1.585,1.18415
1.5875,1.18415
1.59,1.18415
1.5925,1.18415
1.595,1.18415
1.5975,1.18415
1.6,1.18415
1.6025,1.18415
1.605,1.18415
1.6075,1.18415
1.61,1.18415
1.6125,1.18415
1.615,1.18415
1.6175,1.18415
1.62,1.18415
1.6225,1.18415
1.625,1.18415
1.6275,1.18415
1.63,1.18415
1.6325,1.18415
1.635,1.18415
1.6375,1.18415
1.64,1.18415
1.6425,1.18415
1.645,1.18415
1.6475,1.18415
1.65,1.18415
1.6525,1.18415
1.655,1.18415
1.6575,1.18415
1.66,1.18415
1.6625,1.18415
1.665,1.18415
1.6675,1.18415
1.67,1.18415
1.6725,1.18415
1.675,1.18415
1.6775,1.18415
1.68,1.18415
1.6825,1.18415
1.685,1.18415
1.6875,1.18415
1.69,1.18415
1.6925,1.18415
1.695,1.18415
1.6975,1.18415
1.7,1.18415
1.7025,1.18415
1.705,1.18415
1.7075,1.18415
1.71,1.18415
1.7125,1.18415
1.715,1.18415
1.7175,1.18415
1.72,1.18415
1.7225,1.18415
1.725,1.18415
1.7275,1.18415
1.73,1.18415
1.7325,1.18415
1.735,1.18415
1.7375,1.18415
1.74,1.18415
1.7425,1.18415
1.745,1.18415
1.7475,1.18415
1.75,1.18415
1.7525,1.18415
1.755,1.18415
1.7575,1.18415
1.76,1.18415
1.7625,1.18415
1.765,1.18415
1.7675,1.18415
1.77,1.18415
1.7725,1.18415
1.775,1.18415
