Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.145,-3.2615492480535439e-09,8.0077277924208801e-08,2.3244359607669701e-07,3.3688226420254653e-07,3.9377310486386158e-07,4.2529513590442431e-07,4.2876084574010041e-07
0.1475,-1.931256943958005e-08,5.8381173743417105e-08,1.9547229408785489e-07,2.9372052102901866e-07,3.5341729409479805e-07,3.9495159731783757e-07,3.9650277395918258e-07
0.15,-3.4276871287164152e-08,3.3111359388982401e-08,1.4825170811049671e-07,2.34093539287428e-07,2.9175124899134701e-07,3.4064677383689334e-07,3.4184595255110323e-07
0.1525,-4.5615087687349991e-08,7.6276662521697552e-09,9.6605033798229289e-08,1.6596929245831655e-07,2.1748299897601387e-07,2.7018492451594103e-07,2.7164734442321406e-07
0.155,-4.8538232288939047e-08,-1.1840822921822465e-08,4.9323345301060846e-08,1.0043605630344859e-07,1.4297720836568256e-07,1.9569616962484176e-07,1.974784569010159e-07
0.1575,-3.8457553987798937e-08,-1.8972771289947918e-08,1.5035244546183018e-08,4.8131015383891238e-08,8.0326718048425944e-08,1.2958494900068883e-07,1.3176227678349955e-07
0.16,-1.3735828610725199e-08,-1.0507576962953093e-08,-1.2407006904698469e-09,1.5505664845504902e-08,3.7290401388983354e-08,8.030657165422449e-08,8.3420348632081046e-08
0.1625,2.2877212973891803e-08,1.1979909832245651e-08,-4.4722501640091323e-11,2.7674537983301308e-09,1.5011136005528417e-08,4.9900759197012562e-08,5.5047612715591473e-08
0.165,6.4918601226188259e-08,4.260062148407346e-08,1.3046835689686421e-08,4.4520544549618734e-09,8.4846588344680486e-09,3.4250974090446031e-08,4.2770362747510012e-08
0.1675,1.0444213672169755e-07,7.3503714704434252e-08,3.0013771952985913e-08,1.2234103096822214e-08,9.4358160264274132e-09,2.5798691327799066e-08,3.870809135347349e-08
0.17,1.3447022965347099e-07,9.7605558467616879e-08,4.3478692980673315e-08,1.8303073228954265e-08,9.8664722521986887e-09,1.70373102094918e-08,3.4467887254387157e-08
