Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
0.03,5.3423150823279484e-12,-1.0978228794145881e-13,-2.8412688841603616e-15,-5.8610013911305604e-14,-1.5325495899170802e-13,-3.5007447451783877e-14,4.0422403163282642e-14
0.0325,6.390924180688469e-12,-6.2128600303792683e-15,6.8024218328628379e-14,-9.8091997019620777e-14,-2.2382706087194188e-13,-3.957191698889507e-14,4.0300374736754426e-14
0.035,7.7443067292039704e-12,1.4494327144995512e-14,7.3435042747143098e-14,3.1585220825649153e-14,9.9553882997652568e-16,2.3352307579267111e-14,8.7228339105800154e-15
0.0375,9.5913944822989873e-12,-1.435035974031241e-13,6.8188488217482418e-14,-2.0661762804527224e-15,5.2528608043373834e-14,5.8214001563107636e-14,-7.6982903248980814e-14
0.04,1.1489393291586984e-11,4.0764460698104875e-14,-7.3871044301672975e-14,-6.2172454227455687e-14,7.855022113614806e-15,1.3185476618203401e-13,4.1459653683437389e-14
0.0425,1.3862873662097357e-11,5.0560046804783393e-14,9.2510608711422172e-14,-1.323704372608075e-13,-3.8509866985116691e-14,-7.8673044629108685e-14,2.6795200492088078e-16
0.045,1.6761195541255169e-11,4.9603056689051759e-14,4.380251224986277e-14,1.0388255898297995e-13,-2.6444218617855138e-14,-2.199005550603954e-13,4.142243917985215e-14
0.0475,1.9665982963970875e-11,-4.4954119226907456e-14,-6.1499830845916888e-14,-3.4822782579848019e-14,2.0459821803851067e-14,2.8603218231700635e-14,-1.7216537841600971e-14
0.05,2.2999105555577004e-11,1.2645926209912303e-13,-5.4046325308366561e-14,-1.9008778485418911e-14,2.0095603016495211e-14,-8.8461431120660564e-14,-4.1820113225669727e-14
0.0525,2.6389401605764508e-11,9.241629285435293e-15,-2.330501605169861e-14,2.3824437427609932e-14,1.3107840750087394e-13,-7.3449677743225636e-14,1.4024198872269533e-14
0.055,2.996267877623918e-11,-4.1539816553376112e-14,-1.292086490610287e-14,-3.0532786192588116e-15,-2.7486779535091588e-14,7.9005755599862047e-14,-2.0962223495205165e-15
0.0575,3.3288645686014772e-11,2.2142165773931589e-14,8.7209741163454685e-14,5.4229979777696021e-14,3.8688866265573456e-14,-1.8815082320247517e-13,2.2911791794485811e-14
0.06,3.6453112095307421e-11,-6.2895177291349297e-15,-1.3297765550708398e-13,-5.037150901726933e-14,-8.4809097498717182e-14,1.3816265243040294e-14,-9.8145185978884894e-14
0.0625,3.9590153760331055e-11,-1.0980134830290064e-14,7.0931002554122686e-14,-3.1831249076456447e-14,4.4257871564931697e-14,-2.6052711480965665e-13,7.9164984509536636e-15
0.065,4.2448738516431579e-11,1.229683472388994e-14,-8.8096372043671676e-14,-1.3778250478728697e-13,1.0971924672672671e-13,-4.663886517896515e-14,9.8849463969510651e-14
0.0675,4.467483291854128e-11,8.9355530427147576e-14,-1.3667905133924796e-13,-1.1360660581827126e-13,-2.1660176573713652e-14,-6.844891983778433e-14,-1.0343212503239425e-14
0.07,4.6637410378715394e-11,-2.2037383521320608e-14,3.7591201941701922e-14,1.7212610339888389e-13,-3.388419758954058e-14,-9.0576581812828324e-14,-2.1116902157308345e-14
0.0725,4.7655189992309252e-11,1.7728489840036374e-13,3.0367262905569754e-14,-2.0573894125497433e-14,-1.2623641160872801e-13,2.8448368378704805e-14,1.328005682936574e-13
0.075,4.8440041088081604e-11,-1.3045246576060783e-14,-8.1487563035951135e-14,1.0662835864380292e-14,2.32398273886288e-14,1.2461529440634332e-13,5.8241087489365533e-15
0.0775,4.9026219664444278e-11,1.686591923220415e-13,-9.7769299451199423e-14,1.9197349365659721e-14,1.1448708737732108e-13,9.1129878459818813e-14,-5.2387636972657861e-14
0.08,4.9012768848412919e-11,1.6294841481365186e-13,1.4237402815292197e-13,-2.6849104995742165e-14,6.3404452594392196e-14,-4.6426431158100236e-14,-9.3273994982844342e-14
0.0825,4.8779431968820467e-11,-3.7273432689905748e-14,1.150288742892318e-13,-2.9317874416483873e-14,2.2950772401762447e-14,-3.1845213974129882e-14,-8.6479759193596513e-14
0.085,4.8405255456463741e-11,2.008857172556839e-13,5.5172593756202146e-14,2.0580512010177917e-15,1.6006531475613715e-13,-1.0460406706154482e-13,-1.720873000562159e-13
0.0875,4.7829969469736715e-11,3.8558979906173549e-14,-8.2428077667082656e-15,8.5977565858286174e-14,-1.3555981670224084e-13,-3.0227303557676887e-15,-1.6920940614005449e-14
0.09,4.7533505915504429e-11,6.4767209688347659e-14,1.3456423139696482e-13,-2.9898598690118407e-14,3.8523348752527082e-14,-6.6425275498855933e-14,4.4732183323221298e-14
0.0925,4.7441545622441475e-11,4.9365358664318548e-14,7.462900365448754e-14,3.1710422891103335e-14,9.7653744196200461e-14,9.037188491133156e-14,-5.730792552430273e-14
0.095,4.7575016637586458e-11,6.4655336908031843e-14,-1.1592675531956402e-13,8.5933123806001444e-15,1.2946518537282774e-13,-1.0624100146080531e-13,-4.2390632531456529e-14
0.0975,4.8218795936208095e-11,5.2421211130090246e-14,-2.4701583358894475e-14,2.0348766239733451e-15,-1.4697080577295559e-14,-4.0951894782929383e-14,-1.5371742788872231e-14
0.1,4.9417008326844089e-11,1.4848923338250238e-13,7.1345414460441865e-14,6.6764566012243786e-14,3.0500776192454983e-14,9.9493052162265407e-15,-2.7356416806307966e-14
0.1025,5.0933650735080623e-11,5.4317898351636858e-14,4.4137117073340181e-14,7.1240233675348021e-14,-9.0432321502863566e-14,-1.3628780295510914e-13,1.4453692771041574e-14
0.105,5.310175324533291e-11,1.1723994000986748e-13,1.0059863102340695e-14,1.305212965338182e-14,7.4985123741619767e-14,1.1489997351262122e-13,-5.5891531876548987e-15
0.1075,5.5596809977699722e-11,2.2439852317225287e-13,-1.7803911247322491e-14,6.8587934838343481e-16,-3.4881678008879797e-14,5.2693845623421939e-15,-1.4610312469134023e-14
0.11,5.8578851282864952e-11,-2.9548499877727459e-14,-4.9228473123980699e-14,-6.2442371997014646e-14,-1.0238210330484013e-13,1.8498803504201783e-14,-1.4227207437282618e-14
0.1125,6.2068052694715998e-11,2.3501120856436594e-13,4.9757750192523128e-14,5.1770970193321641e-14,-1.6622870512673013e-14,6.5887994895983513e-14,-5.3499045657826048e-15
0.115,6.5544468010475203e-11,1.7000363379141308e-13,-4.2218327746690857e-14,-2.5707396908360511e-13,6.3944023274862431e-14,6.3364279668269935e-14,2.9524405999532248e-14
0.1175,6.9023716444703203e-11,1.4487038077622318e-13,7.2805305150207624e-14,-1.7199776820950093e-13,-1.0810971306967843e-14,8.3586569378535366e-14,-3.1275089768241609e-14
0.12,7.2371762693746777e-11,3.0115532860522689e-13,5.666906754841808e-14,7.7449311272915321e-14,4.5653430833149419e-14,-7.041300720159504e-14,2.0095500218778121e-16
0.1225,7.5526132255600244e-11,1.2791011029339534e-13,1.6578089979317005e-13,1.7009887554209427e-13,-1.6455819983304048e-14,9.6891945728804231e-14,7.8340636930210173e-14
0.125,7.7791790651385329e-11,2.0543573019199696e-13,7.6714577459850796e-15,2.1332411531932821e-13,-4.2933474410954847e-14,-1.5279713336257571e-14,-8.5181599524547586e-14
0.1275,7.9835665942941079e-11,2.170007970752112e-13,-1.0517233448121918e-15,-5.8354326507370989e-14,7.4152239027813695e-14,-1.4240099387159964e-13,2.6829461347335103e-14
0.13,8.0651209168855087e-11,2.3646978264683979e-13,1.7433344049153436e-14,1.3067074266329535e-13,1.6137905161940591e-14,-5.7849729653255633e-14,1.2011943674966924e-15
0.1325,8.114872794586514e-11,4.355656760735877e-13,-8.1968204215198552e-14,8.284801973178464e-14,-1.4092185106500552e-15,-4.1632020074185582e-14,-5.2613681397446693e-14
0.135,8.0644903877751203e-11,2.8486957239428861e-13,-2.7180866162395836e-14,4.2230040473538629e-14,4.9936764851734528e-14,-9.8590940369311601e-14,4.9831260744683891e-15
0.1375,7.949739440958823e-11,5.2167302698284631e-13,2.9715402604888356e-14,8.4978375376180039e-14,-5.9500485264129153e-14,-5.5945716440613165e-15,-2.1722681730379369e-14
0.14,7.7548297934447196e-11,5.4910023250806324e-13,2.9779214965515605e-14,3.7789593485361218e-14,5.3458874011561553e-14,-6.5704160842891613e-14,-1.4907177372648602e-14
0.1425,7.5185988590014203e-11,5.428558300251212e-13,-4.2202989845988664e-15,5.2120431518569695e-15,4.4835531343272379e-14,-1.1795066275113671e-13,1.343925332761131e-14
0.145,7.2311468971566696e-11,5.9323147681287762e-13,-9.096819846586558e-15,-1.7351291034721404e-13,1.8694767339885758e-14,8.4899098565031047e-14,2.0490104840129972e-14
0.1475,6.9078413079271591e-11,6.7585264733342387e-13,-4.3611779571097157e-14,-1.8642782261075568e-14,1.1395570317012708e-13,2.5335616579783826e-14,1.4250833452159809e-14
0.15,6.5630149172349956e-11,8.8100017875307705e-13,-6.1306201029059176e-14,4.7636133105295028e-14,-1.4732676478395867e-13,-6.6707625388760239e-14,-2.3548152647545877e-14
0.1525,6.2426669047970783e-11,1.0849834163688453e-12,4.5471756826111997e-14,-1.6166296830858651e-14,-5.8735713857631987e-14,-2.1280139710954005e-14,-3.2076086636111987e-14
0.155,5.877412121488546e-11,1.2054350904267255e-12,2.3134372163987376e-14,1.2477109128541764e-13,1.3493873068511425e-14,-3.566093822681451e-14,4.7267087815789711e-14
0.1575,5.5061514607926268e-11,1.2759621828676943e-12,3.2179026129340555e-14,-9.5125336361296201e-14,7.6538950394631941e-14,6.2787458399560958e-14,2.8448589270331187e-14
0.16,5.1669609343165165e-11,1.4590243499053521e-12,9.6746555518826004e-14,4.96750109424032e-15,-1.3562318269894528e-14,5.3137690166917585e-15,-2.0965377261264885e-14
0.1625,4.8407254329730195e-11,1.9976037246346903e-12,-1.010848236097705e-13,-9.7054727874002437e-14,-1.1161429740193231e-15,-5.5582059817926943e-14,2.1594294632404846e-14
0.165,4.5156446774622544e-11,2.2327271350070245e-12,1.2142057113217848e-14,3.9692257971449202e-14,6.2272180270083591e-14,1.2872982661481725e-13,-1.251406253444386e-13
0.1675,4.1935079748761624e-11,2.7221930439371925e-12,7.3715164287272042e-14,7.5845758711533295e-14,-2.3800659523704224e-14,-3.1259671386520557e-14,1.0271062991139711e-13
