Physical Time (s),etp_left Monitor (kg-m/s^3)
0.8125,6.080574208530302e-08
0.815,6.8694388080504934e-08
0.8175,7.5454969688931339e-08
0.82,8.0939426210743562e-08
0.8225,8.5091279793636278e-08
0.825,8.7946331828138867e-08
0.8275,8.9628817144707889e-08
0.83,9.0343134099355827e-08
0.8325,9.0364202249923893e-08
0.835,9.0025692496581413e-08
0.8375,8.9706961736116909e-08
0.84,8.981874948572941e-08
0.8425,9.0787323340119315e-08
0.845,9.3036579575746277e-08
0.8475,9.6966685817920947e-08
0.85,1.0293267474577297e-07
0.8525,1.1122597582170105e-07
0.855,1.2204950777764469e-07
0.8575,1.355154000017905e-07
0.86,1.5163014591101124e-07
0.8625,1.7030103317472659e-07
0.865,1.913397150469041e-07
0.8675,2.1447030301317631e-07
0.87,2.3934240815167149e-07
0.8725,2.6553331186512649e-07
0.875,2.925595839613979e-07
0.8775,3.1988425589590903e-07
0.88,3.4693543164208232e-07
0.8825,3.7312340166947652e-07
0.885,3.9786439328804048e-07
0.8875,4.2059964508243386e-07
0.89,4.4082590521488949e-07
0.8925,4.5811444305922093e-07
0.895,4.7213600448399791e-07
0.8975,4.826695589362854e-07
0.9,4.8960245467652135e-07
0.9025,4.9293124202123333e-07
0.905,4.9275133627704144e-07
0.9075,4.8924552944830849e-07
0.91,4.8266896498447857e-07
0.9125,4.7333751057818267e-07
0.915,4.6162485374761187e-07
0.9175,4.4796528220081398e-07
0.92,4.3285325451614584e-07
0.9225,4.1681211812885784e-07
0.925,4.0034349336221131e-07
0.9275,3.8388776257711395e-07
0.93,3.6781223788818914e-07
0.9325,3.5241429038768255e-07
0.935,3.3792827005895511e-07
0.9375,3.2453063562827179e-07
0.94,3.1234601068268425e-07
0.9425,3.0145051222182474e-07
0.945,2.9187438416221502e-07
0.9475,2.8360334844979085e-07
0.95,2.7657994393471717e-07
0.9525,2.707070536747947e-07
0.955,2.6585647292701264e-07
0.9575,2.6187987163849282e-07
0.96,2.5862021017837634e-07
0.9625,2.5591891881527956e-07
0.965,2.5362772214360599e-07
0.9675,2.516092632415389e-07
0.97,2.4973657254984325e-07
0.9725,2.4789548395486592e-07
0.975,2.4599059736648838e-07
0.9775,2.4394454881339053e-07
0.98,2.4169956043521288e-07
0.9825,2.3921344696467157e-07
0.985,2.3646090296338762e-07
0.9875,2.3343142077769005e-07
0.99,2.3012609484369085e-07
0.9925,2.2655364789138017e-07
0.995,2.2272689974596509e-07
0.9975,2.1866072182899424e-07
1.0,2.1436998582544836e-07
1.0025,2.0986652628254527e-07
1.005,2.0515774397128607e-07
1.0075,2.0024324823289086e-07
1.01,1.9511460260176309e-07
1.0125,1.8975761879647383e-07
1.015,1.8415393504407655e-07
1.0175,1.7828623903484684e-07
1.02,1.7213900591749391e-07
1.0225,1.6570515339113124e-07
1.025,1.5899101091434547e-07
1.0275,1.5202062432513523e-07
1.03,1.4483964215680929e-07
1.0325,1.3751781611835999e-07
1.035,1.3014893939829212e-07
1.0375,1.228510665409124e-07
