Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
0.2025,1.845966610263862e-05
0.205,1.8459666102637987e-05
0.2075,1.8459666102637844e-05
0.21,1.8459666102637536e-05
0.2125,1.8459666102637353e-05
0.215,1.8459666102637129e-05
0.2175,1.845966610263696e-05
0.22,1.8459666102636631e-05
0.2225,1.8459666102636099e-05
0.225,1.8459666102635452e-05
0.2275,1.8459666102634714e-05
0.23,1.8459666102633941e-05
0.2325,1.8459666102633165e-05
0.235,1.845966610263241e-05
0.2375,1.8459666102631719e-05
0.24,1.8459666102631109e-05
0.2425,1.8459666102630563e-05
0.245,1.8459666102630096e-05
0.2475,1.8459666102629682e-05
0.25,1.8459666102629293e-05
0.2525,1.8459666102628876e-05
0.255,1.8459666102628493e-05
0.2575,1.8459666102628114e-05
0.26,1.8459666102627724e-05
0.2625,1.8459666102627307e-05
0.265,1.8459666102626894e-05
0.2675,1.8459666102626481e-05
0.27,1.8459666102626074e-05
0.2725,1.8459666102625698e-05
0.275,1.8459666102625352e-05
0.2775,1.8459666102625041e-05
0.28,1.8459666102624759e-05
0.2825,1.8459666102624495e-05
0.285,1.8459666102624244e-05
0.2875,1.8459666102623997e-05
0.29,1.845966610262376e-05
0.2925,1.8459666102623519e-05
0.295,1.8459666102623258e-05
0.2975,1.8459666102623011e-05
0.3,1.8459666102622764e-05
0.3025,1.845966610262254e-05
0.305,1.845966610262235e-05
0.3075,1.8459666102622181e-05
0.31,1.8459666102622042e-05
0.3125,1.8459666102621923e-05
0.315,1.8459666102621812e-05
0.3175,1.845966610262172e-05
0.32,1.8459666102621619e-05
0.3225,1.8459666102621507e-05
0.325,1.8459666102621388e-05
0.3275,1.8459666102621253e-05
0.33,1.8459666102621104e-05
0.3325,1.8459666102620951e-05
0.335,1.8459666102620785e-05
0.3375,1.8459666102620633e-05
0.34,1.845966610262049e-05
0.3425,1.8459666102620365e-05
0.345,1.8459666102620263e-05
0.3475,1.8459666102620151e-05
0.35,1.845966610262007e-05
0.3525,1.8459666102619985e-05
0.355,1.8459666102619911e-05
0.3575,1.8459666102619833e-05
0.36,1.8459666102619762e-05
0.3625,1.8459666102619684e-05
0.365,1.8459666102619609e-05
0.3675,1.8459666102619525e-05
0.37,1.845966610261943e-05
0.3725,1.8459666102619335e-05
0.375,1.8459666102619237e-05
0.3775,1.8459666102619142e-05
0.38,1.845966610261904e-05
0.3825,1.8459666102618945e-05
0.385,1.8459666102618854e-05
0.3875,1.8459666102618762e-05
0.39,1.8459666102618678e-05
0.3925,1.84596661026186e-05
0.395,1.8459666102618535e-05
0.3975,1.8459666102618471e-05
0.4,1.845966610261842e-05
0.4025,1.8459666102618369e-05
0.405,1.8459666102618329e-05
0.4075,1.8459666102618295e-05
0.41,1.8459666102618271e-05
0.4125,1.8459666102618264e-05
0.415,1.8459666102618281e-05
0.4175,1.8459666102618295e-05
0.42,1.8459666102618305e-05
0.4225,1.8459666102618298e-05
0.425,1.8459666102618261e-05
0.4275,1.8459666102618234e-05
0.43,1.8459666102618203e-05
0.4325,1.8459666102618173e-05
0.435,1.8459666102618142e-05
0.4375,1.8459666102618112e-05
0.44,1.8459666102618075e-05
0.4425,1.8459666102618034e-05
0.445,1.8459666102617983e-05
0.4475,1.8459666102617939e-05
0.45,1.8459666102617902e-05
0.4525,1.8459666102617868e-05
0.455,1.8459666102617864e-05
0.4575,1.8459666102617871e-05
0.46,1.8459666102617898e-05
0.4625,1.8459666102617925e-05
