Physical Time (s),ek_vol Monitor (N): cv1,ek_vol Monitor (N): cv2,ek_vol Monitor (N): cv3,ek_vol Monitor (N): cv4,ek_vol Monitor (N): cv5,ek_vol Monitor (N): cv6,ek_vol Monitor (N): cv7
0.0975,5.2390615824002554e-06,5.6752858076329847e-06,5.6879961014322991e-06,5.6886393690738638e-06,5.6888905204685797e-06,5.6891214066850712e-06,5.6892595205752146e-06
0.1,5.3107925269099745e-06,5.7682827310739981e-06,5.7812499761270378e-06,5.7819243660639139e-06,5.7822135069164735e-06,5.7825075091178826e-06,5.7826645951642424e-06
0.1025,5.3796223118421408e-06,5.8575328405550191e-06,5.870418313649645e-06,5.8710789502563389e-06,5.8713870323217944e-06,5.8717733244263842e-06,5.8719598647470568e-06
0.105,5.4460664078410081e-06,5.9435727722542743e-06,5.9560633348243136e-06,5.9566607219673694e-06,5.9569637121282268e-06,5.9574348264029207e-06,5.9576778088886711e-06
0.1075,5.5112063802508121e-06,6.0277224092048289e-06,6.03960949832233e-06,6.0401059108228938e-06,6.0403827119760347e-06,6.0409070522303114e-06,6.0412408641824558e-06
0.11,5.5761577993940897e-06,6.1114869479643166e-06,6.1227200951077176e-06,6.1231009345072932e-06,6.1233381439720384e-06,6.1238811581197014e-06,6.1243337715214417e-06
0.1125,5.6417919606886882e-06,6.1961878512912584e-06,6.2068880796054019e-06,6.2071652390312355e-06,6.2073568318876938e-06,6.2078954756093446e-06,6.2084846510119697e-06
0.115,5.7086278428774447e-06,6.2827750931074779e-06,6.2932129629243861e-06,6.2934236957740456e-06,6.2935670795562862e-06,6.2940904007324509e-06,6.2948270598732811e-06
0.1175,5.7767570409650495e-06,6.3716986653713859e-06,6.3822519752784433e-06,6.3824580656648896e-06,6.3825520265720529e-06,6.3830509750228628e-06,6.3839403514234923e-06
0.12,5.8459554229970237e-06,6.4629927918399996e-06,6.4740986403911053e-06,6.4743867675701728e-06,6.4744365647461491e-06,6.474892576829378e-06,6.4759291991494901e-06
0.1225,5.9158945107125802e-06,6.556474184233694e-06,6.568585538220824e-06,6.5690652462114354e-06,6.5690946970306694e-06,6.5694774830856131e-06,6.5706377384882041e-06
0.125,5.9863140314339608e-06,6.6519002569339655e-06,6.665448867386469e-06,6.6662431175466397e-06,6.6663065714191367e-06,6.6665867634723075e-06,6.6678253455895068e-06
0.1275,6.0570308359505395e-06,6.7489440027847066e-06,6.7643039420782937e-06,6.7655300755258387e-06,6.7657139437060246e-06,6.7658875092542905e-06,6.7671415045580412e-06
0.13,6.1280029487636617e-06,6.8472605761271072e-06,6.8647149999964711e-06,6.8664607260588335e-06,6.8668687492402604e-06,6.8669804725567225e-06,6.8681798339188628e-06
0.1325,6.1993418784372771e-06,6.9465447489886099e-06,6.9662569650154831e-06,6.9685597895660656e-06,6.9692862809754776e-06,6.9694379535554508e-06,6.9705184186208626e-06
0.135,6.2711261742509041e-06,7.0463878358954824e-06,7.0683721962762203e-06,7.0712083856730799e-06,7.0723098647682896e-06,7.0726459540583118e-06,7.0735618911104322e-06
0.1375,6.3432839659998191e-06,7.1462115395963755e-06,7.1703117844445967e-06,7.1735971699383681e-06,7.1750731376130659e-06,7.1757463188477981e-06,7.1764819337955869e-06
0.14,6.4155764665623443e-06,7.2453079843054579e-06,7.271195372491106e-06,7.2747968069848628e-06,7.2765860841296577e-06,7.2777135371819834e-06,7.2782909532653457e-06
0.1425,6.4876303175157432e-06,7.3429353119290286e-06,7.3701385051923648e-06,7.3738938080402148e-06,7.3758871744682443e-06,7.3775129514183912e-06,7.3779951873375282e-06
0.145,6.5590824959234965e-06,7.4385367827518779e-06,7.4665063347573481e-06,7.4702490623662676e-06,7.4723133659702742e-06,7.4743910597557963e-06,7.4748774799112706e-06
0.1475,6.6297374118448456e-06,7.5319458426744829e-06,7.5601360287378568e-06,7.5637191208635535e-06,7.5657239611845111e-06,7.5681254389423485e-06,7.5687388247641206e-06
0.15,6.6996115078315641e-06,7.6234237322806769e-06,7.6513686625463728e-06,7.6546818316395001e-06,7.6565210356249414e-06,7.6590662280961077e-06,7.659933020941168e-06
0.1525,6.7688784088186659e-06,7.7135544022902288e-06,7.7409230083640898e-06,7.7439011980415461e-06,7.745505241748305e-06,7.7480017628536919e-06,7.7492286218518422e-06
0.155,6.8377709861812714e-06,7.803070341496201e-06,7.8296937237847167e-06,7.8323165799916126e-06,7.8336554523904439e-06,7.8359360402375911e-06,7.8375869508515845e-06
0.1575,6.9064688561947782e-06,7.8926565208724715e-06,7.9185277393224583e-06,7.9208122020715307e-06,7.9218904482729839e-06,7.9238393186862313e-06,7.9259182632450404e-06
0.16,6.9750194557843018e-06,7.9827990469856357e-06,8.008049914083524e-06,8.0100389759736203e-06,8.0108857973939761e-06,8.0124494812679427e-06,8.0148936024434959e-06
0.1625,7.0433216367995484e-06,8.0737178754921567e-06,8.0985806204314755e-06,8.1003313862230656e-06,8.100989147218818e-06,8.1021720315990759e-06,8.1048584551944363e-06
0.165,7.111174149351666e-06,8.1653970587028458e-06,8.1901606740299886e-06,8.1917342956513186e-06,8.1922484657191353e-06,8.1930973640593191e-06,8.1958629461754195e-06
0.1675,7.1783366398957085e-06,8.2576534585558638e-06,8.2826233632043554e-06,8.2840782260922982e-06,8.2844906016538867e-06,8.285075086030949e-06,8.2877443627170439e-06
0.17,7.2445499186829397e-06,8.3501768238089245e-06,8.3756416849229084e-06,8.3770296745546137e-06,8.3773750796356376e-06,8.3777696825503262e-06,8.3801845731355444e-06
0.1725,7.309554288685384e-06,8.4425772216688779e-06,8.4687842949609116e-06,8.4701491123806683e-06,8.4704546403175521e-06,8.4707263189431018e-06,8.472770867674228e-06
0.175,7.3731106903565952e-06,8.534440996741369e-06,8.5615809383715692e-06,8.5629574323248369e-06,8.5632430312386383e-06,8.5634446618711066e-06,8.5650596764112584e-06
0.1775,7.4350327597109655e-06,8.6254017966930133e-06,8.6536040019352252e-06,8.6550179832159018e-06,8.6552974428385658e-06,8.6554662166679234e-06,8.6566514747052468e-06
0.18,7.4952176881167411e-06,8.7152060797379577e-06,8.7445446711821153e-06,8.7460132619204965e-06,8.7462951585741198e-06,8.7464539686693228e-06,8.7472591005373369e-06
0.1825,7.5536658732174575e-06,8.8037589295379395e-06,8.8342678550713348e-06,8.8358007046238044e-06,8.8360893267155663e-06,8.8362494201101011e-06,8.8367569357287329e-06
0.185,7.61047601769419e-06,8.8911273841995954e-06,8.9228206024602882e-06,8.9244221034368181e-06,8.9247186012710881e-06,8.9248824804463159e-06,8.925187912115996e-06
0.1875,7.6658196463492417e-06,8.9775073542262029e-06,9.0103991233364149e-06,9.0120712964863347e-06,9.0123752340674484e-06,9.0125395168622324e-06,9.0127332417585509e-06
0.19,7.7199021649162112e-06,9.0631644519436648e-06,9.0972850203205126e-06,9.0990303160060536e-06,9.0993415277569508e-06,9.0994998701211312e-06,9.0996538757445114e-06
0.1925,7.7729232019223591e-06,9.1483704002156712e-06,9.1837741530506329e-06,9.185597313195317e-06,9.1859176761232668e-06,9.1860638339840884e-06,9.186224926297612e-06
0.195,7.825040319257021e-06,9.2333450157330694e-06,9.270110484632969e-06,9.2720188857118305e-06,9.2723534685302516e-06,9.2724842819281582e-06,9.272673602799394e-06
0.1975,7.8763442779691436e-06,9.3182167419731931e-06,9.3564402819628772e-06,9.3584426983583616e-06,9.3587998424008966e-06,9.3589176137608555e-06,9.3591351238919489e-06
0.2,7.9268515187307133e-06,9.4030129313180694e-06,9.4427996332756223e-06,9.4449039189261357e-06,9.4452941180949254e-06,9.4454077505112748e-06,9.445639672992154e-06
