Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.055,3.8718466982305612e-05,3.9155471146471067e-05,3.9181720950610615e-05,3.9182788804507483e-05,3.9183253097924313e-05,3.9188422882102265e-05,3.9202815229398502e-05
0.0575,3.8687477547608646e-05,3.9151641181814245e-05,3.9176960308091435e-05,3.9177872892290649e-05,3.917835541402665e-05,3.9180674436025481e-05,3.9194707806277535e-05
0.06,3.8814693635695056e-05,3.931043149047224e-05,3.9336117399906214e-05,3.9336898169911645e-05,3.9337344836962722e-05,3.9338392798625286e-05,3.9350390830256045e-05
0.0625,3.907424698448103e-05,3.9605653288313357e-05,3.963253827386287e-05,3.9633291230298867e-05,3.9633616847166219e-05,3.9634354779513161e-05,3.9643462225277171e-05
0.065,3.9411921272842227e-05,3.9982305866741668e-05,4.0010702745814494e-05,4.0011542618288864e-05,4.0011726756437115e-05,4.00124305356689e-05,4.001907466474712e-05
0.0675,3.9764828976042156e-05,4.0376384700047941e-05,4.0406176588672354e-05,4.0407146096003562e-05,4.0407252737036494e-05,4.0407870212572711e-05,4.041308044247137e-05
0.07,4.0080327762553232e-05,4.0734162768900612e-05,4.0764940570498797e-05,4.0765999306036764e-05,4.0766112282356355e-05,4.0766553405113072e-05,4.0771004216465854e-05
0.0725,4.0328522173950439e-05,4.1025082598870114e-05,4.1056311612999145e-05,4.105738809186022e-05,4.10575402102819e-05,4.1057799161775266e-05,4.1061491793265202e-05
0.075,4.0504312761745563e-05,4.1243942772177964e-05,4.1275141100122262e-05,4.1276184970681271e-05,4.1276350278923965e-05,4.1276498325750716e-05,4.1279174918461011e-05
0.0775,4.0623115948598684e-05,4.1406452864134894e-05,4.1437333235996099e-05,4.1438330538998284e-05,4.1438468502616305e-05,4.1438588024359475e-05,4.1440228220916513e-05
0.08,4.0709460922271277e-05,4.1537561612260846e-05,4.1568086442025967e-05,4.1569046939892086e-05,4.1569141584296202e-05,4.1569272173780253e-05,4.157017118817761e-05
0.0825,4.0788611603464687e-05,4.1662877355636779e-05,4.1693219463580428e-05,4.1694160552500139e-05,4.1694223921507656e-05,4.1694356996714807e-05,4.1694887756368638e-05
0.085,4.0879638593888367e-05,4.1801660713985532e-05,4.1832105450561107e-05,4.1833045449205283e-05,4.1833098361432108e-05,4.1833208399175654e-05,4.1833610473546555e-05
0.0875,4.0991774982146451e-05,4.1963170086792623e-05,4.1994005400808332e-05,4.1994963261135886e-05,4.1995019141201584e-05,4.1995095365361143e-05,4.1995442099387013e-05
0.09,4.1123743482293802e-05,4.2145794491203563e-05,4.2177227278557343e-05,4.2178220931560767e-05,4.2178283841321651e-05,4.2178337838780532e-05,4.2178615732759472e-05
0.0925,4.1265328740360697e-05,4.2338415058385516e-05,4.2370525126543577e-05,4.2371566156521151e-05,4.2371636898696114e-05,4.2371689168689813e-05,4.2371879951147841e-05
0.095,4.1401881656258829e-05,4.2525893940254893e-05,4.2558626247367347e-05,4.2559714907779477e-05,4.2559794960772175e-05,4.2559859123807526e-05,4.2559973969542472e-05
0.0975,4.1519340122311981e-05,4.2693757413432821e-05,4.2726943823839535e-05,4.2728068577902405e-05,4.2728158826602987e-05,4.2728236496840281e-05,4.2728308339958792e-05
0.1,4.1607501177900907e-05,4.2831577051271625e-05,4.2864979952297567e-05,4.2866121779918275e-05,4.2866219841059073e-05,4.2866305003328684e-05,4.2866366760640791e-05
0.1025,4.1661992342026158e-05,4.2934928717509403e-05,4.296829812883584e-05,4.2969437127019289e-05,4.296953710965859e-05,4.2969622260559081e-05,4.2969692338678644e-05
0.105,4.168391206190468e-05,4.3005042902729864e-05,4.3038175430298554e-05,4.3039297236872694e-05,4.303939211393625e-05,4.3039471404085728e-05,4.3039552669098148e-05
0.1075,4.1678854293726204e-05,4.3047798658260324e-05,4.308058497107491e-05,4.3081685447664262e-05,4.3081769934397077e-05,4.3081839642247518e-05,4.3081926549748692e-05
0.11,4.1655847017088772e-05,4.3072625012297102e-05,4.310507485161586e-05,4.310616181952679e-05,4.3106234086085528e-05,4.3106292563366312e-05,4.3106378452554522e-05
0.1125,4.1624783859209712e-05,4.3089883215976816e-05,4.3122121816266619e-05,4.3123213319249973e-05,4.3123275111745587e-05,4.3123322889009543e-05,4.3123403120556657e-05
0.115,4.1594060137503615e-05,4.3108459797209538e-05,4.3140703076081848e-05,4.3141822728116671e-05,4.3141878490761377e-05,4.3141918113416462e-05,4.3141989903491675e-05
0.1175,4.15702775400034e-05,4.3135437896623462e-05,4.316796035762831e-05,4.3169131415214512e-05,4.3169187072565188e-05,4.3169222404210479e-05,4.3169284317404492e-05
0.12,4.1558177517565722e-05,4.3175975104055354e-05,4.3209080336669594e-05,4.3210321043871183e-05,4.3210382606228846e-05,4.3210418072769723e-05,4.3210470230233273e-05
0.1225,4.1560328206725078e-05,4.3232982226876753e-05,4.3266979337405295e-05,4.3268301345736159e-05,4.3268373478004416e-05,4.326841389744663e-05,4.326845806446828e-05
0.125,4.157712454823512e-05,4.3307071675075499e-05,4.3342254827075605e-05,4.334366471571843e-05,4.3343749646246298e-05,4.3343800510256723e-05,4.3343839408042947e-05
0.1275,4.1607217281349315e-05,4.3396968722147138e-05,4.3433593550243835e-05,4.3435096098197074e-05,4.3435193365847721e-05,4.3435260635657567e-05,4.343529700616646e-05
0.13,4.1647392054095178e-05,4.3499434159785649e-05,4.3537694211518688e-05,4.3539294680868477e-05,4.3539402011897503e-05,4.3539490900170534e-05,4.3539527274652655e-05
0.1325,4.1692489513104347e-05,4.3609233776147395e-05,4.3649239147674728e-05,4.3650942569249855e-05,4.3651057221951413e-05,4.365117034828991e-05,4.3651209815433995e-05
0.135,4.1736299038267274e-05,4.372004495164206e-05,4.3761803841237121e-05,4.3763612287984035e-05,4.3763731989865471e-05,4.376386770862287e-05,4.3763914832609814e-05
0.1375,4.1774195201806972e-05,4.3827119949136289e-05,4.3870530969634144e-05,4.3872440304648613e-05,4.3872563501250757e-05,4.387271547413924e-05,4.3872776188149862e-05
0.14,4.1802326384553896e-05,4.3926467934602131e-05,4.3971327964196744e-05,4.3973325484154732e-05,4.3973450976279894e-05,4.3973609498613391e-05,4.3973689650289493e-05
0.1425,4.1817810601588195e-05,4.4015063206409437e-05,4.4061094183644503e-05,4.4063158562109123e-05,4.4063284943005018e-05,4.4063439720327487e-05,4.4063543037660779e-05
0.145,4.1819151897277194e-05,4.4091324233688111e-05,4.4138219733925618e-05,4.4140323548572599e-05,4.4140448791596084e-05,4.4140591804698062e-05,4.4140718520576168e-05
0.1475,4.1806257762156176e-05,4.4155146613269282e-05,4.4202625278093979e-05,4.4204739592205735e-05,4.4204861023787444e-05,4.4204987966261473e-05,4.4205134691319697e-05
