Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.055,0.00056255273352557439,0.00038936431117581451,0.00023076714005033049,-0.00010914620247387473,-0.00038483134864025342,0.00032177946568501535,-0.00031342325753427733
0.0575,0.00066009265874976116,0.00049407465393934489,0.0004821954197791357,0.00022468278546043433,-9.3570771423856774e-05,6.2993887428253656e-05,9.7798086534784913e-05
0.06,0.00069251394996970692,0.00049458892016370252,0.00059419875614701869,0.0004615657332433722,0.00016402029220106363,-5.970011366395466e-05,0.00053837509806018216
0.0625,0.00065245615683626494,0.00040298162366291413,0.00055489877867730814,0.00055191044427326658,0.00033052121313660598,-0.00010213319457919598,0.00089560315487180985
0.065,0.00054264717387651805,0.00024212541227317734,0.00038753176140697256,0.0004835960878836025,0.00037152005054743085,-0.00012554880073380539,0.001066731780941339
0.0675,0.00038234592566514124,4.5414935133765083e-05,0.00014294939540426387,0.0002868430594483738,0.00028631367361678703,-0.00016345553217298985,0.0010027081816421464
0.07,0.0002036733964971153,-0.00014865480789359145,-0.00011666258434081758,2.2499942776146016e-05,0.00010675882796903926,-0.00021959502509606628,0.00072798587479182037
0.0725,4.4730240461828455e-05,-0.00030291260876781401,-0.0003326037379136584,-0.00023651567322751532,-0.00011143916238637998,-0.00027848758879816973,0.00033105688303511604
0.075,-5.687760838775265e-05,-0.00038617061281267812,-0.00045912218461665791,-0.00042327993716302235,-0.00030262825320599902,-0.00031574522174153099,-6.9188756011581478e-05
0.0775,-7.3728995717263127e-05,-0.00037989948400717316,-0.00047181553529331325,-0.00049350037729379529,-0.00041077851810617942,-0.00030933581118487512,-0.00036682259159210608
0.08,3.1238068773740895e-06,-0.00028326747769550839,-0.00037209144339286985,-0.00043497038760775266,-0.00040585351310030179,-0.00024824153090252389,-0.00050104890339262203
0.0825,0.00016120179446948914,-0.00011384653562958446,-0.00018541404244119879,-0.00026738809541812606,-0.00029026219968319392,-0.00013631623065761797,-0.00046569197366531516
0.085,0.00037107689267431324,9.7572837105441179e-05,4.7433854138048678e-05,-3.3110991080421019e-05,-9.4002786036108095e-05,1.0020796784471863e-05,-0.00029883154589595447
0.0875,0.00059340090921955252,0.00031339156293996189,0.0002803424616335074,0.00021494519569000063,0.00013561508398562234,0.00016575046328835182,-6.4136509356165004e-05
0.09,0.00078931215108779193,0.0004983270608896191,0.00047340385329543242,0.00042795306929207892,0.00034878964217495152,0.00030453999520533561,0.00017116022737305155
0.0925,0.0009270002666409272,0.00062458327931816263,0.00059865819039560701,0.00057019271640845856,0.00050401995395788,0.00040310062379872647,0.00035131870832994677
0.095,0.00098827536420838355,0.00067721803045672421,0.00064442330685116533,0.00062574320928131656,0.00057766314816873701,0.00044681204271043511,0.00044314624752505254
0.0975,0.00097361586988729744,0.00065851713812788387,0.0006177540048256094,0.00060144320506327464,0.00056985525024603524,0.00043552672125442336,0.00044202699837007572
0.1,0.00089433046391828555,0.00057992214321170668,0.00053465989578604575,0.00051607579414308176,0.00049555505199396746,0.00037731331530356494,0.00036240619996786053
