Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
0.2675,4.3554012193421779e-05
0.27,4.8589441722125449e-05
0.2725,5.3022660177133414e-05
0.275,5.6568876965762695e-05
0.2775,5.8942773578801079e-05
0.28,6.0191747620750796e-05
0.2825,6.0027111844874799e-05
0.285,5.8418639658148276e-05
0.2875,5.5172013185616667e-05
0.29,5.0375731873283783e-05
0.2925,4.4358938111322386e-05
0.295,3.7472106479157905e-05
0.2975,3.0014295234118427e-05
0.3,2.2128740362739576e-05
0.3025,1.4347598517685915e-05
0.305,7.1880474995217122e-06
0.3075,8.7609887403659533e-07
0.31,-4.2273703164912002e-06
0.3125,-7.9310091106989193e-06
0.315,-1.0352709718819049e-05
0.3175,-1.1544091763425387e-05
0.32,-1.1660510533596896e-05
0.3225,-1.0874545292675954e-05
0.325,-9.2330257908301932e-06
0.3275,-6.7693083278551543e-06
0.33,-3.5131465812007982e-06
0.3325,5.0843690889951683e-07
0.335,5.4623641759973539e-06
0.3375,1.12038857859064e-05
0.34,1.7370816668110722e-05
0.3425,2.3800294219845203e-05
0.345,3.0247338672903737e-05
0.3475,3.6364130397561001e-05
0.35,4.2175057389096617e-05
0.3525,4.745070894947061e-05
0.355,5.1976971000662977e-05
0.3575,5.5575847633916503e-05
0.36,5.81222422905216e-05
0.3625,5.9547151806791026e-05
0.365,5.9822247104315665e-05
0.3675,5.8947466223613572e-05
0.37,5.6950602333616017e-05
0.3725,5.3872464733722237e-05
0.375,4.9850260379500132e-05
0.3775,4.4939678064960907e-05
0.38,3.9242399030227861e-05
0.3825,3.2852581829201819e-05
0.385,2.583991024955818e-05
0.3875,1.8261199404970062e-05
0.39,1.0183929789811947e-05
0.3925,1.7031562105936854e-06
0.395,-7.0538538594594374e-06
0.3975,-1.5924873990548389e-05
0.4,-2.4711224842546197e-05
0.4025,-3.3173672736207482e-05
0.405,-4.1181205934775821e-05
0.4075,-4.8390257168853225e-05
0.41,-5.4424806591665765e-05
0.4125,-5.8989420542208655e-05
0.415,-6.1607558754600756e-05
0.4175,-6.2063272624120075e-05
0.42,-6.0152972869481389e-05
0.4225,-5.5783044228488613e-05
0.425,-4.9104402623662359e-05
0.4275,-4.0310771444913177e-05
0.43,-2.9967139242777315e-05
0.4325,-1.8251856646182991e-05
0.435,-5.1939328359279866e-06
0.4375,8.4399705053931009e-06
0.44,2.2408582103057542e-05
0.4425,3.6260070027895167e-05
0.445,4.9529050889293545e-05
0.4475,6.1666649476467333e-05
0.45,7.243691026741305e-05
0.4525,8.1730069812185999e-05
0.455,8.948192108804162e-05
0.4575,9.5631409561023787e-05
0.46,9.9985884949528613e-05
0.4625,0.00010280067617608759
0.465,0.00010426191758202999
0.4675,0.00010442679881813422
0.47,0.00010332688201346158
0.4725,0.00010099117380993831
0.475,9.7484461705518873e-05
0.4775,9.2796688732957761e-05
0.48,8.6997720001221113e-05
0.4825,8.054936269758131e-05
0.485,7.3770559292008208e-05
0.4875,6.6915768686016863e-05
0.49,6.0078661256462215e-05
0.4925,5.3334408904707987e-05
0.495,4.6733373667842112e-05
0.4975,4.0290659578832939e-05
0.5,3.4035805248736332e-05
0.5025,2.7944108277615547e-05
0.505,2.2036110729277513e-05
0.5075,1.6297221101177497e-05
0.51,1.0699561775164441e-05
0.5125,5.2120597097328604e-06
0.515,-1.8312012840512586e-07
0.5175,-5.5258300925028614e-06
0.52,-1.0823558184202418e-05
0.5225,-1.6062574516102758e-05
0.525,-2.1203537987119866e-05
0.5275,-2.6176353805260244e-05
0.53,-3.0852572686636383e-05
0.5325,-3.4954349508483493e-05
0.535,-3.8273289368983545e-05
0.5375,-4.0447622505234027e-05
0.54,-4.1627190346955591e-05
0.5425,-4.1658898577684191e-05
0.545,-4.0424803356817746e-05
0.5475,-3.7831955111220539e-05
0.55,-3.3776392226081485e-05
0.5525,-2.831289772058031e-05
0.555,-2.1591899155182931e-05
0.5575,-1.3791278773055435e-05
0.56,-5.152973328871482e-06
0.5625,4.0144474767530808e-06
0.565,1.336805068253377e-05
0.5675,2.2567643020247172e-05
0.57,3.1298141892752062e-05
0.5725,3.9284447184036849e-05
0.575,4.6298269038517182e-05
0.5775,5.2164046202692806e-05
0.58,5.6762070050248503e-05
0.5825,6.0041866644678401e-05
0.585,6.2024137693777442e-05
0.5875,6.2790929194882632e-05
0.59,6.2473793470270401e-05
0.5925,6.1233285035002791e-05
0.595,5.9240591290909527e-05
0.5975,5.666300712208282e-05
0.6,5.3658498377984261e-05
0.6025,5.0372086106420034e-05
0.605,4.6931933470987643e-05
0.6075,4.3447700558629763e-05
0.61,4.0005887811400345e-05
0.6125,3.6669301608223704e-05
0.615,3.3478883764908653e-05
0.6175,3.0456755503903559e-05
0.62,2.7610669241864354e-05
0.6225,2.4938998941932656e-05
0.625,2.2438019846493756e-05
0.6275,2.0097870497444771e-05
0.63,1.7910034102972023e-05
0.6325,1.5868054523298072e-05
0.635,1.3970428506572426e-05
0.6375,1.2220080729407693e-05
0.64,1.0625475428093714e-05
0.6425,9.2011750511865881e-06
0.645,7.9678599911380865e-06
0.6475,6.9526361848145028e-06
0.65,6.1828042177997904e-06
0.6525,5.684286196989732e-06
0.655,5.4755560988252739e-06
0.6575,5.5644723588442756e-06
0.66,5.9483771425258795e-06
0.6625,6.6167753045395482e-06
0.665,7.5534944349502411e-06
0.6675,8.737284276105893e-06
0.67,1.014116353626554e-05
0.6725,1.1732364910113105e-05
0.675,1.3473752340355739e-05
0.6775,1.5323996183843263e-05
0.68,1.7237831396123653e-05
