Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.1775,1.0817921503756962e-06,1.8502399640731046e-08,-8.0651804122682012e-09,-4.1014302348583353e-09,-1.867748977905292e-09,-1.3088067553774598e-09,-8.0903439816217512e-09
0.18,1.1189173497049414e-06,1.9969769400542408e-08,-8.1700474037962064e-09,-4.069695391868812e-09,-1.6621055511662725e-09,-5.4029727241783096e-10,-7.4187275760881997e-09
0.1825,1.1565862230053443e-06,2.1361699743607392e-08,-8.3732740987267189e-09,-4.1296335739458888e-09,-1.5608704129307418e-09,6.2350780437792171e-11,-6.4277412234942008e-09
0.185,1.1947059103793865e-06,2.2696308938333185e-08,-8.6702712744231566e-09,-4.2761952882390062e-09,-1.5532191346091937e-09,5.0860493533189675e-10,-5.210149285587193e-09
0.1875,1.2331592125298754e-06,2.402137250233769e-08,-9.0529818112561605e-09,-4.5068586961434622e-09,-1.6338347351586891e-09,8.1227544973522446e-10,-3.8663339997687801e-09
0.19,1.2718412677333409e-06,2.5407609775117014e-08,-9.5081091511740099e-09,-4.8188503830509215e-09,-1.8013006283559633e-09,9.8705921419431163e-10,-2.4934714048868028e-09
0.1925,1.3106282539468123e-06,2.6940429076543995e-08,-1.0016426031897466e-08,-5.206208187142593e-09,-2.0552516914474554e-09,1.0438808502383192e-09,-1.1769242901180174e-09
0.195,1.3493499436310979e-06,2.8707646145854912e-08,-1.0553279090288938e-08,-5.6574656609328579e-09,-2.3930825837421089e-09,9.9013617606564466e-10,1.5161786179312704e-11
0.1975,1.3878073738190059e-06,3.0609514573345642e-08,-1.1090177117152722e-08,-6.1545900356822319e-09,-2.8070528722965378e-09,8.3062896775374412e-10,1.034069807878257e-09
0.2,1.425799546846814e-06,3.2582083201061366e-08,-1.1597246353048628e-08,-6.6734273295822553e-09,-3.2826045946936947e-09,5.6961313057979979e-10,1.8499751935398054e-09
