Physical Time (s),enth_flux_pressure_right Monitor (W): right_cv1,enth_flux_pressure_right Monitor (W): right_cv2,enth_flux_pressure_right Monitor (W): right_cv3,enth_flux_pressure_right Monitor (W): right_cv4,enth_flux_pressure_right Monitor (W): right_cv5,enth_flux_pressure_right Monitor (W): right_cv6,enth_flux_pressure_right Monitor (W): right_cv7
0.0625,1.6976943043863541e-05,1.2517841502239093e-05,2.3381563895579122e-06,-2.8425649291952735e-06,-4.3596540161354477e-07,1.5228044873699836e-05,-7.5445419181207744e-06
0.065,1.588088382626813e-05,1.3434998906738354e-05,3.7211637426774299e-06,-4.9864281129946544e-06,-7.1353877192547938e-06,5.8263109343980221e-06,-1.05656946488004e-05
0.0675,1.2950176769412309e-05,1.2483660710510699e-05,4.9638421209082439e-06,-5.521497658799584e-06,-1.2145459285008364e-05,-6.0297347575063892e-06,-8.76685332061118e-06
0.07,9.5614077516716627e-06,1.0660399701736789e-05,6.2331655452498728e-06,-3.9769987040146771e-06,-1.4180008617306819e-05,-1.6376074415164142e-05,-2.7857311047420674e-06
0.0725,6.8045927958253534e-06,8.8603719203161929e-06,7.5228972720659769e-06,-6.6745060305724209e-07,-1.273432441766312e-05,-2.233868164831615e-05,4.7814577240758614e-06
0.075,5.3281958119336914e-06,7.6435835364445521e-06,8.7262922766320629e-06,3.5487138133284282e-06,-8.2110733282930749e-06,-2.2460354639903054e-05,1.0839873492151015e-05
0.0775,5.3060043066587213e-06,7.166631565653437e-06,9.6593127687565696e-06,7.6261960088847308e-06,-1.709255430292803e-06,-1.6633423541882364e-05,1.3301563508296732e-05
0.08,6.5127972718104332e-06,7.2965244710541863e-06,1.0089283321731415e-05,1.0631057709612592e-05,5.3009608989279991e-06,-6.0033691345740986e-06,1.2004112822704848e-05
0.0825,8.3858187437701505e-06,7.7213870296913472e-06,9.7727977224996146e-06,1.2021331257608695e-05,1.1458011505107205e-05,7.180624941960372e-06,8.5446003349567255e-06
0.085,1.016950352714171e-05,8.0740588236943618e-06,8.6004484490412519e-06,1.1735965260363466e-05,1.5873523629534418e-05,2.0073525502912228e-05,5.1573500742861768e-06
0.0875,1.1055398500647775e-05,7.9451008885390943e-06,6.6566795896601433e-06,1.0110361851676196e-05,1.8164098508110636e-05,2.9785259943054193e-05,3.4642112810947063e-06
0.09,1.0374570085080965e-05,6.9554844157606547e-06,4.268556891728116e-06,7.7714972033812997e-06,1.8387581616901822e-05,3.4110343600314532e-05,3.8832808383524308e-06
0.0925,7.8013075117402272e-06,4.8785537002934397e-06,1.9114795002375991e-06,5.4654340256630636e-06,1.686406744626294e-05,3.2200538143743146e-05,5.6737566024375278e-06
0.095,3.4811392967065426e-06,1.76316460462312e-06,4.1177550106275856e-08,3.8044051131154241e-06,1.400799939464626e-05,2.4805510345109794e-05,7.5172915582761718e-06
0.0975,-1.9789401527093174e-06,-2.0187907062474162e-06,-1.0599915345436128e-06,3.0645889349223445e-06,1.0243100597799739e-05,1.4051636703469616e-05,8.2463463669497433e-06
0.1,-7.6332785575299304e-06,-5.806080925154993e-06,-1.341654034890359e-06,3.1119103960381121e-06,6.0249927501663972e-06,2.7817118516338482e-06,7.2970258869992938e-06
