Physical Time (s),enth_flux_enthalpy_right Monitor (W): right_cv1,enth_flux_enthalpy_right Monitor (W): right_cv2,enth_flux_enthalpy_right Monitor (W): right_cv3,enth_flux_enthalpy_right Monitor (W): right_cv4,enth_flux_enthalpy_right Monitor (W): right_cv5,enth_flux_enthalpy_right Monitor (W): right_cv6,enth_flux_enthalpy_right Monitor (W): right_cv7
0.0775,-2.6652671567285961e-06,-7.0429721593393024e-06,-9.5957801132110279e-06,-7.5830557559388716e-06,1.7007252543391281e-06,1.6663034433867473e-05,-1.3354822850259235e-05
0.08,-3.9303516763679157e-06,-7.1865545945829977e-06,-1.0027227972830264e-05,-1.0559844441632185e-05,-5.2727085488882094e-06,6.0151482649977413e-06,-1.2039821709443824e-05
0.0825,-5.840941605914496e-06,-7.6231042591933143e-06,-9.7213517597917122e-06,-1.193935761813289e-05,-1.1380480880347513e-05,-7.1992666959731229e-06,-8.5644618596909694e-06
0.085,-7.6391889631750236e-06,-7.9820152734419138e-06,-8.5635958211580221e-06,-1.1664071849484779e-05,-1.5765988791726739e-05,-2.0124006473869112e-05,-5.1693070181830367e-06
0.0875,-8.5217024082896678e-06,-7.8541869226660016e-06,-6.6339966219172967e-06,-1.0061623124377805e-05,-1.8064219519159146e-05,-2.9853130421416045e-05,-3.4752943703387464e-06
0.09,-7.8301205976761744e-06,-6.8647018647490123e-06,-4.2581552433039456e-06,-7.7469605929723734e-06,-1.8327351882783585e-05,-3.4169930378529566e-05,-3.8976350321123113e-06
0.0925,-5.2477214085090671e-06,-4.7932387526307627e-06,-1.9118413960673509e-06,-5.457589413561491e-06,-1.6852967985110643e-05,-3.2231445180728561e-05,-5.694182993974852e-06
0.095,-9.2068159296829425e-07,-1.6930631849189619e-06,-5.0173933544207715e-08,-3.8043943979972596e-06,-1.4031999413195741e-05,-2.4807912639637997e-05,-7.5436412305546193e-06
0.0975,4.5524416841795479e-06,2.0663521869695213e-06,1.0467304444346253e-06,-3.0674757354280079e-06,-1.0276553187621447e-05,-1.4044150123235418e-05,-8.2722451190661338e-06
0.1,1.0238233057589519e-05,5.8342682707112304e-06,1.3299730179146349e-06,-3.1169451525230327e-06,-6.0464893522642285e-06,-2.7824936484095056e-06,-7.3144931398683975e-06
0.1025,1.5063203487538652e-05,8.8309462938538928e-06,9.5094202477671741e-07,-3.5063882710222256e-06,-1.8972295809458069e-06,6.2780910419579181e-06,-4.78775327934914e-06
0.105,1.8059012129020191e-05,1.0358358217501299e-05,1.8357084014564927e-07,-3.6988231690063703e-06,1.5200422631542082e-06,1.1272291189134098e-05,-1.3531559610455393e-06
0.1075,1.8595189969634879e-05,1.0028396225885106e-05,-6.5454337260680788e-07,-3.3313230861386321e-06,3.5619807136774592e-06,1.159187529150194e-05,2.0831307454332392e-06
0.11,1.656041319725787e-05,7.9161547687345308e-06,-1.2838328221663197e-06,-2.4080999896492166e-06,3.7918263416719423e-06,7.8979940726717032e-06,4.6475465176460541e-06
0.1125,1.2377171948485944e-05,4.531123048353894e-06,-1.5596861968258664e-06,-1.2873804865437688e-06,2.1621729143162516e-06,1.7448980884288304e-06,5.7358716712791887e-06
0.115,6.8786040355436605e-06,6.4858373365944119e-07,-1.5146346323092146e-06,-5.0289605846021479e-07,-9.3280683116212369e-07,-4.9616587133703286e-06,5.1100977371063833e-06
0.1175,1.0857394679080925e-06,-2.9502254022013217e-06,-1.3711168144932484e-06,-5.1565912012152068e-07,-4.6974016973494306e-06,-1.0491579209141322e-05,2.9248799990802582e-06
0.12,-4.0056834815224213e-06,-5.684384808967958e-06,-1.4129353345284648e-06,-1.4490258370854432e-06,-8.0819339512975022e-06,-1.3626067484671769e-05,-2.6392126726123961e-07
0.1225,-7.716273148593791e-06,-7.3565834873934476e-06,-1.9147623702910426e-06,-3.0620131883340034e-06,-1.0134405285841923e-05,-1.3873797257175304e-05,-3.6858603089130691e-06
0.125,-9.8255333872609474e-06,-8.155264388988654e-06,-3.04023917768242e-06,-4.8667513498908688e-06,-1.028761599159753e-05,-1.1461188116538057e-05,-6.5789266461744584e-06
0.1275,-1.0447222620104124e-05,-8.4112188027384021e-06,-4.6454616288218244e-06,-6.2061942627666738e-06,-8.4122694259128951e-06,-7.0690594821206259e-06,-8.2766553832036906e-06
0.13,-9.9315309457262855e-06,-8.4103957915979151e-06,-6.2710926301113625e-06,-6.4813122987813401e-06,-4.8831335304660716e-06,-1.6758592048454091e-06,-8.3613337286241594e-06
0.1325,-8.7521981225490641e-06,-8.3108594938384125e-06,-7.3366941549952995e-06,-5.4300003953204084e-06,-4.6248235346255618e-07,3.6990565767436597e-06,-6.8356108148578367e-06
0.135,-7.342204328686722e-06,-8.103910500228549e-06,-7.3717277608993525e-06,-3.1958973243610239e-06,3.9541000895586841e-06,8.1910119382495765e-06,-4.0871210290144167e-06
0.1375,-5.9548057184557596e-06,-7.6250189211329361e-06,-6.1508246470987409e-06,-2.1459130451971981e-07,7.5845575144771472e-06,1.1233903857093424e-05,-7.1725076489063726e-07
0.14,-4.5939534591137119e-06,-6.6139611383603058e-06,-3.7508713031471988e-06,2.9864171539326957e-06,9.9843255030526136e-06,1.2666719044726982e-05,2.6527489972138028e-06
0.1425,-3.0826469818219997e-06,-4.8440721635122244e-06,-5.1046910222412986e-07,5.9427774166850043e-06,1.1094949287654515e-05,1.2702319588979299e-05,5.544644686281059e-06
0.145,-1.1970560043405231e-06,-2.2515464263594503e-06,3.0654725917229476e-06,8.324914034822843e-06,1.1155997401538911e-05,1.179238189865118e-05,7.6768595625345894e-06
0.1475,1.2002067688922926e-06,1.0107472745731648e-06,6.4412570700806392e-06,9.965633594052951e-06,1.0574559623949837e-05,1.048529461108837e-05,8.9806060841806345e-06
0.15,4.0796575755509162e-06,4.6060148609265538e-06,9.1781593820227072e-06,1.0843214665400713e-05,9.7705625711839899e-06,9.2682222175657224e-06,9.5599695039421945e-06
0.1525,7.234115867731429e-06,8.1100647130335347e-06,1.101561493997894e-05,1.1043744648177771e-05,9.0661173485419428e-06,8.4648908621127462e-06,9.6212902324377414e-06
0.155,1.0315969775663794e-05,1.1100847535660206e-05,1.1880907820082845e-05,1.0699402744283624e-05,8.6037633133928165e-06,8.1713664807021765e-06,9.3737213644244894e-06
0.1575,1.2905574300837993e-05,1.3229881910368633e-05,1.185469952919013e-05,9.9509953082955777e-06,8.3426110430066432e-06,8.2619284116696247e-06,8.9615537462341551e-06
0.16,1.4626384432619265e-05,1.4282192727525572e-05,1.1109649945075146e-05,8.9210507326800773e-06,8.1059844648140355e-06,8.4444481765663095e-06,8.433223628302493e-06
0.1625,1.5225077177009503e-05,1.419366540860309e-05,9.8571189962053376e-06,7.708297124416086e-06,7.6691094664190249e-06,8.3597198324140963e-06,7.754465284731971e-06
0.165,1.4623303225682111e-05,1.3046910765039705e-05,8.2929585846000989e-06,6.3803438940289015e-06,6.835226696424486e-06,7.6787995522076943e-06,6.8456708512035011e-06
0.1675,1.2924292421137775e-05,1.10458581149054e-05,6.5722518776506276e-06,4.9760882647572122e-06,5.4962374756885934e-06,6.1891126241250439e-06,5.6359134076581638e-06
0.17,1.0375092200383145e-05,8.4701753023235592e-06,4.7962833961745375e-06,3.5029441510331958e-06,3.6540751504346572e-06,3.8502936831101273e-06,4.0968070730942646e-06
0.1725,7.3120294756367002e-06,5.6306119260574934e-06,3.023484073203332e-06,1.9554405103846522e-06,1.4195606430512438e-06,8.1954366015462495e-07,2.2754797362275756e-06
0.175,4.0412376336530598e-06,2.7657840802680107e-06,1.2289604854024098e-06,2.7921359384220092e-07,-1.0707065152949822e-06,-2.6299695330083138e-06,2.4257806735298115e-07
0.1775,8.1140903382784556e-07,3.8114422592783841e-08,-6.45832431275366e-07,-1.5796608910102127e-06,-3.6644068522059322e-06,-6.1437351506095469e-06,-1.8980072551178818e-06
0.18,-2.2171245778536208e-06,-2.4881761411767338e-06,-2.683085454969938e-06,-3.668739827129321e-06,-6.233813938972143e-06,-9.3726462587946505e-06,-4.042801301543641e-06
0.1825,-4.9690673794607291e-06,-4.8209680813051578e-06,-4.9496718330217078e-06,-6.0045510561571911e-06,-8.6821930878029903e-06,-1.2032850835066446e-05,-6.0992323458818679e-06
0.185,-7.4319524789419878e-06,-7.0029884782085357e-06,-7.458008349531426e-06,-8.5473573130537292e-06,-1.0938001737877341e-05,-1.3948237849708378e-05,-7.9829658531905944e-06
0.1875,-9.6227093743623519e-06,-9.0723670585922449e-06,-1.0135658105100021e-05,-1.1185538625235554e-05,-1.2938623434584397e-05,-1.5060968698694091e-05,-9.6138492448364947e-06
0.19,-1.1537425543123866e-05,-1.1011118454548674e-05,-1.2801216810873554e-05,-1.3718741187982385e-05,-1.4598935763786498e-05,-1.540721140227919e-05,-1.0893474765643502e-05
0.1925,-1.3132924245101294e-05,-1.2736503204866532e-05,-1.5190924199204334e-05,-1.5885904841829814e-05,-1.5811823560570944e-05,-1.5084484608246598e-05,-1.17165230674647e-05
0.195,-1.4305452892408984e-05,-1.4087241533238166e-05,-1.6991192473537197e-05,-1.7390163859198967e-05,-1.6438049055282488e-05,-1.4192614608907857e-05,-1.1968861549150489e-05
0.1975,-1.4908806075553597e-05,-1.4853831784228054e-05,-1.7897745148413121e-05,-1.7954870376219727e-05,-1.6333230590362625e-05,-1.282044227991757e-05,-1.1560658680378701e-05
0.2,-1.4775163936839364e-05,-1.4807072718230596e-05,-1.7664733778764322e-05,-1.7372344629334262e-05,-1.5379314916199478e-05,-1.1046807513505574e-05,-1.0455633087499221e-05
0.2025,-1.3789295279633526e-05,-1.3790265909215886e-05,-1.6203589065180383e-05,-1.5596165212951661e-05,-1.3545527222359967e-05,-8.9427975401722028e-06,-8.7094606033985423e-06
0.205,-1.1911606787456407e-05,-1.1749404197004497e-05,-1.3583304486807538e-05,-1.2733921281983442e-05,-1.0890715250788683e-05,-6.5587316893607171e-06,-6.4452560311235298e-06
0.2075,-9.1941153631463602e-06,-8.7460319323894573e-06,-1.0006455510349086e-05,-9.0203321189260684e-06,-7.561465824579723e-06,-3.951906381425443e-06,-3.8397568811557184e-06
0.21,-5.800897435156668e-06,-4.9722808373000983e-06,-5.79262506624972e-06,-4.7944904494669244e-06,-3.7997481558340692e-06,-1.2141954840064877e-06,-1.110980623056615e-06
0.2125,-1.9978701741038712e-06,-7.2901145165291974e-07,-1.3267741148325663e-06,-4.4291905363648692e-07,9.3553747405870237e-08,1.5245649659531971e-06,1.5150646954760931e-06
0.215,1.8820585308089498e-06,3.6156813052733661e-06,3.0026421072676838e-06,3.6625557693191326e-06,3.8063631242853067e-06,4.1087829853179668e-06,3.8421064434696152e-06
0.2175,5.4899633512981756e-06,7.6850452234056275e-06,6.8614264624033153e-06,7.223397598225233e-06,7.0661959119268653e-06,6.3810710980764301e-06,5.7314837998776797e-06
0.22,8.5219888677441306e-06,1.1152412184895949e-05,1.0016974212707747e-05,1.0058903249097219e-05,9.6874090878393896e-06,8.2146932129725317e-06,7.1235328021769213e-06
0.2225,1.0766285517088028e-05,1.3791375528326389e-05,1.235817230263773e-05,1.2117335785237297e-05,1.1594086074317984e-05,9.5442396911094071e-06,8.0392396995080505e-06
0.225,1.2130275819779618e-05,1.549601426525142e-05,1.3885479631133994e-05,1.3454831507374033e-05,1.281688825112236e-05,1.0376871606645337e-05,8.5591583537317833e-06
0.2275,1.2629808322004688e-05,1.6270813251285794e-05,1.4669680859612948e-05,1.4183766961392556e-05,1.3455197785136612e-05,1.077826973562683e-05,8.7863118631058253e-06
