Physical Time (s),phi_vol Monitor (W): cv1,phi_vol Monitor (W): cv2,phi_vol Monitor (W): cv3,phi_vol Monitor (W): cv4,phi_vol Monitor (W): cv5,phi_vol Monitor (W): cv6,phi_vol Monitor (W): cv7
0.0725,8.7145540219131673e-07,9.2510848500100479e-09,3.6144033787167608e-10,1.0492493024525075e-10,8.8340466098460471e-11,6.9982912292586579e-11,1.88278482794276e-10
0.075,8.8071227732093692e-07,1.0122037729207779e-08,4.1973577797993681e-10,9.4785747877627925e-11,1.010790837573116e-10,8.737534594173327e-11,1.8612085813561418e-10
0.0775,8.8478568486464629e-07,1.0905679322820122e-08,4.6230351636332573e-10,9.4391440153341243e-11,1.006929939265294e-10,1.2448167200814437e-10,2.4479905337806146e-10
0.08,8.8433000499143168e-07,1.1643014254023502e-08,4.752055394655449e-10,1.0354529553849776e-10,9.3948952573448076e-11,1.5833331957065411e-10,2.8523242244218405e-10
0.0825,8.8118775128342819e-07,1.239202623105415e-08,4.6035826598028872e-10,1.0948909247189092e-10,8.6423699330211942e-11,1.6957439044803605e-10,2.5086410684898016e-10
0.085,8.7726455658577963e-07,1.3188225557516415e-08,4.3224141600083012e-10,1.0035059527903605e-10,7.7122567434694401e-11,1.5383323015397506e-10,1.6739189459077348e-10
0.0875,8.7386715849001289e-07,1.4037027033877245e-08,4.0991927398107338e-10,7.733810256856349e-11,6.6438321392634382e-11,1.2714623653430157e-10,1.1169486939595607e-10
0.09,8.7157318302828653e-07,1.4914426336841465e-08,4.0656342546333482e-10,5.37771090599143e-11,6.0970370302625505e-11,1.1346571808049962e-10,1.2642523002586345e-10
0.0925,8.7038358280961983e-07,1.5785735720829609e-08,4.2317002284031921e-10,4.4645475505020603e-11,6.7307969131730046e-11,1.2260126402790889e-10,1.8243991361420191e-10
0.095,8.699608813340482e-07,1.6625750167732726e-08,4.4931033115654899e-10,5.4555942207828392e-11,8.1168439873825973e-11,1.3934545014793286e-10,2.1311414919779523e-10
0.0975,8.6984903829935174e-07,1.7425421516814083e-08,4.7042934446393627e-10,7.3104795955389013e-11,8.6866040552134782e-11,1.3778124929930854e-10,1.8007459587384764e-10
0.1,8.6963503660070893e-07,1.8191032921015535e-08,4.7678180190924622e-10,8.2423975386100831e-11,7.2422532632160707e-11,1.1056065751314178e-10,1.0718091105424883e-10
0.1025,8.6907272270430939e-07,1.8936939946367058e-08,4.6744633954330108e-10,7.2468096945902688e-11,4.3659292055699692e-11,7.7232860705059271e-11,5.301616340161212e-11
0.105,8.6813868442453697e-07,1.9680051726281215e-08,4.4687015027161791e-10,4.9782574457923821e-11,2.0621066010089643e-11,6.3000781189563217e-11,4.9573048935058424e-11
0.1075,8.6700379128247745e-07,2.0435717416437469e-08,4.1880329233542681e-10,3.0935472166993331e-11,1.7274329086895647e-11,7.1047697814761308e-11,7.6579436863672583e-11
0.11,8.6601208660298704e-07,2.1218686256095877e-08,3.8511079865317173e-10,2.6684382617670396e-11,2.7475637912700383e-11,8.1172183947441212e-11,9.3658704385355883e-11
