Physical Time (s),ew_left Monitor (W)
0.9625,-2.3054455643408623e-18
0.965,-2.0950054905272292e-18
0.9675,-1.98753809858632e-18
0.97,-1.9490515341857123e-18
0.9725,-1.9529817402257356e-18
0.975,-1.9954994745857306e-18
0.9775,-2.030273060134051e-18
0.98,-2.0517241626190556e-18
0.9825,-2.0441774074060154e-18
0.985,-2.0147233210105681e-18
0.9875,-1.9703843406866526e-18
0.99,-1.9234399480932365e-18
0.9925,-1.8982553800041882e-18
0.995,-2.0504351881482668e-18
0.9975,-2.1781836089088755e-18
1.0,-2.4120936061512933e-18
1.0025,-2.6821275220561652e-18
1.005,-2.8812512453673787e-18
1.0075,-3.2305629456437819e-18
1.01,-3.6434781097269102e-18
1.0125,-4.127524263046878e-18
1.015,-4.6088578736675798e-18
1.0175,-5.0236143026381502e-18
1.02,-5.3446141122509311e-18
1.0225,-5.5401731694633709e-18
1.025,-5.5950237919183755e-18
1.0275,-5.4993326387326595e-18
1.03,-5.269510325554561e-18
1.0325,-4.9196081687956281e-18
1.035,-4.5342627851378691e-18
1.0375,-4.1452930573614346e-18
1.04,-3.6669554508654071e-18
1.0425,-3.2465368235387266e-18
1.045,-2.8753700520269615e-18
1.0475,-2.566609889690581e-18
1.05,-2.3490781111215475e-18
1.0525,-2.1910587694646224e-18
1.055,-2.0421195918098426e-18
1.0575,-1.9969509314481764e-18
1.06,-2.0768957189884005e-18
1.0625,-2.2325364357076284e-18
1.065,-2.4173876321904186e-18
1.0675,-2.5980032322946109e-18
1.07,-2.7612551128794309e-18
1.0725,-2.888592118809691e-18
1.075,-2.9631663161700522e-18
1.0775,-2.9949759344397778e-18
1.08,-2.9788900141666829e-18
1.0825,-2.9085382425787743e-18
1.085,-2.7900029544200004e-18
1.0875,-2.6403798027958108e-18
1.09,-2.4462964056661487e-18
1.0925,-2.2180593294571711e-18
1.095,-1.9739939519405447e-18
1.0975,-1.7290588042730325e-18
1.1,-1.4918313520642048e-18
1.1025,-1.2675639799467457e-18
1.105,-1.0693264964426922e-18
1.1075,-8.9759655134800973e-19
1.11,-7.44507813100192e-19
1.1125,-6.131472211473649e-19
1.115,-5.0225962287639095e-19
1.1175,-4.1091581534445143e-19
1.12,-3.3931679369131123e-19
1.1225,-2.850974177485575e-19
1.125,-2.4386431398844384e-19
1.1275,-2.1342098846020811e-19
1.13,-1.7846401299065563e-19
1.1325,-1.7481406868783536e-19
1.135,-1.7476865926308446e-19
1.1375,-1.7670764089891225e-19
1.14,-1.8012329216582508e-19
1.1425,-2.0455172286169435e-19
1.145,-2.3426593657002182e-19
1.1475,-2.7758493412306992e-19
1.15,-3.3740285777219455e-19
1.1525,-4.1813929979292693e-19
1.155,-5.2434559589105421e-19
1.1575,-6.5729652540961414e-19
1.16,-8.1953400802106422e-19
1.1625,-1.0121435687459923e-18
1.165,-1.2376779986242808e-18
1.1675,-1.4918296809585442e-18
1.17,-1.767021343528972e-18
1.1725,-2.065833172889461e-18
1.175,-2.3656860690754989e-18
1.1775,-2.6714563371233447e-18
1.18,-2.9612314251743215e-18
1.1825,-3.2234548507121854e-18
1.185,-3.3551931497810544e-18
1.1875,-3.4672954082268962e-18
1.19,-3.4231237897481729e-18
1.1925,-3.3430238265369088e-18
1.195,-3.2622755318870339e-18
1.1975,-3.1732720582636214e-18
1.2,-3.0513719289566825e-18
1.2025,-2.8553908077004117e-18
1.205,-2.6169769657533985e-18
1.2075,-2.353631300880668e-18
1.21,-2.0824355968132899e-18
1.2125,-1.8449420007891656e-18
1.215,-1.6316184198806586e-18
1.2175,-1.4693631326159006e-18
1.22,-1.3459748264800253e-18
