Physical Time (s),xth_top Monitor (W): top_cv1,xth_top Monitor (W): top_cv2,xth_top Monitor (W): top_cv3,xth_top Monitor (W): top_cv4,xth_top Monitor (W): top_cv5,xth_top Monitor (W): top_cv6,xth_top Monitor (W): top_cv7
0.075,1.7347358229754786e-20,-1.4362102371297557e-20,-3.8084155985478194e-20,4.3042176779350537e-20,-1.3510197588426559e-19,1.2277865531865972e-19,1.7350374846609683e-19
0.0775,3.8214520586686657e-19,-1.5006975269644328e-20,-1.9262373614620755e-20,-5.4209284694352922e-21,-2.2460673678598272e-19,-1.5656136268132344e-20,-7.1762405713172936e-19
0.08,2.2940406061161815e-20,2.5798525982572063e-19,2.6321988778061555e-20,-7.6115224876399555e-20,3.7410844531106387e-20,-1.1016755067240877e-19,7.9417258251483905e-20
0.0825,-1.4570213846562574e-21,-6.1282110282994943e-19,-9.0866559464601793e-20,-2.8372259771044948e-20,-2.7543964853346117e-20,-6.7953684139335578e-20,-4.7269004066707357e-19
0.085,3.8367211379005226e-19,-5.6996800898693129e-20,-1.167719129116498e-19,7.8762734795898011e-20,-1.3262188363200307e-19,3.5647482140645355e-19,-1.1319184485526316e-19
0.0875,7.8382742640892518e-19,4.0201810357000753e-20,1.4898240907695764e-19,-2.9902546286830335e-19,-1.3669628488652226e-19,1.2718198131691724e-19,-1.4186084738279221e-19
0.09,-2.7659799214091136e-19,-2.672343796638485e-19,-8.9202115973563307e-20,2.4573972770956745e-19,-3.2825240660069898e-20,1.7265916434977739e-21,-1.5416627987585861e-21
0.0925,-1.8948760550020526e-19,4.2217037798369051e-19,-2.7814333019351496e-19,-9.5104394106055544e-20,-4.4999688821492277e-19,-2.0661340611586519e-19,-8.6981321446381559e-21
0.095,1.3835757964581015e-19,-2.8980414529023578e-19,1.2526080558735897e-19,-2.1363065408926814e-19,-2.2566409262628332e-19,-3.3372245819768526e-19,-1.527487907465562e-20
0.0975,-1.0297198456944166e-19,-1.9445278408548784e-19,1.5850989251630647e-19,-4.2675230622067545e-20,7.5352132010070067e-21,3.1990224558304943e-19,-1.1849055752643964e-18
0.1,4.4800622886201261e-20,-5.7679018470713788e-20,-1.5657490049785546e-19,-1.4521301997852039e-21,1.4058746465358818e-19,1.6129694588113156e-19,-3.9358683010166346e-20
0.1025,2.1566687202012351e-20,-4.1458319504495957e-20,4.0362073197243162e-20,-1.4445898938690743e-20,-4.581744359899879e-20,-1.6806449396579437e-19,4.3580854467934941e-19
0.105,-8.613760163554256e-20,-1.0229986492640343e-19,2.0598793891397868e-20,5.905879067088475e-20,4.8053306832009012e-20,6.2197128935361906e-20,4.7135652128560183e-20
0.1075,-9.6217624744866517e-20,-9.7942316308756649e-20,-1.8440490416726111e-20,-1.0384488270940801e-19,1.2696059264908821e-20,1.7437232322200661e-19,-4.9331070000848368e-20
0.11,5.5596632665167531e-19,-4.8189482927866043e-22,-2.8083136164097462e-21,-1.0123187114594361e-20,-1.4625835296411104e-19,-1.5173001261471385e-19,-6.9448281205707514e-20
0.1125,2.7399179337909841e-19,1.8771677224764515e-20,1.873150086623224e-20,3.0407825202244717e-22,5.7740393957888021e-20,2.5551562446113041e-20,2.7936452557576026e-19
0.115,1.422074094782561e-20,1.3173467268475296e-20,-5.7316429933104899e-20,-9.2268401302003847e-20,-8.5581474855528891e-21,3.6555164022271396e-20,7.4363373361887317e-21
0.1175,3.2440248582990651e-19,3.3448626006747421e-20,2.0840337843493864e-19,9.0705362059797846e-21,-6.1202561423466106e-21,4.299018524451208e-20,-7.991845733673988e-20
0.12,-3.3927440025875879e-19,5.0650162885298794e-20,-1.3805928917307701e-19,1.3384609553157316e-19,-1.9745329178514494e-20,-7.6291370083331377e-20,3.4049944053192986e-19
0.1225,1.2466722543276726e-18,1.9869295355813714e-20,8.2426811500620156e-20,6.6612785797569669e-20,6.7467496910853247e-20,3.3696227621719183e-20,7.8081757291304288e-20
0.125,3.3932562620002091e-19,1.1920903684665002e-20,5.8607207570002009e-21,-5.7901692205714276e-20,4.7868712523511851e-20,-2.9498784697503891e-19,1.2946768277483745e-19
0.1275,-1.0559762949923051e-18,-1.442065564410562e-20,1.0452126687294801e-19,-1.6413647144990704e-21,1.4639273235655835e-19,3.6809858795144489e-19,9.9341843575035148e-20
0.13,-4.3144961025483779e-19,-3.0077161802406539e-20,-1.7514659360124712e-20,-3.4794583420583798e-20,3.1111118549725844e-19,2.850499762666229e-19,-1.1011925756417263e-19
0.1325,-8.819958676591935e-19,-2.9560084287060738e-20,-8.1189729832834076e-20,-1.1475357560196818e-20,5.1403738166042178e-20,-1.7958394219665874e-19,-7.6801551874134913e-20
0.135,-8.529615091102476e-20,5.0938545936117819e-21,1.629250034887678e-19,-1.0579154401287587e-19,-5.1675602448054904e-20,-1.4003560579470463e-19,3.2449192195881537e-19
0.1375,4.862985391509516e-20,-7.6769737611646765e-20,4.4615320810649468e-21,-2.7660179600932887e-19,8.3178220011540033e-21,3.1076203269340949e-20,-2.8652523948334926e-19
0.14,1.7316262898878014e-21,-7.403141167441406e-20,-2.9501259147351035e-19,-2.3002397061790223e-19,-6.0946021134653112e-20,4.5579899796709821e-21,-6.7883802339975097e-20
0.1425,6.9962169568980694e-21,-1.6829302364336215e-19,9.6696502718325468e-20,1.7758615693854046e-19,-4.720723434228236e-20,2.1416658376805665e-20,1.1900154707711963e-20
0.145,3.4828496268354912e-19,6.0921509729737171e-19,-5.1090435830376028e-19,1.3542021886349216e-19,6.351676826803264e-20,-1.3998439812403411e-20,1.3491935135429032e-19
0.1475,2.5247429866352741e-20,3.7054509123759026e-19,-5.6521169819708326e-19,-2.6015580465210055e-19,-9.7514698037061539e-21,1.3694362818717934e-19,-7.7386111565437197e-20
0.15,-1.6889066581854142e-19,6.7717830160612926e-19,-8.9142513991843298e-20,-2.1658704435117853e-20,-9.4188046794555201e-21,-9.1494695408640792e-20,3.3804301517231023e-20
0.1525,-4.2493771630388796e-20,3.2711981510040393e-19,4.4517046034077277e-19,3.6894993088398845e-20,-4.2059538609314819e-20,9.3681242367072326e-20,1.4570158854214057e-19
0.155,-3.8190601474554609e-19,-1.8190650995449447e-19,6.1764610493600115e-20,7.0768574309277005e-20,-5.2125543627545944e-20,-3.5086363507131639e-20,-3.1579526248865512e-19
0.1575,5.1191022329073105e-19,1.098864561370268e-19,-6.5737170753129192e-20,6.2484872775299506e-20,6.4144775488218636e-20,4.5045287663840067e-20,-8.0418483295318134e-21
0.16,-8.7694317817978014e-20,1.0795200061325659e-19,1.1058478807209034e-20,-2.1262875049979861e-20,3.9198381395636008e-20,-8.5907256536302679e-20,9.9585219652244243e-20
0.1625,-5.2751061704369538e-19,3.5003733643505979e-19,3.1964098800811211e-19,1.530618667472612e-19,1.9905247642019253e-19,6.3338890313742737e-20,4.9659567346244399e-20
0.165,-2.129567379773873e-20,7.7283717652201304e-20,1.7427810195331343e-19,4.4302147295386632e-20,-6.6016389405639649e-20,-4.030194227750705e-20,-1.2457247378805514e-19
0.1675,2.0716836417178832e-19,2.0417987400559739e-19,-8.6832208626717758e-20,-6.1843715956069491e-20,-7.6592773260434038e-20,-5.5746287185263033e-20,-5.5234158357261571e-19
0.17,3.0128097359312793e-19,4.931672490472078e-20,9.0024575243743687e-20,9.0894431266885256e-20,1.4485115070203838e-20,-2.4354824695562016e-20,9.5994764713421572e-20
0.1725,-4.2974488873342102e-19,-7.4649078003365791e-20,8.2087895359078774e-20,-3.4575247375094205e-20,1.5201532587554589e-20,-6.2403651368553825e-20,-4.442886269532589e-20
0.175,-5.0307258515189799e-19,-1.2158788973838323e-19,-6.6844351944175915e-20,-8.9515830652460554e-21,2.3852268949253486e-20,4.2653994570385551e-21,6.9894358266681093e-20
