Physical Time (s),ep_bot Monitor (W): bot_cv1,ep_bot Monitor (W): bot_cv2,ep_bot Monitor (W): bot_cv3,ep_bot Monitor (W): bot_cv4,ep_bot Monitor (W): bot_cv5,ep_bot Monitor (W): bot_cv6,ep_bot Monitor (W): bot_cv7
0.175,6.4911116476784118e-10,-1.784000476277838e-10,-1.9962950767460321e-10,2.9979815188088522e-10,3.8029661276176733e-10,-4.4281358269031883e-10,-1.7450979592566836e-09
0.1775,2.3518994777860704e-09,-2.0408692424139883e-10,-3.1588973837403062e-10,2.1256129081222673e-10,1.9813775599468216e-10,-2.3386678950146059e-09,-4.5124593900291634e-09
0.18,3.9938113066487035e-09,-1.7853528645867994e-10,-2.1428139141843471e-10,2.5882672584769e-10,4.4360804466628728e-11,-3.6567532521517309e-09,-5.7962872115456066e-09
0.1825,5.4863447581779949e-09,-8.0771429391262259e-11,1.5630451008441786e-10,4.3998989380031116e-10,-4.6247648179922299e-11,-3.8793041493222137e-09,-5.4024096148072766e-09
0.185,6.6820780441268091e-09,1.0141209172131792e-10,7.8521939963528854e-10,7.3809700338381767e-10,-3.2565289562665803e-11,-3.0382448724524404e-09,-3.829332811313691e-09
0.1875,7.4295476351400749e-09,3.7141664917728121e-10,1.6112463658832757e-09,1.1412339154755151e-09,1.2316205173026484e-10,-1.6144733333843485e-09,-1.8624173255615403e-09
0.19,7.6491797238797801e-09,7.2185415959690751e-10,2.551508292767047e-09,1.6530078488657104e-09,4.3618242705297531e-10,-1.9782942238082963e-10,-1.7773368042818138e-10
0.1925,7.3734019347851798e-09,1.128856428952219e-09,3.5157555106050188e-09,2.2689084829027451e-09,8.819798248056372e-10,8.4538355252856987e-10,8.5950416772327609e-10
0.195,6.7267906992912062e-09,1.5476094069288937e-09,4.4055611839067361e-09,2.9385031968224253e-09,1.3912885828823869e-09,1.4577269756711367e-09,1.1930359819989644e-09
0.1975,5.8768465086842923e-09,1.913171923583663e-09,5.1048860341769449e-09,3.5477234667195524e-09,1.8611284675907171e-09,1.7583388462054719e-09,9.8050434913133423e-10
0.2,4.9753358098454256e-09,2.1527806228328255e-09,5.4923127086512224e-09,3.9469752646594537e-09,2.1801426334519453e-09,1.8582686477668463e-09,4.9547676539053895e-10
0.2025,4.1071191809137495e-09,2.2138656417533251e-09,5.486483724377048e-09,4.0178021754608002e-09,2.2630242758559198e-09,1.771810659336939e-09,2.7763340627941669e-11
0.205,3.2834396491388072e-09,2.0799280437081889e-09,5.070025652605695e-09,3.7183798983648808e-09,2.0784312212736715e-09,1.4725973848746891e-09,-2.1669971113649373e-10
0.2075,2.468450415621065e-09,1.7716452310487741e-09,4.2901273028947731e-09,3.0923316509458053e-09,1.6630730291117484e-09,9.994289410706219e-10,-1.6041761370275108e-10
0.21,1.6029523260523651e-09,1.339832496362336e-09,3.2424115929430367e-09,2.2465423215793657e-09,1.1151268972250685e-09,4.9797005129684943e-10,1.2711349141751406e-10
0.2125,6.1124383256317903e-10,8.5109604774557163e-10,2.0432871346452442e-09,1.3126582424757633e-09,5.6263486785310052e-10,1.5086366451482357e-10,4.7444043243229111e-10
0.215,-5.868111342670075e-10,3.7138263891341316e-10,8.0506750545957208e-10,4.0633588661813318e-10,1.1394782833108149e-10,6.072596469455615e-11,7.0183203423884765e-10
0.2175,-2.0548720989947301e-09,-4.7129503782415156e-11,-3.8076564839432459e-10,-4.0090427644343632e-10,-1.8722285932114698e-10,1.7585972629296383e-10,7.1468432342543316e-10
0.22,-3.8026786984125134e-09,-3.7369534374319791e-10,-1.4489376974089891e-09,-1.0939489457522243e-09,-3.7919572178764779e-10,3.16116803201304e-10,5.4122251319119904e-10
0.2225,-5.7555145602677081e-09,-5.9773360376229667e-10,-2.3575969335058582e-09,-1.7057781755146895e-09,-5.5977559983707576e-10,2.7898678472300284e-10,2.9231885925372522e-10
0.225,-7.7320960427743583e-09,-7.256425517148737e-10,-3.0824559243326969e-09,-2.2853496687954238e-09,-8.3009908902902224e-10,-4.3825887718308499e-11,7.6310126581034824e-11
0.2275,-9.4586880022923974e-09,-7.7403535466796353e-10,-3.6066181693829543e-09,-2.8520460150402618e-09,-1.231601305447187e-09,-6.1266262250289129e-10,-6.7482360434443427e-11
0.23,-1.06161169652818e-08,-7.6347778412912801e-10,-3.9077598248051097e-09,-3.3583694910364787e-09,-1.7091024979774479e-09,-1.2681204881511985e-09,-1.7581453423940394e-10
0.2325,-1.0925859739949956e-08,-7.1365547656290534e-10,-3.9586231076804587e-09,-3.690231181415341e-09,-2.1234301222945164e-09,-1.8131169900489499e-09,-3.0960393025056891e-10
