Physical Time (s),ep_right Monitor (W): right_cv1,ep_right Monitor (W): right_cv2,ep_right Monitor (W): right_cv3,ep_right Monitor (W): right_cv4,ep_right Monitor (W): right_cv5,ep_right Monitor (W): right_cv6,ep_right Monitor (W): right_cv7
0.095,-1.0430758226560558e-07,-5.8727370343533468e-08,-3.5948492690844429e-08,-3.3966942049933261e-09,-9.8408112829971533e-09,-3.5471469807171394e-10,1.5424374382485955e-09
0.0975,-1.3300354199667163e-07,-5.9041197156240686e-08,-2.3802347657825105e-08,1.290704977406066e-09,-2.0391820097604305e-08,7.1742659108182029e-09,-1.2312586364240029e-08
0.1,-1.5602551158357793e-07,-5.2075248676533779e-08,-7.0230246938302838e-09,-5.0885183022828485e-09,-2.5710949158796732e-08,3.037194955935496e-09,-1.620773084734121e-08
0.1025,-1.6923332450221243e-07,-3.9137846069474873e-08,4.8777725106205575e-09,-1.769366738414795e-08,-2.4133109077948816e-08,-2.2242790534260409e-09,-8.345284895580605e-09
0.105,-1.7161474899158627e-07,-2.4040420353372299e-08,4.2156916242986286e-09,-2.6300836795758313e-08,-1.6510479449423483e-08,-1.210492496000796e-09,3.8255822439874274e-09
0.1075,-1.6486939752558074e-07,-1.2219890514353787e-08,-7.6942841180529345e-09,-2.4581898796170752e-08,-6.7299014877255394e-09,2.4095091912577114e-09,1.0922811256701068e-08
0.11,-1.5207553007833383e-07,-7.6771323683923459e-09,-2.0744628548975995e-08,-1.5172034047116257e-08,1.3825402474980613e-09,6.6790793523825927e-10,9.1740018768526167e-09
0.1125,-1.3614949336279758e-07,-9.7456690704803778e-09,-2.4461610951569359e-08,-5.8090895873592092e-09,6.2764432811159151e-09,-7.2894721631562348e-09,1.7169834505119177e-09
0.115,-1.1831538420897002e-07,-1.338148090279995e-08,-1.6542330625401284e-08,-1.2717739070777954e-09,7.5901755201663326e-09,-1.3829755710964188e-08,-5.6294193016676374e-09
0.1175,-9.7847321983958618e-08,-1.3367853808226262e-08,-3.4657729592752488e-09,1.0976451571157242e-10,4.7286280354778958e-09,-1.1929506912900026e-08,-9.1164956233651585e-09
0.12,-7.3412980440588374e-08,-8.7181650000103997e-09,6.48140490534151e-09,2.4213319228909526e-09,-1.7196606428627085e-09,-3.0282538137774977e-09,-8.5890401842116347e-09
0.1225,-4.5183074590895457e-08,-2.6659248892546332e-09,9.9135541086073606e-09,6.4234223808007423e-09,-7.8823225641319987e-09,4.8287459492450925e-09,-5.8678269916728367e-09
0.125,-1.6045358880557834e-08,1.4927786038809057e-09,8.6621071265291094e-09,9.0533258754579331e-09,-8.2459430073648207e-09,5.1543924006274491e-09,-2.6413996922172292e-09
0.1275,9.2107233731274795e-09,4.0032207202138014e-09,5.6309956520657814e-09,7.8752821461217e-09,-6.1719735973840302e-10,-1.4353357760412062e-09,1.5057707510249575e-10
0.13,2.566048926774106e-08,7.8841183292807703e-09,2.2028982134168254e-09,4.3868851080660297e-09,1.0694370638225143e-08,-8.6505300833708688e-09,1.808424109994487e-09
0.1325,3.1972836483270643e-08,1.5109841253804046e-08,-7.8222266732320085e-10,2.0353104065740471e-09,1.7906700979631184e-08,-1.056803080225563e-08,1.7675545891473254e-09
0.135,3.0171013616246056e-08,2.4574212363497499e-08,-1.6940818773749685e-09,2.0402111590864122e-09,1.5981886669494835e-08,-5.9720484878587251e-09,1.6585699238186685e-10
