Physical Time (s),ev_left Monitor (W)
0.1675,-2.5385214551126369e-10
0.17,-2.438780313966087e-10
0.1725,-2.3058559674069096e-10
0.175,-2.193354906265353e-10
0.1775,-2.1396062506815792e-10
0.18,-2.1631061425500032e-10
0.1825,-2.2627576564990241e-10
0.185,-2.4192022655747904e-10
0.1875,-2.5969886829582097e-10
0.19,-2.7506207039765374e-10
0.1925,-2.8372458008963222e-10
0.195,-2.8314898816460373e-10
0.1975,-2.7341357620739516e-10
0.2,-2.5699418800219794e-10
0.2025,-2.37597499330187e-10
0.205,-2.1901432704216452e-10
0.2075,-2.0456059820505545e-10
0.21,-1.9676534144214913e-10
0.2125,-1.9718216889519672e-10
0.215,-2.0629532200284088e-10
0.2175,-2.2349414291526751e-10
0.22,-2.4703544248132135e-10
0.2225,-2.7414411730296856e-10
0.225,-3.0131426087539875e-10
0.2275,-3.248165689306895e-10
0.23,-3.4133804764008419e-10
0.2325,-3.4879194133688481e-10
0.235,-3.4694709176085627e-10
0.2375,-3.3748896185669287e-10
0.24,-3.2351249706707886e-10
0.2425,-3.086419196636556e-10
0.245,-2.9611878089042204e-10
0.2475,-2.882359758879973e-10
0.25,-2.8609052982430164e-10
0.2525,-2.8959140470674672e-10
0.255,-2.9764632570607798e-10
0.2575,-3.0843670275846309e-10
0.26,-3.1978467801767368e-10
0.2625,-3.2956719978657889e-10
0.265,-3.3612761937256733e-10
0.2675,-3.3855626012998068e-10
0.27,-3.3681856520679856e-10
0.2725,-3.3169214332002783e-10
0.275,-3.2454317782482952e-10
0.2775,-3.1702824646002251e-10
0.28,-3.1084376919130003e-10
0.2825,-3.0750325951373285e-10
0.285,-3.0817503411434317e-10
0.2875,-3.1363727253067642e-10
0.29,-3.2430395080320047e-10
0.2925,-3.4021442800155469e-10
0.295,-3.6101145160190507e-10
0.2975,-3.8591135426207973e-10
0.3,-4.1367330314118632e-10
0.3025,-4.4261470357894068e-10
0.305,-4.7070825311557907e-10
0.3075,-4.9575256204405542e-10
0.31,-5.1560632409470801e-10
0.3125,-5.2845817363943812e-10
0.315,-5.3310627905230104e-10
0.3175,-5.2915910285851656e-10
0.32,-5.1710208943644144e-10
