Physical Time (s),ev_right Monitor (W): right_cv1,ev_right Monitor (W): right_cv2,ev_right Monitor (W): right_cv3,ev_right Monitor (W): right_cv4,ev_right Monitor (W): right_cv5,ev_right Monitor (W): right_cv6,ev_right Monitor (W): right_cv7
0.0325,1.3152354424145289e-08,1.4073817244149406e-10,6.0450808637032029e-10,4.1460625087933096e-12,2.1898515707018312e-10,2.6929915766861167e-12,9.8692410554052836e-15
0.035,1.8425331131391001e-08,6.4943664579978297e-10,4.1593606640516951e-10,2.2168657297833313e-10,9.017128086827974e-11,5.1140171425818568e-12,5.6421042734841095e-14
0.0375,2.4473224640779695e-08,1.3920064232471566e-09,1.0136345869605228e-10,5.1047627297987805e-10,1.6038701844484401e-11,1.2987827128606068e-11,2.3027970193591553e-13
0.04,3.0000690343047323e-08,2.0699364912467455e-09,1.9514024032187509e-11,4.478900557349102e-10,1.5801690755798367e-10,2.5738916763753115e-11,6.6911029807223128e-13
0.0425,3.4069979419961916e-08,2.4767181676835283e-09,1.3981627830993157e-10,1.6151948609578002e-10,3.5766074917246165e-10,2.9983365247305593e-11,1.3312035805199716e-12
0.045,3.6472394402474849e-08,2.5431870846806912e-09,3.127853323749608e-10,2.545625263823054e-12,3.2913359350095131e-10,1.6935270730152235e-11,1.6091975864787267e-12
0.0475,3.7560127286513167e-08,2.3138694611352211e-09,4.4781362420784216e-10,7.3828891192302928e-11,1.1469258394478098e-10,9.4936126096532792e-12,7.566461151943918e-13
0.05,3.7876851611895196e-08,1.8917272087923335e-09,5.0986844840307896e-10,2.4675636363710406e-10,3.3431570703237901e-12,3.2787599961402985e-11,7.867069749745021e-14
0.0525,3.793604976386958e-08,1.3877526318713541e-09,4.8424384971663425e-10,3.726842531685383e-10,1.1186589695542859e-10,5.7062430405736525e-11,4.3306259646457842e-12
0.055,3.8217710243281612e-08,8.9795732997726242e-10,3.7185768429318443e-10,3.8249775395697167e-10,2.8584086413012538e-10,3.7338303469956778e-11,1.6728879701120364e-11
0.0575,3.9241526303415893e-08,5.0377932179100222e-10,2.058722827719587e-10,2.8392647405958962e-10,3.4505236403882662e-10,7.3665395690589655e-12,2.9984012741984433e-11
0.06,4.1569962275099879e-08,2.6463621007200111e-10,5.6872332037177311e-11,1.3631312257080399e-10,2.5917807962263385e-10,4.0172540768214107e-11,2.9044878720043894e-11
0.0625,4.5723880059653137e-08,1.9029468737269351e-10,7.796864758080392e-13,2.2642373217604755e-11,1.1614285839330143e-10,1.2189931287917202e-10,1.1992623392391306e-11
0.065,5.1977088937350784e-08,2.3118546746371079e-10,5.805740873976668e-11,8.8547617697164924e-12,1.6310165798744384e-11,1.6024513730435792e-10,8.8395560220688131e-13
0.0675,6.011494773272945e-08,3.3202914179888285e-10,1.5995407735100334e-10,9.8801827516164359e-11,8.3711986709072401e-12,1.1231419442096323e-10,1.4979227294421552e-11
0.07,6.9282810681610508e-08,5.0903775554213703e-10,1.9640693395769142e-10,2.2077077189484059e-10,7.9062736385478843e-11,3.267158530890108e-11,3.963218788651946e-11
0.0725,7.8179895804746871e-08,8.5503026565162738e-10,1.2213628533043017e-10,2.7203636429065154e-10,1.7166405147923727e-10,1.1582255250288183e-12,4.3659772295816181e-11
0.075,8.5589619538670346e-08,1.4438397379608016e-09,1.8906505623960897e-11,2.0236573134325206e-10,2.1943810981609829e-10,4.9437096271891518e-11,2.3379347819644301e-11
0.0775,9.0910274409697435e-08,2.2210865555542452e-09,3.6669224714568133e-11,6.8712794395973981e-11,1.8603265372440557e-10,1.5027284175185782e-10,4.8290151922339643e-12
0.08,9.4302097727255938e-08,2.9956232274279085e-09,2.5723053128396229e-10,2.76007875052608e-13,9.4078378828747998e-11,2.4292596582217702e-10,4.0536583575179055e-12
0.0825,9.6386706596062637e-08,3.5512912888564123e-09,6.0720697250058163e-10,8.6425816550972773e-11,1.3923128446841227e-11,2.6568550876078123e-10,1.0022527418023949e-11
0.085,9.7796923359896978e-08,3.7749724881598958e-09,9.0466003700566029e-10,2.8849088642003478e-10,9.8371206257875336e-12,1.9346362901916295e-10,8.7046041491481993e-12
0.0875,9.8891637778537433e-08,3.6951396547603653e-09,9.9296476265135784e-10,4.6436013673296667e-10,8.5940059287777509e-11,7.1564210068524117e-11,2.4070425242972697e-12
0.09,9.9700632211819027e-08,3.4266437050730251e-09,8.4512258521147328e-10,4.8739392968807199e-10,1.8212891291205921e-10,1.5562488088346127e-12,1.1052201706206038e-13
0.0925,1.0005841218340493e-07,3.0888494480091971e-09,5.6177187982692602e-10,3.5010597261952206e-10,2.2543015324465557e-10,6.0131254028514987e-11,2.7092494310308531e-12
0.095,9.979066935475111e-08,2.7578299413701332e-09,2.8387609902340612e-10,1.5841300368013099e-10,1.8863541716417634e-10,2.1344732506717725e-10,4.5801368374096771e-12
0.0975,9.8849864726800404e-08,2.4626553644420354e-09,1.0154104797164805e-10,3.0879978181733236e-11,1.0436515508021482e-10,3.292852544179506e-10,3.1399931097725614e-12
0.1,9.734295033593429e-08,2.2048621276680264e-09,2.2469631049496654e-11,4.2814771422582285e-12,2.967652349555629e-11,2.993293956047373e-10,1.2730063934341872e-12
0.1025,9.5482256089481179e-08,1.9793943259014522e-09,3.1511753719228728e-12,2.9425681745558007e-11,3.3576396324042655e-13,1.5032073091203373e-10,2.339040819239739e-12
0.105,9.3513326764226017e-08,1.7853715686588769e-09,1.6118227528020397e-12,4.1986926398812102e-11,1.282818032434295e-11,1.9503018948245731e-11,5.6798030767893995e-12
0.1075,9.1666577940586039e-08,1.6270907474103544e-09,7.1062407906504994e-12,2.4554025636121975e-11,3.8964551007912717e-11,1.7101266140937112e-11,7.3906204868811669e-12
0.11,9.0155964793838013e-08,1.5098389576664566e-09,3.0965521688649706e-11,3.7623028137856522e-12,5.2092215088954916e-11,1.2276663578225101e-10,5.1266222599243687e-12
0.1125,8.9191063883819414e-08,1.4359226995424901e-09,7.7540462125679101e-11,5.0705321830255061e-12,4.3290265417186653e-11,2.1914127126717248e-10,1.5490250723729116e-12
0.115,8.898561239648238e-08,1.4034819958908163e-09,1.2825002048982336e-10,2.4803678629696758e-11,2.1423687494845694e-11,2.1329246886882217e-10,1.9226913609231681e-12
0.1175,8.9735457416435218e-08,1.4074538263889468e-09,1.5415751822585287e-10,4.1943672803306913e-11,3.2553928795835075e-12,1.175743240174279e-10,7.4806284822435525e-12
0.12,9.1571262640138391e-08,1.4420608485947795e-09,1.4153171803948748e-10,4.3592803705722282e-11,1.9549170894277229e-12,2.2399483558257365e-11,1.2585966634389454e-11
0.1225,9.4511365584611253e-08,1.5035151826768998e-09,1.0264967412579169e-10,3.3378174148938921e-11,1.9621275516565709e-11,5.918786155704321e-12,1.0788992350890992e-11
0.125,9.8444359731231126e-08,1.5911812943611568e-09,6.222910400097168e-11,2.14536541389598e-11,4.6596076706785007e-11,7.1098373372484603e-11,3.612093080311439e-12
0.1275,1.0315244709215346e-07,1.7089153924210248e-09,3.6939681140197776e-11,1.3789583844814593e-11,6.7455120864521322e-11,1.5579482641134174e-10,4.7632185718016429e-13
0.13,1.0835460941397005e-07,1.8676036475180818e-09,2.964032184504346e-11,1.1019910127941708e-11,7.0677194583867197e-11,1.9211983480691314e-10,7.9604120916010064e-12
0.1325,1.1379809256676069e-07,2.0880053672947409e-09,4.0181860322062834e-11,1.2465376987145878e-11,5.5619840825385187e-11,1.5796394990852066e-10,2.085655413059041e-11
0.135,1.1933190377283494e-07,2.3975616646375911e-09,7.533119181112259e-11,1.7950294600423683e-11,3.1777353212324839e-11,8.3445651265720524e-11,2.6844020757371947e-11
0.1375,1.2494404196111995e-07,2.8195497539073781e-09,1.4408753712188593e-10,2.6753617326022083e-11,1.1392202823825885e-11,1.9646735889574788e-11,1.9850061663895319e-11
0.14,1.3074365170175777e-07,3.357514532988896e-09,2.4461476778854876e-10,3.6893452826490056e-11,1.3967525257851611e-12,5.4974896490700467e-13,6.7752108000860722e-12
0.1425,1.3688715242599653e-07,3.9822418233914069e-09,3.5822397071610208e-10,4.6028544894300957e-11,5.4689552045877749e-13,2.4684766027168344e-11,1.4043427026372987e-13
0.145,1.4346752480145894e-07,4.6285709337674434e-09,4.5683372220856514e-10,5.266433904196262e-11,2.8396882980094959e-12,6.343294334512257e-11,5.3767550535399463e-12
0.1475,1.5041106936471581e-07,5.205848155636996e-09,5.1676863576310067e-10,5.6439098802592162e-11,3.3434954257220057e-12,8.4594439579637404e-11,1.6199647244308908e-11
0.15,1.5743141333474524e-07,5.6202120559793807e-09,5.2834620745218477e-10,5.7640937014111364e-11,1.583398739808657e-12,7.3777314298944098e-11,2.1797239546093868e-11
0.1525,1.6407861417381457e-07,5.8006057631541811e-09,4.965171692608842e-10,5.6633999461328829e-11,5.4426559216357406e-13,4.0896941983956769e-11,1.7380906844674883e-11
0.155,1.6986599298657653e-07,5.71958090989653e-09,4.3522784112706093e-10,5.3701791555230846e-11,3.1620958511281783e-12,9.8851756688403208e-12,7.59027926812711e-12
0.1575,1.7442996661844212e-07,5.4036767164416344e-09,3.6063255228493492e-10,4.9145162158034115e-11,9.601456741177237e-12,2.8103488724805894e-13,7.9228773034773998e-13
0.16,1.7766506930579748e-07,4.9257550793541231e-09,2.8650422203476554e-10,4.3418580912612367e-11,1.7144667179773157e-11,1.3834138292238807e-11,1.1150225025459913e-12
0.1625,1.7976736636694341e-07,4.3840052295316843e-09,2.2227087751464159e-10,3.7120712870326438e-11,2.2145253088539357e-11,3.5173223341793839e-11,5.8341949681894632e-12
0.165,1.8118799879804163e-07,3.8760658808132518e-09,1.7280140654847253e-10,3.0884108829690415e-11,2.2260251399471708e-11,4.5091224927846443e-11,9.2092178990730381e-12
0.1675,1.825176327190624e-07,3.4795253229349035e-09,1.3920761189688167e-10,2.5190160408910662e-11,1.7598913932451141e-11,3.568423785905688e-11,8.0323601201400926e-12
0.17,1.8435102216481531e-07,3.2440473236115589e-09,1.2013198737984751e-10,2.0254083562886577e-11,1.0429022017406611e-11,1.5515071977395015e-11,3.7865092331961039e-12
0.1725,1.8715630904408687e-07,3.1944378847914524e-09,1.1309725771923027e-10,1.605700736772071e-11,3.893673839365939e-12,1.3432966213353619e-12,4.1725972668211168e-13
0.175,1.9118977036106637e-07,3.3377850969315702e-09,1.1532025869519286e-10,1.2481508726686246e-11,4.2612706490747791e-13,3.94603495227286e-12,5.4592794295516516e-13
0.1775,1.9644612685748604e-07,3.6670269718457831e-09,1.2391603437306667e-10,9.4762246027164684e-12,5.8977187969180084e-13,1.9891784577687182e-11,3.5498028772340098e-12
0.18,2.0266428330038479e-07,4.1597331901936182e-09,1.3601862095456505e-10,7.1361754306963023e-12,2.8803517945999002e-12,3.5286768909715883e-11,6.5810546221279202e-12
0.1825,2.0937607267951083e-07,4.7764717903416273e-09,1.4929563067495432e-10,5.6655381518929021e-12,4.699330305887303e-12,3.7513499452718888e-11,7.1194485714152136e-12
0.185,2.1602508928473056e-07,5.4657521806583513e-09,1.6280157853310391e-10,5.3213797577835522e-12,4.1467823725897698e-12,2.5108190817270039e-11,4.8631480498121618e-12
0.1875,2.2209847603678467e-07,6.1764028549728597e-09,1.7753448719439731e-10,6.5450888098433682e-12,1.6247876856427585e-12,8.2274426952137269e-12,1.6863178204975311e-12
0.19,2.2725237707145543e-07,6.8730694788354355e-09,1.9621098110654823e-10,1.0340092159170741e-11,5.3143772484423481e-14,1.5215496831654464e-13,2.5348920871798998e-14
0.1925,2.3138137794419685e-07,7.5470501390193179e-09,2.2236756702294757e-10,1.8496417176277136e-11,3.2264203626093818e-12,7.0530263019910687e-12,1.0571801915676108e-12
0.195,2.3460616796506432e-07,8.2170557444636409e-09,2.591963264847036e-10,3.3028344717686329e-11,1.314042924892898e-11,2.3962814305400232e-11,3.9618368957895447e-12
0.1975,2.3720416835888954e-07,8.9199362796679859e-09,3.0815482990849028e-10,5.4609089903548741e-11,2.8051046004210733e-11,3.9142830101558927e-11,6.6233314296348677e-12
0.2,2.3950371532072259e-07,9.6945303232194951e-09,3.6737390057893538e-10,8.0773901807041058e-11,4.277491627159875e-11,4.2843805693505146e-11,7.19029808612766e-12
0.2025,2.4178321801681907e-07,1.0565840404046828e-08,4.3089924378549396e-10,1.0567058189887916e-10,5.1391535528221607e-11,3.3674601165776545e-11,5.3598096463755722e-12
0.205,2.4419926230842164e-07,1.1535798500068974e-08,4.8960526241136095e-10,1.2218448123720359e-10,5.0537694167677259e-11,1.8170261578575844e-11,2.4548870843467449e-12
0.2075,2.467579115210437e-07,1.2580298168364735e-08,5.3374677798914241e-10,1.2536620883760687e-10,4.1103582679554883e-11,5.2150919245294559e-12,3.5737434481852944e-13
0.21,2.4931146353750213e-07,1.3649108842758478e-08,5.5636707136723349e-10,1.1496898221638273e-10,2.7434248025713981e-11,9.6440669742602799e-14,1.6744770940829013e-13
0.2125,2.5159806556797521e-07,1.4671211791024411e-08,5.5583926701500055e-10,9.5457553730180168e-11,1.4677762389393172e-11,2.1314694171912713e-12,1.5447548727427619e-12
0.215,2.5331341829613499e-07,1.5568985766800812e-08,5.3624197428138261e-10,7.3524603251799345e-11,6.0901685531491627e-12,6.6180075819210022e-12,3.1299473199919425e-12
0.2175,2.5417160654004053e-07,1.6275038565472036e-08,5.0545911726153197e-10,5.490330472834272e-11,1.9769395298097245e-12,8.8629382986037034e-12,3.6371355232356422e-12
0.22,2.5398853786030474e-07,1.6746646349470227e-08,4.7210771183571775e-10,4.2571006723262404e-11,6.971708359089995e-13,7.1969895586915128e-12,2.7564263931439375e-12
0.2225,2.5270204336737093e-07,1.6974329725436262e-08,4.4294774392693281e-10,3.7039733601269525e-11,6.8690336814133255e-13,3.3093108034514634e-12,1.228287035898349e-12
0.225,2.503988271613998e-07,1.6981732816555385e-08,4.215815717048705e-10,3.7710808411948552e-11,1.8298428863564711e-12,3.5473045460197663e-13,1.4859468774602086e-13
0.2275,2.4727844225431475e-07,1.68184663027606e-08,4.0842174769861744e-10,4.3702787730873707e-11,5.1794501313973577e-12,5.6691966669145581e-13,1.2881479192071378e-13
