Physical Time (s),ea_top Monitor (W): top_cv1,ea_top Monitor (W): top_cv2,ea_top Monitor (W): top_cv3,ea_top Monitor (W): top_cv4,ea_top Monitor (W): top_cv5,ea_top Monitor (W): top_cv6,ea_top Monitor (W): top_cv7
0.135,8.8570613238169138e-13,-2.3723935724992751e-13,-2.0948539048007089e-13,-6.4806885881301573e-14,-3.2172800653284352e-14,-1.1170562900175226e-14,-3.8360442500677631e-14
0.1375,3.1990258513137807e-13,-4.4069269335917393e-13,-3.1854212130203317e-13,-6.6879876564922919e-14,-1.2339492203011959e-14,-1.3452200510407079e-15,-4.2269214111799073e-15
0.14,-2.5134912177990678e-13,-6.7436711185037184e-13,-4.1495748478829662e-13,-5.2638190559229473e-14,-2.688485769203749e-15,1.7073210827618103e-18,-5.4328031645693278e-16
0.1425,-7.4050861500807366e-13,-8.7198438251945071e-13,-4.4437650312725457e-13,-2.7401199732861005e-14,-1.3176372763131848e-16,1.6410772976343171e-15,8.1873230621447662e-15
0.145,-1.0425950301602578e-12,-9.5802884158314449e-13,-3.8357808801365046e-13,-7.7471261413654346e-15,-1.623810965003799e-15,6.6000538023941973e-15,3.7825660185922392e-14
0.1475,-1.0786380998674623e-12,-9.0003885958425046e-13,-2.6459077236623283e-13,-6.0972206280443499e-15,-5.1242327487726519e-15,1.0598304153750094e-14,6.8596219679704239e-14
0.15,-8.4979564732947303e-13,-7.3264967837674698e-13,-1.4776679681201806e-13,-2.0806309873388626e-14,-8.724281355295387e-15,9.3518858445378913e-15,7.910913433721737e-14
0.1525,-4.514125714546099e-13,-5.2903251076863318e-13,-7.348689596730539e-14,-4.012651773901311e-14,-1.1120304979241516e-14,4.4054925945876601e-15,6.8739246975781966e-14
0.155,-2.8168887686086087e-14,-3.5158231836365251e-13,-4.1977875606212493e-14,-5.2872485834463901e-14,-1.2379669021438325e-14,4.7468687740654522e-16,4.4557285424847318e-14
0.1575,2.9654643585081754e-13,-2.2598086551345414e-13,-3.1573695475079977e-14,-5.5005176316568564e-14,-1.3509954478580474e-14,-1.0208170799930285e-15,7.4719844565334576e-15
0.16,4.6841445594386468e-13,-1.4824706352746765e-13,-2.5025664261835237e-14,-4.8877584981696068e-14,-1.5482347632864161e-14,-3.2323884585568318e-15,-4.0046462593646132e-14
0.1625,5.031036213213891e-13,-1.038039743964782e-13,-1.8355058551388416e-14,-3.8993382155315545e-14,-1.8428507933042695e-14,-8.7010491740421523e-15,-8.3733913723970882e-14
0.165,4.5514463558542026e-13,-7.9632711562223826e-14,-1.4306762028882505e-14,-2.8821100439598597e-14,-2.1080641653177778e-14,-1.4937100361291957e-14,-1.0408456461502585e-13
0.1675,3.8150981011462457e-13,-6.762477477451023e-14,-1.4958781851066988e-14,-1.9888225365120602e-14,-2.107675445643422e-14,-1.6655088279958161e-14,-9.1722356546341136e-14
