Physical Time (s),massspec_vol Monitor (J): cv1,massspec_vol Monitor (J): cv2,massspec_vol Monitor (J): cv3,massspec_vol Monitor (J): cv4,massspec_vol Monitor (J): cv5,massspec_vol Monitor (J): cv6,massspec_vol Monitor (J): cv7
0.2,8.8797166771277085e-14,1.8191273321541637e-14,5.1233918575284685e-16,5.1067474709389943e-18,1.0875560858913529e-17,1.371040116545876e-17,-2.5106050585274394e-17
0.2025,8.8426459188428422e-14,1.8161448585298643e-14,5.9327360456478013e-16,4.354835821861751e-18,6.0219038127126628e-18,-1.9102320839777091e-18,6.7454955825628186e-18
0.205,8.8071915524519535e-14,1.8138026151791985e-14,6.8733415792324134e-16,1.1361893475669558e-18,-3.1863013627159408e-18,-6.6168390271197841e-18,1.1708960686488317e-17
0.2075,8.7729180589230406e-14,1.8112881518050516e-14,7.6677198768571735e-16,-1.0047654335855176e-17,2.1441621382476142e-18,-4.6898280586311335e-18,7.0043377051718114e-18
0.21,8.7395988749707632e-14,1.806450862382169e-14,8.5983908291743931e-16,2.3487019236385708e-18,-5.4809528944471508e-18,-1.6577717967938731e-18,2.5113974603407306e-19
0.2125,8.7020125956784338e-14,1.801887547871443e-14,9.6492938320276009e-16,5.4744146062187016e-18,-3.2835589789896762e-18,-3.2904724707105705e-18,-1.9306527419224495e-17
0.215,8.6663531516495314e-14,1.7961535440166924e-14,1.0896380199188259e-15,-1.8813682157588252e-18,2.0471557166074183e-18,-4.2042409930909693e-18,-8.2429123429417723e-18
0.2175,8.63096482180031e-14,1.7902312349068551e-14,1.2099047699125275e-15,6.8884347495403218e-19,-4.7441587719986223e-18,-6.4124278219665876e-18,-9.5090930245163718e-18
0.22,8.5949736668121856e-14,1.78413824186684e-14,1.3307223569068788e-15,8.8201683894521769e-18,-9.4487960641053861e-18,2.1707384053371806e-18,-3.1837166097632117e-18
0.2225,8.5558172942287098e-14,1.7779985387163608e-14,1.4604567864928325e-15,-2.557957968561507e-18,-5.7784659174800465e-18,4.205047122652413e-18,-1.217563567909571e-17
0.225,8.5210075648112232e-14,1.771106867367328e-14,1.5802724284556025e-15,2.4914805903106504e-18,5.7891399101852878e-18,6.4471368837176438e-19,1.9917665764757106e-17
0.2275,8.4794347209888249e-14,1.7653908395161534e-14,1.7013049850607184e-15,5.794853974596162e-18,3.9408741581049925e-18,2.0955454985082681e-18,-1.418916535046711e-18
0.23,8.4458293872385989e-14,1.7596882012586385e-14,1.834273207221037e-15,3.4313616535082384e-18,2.061729627217535e-18,-6.1500384164091131e-18,-1.5061828009633871e-17
0.2325,8.4055561400342133e-14,1.7536135350846773e-14,1.987384154960697e-15,4.828114821116483e-18,-5.403360118123859e-18,-1.0589247458351888e-17,7.6958834135863556e-18
0.235,8.3673257577649884e-14,1.7471026533971044e-14,2.1170704895092088e-15,1.2107131711550324e-18,-1.6693313212535333e-18,-1.7292811052015425e-18,-7.3416096547711557e-18
0.2375,8.3293667862342333e-14,1.7401272987178989e-14,2.2649222222326599e-15,-1.5498344456218439e-17,9.5445244074230204e-18,8.2849262490026791e-18,-7.5385121855420146e-19
0.24,8.2909672094053582e-14,1.7336225121169868e-14,2.4254447605507182e-15,1.929374661489291e-18,7.0768394675510687e-18,7.5494441664541894e-18,1.0549064273093259e-17
0.2425,8.2546691422384409e-14,1.7269454217372351e-14,2.5653361942258465e-15,-1.2038478476935562e-17,-5.6419330537393651e-18,7.2436563406105076e-18,7.0285115658176796e-18
0.245,8.216037176114671e-14,1.7201175439235747e-14,2.7471563635695831e-15,6.7624923989169789e-19,2.2721903055396964e-18,-6.5421634691938487e-19,8.2903755043850735e-18
0.2475,8.1789429306377918e-14,1.7129300006955095e-14,2.8943846328555927e-15,-9.9869375500579112e-18,1.0267890894950028e-17,9.6176508670711089e-19,2.0726411470711829e-17
0.25,8.1370386084442402e-14,1.7063149123601541e-14,3.0720379418520495e-15,4.4403621782779731e-18,6.9724799087359079e-18,1.6379872713614132e-18,1.2061403703990078e-17
0.2525,8.0993894418115689e-14,1.698340069066368e-14,3.235247916765469e-15,-7.9331845485588008e-18,8.2426423689342515e-18,1.2837988100991366e-17,1.4076709588570236e-17
0.255,8.0583020155116681e-14,1.6899488218841943e-14,3.4084135966831924e-15,-2.3253305836560865e-19,2.2631154670922838e-18,-2.1411812741136484e-17,-2.1426770562436313e-17
0.2575,8.019247951481185e-14,1.6829327587889092e-14,3.6086813188372741e-15,-3.137954318274271e-18,-8.3615732737389954e-18,4.1374357818279182e-18,9.7084777473188652e-18
0.26,7.9776940928700761e-14,1.6740368108962615e-14,3.7951189197028134e-15,3.4306542299408227e-18,-1.128511335155936e-17,7.1075003053134464e-18,-8.0675418490524279e-18
0.2625,7.9370969753260877e-14,1.6650892937948561e-14,3.992180979516795e-15,-2.059528909372873e-18,3.4406043496752272e-18,-1.6522506787872791e-17,-2.5272795256927129e-17
0.265,7.8951422865600225e-14,1.6573523366189859e-14,4.1938882155150547e-15,1.3724344125260748e-18,7.4560020923226382e-18,-9.9433776419115994e-18,4.3209389316176672e-18
0.2675,7.855314247768877e-14,1.6476620627362043e-14,4.3923949296538213e-15,-4.2773275928924299e-19,-6.5123865750575241e-18,2.1992939358882633e-18,2.1690098577464027e-17
0.27,7.8109148279580506e-14,1.6388118790604769e-14,4.5926600991278582e-15,4.3499239490022534e-18,7.8456490286858637e-18,2.6685786012670903e-17,1.1216204188320658e-17
0.2725,7.770672801237127e-14,1.6301904212999117e-14,4.8116983731476165e-15,-3.9723104920629919e-18,4.8950769450817278e-18,1.9904117598457297e-19,-1.7778469163156991e-17
0.275,7.7281300021463131e-14,1.6206030045568856e-14,5.023579234611391e-15,6.382967499629275e-18,7.4790862202847236e-18,2.1718415538578784e-17,-2.3566040258883862e-17
0.2775,7.6863904547631359e-14,1.6127448066106539e-14,5.2330476913858982e-15,6.3710387569026071e-18,-3.256284056819869e-18,3.2368186114858974e-18,-3.3520349962631399e-17
0.28,7.6433749725454256e-14,1.603707177612776e-14,5.4325131301710359e-15,6.2972235705471127e-18,-1.4925143219204933e-18,1.0959610223092569e-17,-2.8238842064349528e-17
0.2825,7.5993636131887914e-14,1.5957605965139004e-14,5.6389006086827396e-15,-3.468250524537338e-18,3.0608383638882018e-18,4.9721001719630552e-18,-2.113615437590041e-17
0.285,7.55764182804134e-14,1.5875318335557137e-14,5.8496154733209323e-15,-1.5269775722483312e-18,1.1345606366701668e-17,-6.4999760262451283e-18,-3.1645470301434022e-17
0.2875,7.5150557540925868e-14,1.5806873588582774e-14,6.0449028861257577e-15,-2.9134913886310093e-18,8.3551371417835097e-18,3.409562607337858e-17,2.0033984402832288e-17
0.29,7.4752142724761958e-14,1.5737004049739533e-14,6.2511218056239458e-15,-1.0845010461475009e-17,1.2918306234450529e-17,-1.9277853037116125e-17,-9.5219513430590847e-18
0.2925,7.4304490016952049e-14,1.5670329811843707e-14,6.437839374616174e-15,3.6254428349156729e-18,-2.5381742824531644e-18,5.7633030645988004e-18,1.8942168730894285e-17
0.295,7.3902160783344226e-14,1.5618180461000588e-14,6.6287314808731504e-15,4.6992259936364879e-18,-8.9328869272984001e-18,2.0833889345063037e-17,-8.9651277802640186e-18
0.2975,7.3479290335386733e-14,1.5564665522458335e-14,6.8113469401512967e-15,-2.0182152223288268e-17,2.3793581309233482e-20,-2.3887410570638368e-17,-2.0348844159308769e-17
0.3,7.3072031742439589e-14,1.5526988815158136e-14,6.9780222944529669e-15,3.5499575108081543e-18,9.4680952243208343e-18,-8.4263857596868103e-18,6.3184117570336351e-18
0.3025,7.269643745998131e-14,1.5497683682304768e-14,7.1360007937671049e-15,3.5215874160490286e-18,1.3108242779457952e-18,1.1608645266923458e-17,9.7975589485535033e-18
0.305,7.2250242996452898e-14,1.5477162938300305e-14,7.3129593395131337e-15,9.0601614621735496e-18,-4.252919539703322e-18,-5.7995890738588652e-18,-2.0071695795168919e-17
0.3075,7.1846354066096678e-14,1.545809616022404e-14,7.4620241023938984e-15,-5.1462959773349428e-18,1.3406837907219367e-18,1.7671231952653991e-17,-1.2051911326398933e-18
0.31,7.1469148964290658e-14,1.5460750473794222e-14,7.6149481236002089e-15,-1.2230379039678539e-17,-7.1280498040966105e-18,-4.5437087712091493e-18,6.2727593790008736e-18
0.3125,7.1066554241816572e-14,1.5454717989175458e-14,7.7416977896174221e-15,-3.4709698637871489e-18,1.4548707994072194e-17,-3.2834390111740576e-17,-1.2775268491903077e-17
0.315,7.0688527190007316e-14,1.5461827043142478e-14,7.87503333246682e-15,-8.7115927001983228e-18,3.8984847387095394e-19,-2.4858553601956175e-17,-2.917076161609007e-18
0.3175,7.0304261444835241e-14,1.5484111740291073e-14,7.9961731678460296e-15,-1.611869258421154e-18,-1.158002621954739e-17,-3.9013543491004358e-18,8.426188562447378e-18
0.32,6.9892057994478505e-14,1.5513987800078331e-14,8.1010374503294402e-15,-6.9715689049664094e-18,2.1347510861412385e-18,-3.3737184479742137e-17,-1.0079415098770065e-17
0.3225,6.9472265195427903e-14,1.5543112765837246e-14,8.2161202854697294e-15,4.5392678024965009e-18,5.9519668047008178e-18,-3.5881306930519016e-17,1.9434001062673977e-17
0.325,6.9097345312205116e-14,1.5592154746628476e-14,8.3112315142742098e-15,-1.7770217188861623e-18,8.4191061333219707e-18,7.3134213338379237e-18,8.0608118602642606e-19
0.3275,6.8709548785365063e-14,1.5642389138954424e-14,8.4121149041242153e-15,5.092487030178524e-18,7.8858319454095649e-18,-1.488272379641486e-18,-8.9277808665356398e-18
0.33,6.8326538887056609e-14,1.5690545921130551e-14,8.4801101559886214e-15,-1.7624373602727273e-18,5.2805644114808846e-18,-2.4720213745200024e-17,1.5213998941701119e-17
0.3325,6.7928898671969204e-14,1.5755457799473629e-14,8.5626768832407253e-15,-1.3460120393184394e-18,-7.0847088329237908e-18,2.5025613452493631e-17,9.7334489701997302e-18
0.335,6.7533103139194349e-14,1.5815548330063435e-14,8.6384846677231106e-15,5.1720154153930117e-18,1.4311462510932663e-18,3.8911403309545609e-18,8.6477049083665148e-18
