Physical Time (s),enth_flux_enthalpy_bot Monitor (W): bot_cv1,enth_flux_enthalpy_bot Monitor (W): bot_cv2,enth_flux_enthalpy_bot Monitor (W): bot_cv3,enth_flux_enthalpy_bot Monitor (W): bot_cv4,enth_flux_enthalpy_bot Monitor (W): bot_cv5,enth_flux_enthalpy_bot Monitor (W): bot_cv6,enth_flux_enthalpy_bot Monitor (W): bot_cv7
0.2225,8.3072375858066006e-09,-5.9924465672962904e-09,-1.261750738472068e-08,-7.1504765817390765e-09,-2.1785974201498661e-09,1.2833436987161193e-09,3.1866908969825235e-09
0.225,9.2532068689486374e-09,-6.2662150343887423e-09,-1.394608694337874e-08,-8.1723099189290868e-09,-2.8111556348162734e-09,-7.2715159742369124e-11,1.1221369333213599e-09
0.2275,9.5559292892317714e-09,-6.0551874393400023e-09,-1.4435429563533165e-08,-9.0357121355330634e-09,-3.7485766140244941e-09,-2.1595442648844884e-09,-1.2703634910638138e-09
0.23,9.3413220157815597e-09,-5.5255955212422573e-09,-1.4228647957071866e-08,-9.6706820462048389e-09,-4.7764824148333452e-09,-4.313126138336468e-09,-3.2465810403122721e-09
0.2325,8.8520941889651185e-09,-4.8335168983409738e-09,-1.3433270603828593e-08,-9.8835246898914311e-09,-5.5499248294694898e-09,-5.8800701689259003e-09,-4.3702356180654867e-09
0.235,8.313320899069729e-09,-4.0966074802893051e-09,-1.2147114277928263e-08,-9.4965485910603438e-09,-5.7728238956979957e-09,-6.4717891388923621e-09,-4.563649270065434e-09
0.2375,7.8192411595187051e-09,-3.3793534172612383e-09,-1.0464761982777774e-08,-8.4524821600383918e-09,-5.325945010659663e-09,-6.0409218113985497e-09,-3.9909605578894227e-09
0.24,7.3041146658177015e-09,-2.70095785863208e-09,-8.4926809884452708e-09,-6.8625766083134049e-09,-4.3096015837464649e-09,-4.8202653967939089e-09,-2.9290606940848579e-09
0.2425,6.5650778750009926e-09,-2.0447863015300765e-09,-6.3340147674427596e-09,-4.9669537935620145e-09,-2.9918104034088836e-09,-3.2006782327611851e-09,-1.6839987740953674e-09
0.245,5.3849692442696336e-09,-1.37410685270059e-09,-4.0774887881235229e-09,-3.0473658745468642e-09,-1.7011856282898433e-09,-1.6161539508253468e-09,-5.5224707567585591e-10
0.2475,3.627177413645376e-09,-6.4445567448207361e-10,-1.7774050256302897e-09,-1.3196861886104255e-09,-6.9877427163795291e-10,-4.3297491982972125e-10,2.2360797669808355e-10
0.25,1.2881685954427246e-09,1.8497296131753171e-10,5.5885437941673743e-10,1.4137991925786869e-10,-8.5146809111718094e-11,1.3820002994746786e-10,5.1027073685354063e-10
