Physical Time (s),Etau_left Monitor (W)
0.4775,-1.036022623418378e-10
0.48,-1.0218033105112586e-10
0.4825,-1.0676524236885097e-10
0.485,-1.1702985323065724e-10
0.4875,-1.3237836762494147e-10
0.49,-1.5196405773729135e-10
0.4925,-1.7472287614427172e-10
0.495,-1.9943354170158766e-10
0.4975,-2.2476465070271944e-10
0.5,-2.4935927252668807e-10
0.5025,-2.7192306844499056e-10
0.505,-2.913360662136213e-10
0.5075,-3.0671580907408535e-10
0.51,-3.1744172783712608e-10
0.5125,-3.2317743225012104e-10
0.515,-3.238629795183533e-10
0.5175,-3.1969566260918805e-10
0.52,-3.110981576637508e-10
0.5225,-2.9868372292154048e-10
0.525,-2.8321101480975742e-10
0.5275,-2.655272413877202e-10
0.53,-2.4652437766188659e-10
0.5325,-2.2708416891067458e-10
0.535,-2.0803315462490797e-10
0.5375,-1.9010703713591114e-10
0.54,-1.7391387183926757e-10
0.5425,-1.5990830239006956e-10
0.545,-1.4839215388940779e-10
0.5475,-1.3951379834149852e-10
0.55,-1.3327814916999613e-10
0.5525,-1.2957954450102749e-10
0.555,-1.2819601465894347e-10
0.5575,-1.288205128543868e-10
0.56,-1.3108193672362386e-10
0.5625,-1.3455855471404999e-10
0.565,-1.388060109179156e-10
0.5675,-1.433810792136917e-10
0.57,-1.4786222877901493e-10
0.5725,-1.5187357676587703e-10
0.575,-1.5510402465765724e-10
0.5775,-1.573240373136497e-10
0.58,-1.5839192798925519e-10
0.5825,-1.5825953329176897e-10
0.585,-1.5696415866766424e-10
0.5875,-1.5461587223451142e-10
0.59,-1.5138514393683398e-10
0.5925,-1.4748390418475862e-10
0.595,-1.4314367506450935e-10
0.5975,-1.3859813303737369e-10
0.6,-1.3406996359328148e-10
0.6025,-1.2975192204335119e-10
0.605,-1.2580167260462266e-10
0.6075,-1.2233323655190089e-10
0.61,-1.1941474571172341e-10
0.6125,-1.1706936738482851e-10
0.615,-1.1527848628531016e-10
0.6175,-1.1399246362502504e-10
0.62,-1.1313661233780727e-10
0.6225,-1.1261806923706018e-10
0.625,-1.1233014900755415e-10
0.6275,-1.1215537321620538e-10
0.63,-1.1197762905655477e-10
0.6325,-1.1168666889224656e-10
0.635,-1.1113242784942241e-10
0.6375,-1.1010967809376146e-10
0.64,-1.0853502812616467e-10
0.6425,-1.0645613504031408e-10
0.645,-1.0389680021959806e-10
0.6475,-1.0089703877822829e-10
0.65,-9.751809474621889e-11
0.6525,-9.3842096604640145e-11
0.655,-8.9957446018490218e-11
0.6575,-8.5965010155441806e-11
0.66,-8.1961362477660994e-11
0.6625,-7.8113314841866599e-11
0.665,-7.4521172766482302e-11
0.6675,-7.1268992115513539e-11
0.67,-6.8426169150012262e-11
0.6725,-6.6044469987215375e-11
0.675,-6.4144860214203317e-11
0.6775,-6.2751979779602064e-11
0.68,-6.1849425384068071e-11
0.6825,-6.1400903420324979e-11
0.685,-6.1357752307093907e-11
0.6875,-6.1658270692092771e-11
0.69,-6.2229694934135304e-11
0.6925,-6.2990010215021025e-11
0.695,-6.3853128062863982e-11
0.6975,-6.4730849973057337e-11
0.7,-6.553632911949028e-11
0.7025,-6.6186676539582477e-11
0.705,-6.6605988344039565e-11
0.7075,-6.6729967128893557e-11
0.71,-6.6508115353927839e-11
0.7125,-6.5905367397252342e-11
0.715,-6.4905388444741151e-11
0.7175,-6.351045167312531e-11
0.72,-6.1743746656517318e-11
0.7225,-5.9647660932051309e-11
0.725,-5.7279044981444296e-11
0.7275,-5.4708024607803403e-11
0.73,-5.2015645596381187e-11
0.7325,-4.9286143597410035e-11
0.735,-4.6604144471716224e-11
0.7375,-4.4049872861183018e-11
0.74,-4.1692731976215844e-11
0.7425,-3.9589656799842679e-11
0.745,-3.7783716865915824e-11
0.7475,-3.6304072790616468e-11
0.75,-3.5168287624007069e-11
0.7525,-3.4381737764360862e-11
0.755,-3.394108202395597e-11
0.7575,-3.3831911243881149e-11
0.76,-3.4031450645463922e-11
0.7625,-3.4509827578262931e-11
0.765,-3.5230382206745172e-11
0.7675,-3.6151134585654473e-11
0.77,-3.7223976957771386e-11
0.7725,-3.8395925450310454e-11
0.775,-3.9611278699698258e-11
0.7775,-4.0813410110933008e-11
0.78,-4.1945563148052197e-11
0.7825,-4.2957113431756679e-11
0.785,-4.3801800361476097e-11
0.7875,-4.4442833371535505e-11
0.79,-4.4853599735086112e-11
0.7925,-4.5018748471482704e-11
0.795,-4.4935397669062726e-11
0.7975,-4.4613903537625444e-11
0.8,-4.4076495028701219e-11
0.8025,-4.3355352353885933e-11
0.805,-4.2490209162249032e-11
0.8075,-4.1526362986003676e-11
0.81,-4.051068594393245e-11
0.8125,-3.9488224320383162e-11
0.815,-3.8500625719705567e-11
0.8175,-3.7582052737421561e-11
0.82,-3.6758111464084221e-11
0.8225,-3.6046375504080688e-11
0.825,-3.5457407941586614e-11
0.8275,-3.4994809319175236e-11
0.83,-3.4656773291422623e-11
0.8325,-3.443725576873219e-11
0.835,-3.4327325505115902e-11
0.8375,-3.4315908017121082e-11
0.84,-3.4390602817732603e-11
0.8425,-3.4537806550154043e-11
0.845,-3.4743499280255006e-11
0.8475,-3.4993565679593015e-11
0.85,-3.5274236344130374e-11
0.8525,-3.5572058204990308e-11
0.855,-3.587404067896809e-11
0.8575,-3.6168364129833482e-11
0.86,-3.644459914955234e-11
0.8625,-3.6694182463804953e-11
0.865,-3.6910847972339794e-11
0.8675,-3.709072802738517e-11
0.87,-3.7232420111539824e-11
0.8725,-3.7336992958438155e-11
0.875,-3.7408027500049054e-11
0.8775,-3.7451375782468136e-11
0.88,-3.7474735441362263e-11
0.8825,-3.7487125867527361e-11
0.885,-3.7498101146617656e-11
0.8875,-3.7516916209190313e-11
0.89,-3.7551905228005987e-11
0.8925,-3.760985319745015e-11
0.895,-3.7695118414668933e-11
0.8975,-3.7809165211691125e-11
0.9,-3.7950168754940114e-11
0.9025,-3.8113681942858232e-11
0.905,-3.8292422853203863e-11
0.9075,-3.8476707125254362e-11
0.91,-3.8655182510843982e-11
0.9125,-3.8815504756351125e-11
0.915,-3.8944954210261906e-11
0.9175,-3.90315744344077e-11
0.92,-3.9065287769601411e-11
0.9225,-3.9038254165557158e-11
0.925,-3.8945277693623009e-11
0.9275,-3.8784487691631049e-11
0.93,-3.8557492378913823e-11
0.9325,-3.8269232275487071e-11
0.935,-3.7927568299170758e-11
0.9375,-3.7543170060377491e-11
0.94,-3.7128853345436662e-11
0.9425,-3.669888950284319e-11
0.945,-3.626828718153808e-11
0.9475,-3.585250337578776e-11
0.95,-3.5466995286008384e-11
0.9525,-3.5126744259742991e-11
0.955,-3.4845338808217663e-11
0.9575,-3.4635048032093684e-11
0.96,-3.4506382218821304e-11
0.9625,-3.4467669801774267e-11
0.965,-3.4524469811225942e-11
0.9675,-3.4679813506386328e-11
0.97,-3.4933455757098472e-11
0.9725,-3.5281375649528214e-11
0.975,-3.5716157167560767e-11
0.9775,-3.622655446201054e-11
0.98,-3.6797455100315536e-11
0.9825,-3.7410761589735248e-11
0.985,-3.8044950808547419e-11
0.9875,-3.8676654082283827e-11
0.99,-3.9281014284338007e-11
0.9925,-3.9833550865594583e-11
0.995,-4.0311288248633879e-11
0.9975,-4.0694413996741276e-11
1.0,-4.0967142766232749e-11
1.0025,-4.1118144039646855e-11
1.005,-4.1141695197491933e-11
1.0075,-4.103831916391738e-11
1.01,-4.0814416835632591e-11
1.0125,-4.0481967594109172e-11
1.015,-4.0057717411552982e-11
1.0175,-3.9562162841772445e-11
1.02,-3.9018670186155814e-11
1.0225,-3.8451746317848435e-11
1.025,-3.7885706195190178e-11
1.0275,-3.7343351695693287e-11
1.03,-3.6844662899943169e-11
1.0325,-3.640621842062027e-11
1.035,-3.6040870526020292e-11
1.0375,-3.5757706739992915e-11
1.04,-3.556244135811366e-11
1.0425,-3.545665614008921e-11
1.045,-3.5438767393390118e-11
1.0475,-3.5504154874993404e-11
1.05,-3.5645586171764144e-11
1.0525,-3.5853670336478872e-11
1.055,-3.6117199583405063e-11
1.0575,-3.64236599839058e-11
1.06,-3.6760141320315141e-11
1.0625,-3.7113519489047638e-11
1.065,-3.7470766710982058e-11
1.0675,-3.7819464096818556e-11
1.07,-3.8148236326145717e-11
1.0725,-3.8447058355822612e-11
1.075,-3.8707604477480769e-11
1.0775,-3.8923437236798849e-11
1.08,-3.9090882917131382e-11
1.0825,-3.9208478791374885e-11
1.085,-3.9276492463882652e-11
1.0875,-3.9297034340903545e-11
1.09,-3.9274198850653572e-11
1.0925,-3.921403745647543e-11
1.095,-3.9124502576984822e-11
1.0975,-3.9014759903680851e-11
1.1,-3.889411710801641e-11
1.1025,-3.8771686411623144e-11
1.105,-3.8655764234048734e-11
1.1075,-3.8553635804520966e-11
1.11,-3.8471066134704785e-11
1.1125,-3.8412119040761808e-11
1.115,-3.8379095697331934e-11
1.1175,-3.837227515323243e-11
1.12,-3.8390290830630417e-11
1.1225,-3.8430035653329437e-11
1.125,-3.8487042321250389e-11
1.1275,-3.8555904347840616e-11
1.13,-3.8630649900348344e-11
1.1325,-3.8705134418999102e-11
1.135,-3.8773120852015344e-11
1.1375,-3.8828442185185449e-11
1.14,-3.8865229479934117e-11
1.1425,-3.8878392216057277e-11
1.145,-3.8864079956983686e-11
1.1475,-3.8820398358439188e-11
1.15,-3.8747266051850273e-11
1.1525,-3.8646476603760976e-11
1.155,-3.8521411104225539e-11
1.1575,-3.8376754683542561e-11
1.16,-3.8218212021487251e-11
1.1625,-3.8052292399119588e-11
1.165,-3.7886266522412392e-11
1.1675,-3.7727525453550731e-11
1.17,-3.7583510745392921e-11
1.1725,-3.7461732649733347e-11
1.175,-3.7368837189849328e-11
1.1775,-3.7310843357127488e-11
