Physical Time (s),enth_flux_enthalpy_left Monitor (W)
0.355,-1.6647480439547442e-06
0.3575,-1.7478125487630067e-06
0.36,-1.7512983008422454e-06
0.3625,-1.6786936897228232e-06
0.365,-1.5328921147319112e-06
0.3675,-1.31808335528377e-06
0.37,-1.0416219932736496e-06
0.3725,-7.15562406639399e-07
0.375,-3.5768543320270157e-07
0.3775,8.897456507951292e-09
0.38,3.5947682057488263e-07
0.3825,6.6862783735926904e-07
0.385,9.1418759326968562e-07
0.3875,1.079563314386288e-06
0.39,1.1545461691591941e-06
0.3925,1.1366761560374625e-06
0.395,1.0300808789413556e-06
0.3975,8.4501093398722211e-07
0.4,5.9525847408290904e-07
0.4025,2.9671075587906382e-07
0.405,-3.3364344844367319e-08
0.4075,-3.7609645927009356e-07
0.41,-7.1315185976696925e-07
0.4125,-1.0260339648413709e-06
0.415,-1.2977497033727835e-06
0.4175,-1.5129156519383817e-06
0.42,-1.6593252883341746e-06
0.4225,-1.7288584995265241e-06
0.425,-1.7189594646758056e-06
0.4275,-1.632864659936003e-06
0.43,-1.4792326530265275e-06
0.4325,-1.272797726743823e-06
0.435,-1.0308085344511407e-06
0.4375,-7.6689429128436501e-07
0.44,-4.997679971554311e-07
0.4425,-2.4305588863764293e-07
0.445,-7.4285286915177527e-09
0.4475,1.9868435108907799e-07
0.45,3.7152038875403022e-07
0.4525,5.0820874236768336e-07
0.455,6.1106871406214964e-07
0.4575,6.818401566332097e-07
0.46,7.2291133660901027e-07
0.4625,7.3081655771130257e-07
0.465,7.0253761865966241e-07
0.4675,6.3499698007541083e-07
0.47,5.2596607814532799e-07
0.4725,3.7519520350678764e-07
0.475,1.8594678066755007e-07
0.4775,-3.6634886786200385e-08
0.48,-2.8189276077866426e-07
0.4825,-5.3648950611777116e-07
0.485,-7.8547012309997665e-07
0.4875,-1.0150575124269265e-06
0.49,-1.2119425904062327e-06
0.4925,-1.3650025806889733e-06
0.495,-1.4666902254083953e-06
0.4975,-1.5123269525298789e-06
0.5,-1.5003390191685223e-06
0.5025,-1.4315222270878085e-06
0.505,-1.3088037019169355e-06
0.5075,-1.1381141845615135e-06
0.51,-9.2884953724736001e-07
0.5125,-6.9041642243959216e-07
0.515,-4.3615741439769192e-07
0.5175,-1.8226208090842258e-07
0.52,5.6048890235943978e-08
0.5225,2.6514341839713686e-07
0.525,4.3393288509027445e-07
0.5275,5.5389836710151543e-07
0.53,6.209068362613576e-07
0.5325,6.3409772040192516e-07
0.535,5.9616595812946928e-07
0.5375,5.1243929486025088e-07
0.54,3.8826491091486359e-07
0.5425,2.3100376616400566e-07
0.545,4.8916893041157698e-08
0.5475,-1.4824581757122064e-07
0.55,-3.503084506505455e-07
0.5525,-5.4665844519875916e-07
0.555,-7.2622934975292164e-07
0.5575,-8.7859491431428016e-07
0.56,-9.9528211121866689e-07
0.5625,-1.0695243990678562e-06
0.565,-1.0977465947880385e-06
0.5675,-1.079137393082501e-06
0.57,-1.0162031969169113e-06
0.5725,-9.1475497585411642e-07
0.575,-7.8286940221725921e-07
0.5775,-6.3080275392631533e-07
0.58,-4.6979075165930763e-07
0.5825,-3.1116627672097077e-07
0.585,-1.6590506407391138e-07
0.5875,-4.3131378996251842e-08
0.59,4.9951651788465927e-08
0.5925,1.0870190029074193e-07
0.595,1.3161975648467225e-07
0.5975,1.1974272467270472e-07
0.6,7.6876105744920919e-08
0.6025,8.3673577165114279e-09
0.605,-7.9242875905965966e-08
0.6075,-1.7886415986231715e-07
0.61,-2.8340167913005943e-07
0.6125,-3.8649301106159971e-07
0.615,-4.8216117941407779e-07
0.6175,-5.6581918579191797e-07
0.62,-6.3338104452912475e-07
0.6225,-6.8224439175714242e-07
0.625,-7.1077863587931797e-07
0.6275,-7.1837925222045143e-07
0.63,-7.0563886591240433e-07
0.6325,-6.7412552089337059e-07
0.635,-6.2632545272795858e-07
0.6375,-5.6562535904177536e-07
0.64,-4.956828513157829e-07
0.6425,-4.2099592237702268e-07
0.645,-3.4542044656594581e-07
0.6475,-2.7248899767644452e-07
0.65,-2.0536211719373876e-07
0.6525,-1.4640433241581952e-07
0.655,-9.755916320852031e-08
0.6575,-5.972975697508279e-08
0.66,-3.3686278001176738e-08
0.6625,-1.9981492433505666e-08
0.665,-1.9161934255550831e-08
0.6675,-3.1858132349166604e-08
0.67,-5.8645860732796052e-08
0.6725,-9.9917040625264919e-08
0.675,-1.5537828117090315e-07
0.6775,-2.243515830335155e-07
0.68,-3.0496270548096211e-07
0.6825,-3.9303639104514767e-07
0.685,-4.8433082834770743e-07
0.6875,-5.736555628003867e-07
0.69,-6.5566981784230684e-07
0.6925,-7.2474191822004173e-07
0.695,-7.7590929287145618e-07
0.6975,-8.0564988278403695e-07
0.7,-8.1207507012322679e-07
0.7025,-7.9531713959675721e-07
0.705,-7.5713225886281575e-07
0.7075,-7.0104498224606048e-07
0.71,-6.3156137276205307e-07
0.7125,-5.5319509019096954e-07
0.715,-4.7072393174597513e-07
0.7175,-3.8812647472318327e-07
0.72,-3.0908512666219021e-07
0.7225,-2.3539820936585028e-07
0.725,-1.6902011277390859e-07
0.7275,-1.1104282471495103e-07
0.73,-6.1747600698513604e-08
0.7325,-2.125897857059117e-08
0.735,9.4315538268275267e-09
0.7375,2.8969138691929238e-08
0.74,3.5566834373029972e-08
0.7425,2.7039881348116553e-08
0.745,1.2845393670347234e-09
0.7475,-4.2928748479560778e-08
0.75,-1.0665025928616965e-07
0.7525,-1.8835241707981308e-07
0.755,-2.8524741278307304e-07
0.7575,-3.9249320669617889e-07
0.76,-5.031311792963741e-07
0.7625,-6.0972691087509733e-07
0.765,-7.0372052995415251e-07
0.7675,-7.774446832318444e-07
0.77,-8.2493727909330592e-07
